title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Jumpstart to 2D Game Development: Godot 4.5/6 for BeginnersMaster the Godot 4 Engine, Build Engaging 2D Games,  Learn GDScript and Ignite Your Game Development Journey!Rating: 4.7 out of 53615 reviews63.5 total hours402 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/jumpstart-to-2d-game-development-godot-4-for-beginners/,"Richard Allbert, Martyna Olivares",Rating: 4.7 out of 54.7,"3,615",$9.99,Original Price$59.99,63.5 total hours,402 lectures,All Levels,False
Complete 3D Godot 4 Game Development CourseLearn 3D game development step by step with Godot 4 by creating 5 complete projects.Rating: 4.8 out of 5235 reviews61 total hours336 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/complete-3d-godot-4-game-development-course/,"Richard Allbert, Martyna Olivares",Rating: 4.8 out of 54.8,235,$9.99,Original Price$19.99,61 total hours,336 lectures,All Levels,False
Create realistic horror game in unreal engine 5 BlueprintsMaster Unreal Engine 5: Create your own dream survival horror game using unreal engine blueprint system.Rating: 4.6 out of 526 reviews9 total hours89 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/create-realistic-horror-game-in-unreal-engine-5-blueprints/,Igor Konieczny,Rating: 4.6 out of 54.6,26,$9.99,Original Price$19.99,9 total hours,89 lectures,All Levels,False
"How to Create a 3D Survival Game in Godot 4 with GDScriptLearn to Create a First Person Survival Game with Godot 4 and GDScript. Systems, Gameplay, Design, You'll Learn it AllRating: 4.5 out of 5366 reviews15 total hours48 lecturesIntermediateCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/godot-survival-game/,Eerik Hirvonen,Rating: 4.5 out of 54.5,366,$9.99,Original Price$59.99,15 total hours,48 lectures,Intermediate,False
Workman's Guide to MetaHuman Outfits for Unreal EngineLearn how to create Parametric Clothing compatible with MetaHuman Creator to sell on FabRating: 4.5 out of 570 reviews4.5 total hours36 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/workmans-guide-to-metahuman-outfits-for-unreal-engine/,Matt Workman,Rating: 4.5 out of 54.5,70,$9.99,Original Price$19.99,4.5 total hours,36 lectures,Beginner,False
Learn Procedural Game Environments in Unreal Engine 5.7This Course is all about Horror Game Environment Creation using the latest Tools in Unreal Engine 5.7Rating: 4.6 out of 54 reviews11.5 total hours23 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/learn-procedural-game-environments-in-unreal-engine-57/,Jan Benkwtiz,Rating: 4.6 out of 54.6,4,$9.99,Original Price$19.99,11.5 total hours,23 lectures,Beginner,False
Create A Realistic Environment for your Game using UnityLearn how to Create Eye feasting realistic environment using Unity's HDRPRating: 3.9 out of 545 reviews1 total hour9 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/create-a-realistic-environment-for-your-game-using-unity/,Prudviraj Perala,Rating: 3.9 out of 53.9,45,$9.99,Original Price$19.99,1 total hour,9 lectures,Beginner,False
Godot Engine Horror Game – Make Your First Scary GameFrom zero to finished demo: make your first horror game in GodotRating: 3.7 out of 56 reviews8.5 total hours30 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/godot-engine-horror-game-make-your-first-scary-game/,Nguyen Cong Tuan,Rating: 3.7 out of 53.7,6,$9.99,Original Price$19.99,8.5 total hours,30 lectures,Beginner,False
"Unreal Engine 5: Build a Complete Survival Game in UE5Create an epic survival game with crafting, combat, and modular systems on a tropical island — powered by UE5 BlueprintsRating: 4.4 out of 5252 reviews11.5 total hours85 lecturesIntermediateCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/unreal-engine-5-build-a-complete-survival-game/,"GameDev.tv Team, Gorka Aranzabal",Rating: 4.4 out of 54.4,252,$9.99,Original Price$49.99,11.5 total hours,85 lectures,Intermediate,False
Unreal Engine 5: The Complete Beginner’s CourseLearn Video Game Development & How To Design a Game From Scratch Using UE5Rating: 4.7 out of 513304 reviews10.5 total hours81 lecturesBeginnerCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/unreal-engine-5-the-complete-beginners-course/,David Nixon,Rating: 4.7 out of 54.7,"13,304",$9.99,Original Price$69.99,10.5 total hours,81 lectures,Beginner,False
Unreal Engine 5: PhysicsLearn Advanced Unreal Engine Video Game Physics Simulations DevelopmentRating: 4.7 out of 5114 reviews3.5 total hours20 lecturesIntermediateCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/unreal-engine-5-for-games-physics/,David Nixon,Rating: 4.7 out of 54.7,114,$9.99,Original Price$19.99,3.5 total hours,20 lectures,Intermediate,False
Complete C# Unity 3D Game Development in Unity 6Build 5 playable 3D games in Unity 6 using C#. Learn real coding skills and master core game dev techniques.Rating: 4.7 out of 547765 reviews27 total hours192 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/unitycourse2/,"Rick Davidson, GameDev.tv Team, Stephen Hubbard",Rating: 4.7 out of 54.7,"47,765",$9.99,Original Price$64.99,27 total hours,192 lectures,All Levels,False
RPG Core Combat Creator: Learn Intermediate Unity C# CodingBuild Combat for Role Playing Game (RPG) in Unity. Tutorials Cover Code Architecture &amp; Video Game Design.Rating: 4.5 out of 511315 reviews27.5 total hours188 lecturesIntermediateCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/unityrpg/,"Ben Tristem, Rick Davidson, GameDev.tv Team",Rating: 4.5 out of 54.5,"11,315",$10.99,Original Price$74.99,27.5 total hours,188 lectures,Intermediate,False
"Blender Character Creator for Video Games (Updated to 4.2)Model Video Game Characters. Use The Sculpt Tool To Shape, Add Texture + Rig Video Game Characters in Blender 4Rating: 4.8 out of 58879 reviews34.5 total hours248 lecturesBeginnerCurrent price: $16.99Original price: $119.99",https://www.udemy.com/course/blendercharacters/,"GameDev.tv Team, Rick Davidson, Grant Abbitt",Rating: 4.8 out of 54.8,"8,879",$16.99,Original Price$119.99,34.5 total hours,248 lectures,Beginner,False
Create Your First RPG And FPS Multiplayer Game In UnityLearn To Code In C# And How To Create Role Playing And First Person Shooter Multiplayer Games In Unity3DRating: 4.3 out of 51531 reviews31 total hours103 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/create-your-first-rpg-and-fps-multiplayer-game-in-unity/,Awesome Tuts,Rating: 4.3 out of 54.3,"1,531",$10.99,Original Price$19.99,31 total hours,103 lectures,Beginner,False
Procedural Terrain Generation with UnityProgramming realistic environments with C# through the algorithmic manipulation of mesh and vegetation data in URP.Rating: 4.6 out of 51100 reviews29.5 total hours163 lecturesIntermediateCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/procedural-terrain-generation-with-unity/,"Penny de Byl, Penny Holistic3D",Rating: 4.6 out of 54.6,"1,100",$10.99,Original Price$74.99,29.5 total hours,163 lectures,Intermediate,False
How to Make a Retro Style 3D FPS in the Godot Game EngineLearn how to make an old school fast-paced first person shooter in the Godot game engineRating: 4.8 out of 51066 reviews12 total hours68 lecturesIntermediateCurrent price: $9.99Original price: $54.99,https://www.udemy.com/course/how-to-make-a-retro-style-3d-fps-in-the-godot-game-engine/,Narayana Walters,Rating: 4.8 out of 54.8,"1,066",$9.99,Original Price$54.99,12 total hours,68 lectures,Intermediate,False
"Complete C# Unity Developer: Create Games and Learn to CodeGame development & design taught by using Unity. Learn C# and build your first games for web, mobile and desktop.Rating: 4.4 out of 51026 reviews22.5 total hours159 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/unity-developer-course/,"Denis Panjuta, Tutorials.eu by Denis Panjuta",Rating: 4.4 out of 54.4,"1,026",$10.99,Original Price$69.99,22.5 total hours,159 lectures,All Levels,False
"Build A Multiplayer Kart Racing Game - Unity 6 CompatibleLearn all about vehicle physics, game mechanics, AI, and networking for multiplayer kart racing experiences.Rating: 4.6 out of 5645 reviews14.5 total hours68 lecturesBeginnerCurrent price: $12.99Original price: $79.99",https://www.udemy.com/course/kart-racing/,"Penny de Byl, Penny Holistic3D",Rating: 4.6 out of 54.6,645,$12.99,Original Price$79.99,14.5 total hours,68 lectures,Beginner,False
"Build Your MR Game & Publish it on Meta's Horizon StoreLearn the foundations of MR, XR, VR Development on Quest headsets with Meta’s Horizon OS and UnityRating: 4.5 out of 5618 reviews3.5 total hours43 lecturesIntermediateCurrent price: $19.99",https://www.udemy.com/course/mixedreality/,"Sean Ong, Master Instructor at XR Bootcamp, Tevfik Ufuk DEMİRBAŞ, IRONHEAD Games",Rating: 4.5 out of 54.5,618,$19.99,,3.5 total hours,43 lectures,Intermediate,False
Create a 3D Endless Runner from Scratch - Unity 6 CompatibleLearn how to make an infinite scrolling platform game in Unity with C# working through all stages of game development.Rating: 4.7 out of 5374 reviews10 total hours44 lecturesBeginnerCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/endlessrunner/,"Penny de Byl, Penny Holistic3D",Rating: 4.7 out of 54.7,374,$10.99,Original Price$74.99,10 total hours,44 lectures,Beginner,False
3D Game Modeling & Animation With BlenderCreate 3D models and 3D animation for games and engines like Unreal or Unity 3DRating: 3.8 out of 5352 reviews22.5 total hours45 lecturesAll LevelsCurrent price: $14.99Original price: $24.99,https://www.udemy.com/course/blender3d/,"Mark Price, Devslopes by Nathan Sevedge",Rating: 3.8 out of 53.8,352,$14.99,Original Price$24.99,22.5 total hours,45 lectures,All Levels,False
Unity Parkour & Climbing SystemLearn to Create a Third Person Parkour & Climbing System in Unity and C# | Learn Gameplay Programming in UnityRating: 4.6 out of 5338 reviews9.5 total hours42 lecturesIntermediateCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/unity-parkour-system/,Fantacode Studios,Rating: 4.6 out of 54.6,338,$9.99,Original Price$59.99,9.5 total hours,42 lectures,Intermediate,False
Build a Battle Royale and an RPG in Unity and Blender!Create two awesome Games with Blender and Unity®Rating: 4.2 out of 5261 reviews118 total hours546 lecturesAll LevelsCurrent price: $10.99Original price: $54.99,https://www.udemy.com/course/build-a-battle-royale-and-an-rpg-in-unity-and-blender/,"Mammoth Interactive, John Bura",Rating: 4.2 out of 54.2,261,$10.99,Original Price$54.99,118 total hours,546 lectures,All Levels,False
Game AI Fundamentals with Godot EngineLearn to how code common game AI features in the Godot EngineRating: 4.5 out of 5194 reviews3 total hours10 lecturesIntermediateCurrent price: $9.99Original price: $24.99,https://www.udemy.com/course/game-ai-fundamentals-with-godot-engine/,Narayana Walters,Rating: 4.5 out of 54.5,194,$9.99,Original Price$24.99,3 total hours,10 lectures,Intermediate,False
"Create a 3D Car Racing Game with THREE.js and CANNON.jsUse the CANNON.js physics library and the WebGL library, THREE.js, to easily create a car racing game.Rating: 3.9 out of 5174 reviews2.5 total hours34 lecturesAll LevelsCurrent price: $10.99Original price: $49.99",https://www.udemy.com/course/create-a-3d-car-racing-game-with-threejs-and-cannonjs/,Nicholas Lever,Rating: 3.9 out of 53.9,174,$10.99,Original Price$49.99,2.5 total hours,34 lectures,All Levels,False
"3D Game Development with BlenderBuild anything you can imagine, and make fun 3D games!Rating: 4.6 out of 5159 reviews11 total hours40 lecturesAll LevelsCurrent price: $10.99Original price: $44.99",https://www.udemy.com/course/3d-game-development-with-blender/,Andy Harris,Rating: 4.6 out of 54.6,159,$10.99,Original Price$44.99,11 total hours,40 lectures,All Levels,False
Single&Multiplayer online game development Webgl's BabylonJsThe Extensive Webgl Series ! - Part II : Single and client - server Multiplayer Game Development Using Babylon JsRating: 4.2 out of 5155 reviews10 total hours58 lecturesAll LevelsCurrent price: $10.99Original price: $49.99,https://www.udemy.com/course/single-multiplayer-game-development-in-webgls-babylonjs/,"Ahmed Fathy, MSc",Rating: 4.2 out of 54.2,155,$10.99,Original Price$49.99,10 total hours,58 lectures,All Levels,False
