title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Complete Blender 2026: Beginner to Studio ReadyCreate advanced 3D scenes, models, and animations in BlenderRating: 4.6 out of 585 reviews9 total hours62 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/blender-start/,Blue Cursor,Rating: 4.6 out of 54.6,85,$9.99,Original Price$19.99,9 total hours,62 lectures,All Levels,False
The Ultimate Guide to Blender 3D Rigging & AnimationTank tracks to characters Learn how to 3D animate and rig anything in this massive 17 part Ultimate Blender guide.Rating: 4.6 out of 5365 reviews8 total hours47 lecturesAll LevelsCurrent price: $9.99Original price: $49.99,https://www.udemy.com/course/blender-3d-rigging-animation/,3D Tudor,Rating: 4.6 out of 54.6,365,$9.99,Original Price$49.99,8 total hours,47 lectures,All Levels,False
"Siemens NX Unigraphics (UG) Fundamental 3D Modelling CourseLearn Unigraphics From Scratch including part design, drawing,assembly, surface modelingRating: 4.4 out of 51891 reviews13 total hours125 lecturesAll LevelsCurrent price: $10.99Original price: $59.99",https://www.udemy.com/course/siemens-nx-unigraphics-ug-basic-to-advance-3d-modelling/,Veer Tutorial,Rating: 4.4 out of 54.4,"1,891",$10.99,Original Price$59.99,13 total hours,125 lectures,All Levels,False
"Creating 3D environments in BlenderLearn Blender 5, build your first environment and master the basics of 3D creationRating: 4.6 out of 514223 reviews38 total hours248 lecturesAll LevelsCurrent price: $11.99Original price: $79.99",https://www.udemy.com/course/blender-environments/,"Rob Tuytel, CG Obaid (Obaidur Rahman)",Rating: 4.6 out of 54.6,"14,223",$11.99,Original Price$79.99,38 total hours,248 lectures,All Levels,False
"Complete Blender 2026: Beginner to Studio ReadyCreate advanced 3D scenes, models, and animations in BlenderRating: 4.6 out of 587 reviews9 total hours62 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/blender-start/,Blue Cursor,Rating: 4.6 out of 54.6,87,$9.99,Original Price$19.99,9 total hours,62 lectures,Beginner,False
Rhino 3D for Architects from ScratchRhino Full Course from Zero to Hero Aimed for Architecture StudentsRating: 4.6 out of 51049 reviews6.5 total hours23 lecturesBeginnerCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/rhino-3d-for-architects-from-scratch/,Christian López,Rating: 4.6 out of 54.6,"1,049",$9.99,Original Price$59.99,6.5 total hours,23 lectures,Beginner,False
Low Poly Modeling - Learn Low-Poly 3D Modeling & TexturingHow to Create Low-Poly 3D Model & Texture for Games in Maya and export for Game Engine & Isometric game tutorialRating: 3.5 out of 521 reviews2 total hours12 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/learn-low-poly-building-modeling-texturing-for-games/,Pixelandb Academy,Rating: 3.5 out of 53.5,21,$10.99,Original Price$19.99,2 total hours,12 lectures,Beginner,False
"Sculpting Male Characters in Zbrush5 different Body Types, Faces, and Hair Styles!Rating: 4.6 out of 527 reviews19.5 total hours97 lecturesAll LevelsCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/sculpting-male-characters-in-zbrush/,"Christian McNachtan, Joshua O'Hala",Rating: 4.6 out of 54.6,27,$10.99,Original Price$19.99,19.5 total hours,97 lectures,All Levels,False
CREO Mastery : 500 Examples | 20 Project | 300 Q&A | 10 TestPTC Creo Parametric using perfectly designed course created after live interaction with 1000s of students in classroomRating: 4.6 out of 5256 reviews58 total hours800 lecturesAll LevelsCurrent price: $9.99Original price: $44.99,https://www.udemy.com/course/complete-creo-parametric-express-training/,"Roy Academy, SNS Roy",Rating: 4.6 out of 54.6,256,$9.99,Original Price$44.99,58 total hours,800 lectures,All Levels,False
Advanced 3D Printing With Fusion 360: Design Your Phone CaseLearn Valuable 3D Print Design Methods and Techniques while Modeling a Modular Phone Case for YOUR Phone with Fusion 360Rating: 4.8 out of 518 reviews3 total hours14 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/fusion-360-create-a-3d-print-phone-case-attachments/,Larno Visser,Rating: 4.8 out of 54.8,18,$9.99,Original Price$19.99,3 total hours,14 lectures,Beginner,False
