title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Mastering Data Structures & Algorithms using C and C++Learn, Analyse and Implement Data Structure using C and C++. Learn Recursion and Sorting.Rating: 4.6 out of 558495 reviews76 total hours449 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/datastructurescncpp/,Abdul Bari,Rating: 4.6 out of 54.6,"58,495",$9.99,Original Price$64.99,76 total hours,449 lectures,All Levels,False
"Learn C++ Programming -Beginner to Advance- Deep Dive in C++Classroom and Hands-on sessions- Features of C++ 11 , Exception Handling and STL -  for Both Academics and IndustryRating: 4.6 out of 530939 reviews30.5 total hours280 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/cpp-deep-dive/,Abdul Bari,Rating: 4.6 out of 54.6,"30,939",$10.99,Original Price$69.99,30.5 total hours,280 lectures,All Levels,False
JavaScript Algorithms and Data Structures MasterclassThe Missing Computer Science and Coding Interview BootcampRating: 4.8 out of 530873 reviews22 total hours250 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/js-algorithms-and-data-structures-masterclass/,Colt Steele,Rating: 4.8 out of 54.8,"30,873",$9.99,Original Price$64.99,22 total hours,250 lectures,All Levels,False
"C++ Data Structures & Algorithms + LEETCODE ExercisesDSA + LEETCODE for Coding Interviews — Clear, Step-by-Step Animated Walkthroughs!Rating: 4.8 out of 53028 reviews10.5 total hours148 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/data-structures-algorithms-cpp/,Scott Barrett,Rating: 4.8 out of 54.8,"3,028",$9.99,Original Price$59.99,10.5 total hours,148 lectures,All Levels,False
"Algorithms and Data Structures in Python (INTERVIEW Q&A)A guide to implement data structures, graph algorithms and sorting algorithms from scratch with interview questions!Rating: 4.8 out of 54381 reviews23.5 total hours209 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/algorithms-and-data-structures-in-python/,Holczer Balazs,Rating: 4.8 out of 54.8,"4,381",$10.99,Original Price$69.99,23.5 total hours,209 lectures,All Levels,False
LeetCode with JavaScript and Data Structures + Algo [2023]Learn techniques to solve those coding interview problems so you can land that dream job! [ LeetCode 2023 ]Rating: 3.7 out of 535 reviews1 total hour5 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/leetcode-with-javascript-coding-interview-guide/,Shawn V. | 6000+ Students,Rating: 3.7 out of 53.7,35,$10.99,Original Price$19.99,1 total hour,5 lectures,Beginner,False
"Python Data Structures and Algorithms: Complete GuideUnderstand the algorithms, performance, and implementation of important data structures. Use advanced Python techniques.Rating: 4.5 out of 592 reviews24.5 total hours193 lecturesIntermediateCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/python-data-structures-and-algorithms-complete-guide/,"Tim Buchalka, Jean-Paul Roberts, Tim Buchalka's Learn Programming Academy",Rating: 4.5 out of 54.5,92,$9.99,Original Price$19.99,24.5 total hours,193 lectures,Intermediate,False
"The Complete Lua Programming Course: From Zero to Expert!The modern Lua course for everyone! Master Lua with projects, challenges and theory. Many courses in one!Rating: 4.4 out of 5253 reviews16.5 total hours83 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/the-complete-lua-programming-language-course/,Lucas Bazilio,Rating: 4.4 out of 54.4,253,$9.99,Original Price$19.99,16.5 total hours,83 lectures,All Levels,False
"Master the Coding Interview: Big Tech (FAANG) InterviewsAce the Google, Amazon, Meta, Microsoft, Netflix coding interviews. Step by step guide for their toughest questions!Rating: 4.7 out of 55893 reviews37 total hours291 lecturesIntermediateCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/master-the-coding-interview-big-tech-faang-interviews/,"Andrei Neagoie, Yihua Zhang",Rating: 4.7 out of 54.7,"5,893",$9.99,Original Price$69.99,37 total hours,291 lectures,Intermediate,False
100 Days of Code: JavaScript Data Structures and AlgorithmsData Structures and Algorithms from Zero to Hero and Crack Top Companies 100+ Interview questions (LEETCODE)Rating: 4.7 out of 5115 reviews30.5 total hours311 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/javascript-data-structures-and-algorithms/,Elshad Karimov,Rating: 4.7 out of 54.7,115,$9.99,Original Price$19.99,30.5 total hours,311 lectures,All Levels,False
Data Structures A-Z : Data Structures + Algorithms BootcampBecome ace in data structures & algorithms & Crack the code interview by getting mastery in data structures & algorithmsRating: 4.7 out of 515727 reviews7.5 total hours91 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/data-structures-and-algorithms-the-complete-guide/,Vinoth Parthasarathy,Rating: 4.7 out of 54.7,"15,727",$11.99,Original Price$79.99,7.5 total hours,91 lectures,All Levels,False
"Python for Data Structures, Algorithms, and Interviews!Get a kick start on your career and ace your coding interviews!Rating: 4.6 out of 512182 reviews17 total hours228 lecturesIntermediateCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/python-for-data-structures-algorithms-and-interviews/,"Jose Portilla, Pierian Training",Rating: 4.6 out of 54.6,"12,182",$10.99,Original Price$74.99,17 total hours,228 lectures,Intermediate,False
"Data Structures & Algorithms, Level-up for Coding InterviewsMaster problem solving for Coding Interviews, ace Data Structures and Algorithms with over 150 challenges!Rating: 4.4 out of 53409 reviews30.5 total hours255 lecturesAll LevelsCurrent price: $11.99Original price: $74.99",https://www.udemy.com/course/cpp-data-structures-algorithms-levelup-prateek-narang/,"Prateek Narang Sr. Software Engineer Google, Coding Minutes",Rating: 4.4 out of 54.4,"3,409",$11.99,Original Price$74.99,30.5 total hours,255 lectures,All Levels,False
"Algorithms Data Structures in Java #1 (+INTERVIEW QUESTIONS)Basic Algorithms and Data Structures: AVL tree, Binary Search Trees, Arrays, B Trees, Linked Lists, Stacks and HashMapsRating: 4.6 out of 53160 reviews22 total hours184 lecturesAll LevelsCurrent price: $11.99Original price: $79.99",https://www.udemy.com/course/algorithms-and-data-structures/,Holczer Balazs,Rating: 4.6 out of 54.6,"3,160",$11.99,Original Price$79.99,22 total hours,184 lectures,All Levels,False
"C++ Data Structures & Algorithms + LEETCODE ExercisesDSA + LEETCODE for Coding Interviews — Clear, Step-by-Step Animated Walkthroughs!Rating: 4.7 out of 53028 reviews10.5 total hours148 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/data-structures-algorithms-cpp/,Scott Barrett,Rating: 4.7 out of 54.7,"3,028",$9.99,Original Price$59.99,10.5 total hours,148 lectures,All Levels,False
"Data Structures and Algorithms C++ : Zero to Mastery in 2026Ace the Google, Amazon, Facebook, Microsoft, Netflix coding interviews. Step by step guide for their toughest questions!Rating: 4.4 out of 52352 reviews64.5 total hours268 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/data-structures-algorithms-using-c-zero-to-mastery/,"Ankit Thakran, Harsh Kajla",Rating: 4.4 out of 54.4,"2,352",$10.99,Original Price$74.99,64.5 total hours,268 lectures,All Levels,False
Algorithms and Data Structures in C#: Complete TutorialLearn data structures and algorithms in C# from A to Z. Pass coding interview. Learn unit testing and TDD in addition.Rating: 4.4 out of 52224 reviews18.5 total hours168 lecturesAll LevelsCurrent price: $11.99Original price: $64.99,https://www.udemy.com/course/algorithms-data-structures-csharp/,Engineer Spock,Rating: 4.4 out of 54.4,"2,224",$11.99,Original Price$64.99,18.5 total hours,168 lectures,All Levels,False
Graph Theory AlgorithmsA complete overview of graph theory algorithms in computer science and mathematics.Rating: 4.6 out of 52071 reviews9 total hours46 lecturesAll LevelsCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/graph-theory-algorithms/,William Fiset,Rating: 4.6 out of 54.6,"2,071",$10.99,Original Price$74.99,9 total hours,46 lectures,All Levels,False
"Recursion, Backtracking and Dynamic Programming in JavaCompetitive Programming with Common Interview Questions (Recursion, Backtracking and Divide and Conquer Algorithms)Rating: 4.3 out of 51626 reviews15 total hours141 lecturesAll LevelsCurrent price: $14.99Original price: $99.99",https://www.udemy.com/course/algorithmic-problems-in-java/,Holczer Balazs,Rating: 4.3 out of 54.3,"1,626",$14.99,Original Price$99.99,15 total hours,141 lectures,All Levels,False
Data Structures & Algorithms in Java + 150 Leetcode ProblemsLearn DSA + Solve Leetcode problems for coding interviewsRating: 4.4 out of 51521 reviews42.5 total hours295 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/mastering-leetcode-in-java-top-100-most-asked-problems/,Pratik Singhal,Rating: 4.4 out of 54.4,"1,521",$9.99,Original Price$19.99,42.5 total hours,295 lectures,All Levels,False
Data Structures and Algorithms In C ( DSA )Data Structures and Algorithms in C Using C DSA C Data Structures Algorithms with C LeetCode C DSA in C DSA and C DSA CRating: 4.3 out of 51402 reviews10.5 total hours151 lecturesAll LevelsCurrent price: $11.99Original price: $74.99,https://www.udemy.com/course/data-structures-and-algorithms-in-c/,Deepali Srivastava,Rating: 4.3 out of 54.3,"1,402",$11.99,Original Price$74.99,10.5 total hours,151 lectures,All Levels,False
"Graph Theory Algorithms for Competitive ProgrammingLearn Graphs Algorithms in Computer Science &amp; Mathematics, theory + hands-on coding and ace Competitive Coding problems!Rating: 4.5 out of 5828 reviews23 total hours118 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/graph-theory-algorithms-for-competitive-programming/,"Prateek Narang Sr. Software Engineer Google, Apaar Kamal, Coding Minutes",Rating: 4.5 out of 54.5,828,$10.99,Original Price$69.99,23 total hours,118 lectures,All Levels,False
"Algorithms Data Structures in Java #2 (+INTERVIEW QUESTIONS)Tries Data Structures, Ternary Search Trees, Data Compression, Substring Search and Sorting AlgorithmsRating: 4.6 out of 5822 reviews13 total hours105 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/algorithms-and-data-structures-in-java-part-ii/,Holczer Balazs,Rating: 4.6 out of 54.6,822,$10.99,Original Price$74.99,13 total hours,105 lectures,All Levels,False
"Algorithms and Data Structures in Swift 5Learn about algorithms and data structures in Swift. Topics include: Big O, clean code, technical interview questions.Rating: 4.5 out of 5692 reviews3 total hours74 lecturesAll LevelsCurrent price: $14.99Original price: $64.99",https://www.udemy.com/course/introduction-to-algorithms-in-swift/,Karoly Nyisztor • Professional Software Architect,Rating: 4.5 out of 54.5,692,$14.99,Original Price$64.99,3 total hours,74 lectures,All Levels,False
Data Structures and Algorithms In Python ( DSA )Data Structures and Algorithms in Python using Python DSA and Data Structures DSA with Python DSA in Python DSA PythonRating: 4.4 out of 5679 reviews10.5 total hours133 lecturesAll LevelsCurrent price: $11.99Original price: $69.99,https://www.udemy.com/course/data-structures-algorithms-in-python/,Deepali Srivastava,Rating: 4.4 out of 54.4,679,$11.99,Original Price$69.99,10.5 total hours,133 lectures,All Levels,False
