title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02Prepare the AWS Certified Cloud Practitioner CLF-C02. 390 unique high-quality test questions with detailed explanations!Rating: 4.6 out of 538024 reviews390 questionsBeginnerCurrent price: $11.99Original price: $74.99,https://www.udemy.com/course/practice-exams-aws-certified-cloud-practitioner/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Rating: 4.6 out of 54.6,"38,024",$11.99,Original Price$74.99,14.5 total hours,282 lectures,Beginner
[NEW] Ultimate AWS Certified Cloud Practitioner CLF-C02 2026Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C02 exam!Rating: 4.7 out of 5279151 reviews14.5 total hours282 lecturesBeginnerCurrent price: $12.99Original price: $89.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-new/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Rating: 4.7 out of 54.7,"279,151",$12.99,Original Price$89.99,14.5 total hours,282 lectures,Beginner
[NEW] Ultimate AWS Certified Cloud Practitioner CLF-C02 2026Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C02 exam!Rating: 4.7 out of 5279313 reviews14.5 total hours282 lecturesBeginnerCurrent price: $12.99Original price: $89.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-new/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Rating: 4.7 out of 54.7,"279,313",$12.99,Original Price$89.99,14.5 total hours,282 lectures,Beginner
AWS From Zero to Hero - The Complete GuideHands-On AWS Mastery – Learn Real-World Cloud Skills from a Certified AWS Architect.Rating: 4.6 out of 5256 reviews21.5 total hours298 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/aws-from-zero-to-hero-the-complete-guide/,Memi Lavi,Rating: 4.6 out of 54.6,256,$9.99,Original Price$19.99,21.5 total hours,298 lectures,Beginner
AWS Certified Solutions Architect Associate (SAA-C03) Course2025 AWS Certified Solutions Architect Associate Video Course SAA-C03 | Hands-on Exercises + AWS Practice Exam + SlidesRating: 4.6 out of 522338 reviews23 total hours290 lecturesAll LevelsCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/aws-certified-solutions-architect-associate-hands-on/,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",Rating: 4.6 out of 54.6,"22,338",$10.99,Original Price$74.99,23 total hours,290 lectures,All Levels
AWS Certified Cloud Practitioner (CLF-C02) Exam Training[2025] Earn your AWS Certified Cloud Practitioner Certification in 20 Days! Hands-on Exercises + AWS Bonus Practice ExamRating: 4.7 out of 538947 reviews14 total hours202 lecturesBeginnerCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-training-course/,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",Rating: 4.7 out of 54.7,"38,947",$10.99,Original Price$74.99,14 total hours,202 lectures,Beginner
Introduction to Cloud Computing on AWS for Beginners [2025]Learn Cloud Computing Concepts and AWS Basics | Master AWS Fundamentals and Hands-on Skills on Amazon Web Services (AWS)Rating: 4.5 out of 537461 reviews10 total hours97 lecturesBeginnerCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/introduction-to-cloud-computing-on-amazon-aws-for-beginners/,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",Rating: 4.5 out of 54.5,"37,461",$9.99,Original Price$69.99,10 total hours,97 lectures,Beginner
Ultimate DevOps and Cloud Interview GuideUltimate DevOps and Cloud Interview Guide that covers topic by topic scenario based Interview questions with notes.Rating: 4.7 out of 52350 reviews15.5 total hours182 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/ultimate-devops-and-cloud-interview-guide/,Abhishek Veeramalla,Rating: 4.7 out of 54.7,"2,350",$9.99,Original Price$19.99,15.5 total hours,182 lectures,Beginner
Ultimate DevOps Project ImplementationEnd to End DevOps Implementation on an E-Commerce project with Resume preparation and Interview Q&ARating: 4.7 out of 55264 reviews12 total hours76 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/ultimate-devops-project-with-resume-preparation/,Abhishek Veeramalla,Rating: 4.7 out of 54.7,"5,264",$9.99,Original Price$19.99,12 total hours,76 lectures,Beginner
[NEW] AWS Certified Cloud Practitioner 2026 [CLF-C02]Build strong AWS foundation | Become AWS Cloud Certified | 40+ Labs | 1 Full Practic Test | For absolute AWS beginnersRating: 4.7 out of 5802 reviews22.5 total hours291 lecturesBeginnerCurrent price: $24.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-clf-c02-latest/,Chetan Agrawal | Former Senior Architect at AWS,Rating: 4.7 out of 54.7,802,$24.99,,22.5 total hours,291 lectures,Beginner
"Serverless Framework Guide: API Gateway , AWS & Node.jsMaster  AWS  & Serverless Framework  : Build a Scalable Multi-Store with AWS Lambda, DynamoDB, S3, SQS, SES & MoreRating: 4.6 out of 5166 reviews8.5 total hours141 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/aws-lambda-serverless-framework-build-ecommerce-apis/,"Maclay Academy, Macaulay Famous",Rating: 4.6 out of 54.6,166,$9.99,Original Price$19.99,8.5 total hours,141 lectures,All Levels
"[NEW V2] AWS Lambda & Serverless Architecture Bootcamp 2025AWS Serverless with AWS Lambda, API Gateway, Amazon DynamoDB, Step Functions, SAM, Observability, DevOps & moreRating: 4.2 out of 55854 reviews6 total hours47 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/aws-lambda-serverless-architecture/,"Riyaz Sayyad, RIZMAXed by Riyaz Sayyad",Rating: 4.2 out of 54.2,"5,854",$10.99,Original Price$74.99,6 total hours,47 lectures,All Levels
"AWS Lambda and the Serverless Framework - Hands On Learning!Develop and Deploy AWS Lambda Functions with Serverless, Learn Lambda Real World Integrations with Amazon Web ServicesRating: 4.4 out of 59324 reviews10.5 total hours92 lecturesBeginnerCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/aws-lambda-serverless/,"Paulo Dichone | Software Engineer, AWS Cloud Practitioner & Instructor",Rating: 4.4 out of 54.4,"9,324",$10.99,Original Price$74.99,10.5 total hours,92 lectures,Beginner
"Rocking AWS Serverless - A Real World GuideLearn AWS Serverless Architecture, Lambda, API Gateway, DevOps, CI/CD, DynamoDB, SAM, Cloud9, Serverless FrameworksRating: 4.5 out of 51367 reviews19.5 total hours194 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/aws-serverless-a-complete-guide/,Rajdeep Saha | Ex-Principal Solutions Architect @AWS,Rating: 4.5 out of 54.5,"1,367",$10.99,Original Price$74.99,19.5 total hours,194 lectures,All Levels
"Amazon Web Services (AWS) Certified - 5 Certifications!AWS Certified (AI & Cloud Practitioner, Solutions Architect, Developer, SysOps Administrator Associate)Rating: 4.6 out of 525001 reviews54.5 total hours218 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/aws-certified-associate-architect-developer-sysops-admin/,"BackSpace Academy, Paul Coady",Rating: 4.6 out of 54.6,"25,001",$10.99,Original Price$74.99,54.5 total hours,218 lectures,All Levels
