title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Understanding TypeScriptBoost your JavaScript projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!Rating: 4.7 out of 557626 reviews22.5 total hours339 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/understanding-typescript/,Maximilian Schwarzmüller,Rating: 4.7 out of 54.7,"57,626",$9.99,Original Price$64.99,22.5 total hours,339 lectures,All Levels
"Angular - The Complete GuideMaster Angular (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.jsRating: 4.7 out of 5221697 reviews56 total hours762 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/the-complete-guide-to-angular-2/,Maximilian Schwarzmüller,Rating: 4.7 out of 54.7,"221,697",$9.99,Original Price$64.99,56 total hours,762 lectures,All Levels
Testing Angular 4 (previously Angular 2) Apps with JasmineLearn to write unit and integration tests for your Angular apps and deploy them with confidenceRating: 4.6 out of 55856 reviews2 total hours28 lecturesIntermediateCurrent price: $15.99Original price: $49.99,https://www.udemy.com/course/testing-angular-apps/,Mosh Hamedani,Rating: 4.6 out of 54.6,"5,856",$15.99,Original Price$49.99,2 total hours,28 lectures,Intermediate
"Angular 19 - Beginner to Expert + Interview Q&A + E-commerceMaster Angular framework, Latest Angular Updates, Interview questions, Angular tasks for hands on, E-commerce projectRating: 4.6 out of 5716 reviews24.5 total hours369 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/mastering-angular-new-interview-questions/,"Init Tech Labs Dhairya Joshi, Nirmal Joshi",Rating: 4.6 out of 54.6,716,$9.99,Original Price$59.99,24.5 total hours,369 lectures,All Levels
Angular Signals In Depth (Angular 20)Learn how to build modern Angular 19 applications with the new Signals API. Learn common signal-based UI patterns.Rating: 4.5 out of 51378 reviews7 total hours69 lecturesAll LevelsCurrent price: $9.99Original price: $54.99,https://www.udemy.com/course/angular-signals/,Angular University,Rating: 4.5 out of 54.5,"1,378",$9.99,Original Price$54.99,7 total hours,69 lectures,All Levels
"Reactive Angular Course (with RxJs, Angular 20)Build Angular 19 Applications in Reactive style with plain RxJs - Patterns, Anti-Patterns, Lightweight State ManagementRating: 4.6 out of 56426 reviews5.5 total hours40 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/rxjs-reactive-angular-course/,Angular University,Rating: 4.6 out of 54.6,"6,426",$10.99,Original Price$69.99,5.5 total hours,40 lectures,All Levels
Learn Angular 2 from Beginner to AdvancedLearn how to develop web applications using Angular 2Rating: 3.9 out of 51635 reviews10 total hours67 lecturesBeginnerCurrent price: $10.99Original price: $34.99,https://www.udemy.com/course/learn-angular-2-from-beginner-to-advanced/,"Ermin Kreponic, Aldin Omerdic",Rating: 3.9 out of 53.9,"1,635",$10.99,Original Price$34.99,10 total hours,67 lectures,Beginner
"Angular 18: Video Blog, i18n, Firebase, internationalizationStep-by-step guide to creating a video blog ( iframe ) with Angular 18, i18n, Angular Material, and Firebase hostingRating: 3.5 out of 52 reviews3.5 total hours24 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/angular-18-video-blog-i18n-firebase-internacionalization/,Tomasz Klewicki,Rating: 3.5 out of 53.5,2,$9.99,Original Price$19.99,3.5 total hours,24 lectures,Beginner
Create a Basic Real-Time Chat App with Angular4 and FirebaseLearn Angular4 and Firebase by creating a real-time chat app from scratchRating: 3.6 out of 522 reviews5 total hours55 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/create-a-basic-real-time-chat-app-with-angular4-and-firebase/,Bluelime Learning Solutions,Rating: 3.6 out of 53.6,22,$9.99,Original Price$19.99,5 total hours,55 lectures,Beginner
"Firebase Authentication masterclass with AngularImplement User Authentication with Facebook, Twitter, Google, Github, Email/Password, Phone, and Anonymous.Rating: 4.2 out of 562 reviews2.5 total hours26 lecturesBeginnerCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/firebase-masterclass-with-angular/,Siddharth Ajmera,Rating: 4.2 out of 54.2,62,$10.99,Original Price$19.99,2.5 total hours,26 lectures,Beginner
Angular Real World Guide - Build Angular & Firebase AppsBuild Real World Angular Project along with Google Firebase as backend for our project - Angular Web DevelopmentRating: 4.6 out of 5102 reviews10.5 total hours52 lecturesAll LevelsCurrent price: $9.99Original price: $44.99,https://www.udemy.com/course/angular-and-google-firebase-frontend-development/,Sameer Saini,Rating: 4.6 out of 54.6,102,$9.99,Original Price$44.99,10.5 total hours,52 lectures,All Levels
"WhatsApp Clone: Spring Boot, Angular, Keycloak & WebSocketLearn Spring boot, Angular 19, Keylcoak, WebSockets, Bootstrap in one courseRating: 3.9 out of 512 reviews6 total hours28 lecturesAll LevelsCurrent price: $9.99Original price: $44.99",https://www.udemy.com/course/whatsapp-clone-spring-boot-angular-keycloak-websocket/,BOUALI Ali,Rating: 3.9 out of 53.9,12,$9.99,Original Price$44.99,6 total hours,28 lectures,All Levels
"A Fullstack Saga: SpringBoot / Angular / KubernetesBuild a secured scalable platform from scratch using SpringBoot, Angular and deploy it on Kubernetes clusterRating: 3.6 out of 5270 reviews7 total hours22 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/a-fullstack-saga-springboot-angular-kubernetes/,Antonica Alexandru,Rating: 3.6 out of 53.6,270,$10.99,Original Price$74.99,7 total hours,22 lectures,All Levels
"Go Full Stack JWT Authorization With Spring Boot and AngularJWT Authorization and Authentication, Java, Json Web Token, Access Token vs refresh Token, MySQL, Hibernate, MavenRating: 4.2 out of 554 reviews6.5 total hours71 lecturesAll LevelsCurrent price: $9.99Original price: $44.99",https://www.udemy.com/course/go-full-stack-jwt-authorization-with-spring-boot-and-angular/,Senol Atac,Rating: 4.2 out of 54.2,54,$9.99,Original Price$44.99,6.5 total hours,71 lectures,All Levels
"Full-Stack Health Care (Telemed) App: Spring Boot & AngularBuild a Full-Stack Healthcare (Telemedicine), Appointment Scheduling, and EMR Consultations using Spring Boot & AngularRating: 4.9 out of 57 reviews13 total hours108 lecturesIntermediateCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/full-stack-health-care-telemed-app-spring-boot-angular/,Dennis Iluma,Rating: 4.9 out of 54.9,7,$9.99,Original Price$19.99,13 total hours,108 lectures,Intermediate
"Angular - The Complete GuideMaster Angular (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.jsRating: 4.7 out of 5221722 reviews56 total hours762 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/the-complete-guide-to-angular-2/,Maximilian Schwarzmüller,Rating: 4.7 out of 54.7,"221,722",$9.99,Original Price$64.99,56 total hours,762 lectures,All Levels
"The Complete Angular Course: Beginner to AdvancedThe most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4Rating: 4.3 out of 528056 reviews29.5 total hours376 lecturesAll LevelsCurrent price: $16.99Original price: $99.99",https://www.udemy.com/course/the-complete-angular-master-class/,Mosh Hamedani,Rating: 4.3 out of 54.3,"28,056",$16.99,Original Price$99.99,29.5 total hours,376 lectures,All Levels
Angular & NodeJS - The MEAN Stack GuideLearn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real ApplicationRating: 4.4 out of 525470 reviews12.5 total hours152 lecturesAll LevelsCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,Maximilian Schwarzmüller,Rating: 4.4 out of 54.4,"25,470",$10.99,Original Price$74.99,12.5 total hours,152 lectures,All Levels
