title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Asp.Net Core 10 (.NET 10)  | True Ultimate GuideASP .NET Core | Asp.Net Core Projects | Bootcamp | Advanced | Interview Questions | Web API | MVC | SOLID PrinciplesRating: 4.6 out of 57211 reviews86.5 total hours432 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/asp-net-core-true-ultimate-guide-real-project/,Web Academy by Harsha Vardhan,Rating: 4.6 out of 54.6,"7,211",$9.99,Original Price$64.99,86.5 total hours,432 lectures,All Levels,False
C# 13 - Ultimate Guide - Beginner to Advanced | Master classLearn C# by doing | C# projects | Bootcamp for C# Interview | Advanced C# | .NET 9 | LINQ | Interview QuestionsRating: 4.6 out of 55546 reviews86 total hours479 lecturesAll LevelsCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/c-sharp-oop-ultimate-guide-project-master-class/,Web Academy by Harsha Vardhan,Rating: 4.6 out of 54.6,"5,546",$9.99,Original Price$69.99,86 total hours,479 lectures,All Levels,False
"Complete guide to building an app with .Net Core and ReactThe complete guide to building an app from start to finish using .Net 10, React 19 and React QueryRating: 4.6 out of 58459 reviews33.5 total hours267 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/complete-guide-to-building-an-app-with-net-core-and-react/,Neil Cummings,Rating: 4.6 out of 54.6,"8,459",$9.99,Original Price$69.99,33.5 total hours,267 lectures,All Levels,False
ASP.NET Core Web API [.NET 10]: The Complete GuideMaster RESTful API Development in ASP.NET Core 10: Build and Consume APIs in Real-World ApplicationsRating: 4.7 out of 51169 reviews24 total hours224 lecturesAll LevelsCurrent price: $10.99Original price: $64.99,https://www.udemy.com/course/complete-web-api-course/,Frank Liu,Rating: 4.7 out of 54.7,"1,169",$10.99,Original Price$64.99,24 total hours,224 lectures,All Levels,False
ASP.NET Core complete course by University Coding Teacher C#.NET ASP.NET .NET Core ASP.NET Core ASP NET Core: Not much time for studing? Complete Beginner’s Course in Just 7 hours!Rating: 4.8 out of 521 reviews6.5 total hours50 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/aspnet-tutorial-for-beginners-by-university-coding-teacher/,University Coding Teacher Dr Albert Sadowski,Rating: 4.8 out of 54.8,21,$9.99,Original Price$19.99,7 hours,50 lectures,Beginner,False
"Clean Architecture in .NET Core MVC [2025]- Complete GuideBuild resort application using .NET Core MVC, Entity Framework Core and ASP.NET Core Identity with Clean ArchitectureRating: 4.9 out of 52793 reviews14.5 total hours251 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/asp-net-core/,Bhrugen Patel - (DotNetMastery | Microsoft MVP | 300k+ Students),Rating: 4.9 out of 54.9,"2,793",$9.99,Original Price$19.99,14.5 total hours,251 lectures,Beginner,False
.NET API development | .NET 8 and .NET 9 ReadyEverything you need to know to develop APIs using .NET including securityRating: 3.8 out of 585 reviews3 total hours19 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/net-core-30-api-development/,Taurius Litvinavicius,Rating: 3.8 out of 53.8,85,$9.99,Original Price$19.99,3 total hours,19 lectures,Beginner,False
RESTful Web API in .NET Core - The Advanced Guide (.NET 10)Learn advance concepts in RESTful web API (C#) with Authentication (.NET 10 API) and explore how to consume them.Rating: 4.6 out of 5269 reviews8 total hours140 lecturesIntermediateCurrent price: $9.99Original price: $54.99,https://www.udemy.com/course/restful-web-api-the-complete-guide-net7-api-part-2/,Bhrugen Patel - (DotNetMastery | Microsoft MVP | 300k+ Students),Rating: 4.6 out of 54.6,269,$9.99,Original Price$54.99,8 total hours,140 lectures,Intermediate,False
"ASP.NET CORE WEB API | The Complete GuideLearn to build fast and secure web applications with .NET Core Web API - The highest rated course with 30,000+ students!Rating: 4.5 out of 51812 reviews9 total hours92 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/the-complete-guide-to-aspnet-web-api/,Ervis Trupja,Rating: 4.5 out of 54.5,"1,812",$10.99,Original Price$69.99,9 total hours,92 lectures,All Levels,False
"Rest Api's in Asp.Net Core and C# 2025 EditionBuild REST Api's with Asp.Net Core  , Entity Framework Core and C#Rating: 4.6 out of 53346 reviews7 total hours123 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/rest-apis-in-aspnet-core/,Asfend Yar Hamid,Rating: 4.6 out of 54.6,"3,346",$10.99,Original Price$69.99,7 total hours,123 lectures,All Levels,False
