title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Autodesk AutoCAD - Beginner to Advanced levelIncludes quizzes, practical's, practice exercises, solutions, CAD main project, final exam. All years of AutoCAD coveredRating: 4.6 out of 52389 reviews19 total hours250 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/autodesk-autocad-beginner-to-an-advanced-level/,Steve Clancy,Rating: 4.6 out of 54.6,"2,389",$9.99,Original Price$59.99,19 total hours,250 lectures,All Levels,True
"Engineering Drawing / Graphics : Hands-on TrainingMaster Technical Drawing with Orthographic & Isometric Projections, Engineering curves, Projection of Solids and DLSRating: 4.1 out of 5483 reviews10.5 total hours42 lecturesAll LevelsCurrent price: $10.99Original price: $44.99",https://www.udemy.com/course/engineering-drawing-graphics/,Easy learning,Rating: 4.1 out of 54.1,483,$10.99,Original Price$44.99,10.5 total hours,42 lectures,All Levels,True
"The complete course of AutoCAD 3D3D modeling, Surfacing, Rendering and a lot more in a single courseRating: 4.4 out of 51479 reviews5.5 total hours59 lecturesIntermediateCurrent price: $10.99Original price: $54.99",https://www.udemy.com/course/autocad-3d-2016-course/,Jaiprakash Pandey,Rating: 4.4 out of 54.4,"1,479",$10.99,Original Price$54.99,5.5 total hours,59 lectures,Intermediate,True
Learn AutoCAD 2D & 3D : From Zero to HeroFollow Complete Step by Step instructions to become from Beginner to Pro Level in AutoCAD 2D with Perspective DrawingsRating: 4.3 out of 5822 reviews13 total hours64 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/learn-autocad-2d/,Ashish Pandit,Rating: 4.3 out of 54.3,822,$19.99,,13 total hours,64 lectures,All Levels,True
"Mastering AutoCAD 2D & 3D for BeginnersLearn AutoCAD from Scratch with Real-world Examples to Create, Edit, Annotate, Plot, and Manage Drawings Like a Pro!Rating: 4.3 out of 526 reviews11 total hours136 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/mastering-autocad-2d-3d-for-beginners/,CADArtifex LLC,Rating: 4.3 out of 54.3,26,$9.99,Original Price$19.99,11 total hours,136 lectures,Beginner,True
"Complete course in AutoCAD : 2D and 3DFor Architects, Engineers, and DesignersRating: 4.4 out of 55603 reviews16.5 total hours202 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/autocad-2020-for-designers-a-problem-solving-approach/,CADCIM Technologies,Rating: 4.4 out of 54.4,"5,603",$10.99,Original Price$69.99,16.5 total hours,202 lectures,All Levels,True
Autodesk Software (Install & Troubleshoots) EnglishDeal with Autodesk Software (Download and Installing) in EnglishRating: 4.0 out of 5109 reviews1 total hour22 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/free-software-downloads-autodesk-education/,Samaah Sultaan,Rating: 4.0 out of 54.0,109,$9.99,Original Price$19.99,1 total hour,22 lectures,All Levels,True
Complete course in AutoCAD ArchitectureUsing AutoCAD Architecture 2022Rating: 3.5 out of 5101 reviews29.5 total hours214 lecturesAll LevelsCurrent price: $10.99Original price: $49.99,https://www.udemy.com/course/completecourse-autocadarchitecture/,C. Thi Team,Rating: 3.5 out of 53.5,101,$10.99,Original Price$49.99,29.5 total hours,214 lectures,All Levels,True
AUTOCAD 3D COURSE: FROM ZERO TO ADVANCEDTurn your ideas into real 3D models: Intensive AutoCAD 3D course from beginner to expertRating: 2.7 out of 53 reviews8 total hours50 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/autocad-3d-course-from-zero-to-advanced/,Plantech Academy,Rating: 2.7 out of 52.7,3,$9.99,Original Price$19.99,8 total hours,50 lectures,All Levels,True
Advanced AutoCAD 2018 : Technicalities with TipsAn easiest way to become master of designing a house in 2D and 3D modelling!Rating: 4.3 out of 5153 reviews7.5 total hours88 lecturesAll LevelsCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/autocad-2018-tips-and-technicalities/,Asra Hafeez,Rating: 4.3 out of 54.3,153,$10.99,Original Price$19.99,7.5 total hours,88 lectures,All Levels,True
The complete AutoCAD 2018-21 courseA complete course for learning AutoCAD from scratch to professional levelRating: 4.7 out of 530894 reviews18 total hours186 lecturesBeginnerCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/autocad-2018-course/,Jaiprakash Pandey,Rating: 4.7 out of 54.7,"30,894",$9.99,Original Price$64.99,18 total hours,186 lectures,Beginner,True
AutoCAD Complete CourseThe only course you need to earn to use AutoCAD quickly & professionally.Rating: 4.6 out of 56836 reviews11.5 total hours78 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/autocad-2018-getting-started-quickly-with-autocad/,Mike Freeman,Rating: 4.6 out of 54.6,"6,836",$10.99,Original Price$69.99,11.5 total hours,78 lectures,All Levels,True
"Quantity Surveying Building Estimation And Project PlanningQuantity Surveying, Quantity Takeoff, BBS In Excel ,Complete Project In Autocad, Project Planning With Primavera P6.Rating: 4.3 out of 54065 reviews41 total hours349 lecturesBeginnerCurrent price: $11.99Original price: $79.99",https://www.udemy.com/course/quantity-surveyingbuilding-estimation/,Mudessar Afraz,Rating: 4.3 out of 54.3,"4,065",$11.99,Original Price$79.99,41 total hours,349 lectures,Beginner,True
"Autodesk AutoCAD - Beginner to Advanced levelIncludes quizzes, practical's, practice exercises, solutions, CAD main project, final exam. All years of AutoCAD coveredRating: 4.6 out of 52396 reviews19 total hours250 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/autodesk-autocad-beginner-to-an-advanced-level/,Steve Clancy,Rating: 4.6 out of 54.6,"2,396",$9.99,Original Price$59.99,19 total hours,250 lectures,All Levels,True
Complete AutoCAD 2D + 3D Course in HINDIMaster AutoCAD from Scratch to Pro: The Complete Step-by-Step Course for Civil / Mechanical / Artchitecture.Rating: 4.6 out of 51750 reviews54 total hours179 lecturesAll LevelsCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/complete-autocad-course/,"Er Muktar Ansari, MicroCADD India",Rating: 4.6 out of 54.6,"1,750",$9.99,Original Price$59.99,54 total hours,179 lectures,All Levels,True
72 AutoCAD 2D & 3D Drawings and Practical ProjectsGet hands on experience with a collection of 2D and 3D drawings from different engineering disciplinesRating: 4.5 out of 51683 reviews13.5 total hours86 lecturesIntermediateCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/autocad-practice-drawings-projects/,Jaiprakash Pandey,Rating: 4.5 out of 54.5,"1,683",$10.99,Original Price$74.99,13.5 total hours,86 lectures,Intermediate,True
"The complete course of AutoCAD 3D3D modeling, Surfacing, Rendering and a lot more in a single courseRating: 4.4 out of 51479 reviews5 total hours59 lecturesIntermediateCurrent price: $10.99Original price: $54.99",https://www.udemy.com/course/autocad-3d-2016-course/,Jaiprakash Pandey,Rating: 4.4 out of 54.4,"1,479",$10.99,Original Price$54.99,5 total hours,59 lectures,Intermediate,True
The complete AutoCAD 2016 courseLearn AutoCAD 2016 from scratch to professional levelRating: 4.5 out of 51375 reviews7.5 total hours94 lecturesBeginnerCurrent price: $10.99Original price: $54.99,https://www.udemy.com/course/the-complete-autocad-2016-course/,Jaiprakash Pandey,Rating: 4.5 out of 54.5,"1,375",$10.99,Original Price$54.99,7.5 total hours,94 lectures,Beginner,True
AutoCAD Complete Course - Practical ApproachLearn AutoCAD by Creating Project We will cover 2D / 3D and You will be job ready after watching this course.Rating: 4.5 out of 51095 reviews34 total hours238 lecturesBeginnerCurrent price: $10.99Original price: $64.99,https://www.udemy.com/course/autocad2017/,Awais Jamil,Rating: 4.5 out of 54.5,"1,095",$10.99,Original Price$64.99,34 total hours,238 lectures,Beginner,True
