title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
[NEW] Ultimate AWS Certified Cloud Practitioner CLF-C02 2026Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C02 exam!Rating: 4.7 out of 5279313 reviews14.5 total hours282 lecturesBeginnerCurrent price: $159.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-new/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Rating: 4.7 out of 54.7,"279,313",$12.99,Original Price$89.99,14.5 total hours,282 lectures,Beginner,False
6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02Prepare the AWS Certified Cloud Practitioner CLF-C02. 390 unique high-quality test questions with detailed explanations!Rating: 4.6 out of 538039 reviews390 questionsBeginnerCurrent price: $139.99,https://www.udemy.com/course/practice-exams-aws-certified-cloud-practitioner/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Rating: 4.6 out of 54.6,"38,039",$11.99,Original Price$74.99,,,Beginner,False
[NEW] Ultimate AWS Certified Cloud Practitioner CLF-C02 2026Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C02 exam!Rating: 4.7 out of 5279313 reviews14.5 total hours282 lecturesBeginnerCurrent price: $12.99Original price: $89.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-new/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Rating: 4.7 out of 54.7,"279,313",$12.99,Original Price$89.99,14.5 total hours,282 lectures,Beginner,False
AWS Certified Cloud Practitioner (CLF-C02) Exam Training[2025] Earn your AWS Certified Cloud Practitioner Certification in 20 Days! Hands-on Exercises + AWS Bonus Practice ExamRating: 4.7 out of 538947 reviews14 total hours202 lecturesBeginnerCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-training-course/,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",Rating: 4.7 out of 54.7,"38,947",$10.99,Original Price$74.99,14 total hours,202 lectures,Beginner,False
[NEW] AWS Certified Cloud Practitioner 2026Video Course + Practice Tests | Pass the AWS Cloud Practitioner Exam!Rating: 4.5 out of 527156 reviews27 total hours209 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/aws-certified-cloud-practitioner/,Zeal Vora,Rating: 4.5 out of 54.5,"27,156",$19.99,,27 total hours,209 lectures,Beginner,False
AWS Certified Cloud Practitioner - AWS CertificationAWS Certified Cloud Practitioner - AWS Certification. Start Cloud Computing. Learn AWS Concepts.Rating: 4.6 out of 512775 reviews19 total hours310 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-step-by-step/,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",Rating: 4.6 out of 54.6,"12,775",$11.99,Original Price$79.99,19 total hours,310 lectures,All Levels,False
[NEW] AWS Certified Cloud Practitioner 2026 [CLF-C02]Build strong AWS foundation | Become AWS Cloud Certified | 40+ Labs | 1 Full Practic Test | For absolute AWS beginnersRating: 4.7 out of 5802 reviews22.5 total hours291 lecturesBeginnerCurrent price: $24.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-clf-c02-latest/,Chetan Agrawal | Former Senior Architect at AWS,Rating: 4.7 out of 54.7,802,$24.99,,22.5 total hours,291 lectures,Beginner,False
"AWS Cloud Projects for Engineers: 5 Real-World ProjectsMaster AWS Cloud Engineering with 5 Project: Serverless Apps, HA WordPress, Cloud Migration, 3-Tier App & IoT AnomalyRating: 4.6 out of 5240 reviews12 total hours31 lecturesIntermediateCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/aws-mastery-hands-on-cloud-projects-for-engineers/,Pravin Mishra | AWS Certified Cloud Practitioner | Solutions Architect,Rating: 4.6 out of 54.6,240,$9.99,Original Price$49.99,12 total hours,31 lectures,Intermediate,False
"AWS Cloud Computing : Beginner to Industry-ReadyHands-On with AWS EC2, Lambda, S3, API Gateway, Cloud Watch, Serverless Architecture & Lot moreRating: 4.5 out of 577 reviews20 total hours56 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/aws-cloud-computing-beginner-to-industry-ready/,Vimal Daga,Rating: 4.5 out of 54.5,77,$9.99,Original Price$19.99,20 total hours,56 lectures,All Levels,False
AWS Certified Cloud Practitioner | CLF-C02 | Full Exam PrepThe ONLY course you need to PASS the AWS Certified Cloud Practioner Exam | Hands-on | Incl. FULL Practice Exam!Rating: 4.7 out of 5107 reviews15 total hours148 lecturesBeginnerCurrent price: $9.99Original price: $54.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-clf-c02-exam-prep/,Nikolai Schuler,Rating: 4.7 out of 54.7,107,$9.99,Original Price$54.99,15 total hours,148 lectures,Beginner,False
6 Practice Exams | AWS Certified Cloud Practitioner CLF-C02Prepare the AWS Certified Cloud Practitioner CLF-C02. 390 unique high-quality test questions with detailed explanations!Rating: 4.6 out of 538039 reviews390 questionsBeginnerCurrent price: $11.99Original price: $74.99,https://www.udemy.com/course/practice-exams-aws-certified-cloud-practitioner/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Rating: 4.6 out of 54.6,"38,039",$11.99,Original Price$74.99,,,Beginner,False
AWS Certified Cloud Practitioner Practice Exams CLF-C02AWS Certified Cloud Practitioner Practice Tests | Detailed Explanations | Cover All Exam Topics | 6 Mock Exams [CLF-C02]Rating: 4.6 out of 528371 reviews390 questionsBeginnerCurrent price: $11.99Original price: $74.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-practice-test/,Mohamed Ali | AWS Certified Cloud Practitioner | Solutions Architect | Developer,Rating: 4.6 out of 54.6,"28,371",$11.99,Original Price$74.99,,,Beginner,False
AWS Certified Cloud Practitioner Practice Exams CLF-C02[2025] AWS Certified Cloud Practitioner [CLF-C02] 6 Practice Tests + Exam Simulator + Explanations + AWS Cheat SheetsRating: 4.6 out of 527365 reviews390 questionsAll LevelsCurrent price: $11.99Original price: $74.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-practice-exams-c/,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",Rating: 4.6 out of 54.6,"27,365",$11.99,Original Price$74.99,,,All Levels,False
AWS Certified Cloud Practitioner - AWS CertificationAWS Certified Cloud Practitioner - AWS Certification. Start Cloud Computing. Learn AWS Concepts.Rating: 4.6 out of 512781 reviews19 total hours310 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-step-by-step/,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",Rating: 4.6 out of 54.6,"12,781",$11.99,Original Price$79.99,19 total hours,310 lectures,All Levels,False
AWS Certified Cloud Practitioner Mock Exams CLF-C02 2026Be an AWS Certified Cloud Practitioner! AWS Cloud Practitioner Practice Tests CLF-C02 with ExplanationsRating: 4.5 out of 53725 reviews340 questionsBeginnerCurrent price: $11.99Original price: $69.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-practice-tests-clf-c02/,"Jon Bonso AWS Generative AI Developer, AWS Certified Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer, Tutorials Dojo Support",Rating: 4.5 out of 54.5,"3,725",$11.99,Original Price$69.99,,,Beginner,False
AWS Certified Cloud PractitionerPass your Cloud Practitioner certification Exam.Rating: 4.7 out of 53353 reviews10 total hours164 lecturesAll LevelsCurrent price: $12.99Original price: $84.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-2018/,Alan Rodrigues,Rating: 4.7 out of 54.7,"3,353",$12.99,Original Price$84.99,10 total hours,164 lectures,All Levels,False
[EXAM REVIEWER] AWS Certified Cloud Practitioner CLF-C02Guided Video Walkthrough for the AWS Certified Cloud Practitioner CLF-C02 | 2 Practice Tests with 130 Practice QuestionsRating: 4.8 out of 53029 reviews5 total hours54 lecturesBeginnerCurrent price: $12.99Original price: $64.99,https://www.udemy.com/course/aws-certified-cloud-practitioner-certification-training/,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",Rating: 4.8 out of 54.8,"3,029",$12.99,Original Price$64.99,5 total hours,54 lectures,Beginner,False
AWS Certified Cloud Practitioner CLF-C02Get a detailed overview of all core AWS services needed to pass the certification exam & boost your cloud career!Rating: 4.7 out of 52666 reviews12.5 total hours224 lecturesBeginnerCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/aws-cloud-practitioner-complete-aws-introduction/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",Rating: 4.7 out of 54.7,"2,666",$9.99,Original Price$59.99,12.5 total hours,224 lectures,Beginner,False
