title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Ultimate AWS Certified Developer Associate 2026 DVA-C02Full Practice Exam with Explanations included! PASS the Amazon Web Services Certified Developer Certification DVA-C02Rating: 4.7 out of 5119958 reviews32 total hours454 lecturesAll LevelsCurrent price: $159.99,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Rating: 4.7 out of 54.7,"119,958",$11.99,Original Price$79.99,32 total hours,454 lectures,All Levels,False
Practice Exams | AWS Certified Developer Associate390 Original Questions for DVA-C02 ! Practice for the AWS Certified Developer Certification and ace the DVA-C02 Exam!Rating: 4.5 out of 513257 reviews390 questionsBeginnerCurrent price: $109.99,https://www.udemy.com/course/aws-certified-developer-associate-practice-tests-dva-c01/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Rating: 4.5 out of 54.5,"13,257",$11.99,Original Price$69.99,,,Beginner,False
Ultimate AWS Certified Developer Associate 2026 DVA-C02,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/,"By Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Rating: 4.7 out of 54.7,"119,958",$11.99,Original Price$79.99,202632 total hours,454 lectures,All Levels,False
Ultimate AWS Certified Developer Associate 2026 DVA-C02Full Practice Exam with Explanations included! PASS the Amazon Web Services Certified Developer Certification DVA-C02Rating: 4.7 out of 5119958 reviews32 total hours454 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",Rating: 4.7 out of 54.7,"119,958",$11.99,Original Price$79.99,32 total hours,454 lectures,All Levels,False
"Amazon Web Services (AWS) Certified - 5 Certifications!AWS Certified (AI & Cloud Practitioner, Solutions Architect, Developer, SysOps Administrator Associate)Rating: 4.6 out of 525001 reviews54.5 total hours218 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/aws-certified-associate-architect-developer-sysops-admin/,"BackSpace Academy, Paul Coady",Rating: 4.6 out of 54.6,"25,001",$10.99,Original Price$74.99,54.5 total hours,218 lectures,All Levels,False
Practice Exams | AWS Certified Developer Associate390 Original Questions for DVA-C02 ! Practice for the AWS Certified Developer Certification and ace the DVA-C02 Exam!Rating: 4.5 out of 513257 reviews390 questionsBeginnerCurrent price: $11.99Original price: $69.99,https://www.udemy.com/course/aws-certified-developer-associate-practice-tests-dva-c01/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh",Rating: 4.5 out of 54.5,"13,257",$11.99,Original Price$69.99,,,Beginner,False
AWS Certified Developer Associate - AWS CertificationAWS Certified Developer Associate - AWS Certification. Achieve the AWS Developer Certification in in28minutes way!Rating: 4.4 out of 54845 reviews35.5 total hours552 lecturesAll LevelsCurrent price: $13.99Original price: $89.99,https://www.udemy.com/course/aws-certified-developer-associate-step-by-step/,"in28Minutes Official, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",Rating: 4.4 out of 54.4,"4,845",$13.99,Original Price$89.99,35.5 total hours,552 lectures,All Levels,False
AWS Certified Developer Associate Exam Training DVA-C02[2025] Ace your AWS Certified Developer Exam with this AWS Developer Course [DVA-C02] Bonus Practice Test includedRating: 4.5 out of 54556 reviews17.5 total hours195 lecturesBeginnerCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/aws-certified-developer-associate-exam-training/,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",Rating: 4.5 out of 54.5,"4,556",$11.99,Original Price$79.99,17.5 total hours,195 lectures,Beginner,False
AWS Certified Developer Associate Practice ExamsBe an AWS Certified Developer! Covers AWS Certified Developer topics to pass the AWS Certified Developer Associate exam!Rating: 4.4 out of 53890 reviews335 questionsAll LevelsCurrent price: $12.99Original price: $74.99,https://www.udemy.com/course/aws-certified-developer-associate-practice-exams-amazon-dva-c01/,"Jon Bonso AWS Generative AI Developer, AWS Certified Solutions Architect, Tutorials Dojo | AWS Certified Cloud Practitioner, AWS Certified Solutions Architect, AWS Certified Developer, Carlo Acebedo | AWS Certified Developer Associate | AWS Professional",Rating: 4.4 out of 54.4,"3,890",$12.99,Original Price$74.99,,,All Levels,False
AWS Certified Developer Associate Practice Exams DVA-C02[2025] AWS Certified Developer Associate 6 Practice Tests | 390 Practice Exam Questions | Exam Simulator + ExplanationsRating: 3.9 out of 53745 reviews390 questionsBeginnerCurrent price: $12.99Original price: $74.99,https://www.udemy.com/course/aws-developer-associate-practice-exams/,"Neal Davis | AWS Certified Solutions Architect & Developer, Digital Cloud Training | AWS Certified Cloud Practitioner AWS Certified Solutions Architect, AWS Developer Associate",Rating: 3.9 out of 53.9,"3,745",$12.99,Original Price$74.99,,,Beginner,False
