title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Blender Grease Pencil: Draw & Animate 2D Art in a 3D WorldDiscover Blender’s Grease Pencil tool and bring your 2D creations to life inside 3D spaces.Rating: 4.7 out of 5108 reviews5.5 total hours47 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/blender-grease-pencil/,"GameDev.tv Team, Grant Abbitt",Rating: 4.7 out of 54.7,108,$9.99,Original Price$19.99,5.5 total hours,47 lectures,Beginner,True
Blender Environment Artist: Create 3D WorldsLearn Blender 3.1. Create 3D Assets For Video Games & Make Unique EnvironmentsRating: 4.7 out of 54312 reviews12 total hours99 lecturesBeginnerCurrent price: $18.99Original price: $124.99,https://www.udemy.com/course/blenderenvironment/,"GameDev.tv Team, Rick Davidson, Grant Abbitt",Rating: 4.7 out of 54.7,"4,312",$18.99,Original Price$124.99,12 total hours,99 lectures,Beginner,True
Complete Blender Megacourse: Beginner to ExpertLearn how to work with Blender like a pro with this 3-in-1 course! Now covering the latest updates in Blender 4.0!Rating: 4.5 out of 510254 reviews131 total hours241 lecturesAll LevelsCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/complete-blender-megacourse-beginner-to-expert/,Skillademia Academy,Rating: 4.5 out of 54.5,"10,254",$9.99,Original Price$59.99,131 total hours,241 lectures,All Levels,True
"Creating 3D environments in BlenderLearn Blender 5, build your first environment and master the basics of 3D creationRating: 4.6 out of 514223 reviews38 total hours248 lecturesAll LevelsCurrent price: $11.99Original price: $79.99",https://www.udemy.com/course/blender-environments/,"Rob Tuytel, CG Obaid (Obaidur Rahman)",Rating: 4.6 out of 54.6,"14,223",$11.99,Original Price$79.99,38 total hours,248 lectures,All Levels,True
"Anime Character Creator: Make 3D Anime Characters in BlenderModel, rig and pose an anime character in this intermediate Blender course.Rating: 4.6 out of 5728 reviews10.5 total hours67 lecturesIntermediateCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/blender-anime-character/,"Grant Abbitt, GameDev.tv Team",Rating: 4.6 out of 54.6,728,$9.99,Original Price$59.99,10.5 total hours,67 lectures,Intermediate,True
"Architectural Design & Animation in BlenderUltimate Guide to 3D Modelling, Design & Animation for Architectural Projects in BlenderRating: 4.6 out of 51177 reviews8 total hours121 lecturesBeginnerCurrent price: $17.99Original price: $109.99",https://www.udemy.com/course/architectural-design-animation-in-blender-3d-graphics/,Thomas McDonald,Rating: 4.6 out of 54.6,"1,177",$17.99,Original Price$109.99,8 total hours,121 lectures,Beginner,True
Blender Complete Beginner Fast Track in 5.0Learn Blender basics and essential tools through hands-on projects for complete beginnersRating: 4.5 out of 53 reviews6.5 total hours45 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/blender-complete-beginner-fast-track/,Eduard Lautenschläger,Rating: 4.5 out of 54.5,3,$9.99,Original Price$19.99,6.5 total hours,45 lectures,Beginner,True
Character Animation with Blender for BeginnersThe complete beginners guide to animating 3D charactersRating: 3.9 out of 5319 reviews6 total hours40 lecturesBeginnerCurrent price: $15.99Original price: $69.99,https://www.udemy.com/course/character-animation-for-beginners/,Danan Thilakanathan,Rating: 3.9 out of 53.9,319,$15.99,Original Price$69.99,6 total hours,40 lectures,Beginner,True
Create a 2D Animation with BlenderWe will go through the process of using Blender to create a 2D animationRating: 3.6 out of 555 reviews3.5 total hours24 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/create-a-2d-animation-with-blender/,Marko Matosevic,Rating: 3.6 out of 53.6,55,$10.99,Original Price$19.99,3.5 total hours,24 lectures,Beginner,True
3D Game Modeling & Animation With BlenderCreate 3D models and 3D animation for games and engines like Unreal or Unity 3DRating: 3.8 out of 5352 reviews22.5 total hours45 lecturesAll LevelsCurrent price: $14.99Original price: $24.99,https://www.udemy.com/course/blender3d/,"Mark Price, Devslopes by Nathan Sevedge",Rating: 3.8 out of 53.8,352,$14.99,Original Price$24.99,22.5 total hours,45 lectures,All Levels,True
Ultimate Blender 3D Character Creation & Animation CourseLearn 3D Character Creation and Animation with this A-Z Course Great for All Skill Levels. Blender 5.0+ CompatibleRating: 4.6 out of 53429 reviews35.5 total hours168 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/blender3dcharacteranimation/,Alex Cordebard,Rating: 4.6 out of 54.6,"3,429",$10.99,Original Price$69.99,35.5 total hours,168 lectures,All Levels,True
"Learn Blender 3D Character Animation – Create a Short FilmLearn 3D Animation in Blender: Master Character Animation, Lighting & Storytelling to Create a Short FilmRating: 4.5 out of 537 reviews9 total hours53 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/learn-blender-3d-character-animation-in-8-hours-short-film/,My 3D Class,Rating: 4.5 out of 54.5,37,$9.99,Original Price$19.99,9 total hours,53 lectures,Beginner,True
"Stylized Blender 3D Environment: Greek Temple WorkshopBuild a modular Greek temple and garden in Blender 4 with Geometry Nodes, trimsheets, lighting, and compositing.Rating: 3.8 out of 58 reviews10 total hours60 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/stylized-blender-3d-environment-greek-temple-workshop/,"3D Tudor, Marcus Rosefield",Rating: 3.8 out of 53.8,8,$9.99,Original Price$19.99,10 total hours,60 lectures,All Levels,True
"3D Printing from Zero to Hero in Blender – FDM & MSLAMaster 3D Modeling, Slicing & Printing - FDM and MSLA - Bring Your Ideas to Life with Free Blender Software in 2025Rating: 4.5 out of 51979 reviews10.5 total hours122 lecturesBeginnerCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/learn-3d-printing/,Thomas McDonald,Rating: 4.5 out of 54.5,"1,979",$9.99,Original Price$64.99,10.5 total hours,122 lectures,Beginner,True
Blender 3D: Hard Surface ModellingBuild a stylised car while mastering Blender’s hard surface tools and gain the confidence to model anything you imagine.Rating: 4.8 out of 581 reviews7 total hours51 lecturesIntermediateCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/blender-3d-hard-surface-modelling/,"GameDev.tv Team, Grant Abbitt",Rating: 4.8 out of 54.8,81,$9.99,Original Price$19.99,7 total hours,51 lectures,Intermediate,True
"Complete Blender 2026: Beginner to Studio ReadyCreate advanced 3D scenes, models, and animations in BlenderRating: 4.6 out of 587 reviews9 total hours62 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/blender-start/,Blue Cursor,Rating: 4.6 out of 54.6,87,$9.99,Original Price$19.99,9 total hours,62 lectures,Beginner,True
