title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Business Analysis - Beginner to Master (10 PDUs)Go from Business Analyst Beginner to Master with this simple, short and powerful Business Analyst course.Rating: 4.7 out of 558 reviews5 total hours89 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/business-analysis-mastery-including-10-pdus/,David McLachlan,Rating: 4.7 out of 54.7,58,$9.99,Original Price$19.99,5 total hours,89 lectures,All Levels,False
Advanced Business Analysis (35 IIBA® PDUs)CBAP® Exam preparation. IIBA® endorsed provider. Business analysis at its best to prepare for industry certification.Rating: 4.7 out of 53724 reviews18.5 total hours143 lecturesIntermediateCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/advanced-business-analysis/,"Igor Arkhipov | Analyst's corner, Starweaver Team",Rating: 4.7 out of 54.7,"3,724",$9.99,Original Price$59.99,18.5 total hours,143 lectures,Intermediate,False
Mastering Business Requirements Documentation (BRD)Become a Business Requirements Documentation - BRD expert with this practical course covering components & case studiesRating: 4.4 out of 51158 reviews2.5 total hours51 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/mastering-business-requirements-documentation-brd/,"Start-Tech Academy, Corporate Escalator",Rating: 4.4 out of 54.4,"1,158",$9.99,Original Price$19.99,2.5 total hours,51 lectures,All Levels,False
"Become a Data Analyst: Excel, SQL & Tableau - 3-in-1 BundleBoost Your Career with Data Analytics: Learn Excel, SQL & Tableau for Advanced Business Insights & Competitive AdvantageRating: 4.4 out of 52566 reviews28.5 total hours275 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/become-a-data-analyst/,"Start-Tech Academy, Abhishek Bansal, Pukhraj Parikh",Rating: 4.4 out of 54.4,"2,566",$9.99,Original Price$54.99,28.5 total hours,275 lectures,All Levels,False
Full Business Analysis (21 IIBA® PDUs)IIBA® Endorsed course. Sharpen your BA skills for a better career and get prepared for a BA certification!Rating: 4.5 out of 53135 reviews8.5 total hours102 lecturesBeginnerCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/business-analysis-study-guide/,Igor Arkhipov | Analyst's corner,Rating: 4.5 out of 54.5,"3,135",$9.99,Original Price$64.99,8.5 total hours,102 lectures,Beginner,False
Business Analysis Fundamentals - IIBA endorsedGain the core BA skills you need to start strong - and earn PD Hours/CDUs to kickstart your analysis career!Rating: 4.5 out of 569558 reviews8.5 total hours79 lecturesBeginnerCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/business-analysis-ba/,The BA Guide | Jeremy Aschenbrenner,Rating: 4.5 out of 54.5,"69,558",$9.99,Original Price$64.99,8.5 total hours,79 lectures,Beginner,False
"AI For Business AnalysisAI for Business Analyst, Business Analytics, Business intelligence, Business Strategy, Data cleaning & VisualizationRating: 4.7 out of 540 reviews3.5 total hours17 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/ai-for-business-analysis/,Emmanuel Essien,Rating: 4.7 out of 54.7,40,$9.99,Original Price$19.99,3.5 total hours,17 lectures,All Levels,False
Business Requirements Document for Beginner Business AnalystRecommended Course for the Beginner BA Who Speaks English as a Second LanguageRating: 3.8 out of 5902 reviews38 total mins9 lecturesBeginnerCurrent price: $9.99Original price: $22.99,https://www.udemy.com/course/business-requirements-document-for-beginner-business-analyst/,Miriam Halberstam,Rating: 3.8 out of 53.8,902,$9.99,Original Price$22.99,,9 lectures,Beginner,False
Fundamentals of Business AnalysisGet the foundation in business analysis you need to solve your organization's biggest problems.Rating: 4.6 out of 529971 reviews6 total hours68 lecturesAll LevelsCurrent price: $18.99Original price: $124.99,https://www.udemy.com/course/businessanalysis/,Don Hussey,Rating: 4.6 out of 54.6,"29,971",$18.99,Original Price$124.99,6 total hours,68 lectures,All Levels,False
"Identify & Define the Problem with Business AnalysisUse business analysis techniques to identify a business pain point, find its root cause, and sell the value of fixing itRating: 4.5 out of 521714 reviews3.5 total hours69 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/identify-the-problem/,The BA Guide | Jeremy Aschenbrenner,Rating: 4.5 out of 54.5,"21,714",$9.99,Original Price$59.99,3.5 total hours,69 lectures,All Levels,False
Business Analyst: Project Management Techniques and ToolsLearn project management techniques to increase your project success rate as a Business Analyst!Rating: 4.6 out of 56008 reviews5 total hours52 lecturesAll LevelsCurrent price: $13.99Original price: $84.99,https://www.udemy.com/course/project-management-for-business-analyst/,The BA Guide | Jeremy Aschenbrenner,Rating: 4.6 out of 54.6,"6,008",$13.99,Original Price$84.99,5 total hours,52 lectures,All Levels,False
