title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Complete C# MasterclassMaster C# Programming from A to Z. Dive deep into .NET, OOP, Clean Code, LINQ, WPF, Generics, Unit Testing, and more.Rating: 4.6 out of 536574 reviews46 total hours484 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/complete-csharp-masterclass/,"Denis Panjuta, Tutorials.eu by Denis Panjuta",Rating: 4.6 out of 54.6,"36,574",$9.99,Original Price$64.99,46 total hours,484 lectures,All Levels
"C# Intermediate: Classes, Interfaces and OOPAn in-depth, step-by-step guide to classes, interfaces and object-oriented programming (OOP) with C#Rating: 4.6 out of 541033 reviews6 total hours44 lecturesIntermediateCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/csharp-intermediate-classes-interfaces-and-oop/,Mosh Hamedani,Rating: 4.6 out of 54.6,"41,033",$10.99,Original Price$69.99,6 total hours,44 lectures,Intermediate
"Data Structures and Algorithms: In Depth DSA using C#Learn C# Data Structures, Algorithms (DSA) with Animated Examples, includes Dynamic Programming, Backtracking etc...Rating: 4.3 out of 52567 reviews46.5 total hours397 lecturesAll LevelsCurrent price: $10.99Original price: $59.99",https://www.udemy.com/course/data-structures-and-algorithms-in-depth-using-c-sharp/,Syed Mohiuddin,Rating: 4.3 out of 54.3,"2,567",$10.99,Original Price$59.99,46.5 total hours,397 lectures,All Levels
Advanced Topics in C#A discussion of the more complicated aspects of the C# languageRating: 4.3 out of 51068 reviews5.5 total hours46 lecturesExpertCurrent price: $10.99Original price: $49.99,https://www.udemy.com/course/advanced-topics-csharp/,Dmitri Nesteruk,Rating: 4.3 out of 54.3,"1,068",$10.99,Original Price$49.99,5.5 total hours,46 lectures,Expert
"Learn C#.Net Core With Real World ExamplesMaster C# and .NET Core through Hands-On, Real-World Projects!Rating: 4.4 out of 52895 reviews26.5 total hours18 lecturesAll LevelsCurrent price: $10.99Original price: $64.99",https://www.udemy.com/course/csharp-from-scratch/,Manzoor Ahmed,Rating: 4.4 out of 54.4,"2,895",$10.99,Original Price$64.99,26.5 total hours,18 lectures,All Levels
"C# Mastering Course For ProfessionalsMaster your C# programming skills, learn about delegates, anonymous methods, dynamic types, asynchronous and moreRating: 4.3 out of 5116 reviews2.5 total hours11 lecturesExpertCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/c-sharp-mastering-course-for-professionals/,"Kioomars Jonood, Samaneh Mazidi Sharaf Abadi",Rating: 4.3 out of 54.3,116,$9.99,Original Price$19.99,2.5 total hours,11 lectures,Expert
Learn to code by creating 27  ProjectsHands on Practical Programming for beginnersRating: 4.0 out of 597 reviews19.5 total hours196 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/learn-to-code-by-creating-27-projects/,Bluelime Learning Solutions,Rating: 4.0 out of 54.0,97,$10.99,Original Price$19.99,19.5 total hours,196 lectures,Beginner
"Ultimate C# Masterclass for 2026In-depth .NET programming course from basics to advanced with OOP & LINQ. Focus on clean code, performance and practice.Rating: 4.7 out of 57235 reviews48 total hours563 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/ultimate-csharp-masterclass/,Krystyna Ślusarczyk,Rating: 4.7 out of 54.7,"7,235",$9.99,Original Price$59.99,48 total hours,563 lectures,All Levels
"C# — 100 Coding ExercisesLevel up your C# skills with 100 bite-sized, in-browser coding problems. Learn by doing—no setup needed.Rating: 4.7 out of 577 reviews5 total hours105 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/c-sharp-100-coding-exercises/,Krystyna Ślusarczyk,Rating: 4.7 out of 54.7,77,$9.99,Original Price$19.99,5 total hours,105 lectures,All Levels
"C# 14 & .NET 10 Mastery 2026: Build Next Generation Of AppsLearn cutting-edge C# features, modern .NET development, and hands-on app architecture for real-world projects.Rating: 4.8 out of 527 reviews14 total hours105 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/modern-csharp-masterclass/,Digital Dev Academy,Rating: 4.8 out of 54.8,27,$9.99,Original Price$19.99,14 total hours,105 lectures,All Levels
Beginning Object-oriented Programming with C#Learn OOP fundamentals applied to the C# programming languageRating: 4.6 out of 51315 reviews7 total hours91 lecturesBeginnerCurrent price: $9.99Original price: $49.99,https://www.udemy.com/course/beginning-oop-with-csharp/,Zoran Horvat,Rating: 4.6 out of 54.6,"1,315",$9.99,Original Price$49.99,7 total hours,91 lectures,Beginner
"C#/.NET - 50 Essential Interview Questions (Junior Level)Get ready for your next interview! An in-depth guide to C# core concepts, SOLID principles and popular design patterns.Rating: 4.7 out of 5876 reviews7 total hours60 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/csharpnet-50-essential-interview-questions-junior-level/,Krystyna Ślusarczyk,Rating: 4.7 out of 54.7,876,$9.99,Original Price$64.99,7 total hours,60 lectures,All Levels
"Complete C# Programming Master ClassC# Ultimate Master Class: .NET, ASP.NET, Dynamic Programming, Unity, Advanced APIsRating: 4.7 out of 51311 reviews14.5 total hours170 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/complete-c-programming-master-class/,Imran Afzal,Rating: 4.7 out of 54.7,"1,311",$9.99,Original Price$54.99,14.5 total hours,170 lectures,All Levels
C# Basics: From Zero to First ApplicationsOne of the best practical and easy guides for beginners about .NET and C# in just 3 hoursRating: 4.5 out of 5481 reviews3 total hours43 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/c-basics-from-zero-to-first-applications/,"Anton Voroniuk, Roman Malyi, Anton Voroniuk Support",Rating: 4.5 out of 54.5,481,$9.99,Original Price$19.99,3 hours,43 lectures,Beginner
Design Patterns in C# Made SimpleUsing patterns to improve flexibility of the designRating: 4.6 out of 51011 reviews5 total hours54 lecturesIntermediateCurrent price: $10.99Original price: $54.99,https://www.udemy.com/course/design-patterns-in-csharp-made-simple/,Zoran Horvat,Rating: 4.6 out of 54.6,"1,011",$10.99,Original Price$54.99,5 total hours,54 lectures,Intermediate
Complete C# Unity 2D Game Development (Updated To Unity 6)Build 4 playable 2D games in Unity 6 using C#. Learn real coding skills and master game dev fundamentals.Rating: 4.7 out of 5107482 reviews35.5 total hours271 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/unitycourse/,"GameDev.tv Team, Rick Davidson, Ahmed Nassef",Rating: 4.7 out of 54.7,"107,482",$9.99,Original Price$64.99,35.5 total hours,271 lectures,All Levels
"C# Basics for Beginners: Learn C# Fundamentals by CodingMaster C# fundamentals in 6 hours - The most popular course with 50,000+ students, packed with tips and exercises!Rating: 4.6 out of 578373 reviews5.5 total hours87 lecturesBeginnerCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/csharp-tutorial-for-beginners/,Mosh Hamedani,Rating: 4.6 out of 54.6,"78,373",$9.99,Original Price$69.99,6 hours,87 lectures,Beginner
