title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Canva Master Course 2026 | Design Smarter with Ronny & DianaMaster Canva’s AI Tools, Build Real Projects & Learn from Two Verified Experts Who Use Canva to Run Their BusinessRating: 4.6 out of 515358 reviews34 total hours192 lecturesAll LevelsCurrent price: $12.99Original price: $89.99",https://www.udemy.com/course/canva-master-course-graphic-design-for-beginners/,Ronny Hermosa,Rating: 4.6 out of 54.6,"15,358",$12.99,Original Price$89.99,34 total hours,192 lectures,All Levels,False
"Social Media Content Creation: Canva Beginner to AdvancedUsing Canva you'll learn to design incredible graphics, videos, and more for use in your social media marketing in 2025!Rating: 4.5 out of 56642 reviews13.5 total hours98 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/design-school-create-social-media-graphics/,Maggie Stara,Rating: 4.5 out of 54.5,"6,642",$9.99,Original Price$64.99,13.5 total hours,98 lectures,All Levels,False
"Canva Masterclass: Beginner to Pro Graphic Design in CanvaMaster Graphic Design for Free with Canva: Design, Layout, Colors, Font Choice, Slideshows, Videos, GIFs + More in CanvaRating: 4.7 out of 51085 reviews7 total hours104 lecturesAll LevelsCurrent price: $9.99Original price: $44.99",https://www.udemy.com/course/canva-graphic-design-masterclass/,"Video School, Tomas George, Phil Ebiner, Media Made Fun, Digital Music Masters",Rating: 4.7 out of 54.7,"1,085",$9.99,Original Price$44.99,7 total hours,104 lectures,All Levels,False
The Canva Master Course for 2025 and Beyond!The ultimate Canva resource for anyone looking to level-up their design and social media marketing gameRating: 4.6 out of 51950 reviews21 total hours135 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/the-canva-master-course/,Greg Radcliffe,Rating: 4.6 out of 54.6,"1,950",$10.99,Original Price$69.99,21 total hours,135 lectures,All Levels,False
"Canva Course: Beginner to Pro Master Canva AI Graphic DesignCanva AI: Master Canva tools for social media, presentations, flyers, Edit images with AI-powered (BG removal, upscalingRating: 4.6 out of 51095 reviews3.5 total hours45 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/canva-course-beginner-to-pro-master-canva-ai-graphic-design/,Shahtaj Ahmed Bhutto,Rating: 4.6 out of 54.6,"1,095",$9.99,Original Price$19.99,3.5 total hours,45 lectures,All Levels,False
"Graphic Designing With CanvaLearn Canva To Design Amazing Graphics, Videos, GIF's, Presentations, Websites For Social Media & Much MoreRating: 4.8 out of 5180 reviews5 total hours44 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/canva-mastery-create-social-media-content/,Rahul Monga,Rating: 4.8 out of 54.8,180,$9.99,Original Price$19.99,5 total hours,44 lectures,All Levels,False
"Graphics Design: Canva Photoshop, Illustrator & Premier ProMaster Design & Video Editing for Social Media, Marketing & BrandingRating: 3.5 out of 56 reviews8.5 total hours56 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/graphics-design-and-video-edting-canva/,Logic Labs,Rating: 3.5 out of 53.5,6,$9.99,Original Price$19.99,8.5 total hours,56 lectures,All Levels,False
Beginner's Guide To Infographic Design Using CanvaLearn Infographic Design And Create Professional Infographics Using Free Online ToolsRating: 3.9 out of 553 reviews1.5 total hours19 lecturesBeginnerCurrent price: $10.99Original price: $29.99,https://www.udemy.com/course/infographic-design/,"J. Rey, PhD",Rating: 3.9 out of 53.9,53,$10.99,Original Price$29.99,1.5 total hours,19 lectures,Beginner,False
"Canva for Social Media Graphic Design and Video EditingCanva for Every Post: Create Stunning Social Media Graphics and Videos for Instagram, Facebook, YouTube, TikTok and MoreRating: 4.3 out of 5455 reviews5.5 total hours19 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/canva-for-social-media-graphic-design-and-video-editing/,Learnify IT,Rating: 4.3 out of 54.3,455,$9.99,Original Price$19.99,5.5 total hours,19 lectures,All Levels,False
Mastering Special FX and Animation in CanvaThe course is designed for those eager to push their Canva skills beyond the conventional boundariesRating: 4.8 out of 556 reviews8.5 total hours52 lecturesAll LevelsCurrent price: $9.99Original price: $44.99,https://www.udemy.com/course/mastering-special-fx-and-animation-in-canva/,Greg Radcliffe,Rating: 4.8 out of 54.8,56,$9.99,Original Price$44.99,8.5 total hours,52 lectures,All Levels,False
