title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
CAPM Exam Cram Session - Pass the CAPM ExamCAPM Success! Everything you must know to pass the CAPMRating: 4.7 out of 52835 reviews12.5 total hours120 lecturesAll LevelsCurrent price: $124.99,https://www.udemy.com/course/capm-exam-cram-session-pmbok6/,Joseph Phillips,Rating: 4.7 out of 54.7,"2,835",$11.99,Original Price$79.99,12.5 total hours,120 lectures,All Levels,True
CAPM Practice Exams - 2023 CAPM Exam ObjectivesCAPM Practice ExamsRating: 3.9 out of 5149 reviews600 questionsIntermediateCurrent price: $69.99,https://www.udemy.com/course/capm-practice-exams/,Joseph Phillips,Rating: 3.9 out of 53.9,149,$9.99,Original Price$49.99,,,Intermediate,True
CAPM Exam Prep Course 25 PDU's for Current ExamGet your CAPM Certification with this Authorized Exam Prep CourseRating: 4.7 out of 516870 reviews26 total hours244 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/capm-certification-training-prep-course/,"TIA Education, Andrew Ramdayal",Rating: 4.7 out of 54.7,"16,870",$11.99,Original Price$79.99,26 total hours,244 lectures,All Levels,True
CAPM Certification: 37 PDU CAPM Exam Prep & 1700+ QuestionsCAPM Certification: Ultimate Project Management Course for CAPM Exam Prep. 1700+ Questions and Full Instructor Support.Rating: 4.7 out of 56524 reviews38.5 total hours329 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/capm-certification-high-quality-realistic-exam-questions/,"Sabri C. PMP | 150,000+ Enrollments Worldwide",Rating: 4.7 out of 54.7,"6,524",$11.99,Original Price$79.99,38.5 total hours,329 lectures,All Levels,True
CAPM Exam Cram Session - Pass the CAPM ExamCAPM Success! Everything you must know to pass the CAPMRating: 4.7 out of 52835 reviews12.5 total hours120 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/capm-exam-cram-session-pmbok6/,Joseph Phillips,Rating: 4.7 out of 54.7,"2,835",$11.99,Original Price$79.99,12.5 total hours,120 lectures,All Levels,True
The PM PrepCast CAPM Exam Course - 23 PDUs for 2025 ExamYour Complete Guide to the Current CAPM ExamRating: 4.8 out of 5285 reviews30 total hours71 lecturesBeginnerCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/capm-exam-prep-course/,"Cornelius Fichtner, PMP, CSM",Rating: 4.8 out of 54.8,285,$9.99,Original Price$59.99,30 total hours,71 lectures,Beginner,True
CAPM Exam Prep Seminar -Updated for the 2023 CAPM ExamPass the CAPM and Earn 25 Contact Hours to Qualify for the CAPM ExamRating: 4.7 out of 533701 reviews44.5 total hours451 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/capm-pmbok6/,Joseph Phillips,Rating: 4.7 out of 54.7,"33,701",$11.99,Original Price$79.99,44.5 total hours,451 lectures,All Levels,True
CAPM Exam Prep Course 25 PDU's for Current ExamGet your CAPM Certification with this Authorized Exam Prep CourseRating: 4.7 out of 516914 reviews26 total hours244 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/capm-certification-training-prep-course/,"TIA Education, Andrew Ramdayal",Rating: 4.7 out of 54.7,"16,914",$11.99,Original Price$79.99,26 total hours,244 lectures,All Levels,True
"The Ultimate Project Management PMP Prep Course (35 PDUs)Master Project Management and Agile for your PMP or CAPM certification, with the PMBOK, Agile Practice Guide and more!Rating: 4.7 out of 514964 reviews28.5 total hours239 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/ultimate-project-management-pmp-35-pdus/,David McLachlan,Rating: 4.7 out of 54.7,"14,964",$9.99,Original Price$59.99,28.5 total hours,239 lectures,All Levels,True
CAPM Certification: 37 PDU CAPM Exam Prep & 1700+ QuestionsCAPM Certification: Ultimate Project Management Course for CAPM Exam Prep. 1700+ Questions and Full Instructor Support.Rating: 4.7 out of 56531 reviews38.5 total hours329 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/capm-certification-high-quality-realistic-exam-questions/,"Sabri C. PMP | 150,000+ Enrollments Worldwide",Rating: 4.7 out of 54.7,"6,531",$11.99,Original Price$79.99,38.5 total hours,329 lectures,All Levels,True
