title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Cisco CCNA 200-301 – The Complete Guide to Getting CertifiedThe top rated CCNA course online with comprehensive videos, lab exercises, study notes, Anki flashcards and active Q&ARating: 4.8 out of 584642 reviews42.5 total hours326 lecturesBeginnerCurrent price: $139.99",https://www.udemy.com/course/ccna-complete/,Neil Anderson,Rating: 4.8 out of 54.8,"84,642",$11.99,Original Price$79.99,42.5 total hours,326 lectures,All Levels,False
CCNA 200-301 v1.1 Exam-Level Practice Tests (400+ Questions)Study and prepare with 400+ exam-level practice questions that include lab questions similar to the real exam.Rating: 4.1 out of 5880 reviews450 questionsAll LevelsCurrent price: $69.99,https://www.udemy.com/course/ccna-200-301-pre-exam-testing/,Shaun Hummel,Rating: 4.1 out of 54.1,880,$11.99,Original Price$59.99,,,All Levels,False
The Complete Networking Fundamentals Course. Your CCNA startLearn about networking and start your journey to Cisco 200-301 Certification.Rating: 4.7 out of 555876 reviews73 total hours580 lecturesBeginnerCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/,David Bombal,Rating: 4.7 out of 54.7,"55,876",$11.99,Original Price$79.99,73 total hours,580 lectures,Beginner,False
"Cisco CCNA 200-301  Networking v1.1 (NEW 2025)Networking Fundamentals - Master Cisco Networking, Security, and Automation to Pass the CCNA 200-301 ExamRating: 4.6 out of 589 reviews35 total hours107 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/ccna-cisco-200-301-v11-your-complete-training-course/,Vision Training Systems : IT Training,Rating: 4.6 out of 54.6,89,$9.99,Original Price$19.99,35 total hours,107 lectures,Beginner,False
Cisco CCNA 200-301 v1.1 - Your Guide to Passing - 2026Learn how to pass the CCNA 200-301 exam. All of the new CCNA 200-301 exam topics covered plus networking for beginnersRating: 4.6 out of 52532 reviews10.5 total hours74 lecturesAll LevelsCurrent price: $12.99Original price: $84.99,https://www.udemy.com/course/cisco-ccna-course/,Matt Carey,Rating: 4.6 out of 54.6,"2,532",$12.99,Original Price$84.99,10.5 total hours,74 lectures,All Levels,False
Cisco Networking Fundamentals - CCNA PrepAdvance your Cisco networking knowledge and prepare for the CCNA examRating: 4.6 out of 51285 reviews6 total hours46 lecturesAll LevelsCurrent price: $12.99Original price: $69.99,https://www.udemy.com/course/cisco-networking-fundamentals/,Matt Carey,Rating: 4.6 out of 54.6,"1,285",$12.99,Original Price$69.99,6 total hours,46 lectures,All Levels,False
"Master Cisco CCNA 200-301: Comprehensive All-in-One CourseAce the CCNA with hands-on lab exercises, flashcards, quizzes, practice exam questions, and moreRating: 4.8 out of 54814 reviews50 total hours129 lecturesBeginnerCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/ccna-jitl/,Jeremy McDowell,Rating: 4.8 out of 54.8,"4,814",$9.99,Original Price$59.99,50 total hours,129 lectures,Beginner,False
Cisco CCNA 200-301 Complete Course: Packet Tracer LabsThe complete course to help you prepare and pass Cisco's newest CCNA certification (200-301 exam). Don't wait.Rating: 4.7 out of 54734 reviews72.5 total hours600 lecturesBeginnerCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/cisco-ccna-icnd2-200-105-complete-course-sims-and-gns3/,David Bombal,Rating: 4.7 out of 54.7,"4,734",$11.99,Original Price$79.99,72.5 total hours,600 lectures,Beginner,False
"CCNA 200-301 Video Boot Camp with Chris BryantOver 30 Hours Of Lab-Packed, Fully Downloadable Videos On Every Subject On The CCNA 200-301 Exam!Rating: 4.7 out of 52233 reviews32 total hours226 lecturesBeginnerCurrent price: $12.99Original price: $84.99",https://www.udemy.com/course/ccna-200-301-video-boot-camp-with-chris-bryant/,Chris Bryant,Rating: 4.7 out of 54.7,"2,233",$12.99,Original Price$84.99,30 Hours,226 lectures,Beginner,False
CCNA 200-301 Complete CourseThis course is designed to prepare you for CCNA 200-301 certification examRating: 4.7 out of 5149 reviews20.5 total hours197 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/ccna-200-301-complete-course-by-naj/,Naj Qazi,Rating: 4.7 out of 54.7,149,$9.99,Original Price$19.99,20.5 total hours,197 lectures,All Levels,False
