title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
CompTIA A+ Core 1 (220-1201) Full Course & Practice ExamPass the CompTIA A+ Core 1 (220-1201) exam with help from a top expert in the field!Rating: 4.7 out of 540846 reviews26 total hours219 lecturesAll LevelsCurrent price: $99.99,https://www.udemy.com/course/comptia-a-core-1/,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.7 out of 54.7,"40,846",$9.99,Original Price$59.99,26 total hours,219 lectures,All Levels,False
CompTIA A+ Core 1 (220-1201) 6 Practice ExamsFull-length CompTIA A+ Core 1 (220-1201) 6 Practice Exams * Timed * 540 Multiple-choice Questions with detailed feedbackRating: 4.5 out of 5733 reviews540 questionsAll LevelsCurrent price: $19.99,https://www.udemy.com/course/comptia-a-core-1-220-1201-6-practice-exams/,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.5 out of 54.5,733,$9.99,Original Price$19.99,,,All Levels,False
"TOTAL: CompTIA A+ Core 1 (220-1201) Course + Practice ExamEverything you need to pass A+ Certification Core 1 (220-1201) Exam, Mike Meyers and Total Seminars!Rating: 4.6 out of 587456 reviews20.5 total hours153 lecturesAll LevelsCurrent price: $11.99Original price: $19.99",https://www.udemy.com/course/comptia-aplus-core-1/,"Total Seminars Over 1 Million Enrollments, Mike Meyers, Dakota Snow",Rating: 4.6 out of 54.6,"87,456",$11.99,Original Price$19.99,20.5 total hours,153 lectures,All Levels,False
CompTIA A+ Simulations for Core 1 and 2 V15 (220-1201/1202)CompTIA A+ Simulations for Core 1 and Core 2 V15Rating: 4.6 out of 5391 reviews7.5 total hours43 lecturesBeginnerCurrent price: $9.99Original price: $27.99,https://www.udemy.com/course/comptia-a-plus-simulations-for-core-1-and-2-new/,Dean Cyber,Rating: 4.6 out of 54.6,391,$9.99,Original Price$27.99,7.5 total hours,43 lectures,Beginner,False
CompTIA A+ Core 1 (220-1201) Full Course & Practice ExamPass the CompTIA A+ Core 1 (220-1201) exam with help from a top expert in the field!Rating: 4.7 out of 540792 reviews26 total hours219 lecturesAll LevelsCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/comptia-a-core-1/,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.7 out of 54.7,"40,792",$9.99,Original Price$59.99,26 total hours,219 lectures,All Levels,False
CompTIA A+ Core 2 (220-1202) Full Course & Practice ExamPass the CompTIA A+ Core 2 (220-1202) exam with help from a top expert in the field!Rating: 4.7 out of 511854 reviews37.5 total hours325 lecturesBeginnerCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/comptia-a-core-2/,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.7 out of 54.7,"11,854",$9.99,Original Price$59.99,37.5 total hours,325 lectures,Beginner,False
CompTIA A+ 220-1201 & 220-1202 Full Course and Test 2026Pass the Updated CompTIA A+ 1201-1202 Exams | IT Support Certification | Learn Hands-On IT Fundamentals in Just 12 HoursRating: 3.8 out of 5101 reviews12.5 total hours67 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/comptia-a-plus-220-1201-220-1202-full-course/,"Pavan Kumar, Manish Patel",Rating: 3.8 out of 53.8,101,$9.99,Original Price$19.99,12 Hours,67 lectures,Beginner,False
"TOTAL: CompTIA A+ Core 1 (220-1201) Course + Practice ExamEverything you need to pass A+ Certification Core 1 (220-1201) Exam, Mike Meyers and Total Seminars!Rating: 4.6 out of 587465 reviews20.5 total hours153 lecturesAll LevelsCurrent price: $11.99Original price: $19.99",https://www.udemy.com/course/comptia-aplus-core-1/,"Total Seminars Over 1 Million Enrollments, Mike Meyers, Dakota Snow",Rating: 4.6 out of 54.6,"87,465",$11.99,Original Price$19.99,20.5 total hours,153 lectures,All Levels,False
CompTIA A+ Core 1 (220-1201) Full Course & Practice ExamPass the CompTIA A+ Core 1 (220-1201) exam with help from a top expert in the field!Rating: 4.7 out of 540846 reviews26 total hours219 lecturesAll LevelsCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/comptia-a-core-1/,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.7 out of 54.7,"40,846",$9.99,Original Price$59.99,26 total hours,219 lectures,All Levels,False
"TOTAL: CompTIA A+ Core 2 (220-1202) Course + Practice ExamEverything you need to pass the A+ Cert. Core 2 (220-1202) Exam, from Mike Meyers and Total Seminars with practice exam.Rating: 4.7 out of 524839 reviews21.5 total hours155 lecturesAll LevelsCurrent price: $11.99Original price: $19.99",https://www.udemy.com/course/comptia-aplus-core-2/,"Total Seminars Over 1 Million Enrollments, Mike Meyers, Dakota Snow",Rating: 4.7 out of 54.7,"24,839",$11.99,Original Price$19.99,21.5 total hours,155 lectures,All Levels,False
