title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
CompTIA Security+ (SY0-701) Complete Course & Practice ExamCompTIA Security+ (SY0-701) Bootcamp - Your preparation for the world's best cybersecurity certification!Rating: 4.7 out of 5113043 reviews31 total hours264 lecturesAll LevelsCurrent price: $119.99,https://www.udemy.com/course/securityplus/,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.7 out of 54.7,"113,043",$11.99,Original Price$79.99,31 total hours,264 lectures,All Levels,True
CompTIA Security+ (SY0-701) Practice Exams Set 1Full-length CompTIA Security+ (SY0-701) Practice Exams - Set 1  Timed * 540 Questions with feedback!Rating: 4.5 out of 54103 reviews540 questionsAll LevelsCurrent price: $64.99,https://www.udemy.com/course/comptia-security-sy0-701-practice-exams/,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Jamario Kelly, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.5 out of 54.5,"4,103",$9.99,Original Price$39.99,,,All Levels,True
"TOTAL: CompTIA Security+  Course + Practice Exam SY0-701Everything you need to pass the CompTIA Security+ (SY0-701) exam from Mike Meyers, Dan Lachance, and Lyndon Williams!Rating: 4.6 out of 537487 reviews20.5 total hours182 lecturesAll LevelsCurrent price: $11.99Original price: $19.99",https://www.udemy.com/course/total-comptia-security-plus/,"Total Seminars Over 1 Million Enrollments, Mike Meyers, Lyndon WIlliams, Dan Lachance",Rating: 4.6 out of 54.6,"37,487",$11.99,Original Price$19.99,20.5 total hours,182 lectures,All Levels,True
Security+ (SY0-701) - 1900+ Best Exam Preparation QuizzesLaunch Your IT Security Career with ConfidenceRating: 4.5 out of 568 reviews9 total hours57 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/security-plus-best-quizzes-for-exam-preparation/,Cyber Pulse Academy,Rating: 4.5 out of 54.5,68,$9.99,Original Price$19.99,9 total hours,57 lectures,All Levels,True
Cyber Security Essentials - The FundamentalsThe cyber essentials everyone needsRating: 4.6 out of 5602 reviews4 total hours59 lecturesIntermediateCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/comptia-security-601/,Anand Rao Nednur,Rating: 4.6 out of 54.6,602,$9.99,Original Price$19.99,4 total hours,59 lectures,Intermediate,True
CompTIA Security+ (SY0-701) Complete Course & Practice ExamCompTIA Security+ (SY0-701) Bootcamp - Your preparation for the world's best cybersecurity certification!Rating: 4.7 out of 5112973 reviews31 total hours264 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/securityplus/,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.7 out of 54.7,"112,973",$11.99,Original Price$79.99,31 total hours,264 lectures,All Levels,True
"CompTIA Security+ OFFICIAL Video Training Partner (SY0-501)Training to pass the CompTIA Security+ SY0-501 Exam from ITProTV, CompTIA’s Official Video Training PartnerRating: 4.6 out of 540 reviews28 total hours62 lecturesBeginnerCurrent price: $11.99Original price: $19.99",https://www.udemy.com/course/comptia-security-official-video-training-partner-sy0-501/,ITPro TV,Rating: 4.6 out of 54.6,40,$11.99,Original Price$19.99,28 total hours,62 lectures,Beginner,True
CompTIA Security Plus Course SY0-701 and Hands on LabsPass the CompTIA Security+ SY0-701 exam and launch your cybersecurity career with hands-on trainingRating: 4.7 out of 559 reviews30.5 total hours113 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/comptia-security-sy0-701-vision/,Vision Training Systems : IT Training,Rating: 4.7 out of 54.7,59,$9.99,Original Price$19.99,30.5 total hours,113 lectures,All Levels,True
"CompTIA Security Plus (SY0-701) Course | Comptia Security+Security+ is career. Join me for CompTIA Security Plus, Comptia security+ ; get Comptia security (SY0-701) certificationRating: 4.7 out of 52003 reviews19 total hours244 lecturesAll LevelsCurrent price: $12.99Original price: $79.99",https://www.udemy.com/course/comptia-securitysy0-601-complete-course-comptia-2021/,"Oak Academy, OAK Academy Team",Rating: 4.7 out of 54.7,"2,003",$12.99,Original Price$79.99,19 total hours,244 lectures,All Levels,True
CompTIA Security+ SY0-701 Full Training GuideCompTIA Security+ (SY0-701) Training - The complete and best preparation guide for the CompTIA Security+ ExamRating: 4.7 out of 5368 reviews15 total hours164 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/comptia-security-sy0-601-complete-training-guide/,Alexander Oni,Rating: 4.7 out of 54.7,368,$9.99,Original Price$19.99,15 total hours,164 lectures,All Levels,True
