title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Complete Data Analyst Bootcamp From Basics To AdvancedMaster Data Analysis: Python, Stats, Gen AI, EDA, AWS, SQL ,Excel, Power BI, Tableau,ETL,Snowflake & Feature EngineeringRating: 4.5 out of 515034 reviews89 total hours542 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/complete-data-analyst-bootcamp-from-basics-to-advanced/,"Krish Naik, Jayant Topnani, KRISHAI Technologies Private Limited",Rating: 4.5 out of 54.5,"15,034",$9.99,Original Price$59.99,89 total hours,542 lectures,All Levels,True
"AI Powered Data Analytics Mastery - AI Tools & Vibe CodingLearn Data Analysis with AI Tools, Vibe Coding, SQL, Python, & Power BIRating: 4.5 out of 5385 reviews32 total hours237 lecturesIntermediateCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/ai-powered-data-analytics-mastery-ai-tools-vibe-coding/,"KRISHAI Technologies Private Limited, Insigh BI Solutions Pvt Ltd, Dr. Satyajit Pattnaik",Rating: 4.5 out of 54.5,385,$9.99,Original Price$19.99,32 total hours,237 lectures,Intermediate,True
"Learning Python for Data Analysis and Visualization Ver 1Learn python and how to use it to analyze,visualize and present data. Includes tons of sample code and hours of video!Rating: 4.3 out of 520187 reviews21 total hours110 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/learning-python-for-data-analysis-and-visualization/,"Jose Portilla, Pierian Training, Pierian Training",Rating: 4.3 out of 54.3,"20,187",$9.99,Original Price$69.99,21 total hours,110 lectures,All Levels,True
"Data Analysts Toolbox: Excel, Python, Power BI, PivotTablesLearn Advanced Pivot Tables, Power Query, Power Pivot, Power BI, and Python in this four-course bundleRating: 4.5 out of 53323 reviews29 total hours262 lecturesIntermediateCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/data-analysts-toolbox-excel-python-power-bi/,Simon Sez IT,Rating: 4.5 out of 54.5,"3,323",$10.99,Original Price$74.99,29 total hours,262 lectures,Intermediate,True
Applied Statistical Modeling for Data Analysis in RYour Complete Guide to Statistical Data Analysis and Visualization For Practical Applications in RRating: 4.5 out of 52004 reviews10 total hours75 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/applied-statistical-modeling-for-data-analysis-in-r/,Minerva Singh,Rating: 4.5 out of 54.5,"2,004",$10.99,Original Price$69.99,10 total hours,75 lectures,All Levels,True
Statistics for Data Analysis Using Excel (Accredited)Descriptive and Inferential Statistics Theory With Excel Examples for Business / Six Sigma - 14 PMI PDUs (2025 Version)Rating: 4.6 out of 56350 reviews11.5 total hours102 lecturesAll LevelsCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/statistics-using-excel/,"Sandeep Kumar, ­ Quality Gurus Inc.",Rating: 4.6 out of 54.6,"6,350",$10.99,Original Price$74.99,11.5 total hours,102 lectures,All Levels,True
"Data Analysis BootCamp: Excel, Power BI, Tableau: 3 in 1Master Microsoft Excel, Tableau & Microsoft Power BI Without Any Prior Experience!Rating: 5.0 out of 51 review17 total hours77 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/data-analysis-bootcamp-excel-power-bi-tableau-3-in-1/,Being Commerce,Rating: 5.0 out of 55.0,1,$9.99,Original Price$19.99,17 total hours,77 lectures,All Levels,True
Big Data Analytics in TelecommunicationUnderstanding the transformative nature of Big data analytics in Telecommunication service provider domainRating: 3.8 out of 5125 reviews1 total hour27 lecturesAll LevelsCurrent price: $10.99Original price: $39.99,https://www.udemy.com/course/big-data-analytics-for-telecom/,RankOne Consulting,Rating: 3.8 out of 53.8,125,$10.99,Original Price$39.99,1 total hour,27 lectures,All Levels,True
Big Data Analytics on Microsoft AZUREHDInsight | Spark | Jupyter | Zappelin | Stream Analytics | Lake Analytics | Data BricksRating: 3.8 out of 558 reviews2 total hours19 lecturesAll LevelsCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/big-data-analytics-on-microsoft-azure/,"Pranjal Srivastava, Harshit Srivastava",Rating: 3.8 out of 53.8,58,$10.99,Original Price$19.99,2 total hours,19 lectures,All Levels,True
"Big Data Analytics Using Sqoop and HiveAccess, Manipulate, Transform, and Analyze Massive data sets with Hands-onRating: 3.8 out of 596 reviews3.5 total hours47 lecturesAll LevelsCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/big-data-analytics-using-sqoop-and-hive/,Big Data Trunk,Rating: 3.8 out of 53.8,96,$10.99,Original Price$19.99,3.5 total hours,47 lectures,All Levels,True
