title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Microsoft Excel: Business Intelligence w/ Power Query & DAXMaster Excel Power Query, Power Pivot & DAX for advanced data analysis & business intelligence w/ a top Excel instructorRating: 4.7 out of 527974 reviews7.5 total hours88 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/microsoft-excel-power-query-power-pivot-dax/,"Maven Analytics • 1,500,000 Learners, Chris Dutton",Rating: 4.7 out of 54.7,"27,974",$9.99,Original Price$69.99,7.5 total hours,88 lectures,All Levels
"SQL for Data Analysis: Advanced SQL Querying TechniquesLearn advanced data analysis with SQL, and master topics like subqueries, CTEs, window functions, and moreRating: 4.7 out of 54699 reviews8.5 total hours125 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/sql-advanced-queries/,"Maven Analytics • 1,500,000 Learners, Alice Zhao",Rating: 4.7 out of 54.7,"4,699",$9.99,Original Price$59.99,8.5 total hours,125 lectures,All Levels
Applied Data Modeling Using Snowflake and Power BIHands-On Data Modeling and Schema Design with Snowflake and Power BI – No Experience RequiredRating: 4.7 out of 550 reviews4 total hours42 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/applied-data-modeling-using-snowflake-and-power-bi/,Graeme Gordon,Rating: 4.7 out of 54.7,50,$9.99,Original Price$19.99,4 total hours,42 lectures,All Levels
Data Modeling: Power BI Data Modeling EssentialsLearn and Master Data Modeling for Advanced Power BI DevelopmentRating: 4.7 out of 5101 reviews3.5 total hours53 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/power-bi-data-modeling/,"Ahmed Oyelowo, Foresight BI & Analytics. 100,000+ Learners",Rating: 4.7 out of 54.7,101,$9.99,Original Price$19.99,3.5 total hours,53 lectures,All Levels
Mastering Data Modeling FundamentalsEntity-Relationship Techniques and Best PracticesRating: 4.4 out of 514237 reviews3 total hours37 lecturesBeginnerCurrent price: $10.99Original price: $64.99,https://www.udemy.com/course/mastering-data-modeling-fundamentals/,Alan Simon,Rating: 4.4 out of 54.4,"14,237",$10.99,Original Price$64.99,3 total hours,37 lectures,Beginner
[2024] Mastering Data Modeling: Concept to ImplementationDatabase Modeling | Database Design Model | Database Normalization | Relational Database Design | Data ModelingRating: 4.4 out of 5666 reviews5 total hours47 lecturesAll LevelsCurrent price: $9.99Original price: $54.99,https://www.udemy.com/course/mastering-data-modeling-from-concept-to-implementation/,Global Trainers,Rating: 4.4 out of 54.4,666,$9.99,Original Price$54.99,5 total hours,47 lectures,All Levels
Database design using ER modelling & Normalization techniqueLearn Database design using examples in a very short period of time.Rating: 3.8 out of 5165 reviews2 total hours16 lecturesBeginnerCurrent price: $10.99Original price: $34.99,https://www.udemy.com/course/data-modeling/,Learn App Inventor 2,Rating: 3.8 out of 53.8,165,$10.99,Original Price$34.99,2 total hours,16 lectures,Beginner
"Microsoft Power BI Desktop for Business IntelligenceMaster Power BI Desktop for data prep, data analysis, data visualization & dashboard design w/ top Power BI instructors!Rating: 4.6 out of 5184980 reviews17 total hours200 lecturesAll LevelsCurrent price: $12.99Original price: $89.99",https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/,"Maven Analytics • 1,500,000 Learners, Chris Dutton, Aaron Parry",Rating: 4.6 out of 54.6,"184,980",$12.99,Original Price$89.99,17 total hours,200 lectures,All Levels
"Microsoft Excel: Business Intelligence w/ Power Query & DAXMaster Excel Power Query, Power Pivot &amp; DAX for advanced data analysis &amp; business intelligence w/ a top Excel instructorRating: 4.7 out of 527977 reviews7.5 total hours88 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/microsoft-excel-power-query-power-pivot-dax/,"Maven Analytics • 1,500,000 Learners, Chris Dutton",Rating: 4.7 out of 54.7,"27,977",$9.99,Original Price$69.99,7.5 total hours,88 lectures,All Levels
Mastering Data Modeling FundamentalsEntity-Relationship Techniques and Best PracticesRating: 4.4 out of 514238 reviews3 total hours37 lecturesBeginnerCurrent price: $10.99Original price: $64.99,https://www.udemy.com/course/mastering-data-modeling-fundamentals/,Alan Simon,Rating: 4.4 out of 54.4,"14,238",$10.99,Original Price$64.99,3 total hours,37 lectures,Beginner
Data Modeling and Relational Database Design using ERwinCourse that teaches how ERwin Data modeler can help you create & maintain sound relational database designsRating: 4.5 out of 58012 reviews4.5 total hours35 lecturesAll LevelsCurrent price: $10.99Original price: $54.99,https://www.udemy.com/course/datamodeling/,Haris Kilikotu,Rating: 4.5 out of 54.5,"8,012",$10.99,Original Price$54.99,4.5 total hours,35 lectures,All Levels
"Analytics Engineering BootcampBecome an Analytics Engineer expert with just ONE course. Learn Data Modelling, dbt, Google Bigquery &amp; many more!Rating: 4.4 out of 51887 reviews12 total hours150 lecturesBeginnerCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/analytics-engineering-bootcamp/,"Rahul Prasad, David Badovinac",Rating: 4.4 out of 54.4,"1,887",$9.99,Original Price$59.99,12 total hours,150 lectures,Beginner
"Microsoft Excel: Pivot Tables, Power Query, Power Pivot/DAXMicrosoft Excel Pivot Tables, Get and Transform (Power Query) and Power Pivot (DAX) for advanced data analysis. 70-779.Rating: 4.1 out of 51068 reviews18.5 total hours226 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/analyzing-and-visualizing-data-with-microsoft-excel-data-modeling/,"Phillip Burton • over one million students so far, I Do Data Limited",Rating: 4.1 out of 54.1,"1,068",$10.99,Original Price$69.99,18.5 total hours,226 lectures,All Levels
EssentialSQL: Data Modeling & Relational Data ArchitectureDatabase Design | Data Model | Data Architecture | Relational Database Design | Database Normalization | Data ModelingRating: 4.3 out of 5623 reviews4 total hours30 lecturesAll LevelsCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/relational-database-design-sql/,"Kris Wenzel, Essential Sql",Rating: 4.3 out of 54.3,623,$9.99,Original Price$59.99,4 total hours,30 lectures,All Levels
Learning Data ModelingA step by step guide to data modeling concepts and best practices underpinning sound database design.Rating: 4.0 out of 5549 reviews8 total hours122 lecturesIntermediateCurrent price: $14.99Original price: $64.99,https://www.udemy.com/course/learning-data-modeling/,Infinite Skills,Rating: 4.0 out of 54.0,549,$14.99,Original Price$64.99,8 total hours,122 lectures,Intermediate
"OBIEE 12c Data Modeling CourseData Modeling, RPD, Physical, BMM, and Presentation layer, Logical Dimensions and Hierarchies, Measures, AnalysisRating: 4.0 out of 5516 reviews5.5 total hours75 lecturesAll LevelsCurrent price: $11.99Original price: $69.99",https://www.udemy.com/course/obiee-12c-data-modeling-course/,Sanjay Singh,Rating: 4.0 out of 54.0,516,$11.99,Original Price$69.99,5.5 total hours,75 lectures,All Levels
"Amazon DynamoDB Data Modeling for Architects & DevelopersProven design patterns. best practices, tips on saving costs and moreRating: 4.3 out of 5438 reviews6.5 total hours71 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/dynamodb-data-modeling/,Rajeev Sakhuja,Rating: 4.3 out of 54.3,438,$9.99,Original Price$54.99,6.5 total hours,71 lectures,All Levels
Mastering Data Modeling and Database DesignData Modeling | Relational Database Design and Development | Dimensional Modeling | Visual Paradigm | Oracle DatabaseRating: 4.3 out of 5211 reviews5.5 total hours55 lecturesAll LevelsCurrent price: $9.99Original price: $44.99,https://www.udemy.com/course/master-data-modelling-and-database-development/,Abhinav Rana,Rating: 4.3 out of 54.3,211,$9.99,Original Price$44.99,5.5 total hours,55 lectures,All Levels
"Data Modeling FoundationsMaster Data Modeling- Step-by-Step Data Modeling for Databases, Analytics, and Business SuccessRating: 4.5 out of 5164 reviews3 total hours56 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/data-modeling-foundations-learn/,George Smarts,Rating: 4.5 out of 54.5,164,$9.99,Original Price$19.99,3 total hours,56 lectures,All Levels
Introduction to information and data modelingUsing a combination of data modeling techniques in Sparx Enterprise Architect to create a three layer data model.Rating: 4.2 out of 5116 reviews7 total hours26 lecturesAll LevelsCurrent price: $9.99Original price: $54.99,https://www.udemy.com/course/introduction-to-information-and-data-modeling/,Bert Dingemans,Rating: 4.2 out of 54.2,116,$9.99,Original Price$54.99,7 total hours,26 lectures,All Levels
"Data Modeling Made Easy: A Beginner’s Guide to Data ModelingLearn how to design clear, structured data models using real-world examples and simple visuals-no experience needed!Rating: 4.1 out of 591 reviews2.5 total hours44 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/data-modeling-for-beginners/,Step2C Education,Rating: 4.1 out of 54.1,91,$9.99,Original Price$19.99,2.5 total hours,44 lectures,All Levels
Data Vault Modeling Explained With Use CaseCreating Data Vault Model from a real life business use caseRating: 3.6 out of 586 reviews2 total hours11 lecturesBeginnerCurrent price: $9.99Original price: $29.99,https://www.udemy.com/course/data-vault-modeling-explained-with-use-case/,Pritha Chakraborty,Rating: 3.6 out of 53.6,86,$9.99,Original Price$29.99,2 total hours,11 lectures,Beginner
Complete Develoet Methodologies Best PracticesLearn Develoet Methodologies Best Practices with Hands-on Coding exercises and Projects!Rating: 4.6 out of 567 reviews32.5 total hours74 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/master-the-javascript-best-practices/,Satish Kothala,Rating: 4.6 out of 54.6,67,$9.99,Original Price$19.99,32.5 total hours,74 lectures,All Levels
Comprehensive Course on MongoDB and Data ModelingGain complete proficiency in mongoDB and NoSql with perfect expertise and knowledge.Rating: 3.5 out of 557 reviews2.5 total hours101 lecturesAll LevelsCurrent price: $10.99Original price: $34.99,https://www.udemy.com/course/comprehensive-course-on-mongodb-and-data-modelling/,Insculpt Technologies,Rating: 3.5 out of 53.5,57,$10.99,Original Price$34.99,2.5 total hours,101 lectures,All Levels
"Master Data Modeling with Erwin Data Modeler tool!E.R. Data Modeling, Dimensional Data Modeling, CDM, LDM, PDM, Data Warehousing, Normalization, Denormalization ,ERwinRating: 4.3 out of 553 reviews8 total hours66 lecturesAll LevelsCurrent price: $199.99",https://www.udemy.com/course/master-data-modeling-with-erwin-data-modeler-tool/,Simplifying IT,Rating: 4.3 out of 54.3,53,$199.99,,8 total hours,66 lectures,All Levels
