title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Deep Learning A-Z 2026: Neural Networks, AI & ChatGPT PrizeLearn to create Deep Learning models in Python from two Machine Learning, Data Science experts. Code templates included.Rating: 4.6 out of 549202 reviews22.5 total hours189 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/deeplearning/,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency ​",Rating: 4.6 out of 54.6,"49,202",$10.99,Original Price$74.99,22.5 total hours,189 lectures,All Levels
Modern Natural Language Processing in PythonSolve Seq2Seq and Classification NLP tasks with Transformer and CNN using Tensorflow 2 in Google ColabRating: 4.4 out of 51807 reviews6 total hours39 lecturesIntermediateCurrent price: $10.99Original price: $64.99,https://www.udemy.com/course/modern-nlp/,"Martin Jocqueviel, SuperDataScience Team, Ligency ​",Rating: 4.4 out of 54.4,"1,807",$10.99,Original Price$64.99,6 total hours,39 lectures,Intermediate
PyTorch for Deep Learning and Computer VisionBuild Highly Sophisticated Deep Learning and Computer Vision Applications with PyTorchRating: 4.6 out of 52179 reviews14 total hours102 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/pytorch-for-deep-learning-and-computer-vision/,"Rayan Slim, Jad Slim, Amer Sh, Sarmad Tanveer, Adnan Abdulkader, Rayan | DevOps Training",Rating: 4.6 out of 54.6,"2,179",$10.99,Original Price$69.99,14 total hours,102 lectures,All Levels
"Data Science: Deep Learning and Neural Networks in PythonThe MOST in-depth look at neural network theory for machine learning, with both pure Python and Tensorflow codeRating: 4.8 out of 510274 reviews12 total hours90 lecturesIntermediateCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/data-science-deep-learning-in-python/,"Lazy Programmer Inc., Lazy Programmer Team",Rating: 4.8 out of 54.8,"10,274",$9.99,Original Price$59.99,12 total hours,90 lectures,Intermediate
"Machine Learning and Deep Learning Bootcamp in PythonMachine Learning, Neural Networks, Deep Learning and Reinforcement Learning, GAN in Keras and TensorFlowRating: 4.6 out of 51645 reviews31.5 total hours311 lecturesAll LevelsCurrent price: $12.99Original price: $89.99",https://www.udemy.com/course/introduction-to-machine-learning-in-python/,Holczer Balazs,Rating: 4.6 out of 54.6,"1,645",$12.99,Original Price$89.99,31.5 total hours,311 lectures,All Levels
"Recommender Systems and Deep Learning in PythonThe most in-depth course on recommendation systems with deep learning, machine learning, data science, and AI techniquesRating: 4.7 out of 56230 reviews13 total hours94 lecturesIntermediateCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/recommender-systems/,"Lazy Programmer Inc., Lazy Programmer Team",Rating: 4.7 out of 54.7,"6,230",$9.99,Original Price$69.99,13 total hours,94 lectures,Intermediate
Practical Deep Learning with PyTorchAccelerate your deep learning with PyTorch covering all the fundamentals of deep learning with a python-first framework.Rating: 3.9 out of 51725 reviews6.5 total hours58 lecturesBeginnerCurrent price: $11.99Original price: $54.99,https://www.udemy.com/course/practical-deep-learning-with-pytorch/,Deep Learning Wizard,Rating: 3.9 out of 53.9,"1,725",$11.99,Original Price$54.99,6.5 total hours,58 lectures,Beginner
"Time Series Analysis, Forecasting, and Machine LearningPython for LSTMs, ARIMA, Deep Learning, AI, Support Vector Regression, +More Applied to Time Series ForecastingRating: 4.8 out of 53115 reviews23.5 total hours175 lecturesIntermediateCurrent price: $79.99",https://www.udemy.com/course/time-series-analysis/,"Lazy Programmer Team, Lazy Programmer Inc.",Rating: 4.8 out of 54.8,"3,115",$79.99,,23.5 total hours,175 lectures,Intermediate
"Machine Learning, Data Science & AI Engineering with PythonComplete hands-on deep learning, AI engineering and Generative AI tutorial with data science, Tensorflow, GPT, OpenAIRating: 4.6 out of 536331 reviews21 total hours151 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"Sundog Education by Frank Kane, Frank Kane, Sundog Education Team",Rating: 4.6 out of 54.6,"36,331",$10.99,Original Price$74.99,21 total hours,151 lectures,All Levels
"Data Science Career Path: 100 Days of Data Science BootcampA full-fledged Data Science Course for Everyone. Master Stats, Maths, Python, EDA, Machine & Deep Learning in 100 Days.Rating: 4.7 out of 5502 reviews48.5 total hours444 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/data-science-career-path-100-days-of-data-science-bootcamp/,Shahriar's Analytical Academy,Rating: 4.7 out of 54.7,502,$9.99,Original Price$19.99,48.5 total hours,444 lectures,All Levels
