title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Docker Deep Dive: Build, Ship, and Run ContainersLearn Docker, Docker Compose, image building, networking, volumes, security, Swarm & KubernetesRating: 4.3 out of 5114 reviews2.5 total hours35 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/docker-deep-dive-build-ship-and-run-containers/,"Anton Voroniuk, Oleksii Osypenko, Anton Voroniuk Support",Rating: 4.3 out of 54.3,114,$9.99,Original Price$19.99,2.5 total hours,35 lectures,Beginner,True
"Windows Containers with Azure DevOps CI/CD PipelineMaster CI/CD, Docker, and Azure DevOps for Seamless .NET App Delivery in ContainersRating: 4.5 out of 5156 reviews8.5 total hours70 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/continuous-integration-with-azure-devops-and-docker/,"School of Devops, Gourav J. Shah",Rating: 4.5 out of 54.5,156,$9.99,Original Price$19.99,8.5 total hours,70 lectures,Beginner,True
"Docker Mastery: with Kubernetes +Swarm from a Docker CaptainBuild, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, GitHub Actions CI using DevOpsRating: 4.7 out of 566376 reviews23 total hours225 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/docker-mastery/,"Bret Fisher, Docker Captain Program",Rating: 4.7 out of 54.7,"66,376",$9.99,Original Price$64.99,23 total hours,225 lectures,All Levels,True
Docker for the Absolute Beginner - Hands On - DevOpsLearn Docker with Hands On Coding Exercises. For beginners in DevOpsRating: 4.6 out of 569753 reviews4.5 total hours54 lecturesBeginnerCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/learn-docker/,"Mumshad Mannambeth, KodeKloud Training",Rating: 4.6 out of 54.6,"69,753",$9.99,Original Price$69.99,4.5 total hours,54 lectures,Beginner,True
Docker: A Project-Based Approach to LearningLearn how to manage Docker hosts and Docker containers through project-based training.Rating: 4.6 out of 53166 reviews4.5 total hours35 lecturesAll LevelsCurrent price: $16.99Original price: $99.99,https://www.udemy.com/course/docker-tutorial/,Jason Cannon,Rating: 4.6 out of 54.6,"3,166",$16.99,Original Price$99.99,4.5 total hours,35 lectures,All Levels,True
"Mastering Docker From Scratch For Java Spring DevelopersHands-On Guide to Build, Ship, and Run Java Spring Boot applications with Docker, Docker Compose and TestcontainersRating: 4.6 out of 5307 reviews10.5 total hours137 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/docker-java/,Vinoth Selvaraj,Rating: 4.6 out of 54.6,307,$9.99,Original Price$54.99,10.5 total hours,137 lectures,All Levels,True
Docker for Developers and DevOpsUse Docker to streamline your developer workflow and build out a awesome CI/CD pipelineRating: 3.9 out of 52412 reviews5.5 total hours82 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/docker-for-developers/,Luke Angel,Rating: 3.9 out of 53.9,"2,412",$10.99,Original Price$19.99,5.5 total hours,82 lectures,Beginner,True
"DevOps Engineer: Docker, Kubernetes, Jenkins, Terraform, AWSMaster DevOps with Docker, Kubernetes, Jenkins, AWS & Terraform through hands-on projects and real-world workflowsRating: 3.2 out of 55 reviews50 total hours94 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/devops-course-docker-kubernetes-jenkins-aws-terraform/,Uplatz Training,Rating: 3.2 out of 53.2,5,$9.99,Original Price$19.99,50 total hours,94 lectures,All Levels,True
Supercourse - Ultimate Advanced Kubernetes BootcampMastering container orchestration with Kubernetes one step at a time. Prepare for CKA/CKAD ExamRating: 4.6 out of 51212 reviews23.5 total hours208 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/kubernetes-certified-administrator/,"Gourav J. Shah, School of Devops",Rating: 4.6 out of 54.6,"1,212",$69.99,,23.5 total hours,208 lectures,All Levels,True
"Practical DevOps Bootcamp for AllLearn Practical DevOps by Doing - Tools, Pipelines & Automation everything included in this courseRating: 4.6 out of 511 reviews15 total hours140 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/practical-devops-bootcamp-for-all/,"Yogesh Raheja, Thinknyx Technologies",Rating: 4.6 out of 54.6,11,$9.99,Original Price$19.99,15 total hours,140 lectures,All Levels,True
"Introduction to DevOps: Roadmap to DevOps CareerDevOps course for someone who wants to learn Jenkins​,​ Jira, Dockers, Kubernetes, Nagios, Ansible, Terraform, and moreRating: 4.5 out of 5738 reviews7.5 total hours55 lecturesAll LevelsCurrent price: $9.99Original price: $44.99",https://www.udemy.com/course/introduction-devops/,Imran Afzal,Rating: 4.5 out of 54.5,738,$9.99,Original Price$44.99,7.5 total hours,55 lectures,All Levels,True
"Docker: From Beginner to ExpertAnimations-based, hands-on, fun and engaging Docker course from a Senior Software Engineer with a PhDRating: 4.6 out of 530 reviews3 total hours31 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/docker-from-beginner-to-expert/,"Logix Academy | 150,000+ Enrollments Worldwide",Rating: 4.6 out of 54.6,30,$9.99,Original Price$19.99,3 total hours,31 lectures,Beginner,True
Project in Docker | Docker Basics - Microservices[Docker Endorsed] Learn microservices and Docker Basics and build project in Docker with Docker ComposeRating: 4.5 out of 5286 reviews4.5 total hours31 lecturesAll LevelsCurrent price: $10.99Original price: $49.99,https://www.udemy.com/course/docker-and-docker-compose-project-deployment-from-scratch/,Oleksandr Kocherhin,Rating: 4.5 out of 54.5,286,$10.99,Original Price$49.99,4.5 total hours,31 lectures,All Levels,True
"Docker and Kubernetes: The Complete GuideBuild, test, and deploy Docker applications with Kubernetes while learning production-style development workflowsRating: 4.7 out of 561947 reviews21.5 total hours311 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,Stephen Grider,Rating: 4.7 out of 54.7,"61,947",$9.99,Original Price$69.99,21.5 total hours,311 lectures,All Levels,True
"Docker, Kubernetes & AWS: Real-World Deployment in 25 DaysBuild and deploy applications from scratch with Docker, Kubernetes & AWS. The step-by-step guide from Beginner to Pro.Rating: 4.7 out of 5587 reviews32 total hours332 lecturesBeginnerCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/docker-deployment/,"Jannis Seemann, Andreas Kansy",Rating: 4.7 out of 54.7,587,$9.99,Original Price$59.99,32 total hours,332 lectures,Beginner,True
Docker for the Absolute Beginner - Hands On - DevOpsLearn Docker with Hands On Coding Exercises. For beginners in DevOpsRating: 4.6 out of 569780 reviews4.5 total hours54 lecturesBeginnerCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/learn-docker/,"Mumshad Mannambeth, KodeKloud Training",Rating: 4.6 out of 54.6,"69,780",$9.99,Original Price$69.99,4.5 total hours,54 lectures,Beginner,True
"Docker Mastery: with Kubernetes +Swarm from a Docker CaptainBuild, test, deploy containers with the best mega-course on Docker, Kubernetes, Compose, GitHub Actions CI using DevOpsRating: 4.7 out of 566383 reviews23 total hours225 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/docker-mastery/,"Bret Fisher, Docker Captain Program",Rating: 4.7 out of 54.7,"66,383",$9.99,Original Price$64.99,23 total hours,225 lectures,All Levels,True
"Docker and Kubernetes: The Complete GuideBuild, test, and deploy Docker applications with Kubernetes while learning production-style development workflowsRating: 4.7 out of 561958 reviews21.5 total hours311 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,Stephen Grider,Rating: 4.7 out of 54.7,"61,958",$9.99,Original Price$69.99,21.5 total hours,311 lectures,All Levels,True
"Docker & Kubernetes: The Practical GuideLearn Docker, Docker Compose, Multi-Container Projects, Deployment and all about Kubernetes from the ground up!Rating: 4.7 out of 536445 reviews23.5 total hours264 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",Rating: 4.7 out of 54.7,"36,445",$9.99,Original Price$64.99,23.5 total hours,264 lectures,All Levels,True
