title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Character Drawing Masterclass: Character Drawing Art SchoolCharacter Drawing Course To Learn Drawing, Character Design, Sketching and Art Skills While Mastering Character Drawing.Rating: 4.5 out of 522 reviews30.5 total hours78 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/drawing-character-masterclass/,Skillet Academy,Rating: 4.5 out of 54.5,22,$9.99,Original Price$19.99,30.5 total hours,78 lectures,All Levels,False
"Essential Drawing Course For Beginner To AdvancedDrawing Animals, Drawing With Numbers, Drawing with Letters, Drawing Face and Figures, Drawing Nature, Face and FiguresRating: 4.3 out of 571 reviews3.5 total hours12 lecturesBeginnerCurrent price: $9.99Original price: $39.99",https://www.udemy.com/course/essential-drawing-course-for-beginner-to-advanced/,Zechariah Tech,Rating: 4.3 out of 54.3,71,$9.99,Original Price$39.99,3.5 total hours,12 lectures,Beginner,False
The Art & Science of Drawing / SHADING FUNDAMENTALSLearn how to draw using dramatic light and shadow.Rating: 4.7 out of 51790 reviews1.5 total hours5 lecturesAll LevelsCurrent price: $13.99Original price: $69.99,https://www.udemy.com/course/the-art-science-of-drawing-shading-fundamentals/,Brent Eviston,Rating: 4.7 out of 54.7,"1,790",$13.99,Original Price$69.99,1.5 total hours,5 lectures,All Levels,False
The Art & Science of Drawing / CONTOURSLearn to create compelling contour drawings and how to draw using foreshortening!Rating: 4.8 out of 51386 reviews1.5 total hours5 lecturesBeginnerCurrent price: $13.99Original price: $54.99,https://www.udemy.com/course/the-art-science-of-drawing-contours/,Brent Eviston,Rating: 4.8 out of 54.8,"1,386",$13.99,Original Price$54.99,1.5 total hours,5 lectures,Beginner,False
The Art & Science of Drawing / DYNAMIC MARK MAKINGCreate compelling drawings using expressive mark making.Rating: 4.7 out of 53193 reviews1.5 total hours7 lecturesBeginnerCurrent price: $10.99Original price: $59.99,https://www.udemy.com/course/the-art-science-of-drawing-week-two-dynamic-mark-making/,Brent Eviston,Rating: 4.7 out of 54.7,"3,193",$10.99,Original Price$59.99,1.5 total hours,7 lectures,Beginner,False
Head Drawing Fundamentals Made SimpleHow to Draw Realistic Portraits & Faces Step-by-Step / Sketch People & Facial Features For BeginnersRating: 4.5 out of 52987 reviews6 total hours36 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/portrait-drawing-fundamentals-made-simple/,Ethan Nguyen,Rating: 4.5 out of 54.5,"2,987",$10.99,Original Price$69.99,6 total hours,36 lectures,All Levels,False
From Drawing To Illustration (2021 Edition)Learn how to draw characters and scenes to create professional illustrations.Rating: 3.9 out of 592 reviews5.5 total hours32 lecturesBeginner,https://www.udemy.com/course/from-drawing-to-illustration/,Brendon Schumacker,Rating: 3.9 out of 53.9,92,,,5.5 total hours,32 lectures,Beginner,False
【Eng dub】Japanese Anime & Manga Character Illustration TipsIllustration Tips from an Industry Veteran in Japan (Beginner to Advanced)Rating: 3.8 out of 59 reviews1.5 total hours17 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/japanese-anime-manga-character-illustration-tips/,G-angle Learning,Rating: 3.8 out of 53.8,9,$9.99,Original Price$19.99,1.5 total hours,17 lectures,All Levels,False
How To Draw Manga & Anime Easily & QuicklyGo from beginner to drawing excellent Manga & Anime characters with easy to follow tutorials.Rating: 4.0 out of 5324 reviews1 total hour27 lecturesAll LevelsCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/how-to-draw-manga-anime/,Drew Williams,Rating: 4.0 out of 54.0,324,$10.99,Original Price$19.99,1 total hour,27 lectures,All Levels,False
How to Draw Sonic the Hedgehog  I Cartoon Drawing AnimationDrawing for BeginnersRating: 4.8 out of 533 reviews1 total hour7 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/how-to-draw-sonic-the-hedgehog-i-cartoon-drawing-animation/,"Enrique Plazola, Artem Dulub",Rating: 4.8 out of 54.8,33,$9.99,Original Price$19.99,1 total hour,7 lectures,Beginner,False
