title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Crash Course Electronics and PCB DesignLearn Analog / Digital Electronics and PCB Design from the Ground up with Altium CircuitMaker and Labcenter ProteusRating: 4.7 out of 518566 reviews112 total hours161 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/crash-course-electronics-and-pcb-design/,Andre LaMothe,Rating: 4.7 out of 54.7,"18,566",$9.99,Original Price$64.99,112 total hours,161 lectures,All Levels,False
"Digital Electronics: Robotics, learn by building module IIOver 14,000 enrolled! Open doors to careers and hobbies and have fun while learning digital electronics!Rating: 4.8 out of 5925 reviews13 total hours70 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/digital-electronics-robotics-learn-by-building-module-ii/,Ian Juby,Rating: 4.8 out of 54.8,925,$10.99,Original Price$74.99,13 total hours,70 lectures,All Levels,False
Electronics - for Complete BeginnersGo From Zero To An Advanced Understanding of the FundamentalsRating: 4.5 out of 52263 reviews10 total hours57 lecturesBeginnerCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/electronics-for-complete-beginners/,Gene L. Warner,Rating: 4.5 out of 54.5,"2,263",$10.99,Original Price$69.99,10 total hours,57 lectures,Beginner,False
"Basic Electricity and ElectronicsFor beginners or interested as a hobby, everything for basic electricity and electronics is in this course.Rating: 4.6 out of 52072 reviews5.5 total hours48 lecturesBeginnerCurrent price: $10.99Original price: $54.99",https://www.udemy.com/course/basic-electricity-electronics/,"Joseph Shepherd, Nicholas Eagle",Rating: 4.6 out of 54.6,"2,072",$10.99,Original Price$54.99,5.5 total hours,48 lectures,Beginner,False
Learning Soldering: Through Hole & Surface Mount ComponentsA Beginner's Guide to hand solder both through hole and surface mount components like a professionalRating: 4.6 out of 5401 reviews3 total hours28 lecturesBeginnerCurrent price: $9.99Original price: $39.99,https://www.udemy.com/course/learning-soldering-through-hole-and-surface-mount-components/,Shubham Tiwari,Rating: 4.6 out of 54.6,401,$9.99,Original Price$39.99,3 total hours,28 lectures,Beginner,False
"Basic Electronics Fundamentals: Diodes, BJT, JFET & MOSFETElectronics Unplugged: Expert-led learning on Diodes, BJT, JFET, MOSFET Followed by Hands-on Multisim Simulator PracticeRating: 4.6 out of 561 reviews21 total hours108 lecturesAll LevelsCurrent price: $9.99Original price: $44.99",https://www.udemy.com/course/foundations-of-electronics-diodes-bjt-jfet-mosfet/,Prof. Hitesh Dholakiya (CEO of Engineering Funda & Day Dream Software),Rating: 4.6 out of 54.6,61,$9.99,Original Price$44.99,21 total hours,108 lectures,All Levels,False
Fundamentals of Electrical and ElectronicsUnderstand the Basic Concept of Electrical and Electronics ComponentsRating: 3.9 out of 5616 reviews1 total hour13 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/fundamentals-of-electrical-and-electronics-engineering/,Harish Kumar Maheshwari,Rating: 3.9 out of 53.9,616,$10.99,Original Price$19.99,1 total hour,13 lectures,Beginner,False
Automotive Electrics and Automotive ElectronicsLearn electrical & electronic technologies used in automobiles. Design architecture of automotive electrical components.Rating: 3.6 out of 543 reviews20 total hours36 lecturesAll LevelsCurrent price: $9.99Original price: $34.99,https://www.udemy.com/course/automotive-electrics-and-automotive-electronics/,Uplatz Training,Rating: 3.6 out of 53.6,43,$9.99,Original Price$34.99,20 total hours,36 lectures,All Levels,False
"Electricity for Electronics, Electrical Engineering A-Z 2025Fundamentals of Electricity & Electric Circuits for Electronics - Circuit Design - Electrical EngineeringRating: 4.3 out of 5436 reviews15 total hours128 lecturesAll LevelsCurrent price: $10.99Original price: $59.99",https://www.udemy.com/course/electriccircuits/,"Kashif A., Abdullah A.",Rating: 4.3 out of 54.3,436,$10.99,Original Price$59.99,15 total hours,128 lectures,All Levels,False
Analog Electronic Lab Based Course on MOSFETs using MULTISIMSemiconductor Devices: Hands on Lab Based Course Learn All about Transistors Analog Electronics & Hardware Design - 5Rating: 4.8 out of 58 reviews9.5 total hours47 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/lab-based-course-on-mosfets-using-multisim-analogelectronics/,Practical Buddy,Rating: 4.8 out of 54.8,8,$9.99,Original Price$19.99,9.5 total hours,47 lectures,Beginner,False
