title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"The English Master Course: English Grammar, English SpeakingA Complete English Language Course: English Grammar, Speaking, Pronunciation, and Writing. British and American English.Rating: 4.6 out of 534042 reviews77 total hours725 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/learn-english-grammar-online/,Scott Mendoza,Rating: 4.6 out of 54.6,"34,042",$9.99,Original Price$64.99,77 total hours,725 lectures,All Levels,False
Master the Top 50 English Verbs: Upgrade English SpeakingUpgrade your English by Mastering all the Verb Tenses for the Top 50 Most Used English Verbs! Pronunciation and SpeakingRating: 4.5 out of 5308 reviews11 total hours187 lecturesBeginnerCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/topenglishverbs/,Scott Mendoza,Rating: 4.5 out of 54.5,308,$10.99,Original Price$69.99,11 total hours,187 lectures,Beginner,False
"Perfect English Grammar For EVERY Level (A1/A2/B1/B2/C1/C2)Improve English from BEGINNER (A1/A2) to INTERMEDIATE (B1/B2) to ADVANCED (C1/C2, IELTS 7-9). *FEEDBACK ON YOUR WRITING*Rating: 4.6 out of 5302 reviews41.5 total hours599 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/perfect-english-grammar/,Rupert Walsh (MA),Rating: 4.6 out of 54.6,302,$9.99,Original Price$54.99,41.5 total hours,599 lectures,All Levels,False
"English Grammar Launch: Upgrade your speaking and listeningLearn English grammar through lectures and listening and speaking practice, so you can confidently speak English.Rating: 4.6 out of 543199 reviews9 total hours92 lecturesIntermediateCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/learn-english-grammar-upgrade-your-speaking-and-listening/,Anthony Kelleher • 1 Million+ Students Worldwide,Rating: 4.6 out of 54.6,"43,199",$9.99,Original Price$64.99,9 total hours,92 lectures,Intermediate,False
English Grammar Pro | Beginner to Advanced (A1-C1) GrammarComplete English grammar course for spoken conversation and improved pronunciationRating: 4.5 out of 510196 reviews12.5 total hours129 lecturesAll LevelsCurrent price: $10.99Original price: $64.99,https://www.udemy.com/course/easy-english-grammar-course/,For Your English,Rating: 4.5 out of 54.5,"10,196",$10.99,Original Price$64.99,12.5 total hours,129 lectures,All Levels,False
English Tenses Structures : Upgrade your UnderstandingEnglish Grammar Tenses structuresRating: 3.9 out of 5171 reviews2 total hours39 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/english-tenses-structures-upgrade-your-understanding/,Noha Talat Ahmed Esmail,Rating: 3.9 out of 53.9,171,$9.99,Original Price$19.99,2 total hours,39 lectures,Beginner,False
"IELTS Crash Course - 7+ bands in 7 daysComplete IELTS Preparation Program - All question types of Listening, Reading, Writing, Speaking, Grammar & Vocabulary!Rating: 3.7 out of 53 reviews5 total hours29 lecturesIntermediateCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/ielts-crash-course-band-7-in-7-days/,Shiva Verma,Rating: 3.7 out of 53.7,3,$9.99,Original Price$19.99,5 total hours,29 lectures,Intermediate,False
"Learning Grammar with Movies and other FunPractical course with  Songs, Jokes, Filmclips and QuotesRating: 4.6 out of 520 reviews4 total hours47 lecturesIntermediateCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/english-grammar-tenses-with-fun/,Oksana Lytvynska,Rating: 4.6 out of 54.6,20,$10.99,Original Price$19.99,4 total hours,47 lectures,Intermediate,False
Master English Speaking and Grammar EasilySpeak English ClearlyRating: 4.6 out of 5119 reviews2 total hours28 lecturesBeginnerCurrent price: $24.99,https://www.udemy.com/course/master-english-speaking-and-grammar-easily/,Peter Nield,Rating: 4.6 out of 54.6,119,$24.99,,2 total hours,28 lectures,Beginner,False
Complete IELTS Course: Band 7+ Exam PreparationPrepare for the IELTS exam FAST and achieve a high band score!Rating: 4.6 out of 5170 reviews115 total hours480 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/complete-ielts-course-band-7-exam-preparation/,Linguae Learning,Rating: 4.6 out of 54.6,170,$9.99,Original Price$19.99,115 total hours,480 lectures,All Levels,False
