title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"The Complete Financial Analyst Course 2026Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!Rating: 4.6 out of 5101397 reviews22.5 total hours381 lecturesAll LevelsCurrent price: $11.99Original price: $79.99",https://www.udemy.com/course/the-complete-financial-analyst-course/,365 Careers,Rating: 4.6 out of 54.6,"101,397",$11.99,Original Price$79.99,22.5 total hours,381 lectures,All Levels
"The Complete Finance Manager CourseFinancial Management, ERP systems, Accounting, Capital budgeting, Presentation design, Management, and NegotiationRating: 4.5 out of 56800 reviews13 total hours244 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/the-complete-finance-manager-course/,365 Careers,Rating: 4.5 out of 54.5,"6,800",$10.99,Original Price$74.99,13 total hours,244 lectures,All Levels
Python for Finance: Investment Fundamentals & Data AnalyticsLearn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python TrainingRating: 4.6 out of 529082 reviews9.5 total hours143 lecturesAll LevelsCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,365 Careers,Rating: 4.6 out of 54.6,"29,082",$9.99,Original Price$69.99,9.5 total hours,143 lectures,All Levels
Investment Analysis & Portfolio Management - Core FinanceFinancial Analysis Done Right - Rigorously Analyse Investments & Manage Portfolios using Excel® & Google SheetsRating: 4.5 out of 54070 reviews8 total hours51 lecturesAll LevelsCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/investment-analysis-portfolio-management/,"Fervent #LearnWithDistinction, Support from Fervent",Rating: 4.5 out of 54.5,"4,070",$9.99,Original Price$69.99,8 total hours,51 lectures,All Levels
"Excel Crash Course: Master Excel for Financial AnalysisBeginner to Advanced: Learn Excel Shortcuts, Formulas & Functions for Financial Modeling & Corporate FinanceRating: 4.5 out of 516998 reviews3.5 total hours40 lecturesAll LevelsCurrent price: $13.99Original price: $74.99",https://www.udemy.com/course/excel-crash-course-master-excel-for-financial-analysis/,Scott Powell,Rating: 4.5 out of 54.5,"16,998",$13.99,Original Price$74.99,3.5 total hours,40 lectures,All Levels
Fixed Income Analytics: Pricing and Risk ManagementWith Python Tools for Bonds and Money Market InstrumentsRating: 4.4 out of 5704 reviews18.5 total hours74 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/fixed-income-analytics/,Cameron Connell,Rating: 4.4 out of 54.4,704,$10.99,Original Price$69.99,18.5 total hours,74 lectures,All Levels
Financial Statements Analysis for absolute beginnersUnderstand Financial Statements and Analyze Financial Statements for Business and Financial Analysis.Rating: 4.5 out of 5366 reviews2 total hours34 lecturesAll LevelsCurrent price: $10.99Original price: $54.99,https://www.udemy.com/course/financialanalysis-financialstatements-ratios/,Irfan Sharif ACA ACCA | #1 Best Selling Instructor of Accounting & Bookkeeping,Rating: 4.5 out of 54.5,366,$10.99,Original Price$54.99,2 total hours,34 lectures,All Levels
Financial Analyst Crash Course: Beginner’s Guide to FinanceFinance made easy: Build real-world financial statement analysis skills and get started on your finance career today!Rating: 4.1 out of 5109 reviews3 total hours38 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/finance-accounting-101/,"Philip Handke, CFA  |  Analyze Finance",Rating: 4.1 out of 54.1,109,$9.99,Original Price$19.99,3 total hours,38 lectures,Beginner
"Financial Statements: Balance Sheet, Income Stmt, Cash FlowHow To Quickly Read & Understand The Big 3 Financial Statements: Balance Sheet, Income Statement, Cash Flow StatementRating: 4.6 out of 52820 reviews1.5 total hours6 lecturesBeginnerCurrent price: $9.99Original price: $39.99",https://www.udemy.com/course/financial-statements-balance-sheet-income-statement-cash-flow-course/,"Steve Ballinger, MBA",Rating: 4.6 out of 54.6,"2,820",$9.99,Original Price$39.99,1.5 total hours,6 lectures,Beginner
"Finance for Non-Finance ManagersLearn the jargon, know the numbers, learn to interpret them!Rating: 4.4 out of 525 reviews7.5 total hours50 lecturesBeginnerCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/finance-for-non-financial-managers-p/,Capital City Training Ltd,Rating: 4.4 out of 54.4,25,$9.99,Original Price$49.99,7.5 total hours,50 lectures,Beginner
"The Comprehensive Financial Analyst Mastery Course I 230+MCQFinancial Statement analysis, Financial Management, Financial Reporting, and Financial Planning (FP&A), All in OneRating: 4.3 out of 556 reviews39 total hours118 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/financialanalyst/,Md Sanaullah | CMA | ISB CFO | Author,Rating: 4.3 out of 54.3,56,$9.99,Original Price$19.99,39 total hours,118 lectures,All Levels
"The Credit Analyst Training courseLearn the complete Credit Risk Analysis skills for jobs in Banks, Asset Management & Credit Rating AgenciesRating: 4.4 out of 53839 reviews2 total hours71 lecturesAll LevelsCurrent price: $10.99Original price: $54.99",https://www.udemy.com/course/the-credit-analyst-skills-training-cast-course/,Ashish Agarwal,Rating: 4.4 out of 54.4,"3,839",$10.99,Original Price$54.99,2 total hours,71 lectures,All Levels
"Financial Analysis & Analytics for Non-Finance ProfessionalsMaster financial statements, budgets, forecasts, dashboards & analytics for smart decisions—no finance background neededRating: 4.9 out of 572 reviews4 total hours9 lecturesBeginnerCurrent price: $74.99",https://www.udemy.com/course/financial-analysis-planning-for-non-finance-professionals/,Valentine Ifenna Okolo,Rating: 4.9 out of 54.9,72,$74.99,,4 total hours,9 lectures,Beginner
"Financial Reporting & Analysis: Complete PreparationLearn to Read, Understand, and Analyse the Financial Statements of a CompanyRating: 4.5 out of 54042 reviews11 total hours110 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/financial-reporting-analysis/,365 Careers,Rating: 4.5 out of 54.5,"4,042",$9.99,Original Price$59.99,11 total hours,110 lectures,All Levels
"The Complete Financial Analyst Course 2026Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!Rating: 4.6 out of 5101426 reviews22.5 total hours381 lecturesAll LevelsCurrent price: $11.99Original price: $79.99",https://www.udemy.com/course/the-complete-financial-analyst-course/,365 Careers,Rating: 4.6 out of 54.6,"101,426",$11.99,Original Price$79.99,22.5 total hours,381 lectures,All Levels
"The Complete Financial Analyst Training & Investing CourseSucceed as a Financial Analyst &Investor by Award Winning MBA Prof who worked @Goldman, in Hedge Funds & Venture CapitalRating: 4.5 out of 533936 reviews23.5 total hours230 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,Rating: 4.5 out of 54.5,"33,936",$9.99,Original Price$69.99,23.5 total hours,230 lectures,All Levels
Python for Finance: Investment Fundamentals & Data AnalyticsLearn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python TrainingRating: 4.6 out of 529083 reviews9.5 total hours143 lecturesAll LevelsCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,365 Careers,Rating: 4.6 out of 54.6,"29,083",$9.99,Original Price$69.99,9.5 total hours,143 lectures,All Levels
"Excel Crash Course: Master Excel for Financial AnalysisBeginner to Advanced: Learn Excel Shortcuts, Formulas & Functions for Financial Modeling & Corporate FinanceRating: 4.5 out of 517004 reviews3.5 total hours40 lecturesAll LevelsCurrent price: $13.99Original price: $74.99",https://www.udemy.com/course/excel-crash-course-master-excel-for-financial-analysis/,Scott Powell,Rating: 4.5 out of 54.5,"17,004",$13.99,Original Price$74.99,3.5 total hours,40 lectures,All Levels
