title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Learn to code by making games in GodotThe fun way to start programmingRating: 4.8 out of 5386 reviews18 total hours82 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/learn-to-code-by-making-games-in-godot/,Christian Koch,Rating: 4.8 out of 54.8,386,$9.99,Original Price$19.99,18 total hours,82 lectures,Beginner
Complete Godot 3D: Develop Your Own 3D Games Using Godot 4Learn how to create 3D games from start to finish in Godot engine 4 and GDScript!Rating: 4.8 out of 51935 reviews20 total hours104 lecturesBeginnerCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/complete-godot-3d/,"GameDev.tv Team, Bram Williams",Rating: 4.8 out of 54.8,"1,935",$9.99,Original Price$59.99,20 total hours,104 lectures,Beginner
"Master Lua Programming and Create Amazing Games with LÖVE!Learn the basics of programming, then use that knowledge to create games with the beginner-friendly game engine: Love2D!Rating: 4.8 out of 53109 reviews8.5 total hours82 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/lua-love/,Kyle Schaub,Rating: 4.8 out of 54.8,"3,109",$10.99,Original Price$74.99,8.5 total hours,82 lectures,All Levels
"Unity Real Time Strategy: Build Your Own RTS GameBuild your own RTS in Unity 6 — smart units, fog of war, dynamic upgrades, and systems that scale as big as your ideas.Rating: 4.5 out of 5139 reviews25.5 total hours173 lecturesIntermediateCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/unity-rts/,"GameDev.tv Team, Chris Kurhan",Rating: 4.5 out of 54.5,139,$9.99,Original Price$19.99,25.5 total hours,173 lectures,Intermediate
"Unity C# Scripting : Complete C# For Unity Game DevelopmentLearn C# Scripting for Unity 6 Game Development from Basics, Create your own 3D & 2D Games With Unity & C# ( Unity 6 )Rating: 4.6 out of 52943 reviews31 total hours149 lecturesBeginnerCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/unity-c-sharp-scripting/,"Raja Biswas, Charger Games",Rating: 4.6 out of 54.6,"2,943",$9.99,Original Price$69.99,31 total hours,149 lectures,Beginner
Complete C# Unity 3D Game Development in Unity 6Build 5 playable 3D games in Unity 6 using C#. Learn real coding skills and master core game dev techniques.Rating: 4.7 out of 547765 reviews27 total hours192 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/unitycourse2/,"Rick Davidson, GameDev.tv Team, Stephen Hubbard",Rating: 4.7 out of 54.7,"47,765",$9.99,Original Price$64.99,27 total hours,192 lectures,All Levels
Cocos2d-x v3 C++ - Beginning Game Development​Learn how to create games for pretty much every platform from phones to tablets to desktop computers.Rating: 3.6 out of 5117 reviews4 total hours66 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/cocos2d-x-v3-cpp/,Frahaan Hussain,Rating: 3.6 out of 53.6,117,$10.99,Original Price$19.99,4 total hours,66 lectures,Beginner
"Complete Godot 4 Advanced Game Development CourseDevelop Complex 2D Games with AI, Pathfinding, and Save/Load SystemsRating: 3.6 out of 513 reviews29 total hours113 lecturesExpertCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/complete-godot-advanced-course/,Red Fools Studio by William Carlson,Rating: 3.6 out of 53.6,13,$9.99,Original Price$19.99,29 total hours,113 lectures,Expert
"Godot 4: Build & Launch Full 2D Roguelike GameFrom first line of code to finished 2D game. Master Godot, GDScript, and essential game dev patterns.Rating: 4.2 out of 515 reviews23 total hours161 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/godot-4-build-launch-full-2d-roguelike-game/,"Eincode by Filip Jerga, Filip Jerga",Rating: 4.2 out of 54.2,15,$9.99,Original Price$19.99,23 total hours,161 lectures,All Levels
Unreal Engine 5: Create a top-down 2D survivors style gameLearn how to create a top-down 2D vampire-survival roguelike game from scratch in unreal engine 5 !Rating: 4.6 out of 5135 reviews16.5 total hours74 lecturesIntermediateCurrent price: $9.99Original price: $44.99,https://www.udemy.com/course/unreal-engine-5-create-a-top-down-2d-survivors-style-game/,Howl Chang,Rating: 4.6 out of 54.6,135,$9.99,Original Price$44.99,16.5 total hours,74 lectures,Intermediate
