title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Flutter & Dart - The Complete GuideA Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android appsRating: 4.6 out of 589849 reviews30 total hours310 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",Rating: 4.6 out of 54.6,"89,849",$9.99,Original Price$64.99,30 total hours,310 lectures,All Levels,False
"Dart and Flutter: The Complete Developer's GuideEverything you need to know for building mobile apps with Flutter and Dart, including RxDart and Animations!Rating: 4.6 out of 55491 reviews31.5 total hours405 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/dart-and-flutter-the-complete-developers-guide/,Stephen Grider,Rating: 4.6 out of 54.6,"5,491",$10.99,Original Price$69.99,31.5 total hours,405 lectures,All Levels,False
Flutter & Dart - The Complete GuideA Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android appsRating: 4.6 out of 589860 reviews30 total hours310 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",Rating: 4.6 out of 54.6,"89,860",$9.99,Original Price$64.99,30 total hours,310 lectures,All Levels,False
The Complete Flutter Engineer 2026: AWS & Node.js BootcampFrom Zero to Full-Stack Engineer: Master Cloud-Native AWS Backends and Professional Multi-Vendor Systems with FlutterRating: 4.6 out of 5276 reviews53 total hours468 lecturesAll LevelsCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/flutter-nodejs-express-mongodb-build-multi-store-app/,"Maclay Academy, Macaulay Famous",Rating: 4.6 out of 54.6,276,$9.99,Original Price$59.99,53 total hours,468 lectures,All Levels,False
Flutter & Dart: Complete App Development CourseBuild Flutter iOS and Android Apps with a Single Codebase: Learn Google's Flutter Mobile Development Framework and DartRating: 4.6 out of 55876 reviews17.5 total hours136 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/flutter-dart-the-complete-flutter-app-development-course/,"Paulo Dichone | Software Engineer, AWS Cloud Practitioner & Instructor",Rating: 4.6 out of 54.6,"5,876",$10.99,Original Price$69.99,17.5 total hours,136 lectures,All Levels,False
Learn Dart & Flutter for Mobile Apps | Create a Shopping AppLearn Dart & Flutter for creating Mobile Apps - Beginners TutorialRating: 3.9 out of 579 reviews14.5 total hours83 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/master-the-basics-of-flutter-learn-dart-flutter/,Programming Knowledge,Rating: 3.9 out of 53.9,79,$9.99,Original Price$19.99,14.5 total hours,83 lectures,Beginner,False
Flutter+Firebase Build a Grocery App&WEB Admin Panel [2024]Flutter & Firebase Build a Grocery App with a WEB Admin panel From scratch with payment gateway integration 2024 EditionRating: 4.6 out of 5449 reviews18 total hours157 lecturesAll LevelsCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/flutter-210firebase-build-a-grocery-app-with-admin-panel/,Hadi Kachmar,Rating: 4.6 out of 54.6,449,$9.99,Original Price$59.99,18 total hours,157 lectures,All Levels,False
Flutter & Firebase Chat App: Master Flutter and FirebaseThe Ultimate Flutter and Firebase Course: Develop A Powerful Flutter and Firebase Powered Chat ApplicationRating: 4.5 out of 5631 reviews10.5 total hours98 lecturesAll LevelsCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/flutter-20-firebase-build-a-chat-app-for-ios-android/,Hussain Mustafa,Rating: 4.5 out of 54.5,631,$9.99,Original Price$59.99,10.5 total hours,98 lectures,All Levels,False
"Flutter & Firebase: build an E-commerce and Admin App [2024]Flutter & Firebase Mastery: build a fully functional E-commerce app with an Admin app, ready for deployment [2024]Rating: 4.5 out of 5137 reviews12 total hours86 lecturesAll LevelsCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/flutter-310-firebase-build-an-e-commerce-and-admin-app/,Hadi Kachmar,Rating: 4.5 out of 54.5,137,$9.99,Original Price$49.99,12 total hours,86 lectures,All Levels,False
"Firebase: Firebase for Android App Development using KotlinFirebase Android in details using Kotlin for android app development, mobile app development, flutter android developersRating: 4.6 out of 587 reviews11 total hours70 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/firebase-firebase-for-android-app-development-using-kotlin/,"Oak Academy, OAK Academy Team, Mehmet ÖNGEL",Rating: 4.6 out of 54.6,87,$9.99,Original Price$59.99,11 total hours,70 lectures,All Levels,False
