title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Canva Masterclass: Beginner to Advanced Design in CanvaLearn Canva step-by-step: Perfect for beginners who want to design social media posts, thumbnails, and marketing visualsRating: 4.6 out of 568 reviews1.5 total hours21 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/canva-masterclass-beginner-to-advanced/,Ali Hossain,Rating: 4.6 out of 54.6,68,$9.99,Original Price$19.99,1.5 total hours,21 lectures,All Levels,False
"Essential Canva Course for Graphics Design Learn in 2 HourLearn Logo, Banner, Social Media Thumbnail DesignRating: 4.3 out of 51224 reviews2 total hours9 lecturesAll LevelsCurrent price: $9.99Original price: $24.99",https://www.udemy.com/course/essential-canva-course-for-graphics-design-learn-in-2-hour/,"Marcus Menti, Zechariah Tech",Rating: 4.3 out of 54.3,"1,224",$9.99,Original Price$24.99,2 Hour,9 lectures,All Levels,False
"Graphic Design Theory: A Complete Graphic Design CourseMaster the Principles of Graphic Design: Color, Typography, Design, Layout | Perfect for Photoshop, Canva, Illustrator+Rating: 4.3 out of 5361 reviews15.5 total hours156 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/graphic-design-theory/,"Video School, Mario Macari, Phil Ebiner",Rating: 4.3 out of 54.3,361,$9.99,Original Price$19.99,15.5 total hours,156 lectures,All Levels,False
Graphic Design Using AI: COMPLETE Graphic Design ApplicationMaster Graphic Design With ChatGPT Through Real Projects: Graphic Designing/Branding/Posters/Social Media/Packaging/LogoRating: 4.3 out of 543 reviews3 total hours42 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/graphic-design-using-chatgpt-real-graphic-design-ai/,ExpertEase Education,Rating: 4.3 out of 54.3,43,$9.99,Original Price$19.99,3 total hours,42 lectures,Beginner,False
"Canva for Social Media Graphic Design and Video EditingCanva for Every Post: Create Stunning Social Media Graphics and Videos for Instagram, Facebook, YouTube, TikTok and MoreRating: 4.3 out of 5455 reviews5.5 total hours19 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/canva-for-social-media-graphic-design-and-video-editing/,Learnify IT,Rating: 4.3 out of 54.3,455,$9.99,Original Price$19.99,5.5 total hours,19 lectures,All Levels,False
Canva for Social Media: Zero to Hero Graphic Design in CanvaCanva for Social Media | Graphic Design in Canva | Ready to Take Your Social Media to New Heights? Master Canva Today!Rating: 4.3 out of 5122 reviews3.5 total hours27 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/canva-for-social-media-zero-to-hero-graphic-design-in-canva/,Click Learning,Rating: 4.3 out of 54.3,122,$9.99,Original Price$19.99,3.5 total hours,27 lectures,All Levels,False
Beginner's Course on Logo & Graphic Design using IllustratorBeginner's Course on Logo & Graphic DesigningRating: 3.8 out of 529 reviews4.5 total hours20 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/beginners-course-on-logo-graphic-design-using-adobe-illustrator/,Ummu Salma,Rating: 3.8 out of 53.8,29,$10.99,Original Price$19.99,4.5 total hours,20 lectures,Beginner,False
"Design Theory | Designer Choice | The Complete Design CourseLearn Design Theory and all about design theories and fundamentals, the Principles of Logo Design, Layout & More!Rating: 3.5 out of 535 reviews4 total hours31 lecturesAll LevelsCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/design-theory-designer-choice-the-complete-design-course/,Umer Farooq,Rating: 3.5 out of 53.5,35,$10.99,Original Price$19.99,4 total hours,31 lectures,All Levels,False
"The Complete Graphic Design Theory for Beginners CourseLearn Graphic Design Theory and the Basic Principles of Color Theory, Typography, Branding, Logo Design, Layout & More!Rating: 4.6 out of 521581 reviews10 total hours81 lecturesBeginnerCurrent price: $11.99Original price: $79.99",https://www.udemy.com/course/graphic-design-theory-for-beginners-course/,"Lindsay Marsh, Jeremy Deighan - 300,000+ Students",Rating: 4.6 out of 54.6,"21,581",$11.99,Original Price$79.99,10 total hours,81 lectures,Beginner,False
Graphic Design Theory - CompositionElevate your designs to the next level!Rating: 4.6 out of 555 reviews1.5 total hours25 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/graphic-design-theory-composition/,Martin Perhiniak,Rating: 4.6 out of 54.6,55,$9.99,Original Price$19.99,1.5 total hours,25 lectures,All Levels,False
Graphic Design Theory - BalanceMake your designs feel grounded!Rating: 4.6 out of 58 reviews1 total hour19 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/graphic-design-theory-balance/,Martin Perhiniak,Rating: 4.6 out of 54.6,8,$9.99,Original Price$19.99,1 total hour,19 lectures,All Levels,False
"Canva Masterclass: Beginner to Pro Graphic Design in CanvaMaster Graphic Design for Free with Canva: Design, Layout, Colors, Font Choice, Slideshows, Videos, GIFs + More in CanvaRating: 4.7 out of 51085 reviews7 total hours104 lecturesAll LevelsCurrent price: $9.99Original price: $44.99",https://www.udemy.com/course/canva-graphic-design-masterclass/,"Video School, Tomas George, Phil Ebiner, Media Made Fun, Digital Music Masters",Rating: 4.7 out of 54.7,"1,085",$9.99,Original Price$44.99,7 total hours,104 lectures,All Levels,False
"Canva Course: Beginner to Pro Master Canva AI Graphic DesignCanva AI: Master Canva tools for social media, presentations, flyers, Edit images with AI-powered (BG removal, upscalingRating: 4.6 out of 51095 reviews3.5 total hours45 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/canva-course-beginner-to-pro-master-canva-ai-graphic-design/,Shahtaj Ahmed Bhutto,Rating: 4.6 out of 54.6,"1,095",$9.99,Original Price$19.99,3.5 total hours,45 lectures,All Levels,False
Mastering Special FX and Animation in CanvaThe course is designed for those eager to push their Canva skills beyond the conventional boundariesRating: 4.8 out of 556 reviews8.5 total hours52 lecturesAll LevelsCurrent price: $9.99Original price: $44.99,https://www.udemy.com/course/mastering-special-fx-and-animation-in-canva/,Greg Radcliffe,Rating: 4.8 out of 54.8,56,$9.99,Original Price$44.99,8.5 total hours,52 lectures,All Levels,False
Canva for complete BeginnersLearn Graphic Design from ZeroRating: 4.8 out of 53 reviews5.5 total hours28 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/canva-for-complete-beginners-h/,Vitor Silva,Rating: 4.8 out of 54.8,3,$9.99,Original Price$19.99,5.5 total hours,28 lectures,All Levels,False
"Graphic Design Masterclass - Learn GREAT DesignThe Ultimate Graphic Design Course Which Covers Photoshop, Illustrator, InDesign, Design Theory, Branding, Logo DesignRating: 4.6 out of 572279 reviews31.5 total hours239 lecturesBeginnerCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/,Lindsay Marsh,Rating: 4.6 out of 54.6,"72,279",$9.99,Original Price$64.99,31.5 total hours,239 lectures,Beginner,False
"Graphic Design Bootcamp: Create Projects Right Away!Bestselling Beginner Course! Use Photoshop, Illustrator, & InDesign for logo design, web design, poster design, and moreRating: 4.6 out of 516485 reviews17 total hours109 lecturesBeginnerCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/graphic-design-for-beginners/,Derrick Mitchell,Rating: 4.6 out of 54.6,"16,485",$10.99,Original Price$74.99,17 total hours,109 lectures,Beginner,False
"Graphic Design Masterclass Intermediate: The NEXT LevelUp Your Graphic Design Skills: Logo Design, Photo Manipulation, Package Design, Infographics, Portfolio Building, Grids!Rating: 4.8 out of 55625 reviews19.5 total hours149 lecturesIntermediateCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/graphic-design-masterclass-the-next-level/,Lindsay Marsh,Rating: 4.8 out of 54.8,"5,625",$9.99,Original Price$69.99,19.5 total hours,149 lectures,Intermediate,False
"The Branding Masterclass The Entire Brand Design ProcessSketching, Graphic Design, Logo Design, Brand Voice, Color & Typographic Systems, Portfolio and Client PresentationsRating: 4.7 out of 55412 reviews8.5 total hours56 lecturesIntermediateCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/the-branding-masterclass-the-entire-brand-design-process/,Lindsay Marsh,Rating: 4.7 out of 54.7,"5,412",$9.99,Original Price$64.99,8.5 total hours,56 lectures,Intermediate,False
"Graphic Design Mastery- AI, Photoshop, Illustrator, IndesignGraphic Design for beginners including Graphic Design Theories, Photoshop, Illustrator, Indesign, AI & Creative ThinkingRating: 4.5 out of 55338 reviews38 total hours227 lecturesBeginnerCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/illustrator-cc-2018-for-beginners-basics-tricks/,Khalil Ibrahim,Rating: 4.5 out of 54.5,"5,338",$9.99,Original Price$59.99,38 total hours,227 lectures,Beginner,False
Adobe Illustrator Mega Course - From Beginner to AdvancedAdobe Illustrator CC - Designed To Make You an Advanced IllustratorRating: 4.6 out of 54972 reviews18.5 total hours124 lecturesAll LevelsCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/adobe-illustrator-mega-course/,Alan Ayoubi,Rating: 4.6 out of 54.6,"4,972",$9.99,Original Price$69.99,18.5 total hours,124 lectures,All Levels,False
The Art & Science of Drawing / DYNAMIC MARK MAKINGCreate compelling drawings using expressive mark making.Rating: 4.7 out of 53193 reviews1.5 total hours7 lecturesBeginnerCurrent price: $10.99Original price: $59.99,https://www.udemy.com/course/the-art-science-of-drawing-week-two-dynamic-mark-making/,Brent Eviston,Rating: 4.7 out of 54.7,"3,193",$10.99,Original Price$59.99,1.5 total hours,7 lectures,Beginner,False
"Graphic Design Masterclass: Learn Graphic Design in ProjectsGraphic design principles, typography, & color mastery using Illustrator, InDesign, and Photoshop. For beginners & more!Rating: 4.4 out of 52743 reviews4 total hours45 lecturesBeginnerCurrent price: $10.99Original price: $54.99",https://www.udemy.com/course/graphic-design/,"Chad Neuman, Ph.D.",Rating: 4.4 out of 54.4,"2,743",$10.99,Original Price$54.99,4 total hours,45 lectures,Beginner,False
Graphic Design - An Overview of the FieldA survey course that explore nine graphic design specialtiesRating: 4.2 out of 52665 reviews1 total hour12 lecturesBeginnerCurrent price: $10.99Original price: $44.99,https://www.udemy.com/course/graphic-design-secrets/,Mason G,Rating: 4.2 out of 54.2,"2,665",$10.99,Original Price$44.99,1 total hour,12 lectures,Beginner,False
World of Graphic Design & InfographicsAll about basics of Graphical designing and InfographicsRating: 4.2 out of 52250 reviews2.5 total hours28 lecturesIntermediateCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/world-of-graphic-design/,MKCL India,Rating: 4.2 out of 54.2,"2,250",$9.99,Original Price$19.99,2.5 total hours,28 lectures,Intermediate,False
Learn Professional 2D Game Graphic Design in PhotoshopLearn how you can create your own professional game graphics quickly in Photoshop!Rating: 4.5 out of 52193 reviews6.5 total hours80 lecturesAll LevelsCurrent price: $10.99Original price: $64.99,https://www.udemy.com/course/create-quick-professional-2d-game-backgrounds-in-photoshop/,Jaysen Batchelor,Rating: 4.5 out of 54.5,"2,193",$10.99,Original Price$64.99,6.5 total hours,80 lectures,All Levels,False
Learn Professional 2D Game Asset Graphic Design in PhotoshopBecome an exquisite game designer and start creating game art today!Rating: 4.5 out of 51947 reviews7.5 total hours51 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/learn-professional-2d-game-asset-graphic-design-in-photoshop/,Jaysen Batchelor,Rating: 4.5 out of 54.5,"1,947",$10.99,Original Price$69.99,7.5 total hours,51 lectures,All Levels,False
"Ultimate Canva Course — Become a Freelance Graphic DesignerLearn graphic design Canva and start freelancing — Design logos, thumbnails & brand content and get real clients.Rating: 3.6 out of 51890 reviews2 total hours21 lecturesAll LevelsCurrent price: $9.99Original price: $29.99",https://www.udemy.com/course/canva-mastery-become-freelance-graphic-designer-in-1-hour/,"Khadin Akbar, Khadin Akbar Support",Rating: 3.6 out of 53.6,"1,890",$9.99,Original Price$29.99,2 total hours,21 lectures,All Levels,False
Become a Professional Graphic DesignerLearn what you need to know to break into the world of graphic design.Rating: 4.6 out of 51777 reviews20.5 total hours203 lecturesAll LevelsCurrent price: $11.99Original price: $69.99,https://www.udemy.com/course/become-a-professional-graphic-designer-udemy/,Stone River eLearning,Rating: 4.6 out of 54.6,"1,777",$11.99,Original Price$69.99,20.5 total hours,203 lectures,All Levels,False
The Art & Science of Drawing / MEASURING & PROPORTIONDramatically increase the accuracy of your drawings.Rating: 4.6 out of 51622 reviews1.5 total hours5 lecturesBeginnerCurrent price: $10.99Original price: $39.99,https://www.udemy.com/course/the-art-science-of-drawing-week-5-measuring-proportion/,Brent Eviston,Rating: 4.6 out of 54.6,"1,622",$10.99,Original Price$39.99,1.5 total hours,5 lectures,Beginner,False
Adobe Illustrator CC 2020 MasterClassFor All UsersRating: 4.4 out of 51558 reviews39.5 total hours179 lecturesAll LevelsCurrent price: $10.99Original price: $54.99,https://www.udemy.com/course/adobe-illustrator-cc-2020-masterclass/,CADCIM Technologies,Rating: 4.4 out of 54.4,"1,558",$10.99,Original Price$54.99,39.5 total hours,179 lectures,All Levels,False
"Digital Design Masterclass For Graphic DesignersIcon Set Design, E-book cover, Digitizing Sketches, Social Media Design, Wordpress Web Design, Adobe Xd, GIFS and more!Rating: 4.7 out of 51529 reviews9.5 total hours67 lecturesAll LevelsCurrent price: $10.99Original price: $59.99",https://www.udemy.com/course/digital-design-masterclass-for-graphic-designers/,Lindsay Marsh,Rating: 4.7 out of 54.7,"1,529",$10.99,Original Price$59.99,9.5 total hours,67 lectures,All Levels,False
Canva Graphic Design for Entrepreneurs - Design 11 ProjectsLearn Canva from scratch. Create 11 graphic design projects with Canva specifically for entrepreneurs.Rating: 4.1 out of 51519 reviews3.5 total hours56 lecturesAll LevelsCurrent price: $10.99Original price: $54.99,https://www.udemy.com/course/canva-graphic-design-course/,"Jeremy Deighan - 300,000+ Students, Phil Ebiner, Video School, Concept Courses ⁯⁯⁯⁯⁯",Rating: 4.1 out of 54.1,"1,519",$10.99,Original Price$54.99,3.5 total hours,56 lectures,All Levels,False
Adobe Illustrator CC - EssentialsLearn Adobe Illustrator CC - from zero to beyond - with this practical and easy to follow course!Rating: 4.3 out of 51169 reviews13 total hours112 lecturesAll LevelsCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/adobe-illustrator-from-zero-to-beyond/,Davi Salgueiro,Rating: 4.3 out of 54.3,"1,169",$10.99,Original Price$74.99,13 total hours,112 lectures,All Levels,False
"Graphic Design Mastery: The FULL Branding & Design ProcessFollows the FULL Graphic Design Process for A Company: Logo, Ad, Social Media, T-Shirt, Package, Website Design & More!Rating: 4.5 out of 51166 reviews6 total hours46 lecturesIntermediateCurrent price: $10.99Original price: $49.99",https://www.udemy.com/course/graphic-design-mastery-the-full-branding-design-process/,Lindsay Marsh,Rating: 4.5 out of 54.5,"1,166",$10.99,Original Price$49.99,6 total hours,46 lectures,Intermediate,False
