title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
CompTIA Security+ (SY0-701) Complete Course & Practice ExamCompTIA Security+ (SY0-701) Bootcamp - Your preparation for the world's best cybersecurity certification!Rating: 4.7 out of 5112973 reviews31 total hours264 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/securityplus/,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.7 out of 54.7,"112,973",$11.99,Original Price$79.99,31 total hours,264 lectures,All Levels,False
"The Complete Cyber Security Course : Hackers Exposed!Volume 1 : Become a Cyber Security Specialist, Learn How to Stop Hackers, Prevent Hacking,  Learn IT Security &  INFOSECRating: 4.5 out of 557822 reviews12 total hours124 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/,Nathan House,Rating: 4.5 out of 54.5,"57,822",$9.99,Original Price$64.99,12 total hours,124 lectures,All Levels,False
"The Absolute Beginners Guide to Cyber Security 2026 - Part 1Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD & moreRating: 4.7 out of 555808 reviews5 total hours56 lecturesBeginnerCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/the-absolute-beginners-guide-to-information-cyber-security/,Alexander Oni,Rating: 4.7 out of 54.7,"55,808",$10.99,Original Price$74.99,5 total hours,56 lectures,Beginner,False
ISO/IEC 27005:2022. Information security risk managementUnderstand information security risk management. A step-by-step guide to a proven frameworkRating: 4.7 out of 52074 reviews2.5 total hours26 lecturesAll LevelsCurrent price: $10.99Original price: $54.99,https://www.udemy.com/course/isoiec-27005-information-security-risk-management/,"Cristian Vlad Lupa, rigcert.education",Rating: 4.7 out of 54.7,"2,074",$10.99,Original Price$54.99,2.5 total hours,26 lectures,All Levels,False
"Information Security Management Fundamentals for Non-TechiesLearn 2025 Information Security, Risk Management, Incident Response, Compliance, Network Security Fundamentals & MoreRating: 4.6 out of 521927 reviews17 total hours221 lecturesBeginnerCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/information-security-fundamentals/,"Alton Teaches LLC, Alton Hardin | 250,000+ Enrollments Worldwide",Rating: 4.6 out of 54.6,"21,927",$10.99,Original Price$74.99,17 total hours,221 lectures,Beginner,False
Python for Automating Information SecurityLearn how to use the Python programming language to automate offensive and defensive information security tasksRating: 3.7 out of 521 reviews2.5 total hours36 lecturesBeginnerCurrent price: $10.99Original price: $34.99,https://www.udemy.com/course/python-for-automating-information-security/,Packt Publishing,Rating: 3.7 out of 53.7,21,$10.99,Original Price$34.99,2.5 total hours,36 lectures,Beginner,False
"PCI DSS Bootcamp: The A-Z™ Information Security CourseMaster the 12 Requirements of PCI DSS v4.0 Compliance, Cyber Security and Identity Access Management + Practice TestRating: 3.7 out of 5902 reviews5.5 total hours60 lecturesBeginnerCurrent price: $10.99Original price: $54.99",https://www.udemy.com/course/pci-dss-course/,"SecuritasX™ IT Training, SecuritasX Careers",Rating: 3.7 out of 53.7,902,$10.99,Original Price$54.99,5.5 total hours,60 lectures,Beginner,False
Mobile Defense Technology SecurityMobile Defense Technology SecurityRating: 3.0 out of 51 review3.5 total hours24 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/mobile-defense-technology-security/,Richea Perry,Rating: 3.0 out of 53.0,1,$9.99,Original Price$19.99,3.5 total hours,24 lectures,All Levels,False
"ISO/IEC 27005 Information Security Risk ManagementMastering Compliance and Security: Key Insights into Risk Assessment, Control Implementation, and ISO UpdatesRating: 4.6 out of 5383 reviews32 total mins22 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/iso-iec-27005-information-security-risk-management-2024/,Dr. Firas | Certification Center,Rating: 4.6 out of 54.6,383,$9.99,Original Price$19.99,,22 lectures,Beginner,False
"Build Security Incident Response for GDPR data protectionCIPT, CIPM_FREE GDPR and Incident Response Templates & Documentation - Practical GDPR and Incident Response BlueprintRating: 4.6 out of 52726 reviews8.5 total hours88 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/build-security-incident-response-for-eu-gdpr-compliance/,Roland Costea,Rating: 4.6 out of 54.6,"2,726",$10.99,Original Price$74.99,8.5 total hours,88 lectures,All Levels,False
CompTIA Security+ (SY0-701) Complete Course & Practice ExamCompTIA Security+ (SY0-701) Bootcamp - Your preparation for the world's best cybersecurity certification!Rating: 4.7 out of 5113043 reviews31 total hours264 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/securityplus/,"Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.7 out of 54.7,"113,043",$11.99,Original Price$79.99,31 total hours,264 lectures,All Levels,False
"The Absolute Beginners Guide to Cyber Security 2026 - Part 1Learn Cyber Security concepts such as hacking, malware, firewalls, worms, phishing, encryption, biometrics, BYOD &amp; moreRating: 4.7 out of 555817 reviews5 total hours56 lecturesBeginnerCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/the-absolute-beginners-guide-to-information-cyber-security/,Alexander Oni,Rating: 4.7 out of 54.7,"55,817",$10.99,Original Price$74.99,5 total hours,56 lectures,Beginner,False
