title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"The Ultimate React Course 2025: React, Next.js, Redux & MoreMaster modern React from beginner to advanced! Next.js, Context API, React Query, Redux, Tailwind, advanced patternsRating: 4.7 out of 525122 reviews84 total hours505 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/the-ultimate-react-course/,Jonas Schmedtmann,Rating: 4.7 out of 54.7,"25,122",$9.99,Original Price$59.99,84 total hours,505 lectures,All Levels,False
"The Complete JavaScript Course 2025: From Zero to Expert!The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!Rating: 4.7 out of 5230724 reviews71 total hours332 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/the-complete-javascript-course/,Jonas Schmedtmann,Rating: 4.7 out of 54.7,"230,724",$9.99,Original Price$64.99,71 total hours,332 lectures,All Levels,False
JavaScript And PHP And Python Programming Complete CourseLearn JavaScript And PHP And Python Programming language In One JavaScript And PHP And Python Complete CourseRating: 4.4 out of 51072 reviews8 total hours101 lecturesBeginnerCurrent price: $9.99Original price: $34.99,https://www.udemy.com/course/javascript-and-php-and-python-programming-complete-course/,PROPER DOT INSTITUTE,Rating: 4.4 out of 54.4,"1,072",$9.99,Original Price$34.99,8 total hours,101 lectures,Beginner,False
"HTML, CSS, JavaScript, React - Online Certification CourseBuild: Mobile Responsive Web Pages using CSS | Dynamic Web Apps in React | Interactive UI Components | E-Commerce SitesRating: 4.4 out of 51139 reviews16 total hours200 lecturesBeginnerCurrent price: $9.99Original price: $44.99",https://www.udemy.com/course/html-css-javascript-react-online-certification-course/,"YouAccel Training, Blue Digital Media",Rating: 4.4 out of 54.4,"1,139",$9.99,Original Price$44.99,16 total hours,200 lectures,Beginner,False
JavaScript - The Complete Guide (Beginner + Advanced)Modern JavaScript from the beginning - all the way up to JS expert level! THE must-have JavaScript resource in 2026.Rating: 4.5 out of 532967 reviews52.5 total hours617 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",Rating: 4.5 out of 54.5,"32,967",$9.99,Original Price$64.99,52.5 total hours,617 lectures,All Levels,False
"50 Projects In 50 Days - HTML, CSS & JavaScriptSharpen your skills by building 50+ quick, unique and fun mini projectsRating: 4.6 out of 512780 reviews19.5 total hours170 lecturesBeginnerCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/50-projects-50-days/,"Brad Traversy, Florin Pop",Rating: 4.6 out of 54.6,"12,780",$9.99,Original Price$64.99,19.5 total hours,170 lectures,Beginner,False
"Modern Web Development with JavaScript, jQuery & TypeScriptMaster JavaScript from scratch, build dynamic websites with jQuery, and write scalable applications using TypeScript.Rating: 3.8 out of 54 reviews5.5 total hours36 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/modern-web-development-with-javascript-jquery-typescript/,Logic Labs,Rating: 3.8 out of 53.8,4,$9.99,Original Price$19.99,5.5 total hours,36 lectures,All Levels,False
"JavaScript Complete Beginners Course For Web DevelopmentJavaScript tutorial for Beginner, JavaScript Loop ,JS function,  JavaScript ES6, JavaScript DOM, Modern JavaScriptRating: 4.0 out of 5884 reviews12.5 total hours98 lecturesBeginnerCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/javascript-beginnerscourse/,Khan Programmer,Rating: 4.0 out of 54.0,884,$10.99,Original Price$19.99,12.5 total hours,98 lectures,Beginner,False
"Learn JavaScript: Full-Stack from ScratchUnderstand the JavaScript language itself, Node.js, MongoDB, The Web Browser and More To Create Meaningful ApplicationsRating: 4.6 out of 55374 reviews28.5 total hours139 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/learn-javascript-full-stack-from-scratch/,Brad Schiff,Rating: 4.6 out of 54.6,"5,374",$10.99,Original Price$74.99,28.5 total hours,139 lectures,All Levels,False
"The Fastest Javascript Course: From ZERO to HERO in 6 HoursComplete Project-Based JavaScript with ES6+, JS Best Practices, HTTP Requests to APIs, JSON and moreRating: 4.6 out of 52883 reviews6 total hours52 lecturesBeginnerCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/javascript-flash-course-beginner-to-advanced/,Ivan Lourenço Gomes,Rating: 4.6 out of 54.6,"2,883",$9.99,Original Price$49.99,6 Hours,52 lectures,Beginner,False
