title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Certified Kubernetes Administrator (CKA) with Practice TestsPrepare for the Certified Kubernetes Administrators Certification with live practice tests right in your browser - CKARating: 4.7 out of 588903 reviews26.5 total hours326 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/certified-kubernetes-administrator-with-practice-tests/,"Mumshad Mannambeth, KodeKloud Training",Rating: 4.7 out of 54.7,"88,903",$11.99,Original Price$79.99,26.5 total hours,326 lectures,All Levels,True
Kubernetes Certified Application Developer (CKAD) with TestsLearn concepts and practice for the Kubernetes Certification with hands-on labs right in your browser - DevOps - CKADRating: 4.7 out of 539531 reviews16.5 total hours214 lecturesAll LevelsCurrent price: $12.99Original price: $84.99,https://www.udemy.com/course/certified-kubernetes-application-developer/,"Mumshad Mannambeth, KodeKloud Training, Vijin Palazhi",Rating: 4.7 out of 54.7,"39,531",$12.99,Original Price$84.99,16.5 total hours,214 lectures,All Levels,True
Supercourse - Ultimate Advanced Kubernetes BootcampMastering container orchestration with Kubernetes one step at a time. Prepare for CKA/CKAD ExamRating: 4.6 out of 51212 reviews23.5 total hours208 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/kubernetes-certified-administrator/,"Gourav J. Shah, School of Devops",Rating: 4.6 out of 54.6,"1,212",$69.99,,23.5 total hours,208 lectures,All Levels,True
"Kubernetes - Certified Kubernetes Administrator (CKA)Kubernetes - Certified Kubernetes Administrator (CKA), Learn more than CKA, Production grade kubernetesRating: 4.3 out of 5751 reviews7 total hours65 lecturesAll LevelsCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/kubernetes-hands-on-the-complete-guide/,Himanshu Sharma,Rating: 4.3 out of 54.3,751,$9.99,Original Price$49.99,7 total hours,65 lectures,All Levels,True
Certified Kubernetes Administrator 2026Master Course to prepare for Certified Kubernetes Administrator certification.Rating: 4.7 out of 53254 reviews25.5 total hours172 lecturesIntermediateCurrent price: $24.99,https://www.udemy.com/course/certified-kubernetes-administrator/,Zeal Vora,Rating: 4.7 out of 54.7,"3,254",$24.99,,25.5 total hours,172 lectures,Intermediate,True
"Kubernetes from A to Z™Master the best open-source system for automating deployment, scaling and managing containerized applications.Rating: 3.9 out of 5573 reviews2 total hours27 lecturesBeginnerCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/kubernetes-for-beginners/,"Stefan Thorpe, Samy Mkacher",Rating: 3.9 out of 53.9,573,$10.99,Original Price$19.99,2 total hours,27 lectures,Beginner,True
"The Complete Course of Istio Service Mesh on KubernetesLearn Istio in a Professional way. Become an expert in Service Mesh and Kubernetes, from ZERO to HERO!Rating: 3.7 out of 513 reviews7 total hours38 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/istio-course/,The Tech Courses,Rating: 3.7 out of 53.7,13,$9.99,Original Price$19.99,7 total hours,38 lectures,All Levels,True
Python Microservices: Breaking a Monolith to MicroservicesBreak a Python Django Monolith into Microservices with Apache Kafka and Event-Driven ArchitectureRating: 3.9 out of 5147 reviews7.5 total hours69 lecturesIntermediateCurrent price: $9.99Original price: $39.99,https://www.udemy.com/course/python-microservices/,Antonio Papa,Rating: 3.9 out of 53.9,147,$9.99,Original Price$39.99,7.5 total hours,69 lectures,Intermediate,True
NodeJS Microservices: Breaking a Monolith to MicroservicesBreak a NodeJS Monolith into Microservices with Apache Kafka and Event-Driven ArchitectureRating: 3.9 out of 547 reviews7 total hours70 lecturesIntermediateCurrent price: $9.99Original price: $34.99,https://www.udemy.com/course/node-microservices/,Antonio Papa,Rating: 3.9 out of 53.9,47,$9.99,Original Price$34.99,7 total hours,70 lectures,Intermediate,True
NestJS Microservices: Breaking a Monolith to MicroservicesBreak a NestJS Monolith into Microservices with Apache Kafka and Event-Driven ArchitectureRating: 3.5 out of 586 reviews8 total hours75 lecturesIntermediateCurrent price: $9.99Original price: $34.99,https://www.udemy.com/course/nestjs-microservices/,Antonio Papa,Rating: 3.5 out of 53.5,86,$9.99,Original Price$34.99,8 total hours,75 lectures,Intermediate,True
"DevOps Engineer: Docker, Kubernetes, Jenkins, Terraform, AWSMaster DevOps with Docker, Kubernetes, Jenkins, AWS & Terraform through hands-on projects and real-world workflowsRating: 3.2 out of 55 reviews50 total hours94 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/devops-course-docker-kubernetes-jenkins-aws-terraform/,Uplatz Training,Rating: 3.2 out of 53.2,5,$9.99,Original Price$19.99,50 total hours,94 lectures,All Levels,True
"DevSecOps - Kubernetes DevOps & Security with Hands-On LabsLearn how to integrate & monitor security within Applications, Docker, Kubernetes using DevSecOps with Hands-On LabsRating: 4.4 out of 5504 reviews13 total hours138 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/kubernetes-devsecops/,Siddharth Barahalikar,Rating: 4.4 out of 54.4,504,$9.99,Original Price$64.99,13 total hours,138 lectures,All Levels,True
The Ultimate DevOps BootcampThe ultimate DevOps Bootcamp course for all your DevOps learningRating: 4.6 out of 58639 reviews17.5 total hours281 lecturesBeginnerCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/the-complete-devops-bootcamp/,"Mumshad Mannambeth, KodeKloud Training",Rating: 4.6 out of 54.6,"8,639",$9.99,Original Price$59.99,17.5 total hours,281 lectures,Beginner,True
"Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOpsDevOps for Absolute Beginners: Azure DevOps, Docker, Kubernetes, Jenkins, Terraform, Ansible - AWS, Azure & Google CloudRating: 4.5 out of 517336 reviews21.5 total hours236 lecturesAll LevelsCurrent price: $19.99Original price: $139.99",https://www.udemy.com/course/devops-with-docker-kubernetes-and-azure-devops/,"in28Minutes Official, Ravi S | DevOps Expert - Docker & Kubernetes, Open Cloud Solutions | Microsoft Azure Certification - AZ 900, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect",Rating: 4.5 out of 54.5,"17,336",$19.99,Original Price$139.99,21.5 total hours,236 lectures,All Levels,True
"Kubernetes for the Absolute Beginners - Hands-onLearn Kubernetes in simple, easy and fun way with hands-on coding exercises. For beginners in DevOps.Rating: 4.6 out of 5109579 reviews6.5 total hours64 lecturesBeginnerCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/learn-kubernetes/,"Mumshad Mannambeth, KodeKloud Training",Rating: 4.6 out of 54.6,"109,579",$10.99,Original Price$74.99,6.5 total hours,64 lectures,Beginner,True
