title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Leadership: Practical Leadership SkillsMaster leadership skills and leadership techniques with this highly practical advice and trainingRating: 4.7 out of 5106123 reviews3.5 total hours49 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/practical-leadership/,Chris Croft,Rating: 4.7 out of 54.7,"106,123",$9.99,Original Price$64.99,3.5 total hours,49 lectures,All Levels
Management Skills - Team Leadership Skills MasterclassLeadership & Management Skills - Change Management- Lean BPM Management Skills - Team Management - Team BuildingRating: 4.7 out of 519712 reviews22.5 total hours310 lecturesBeginnerCurrent price: $27.99Original price: $174.99,https://www.udemy.com/course/leadership-and-lean-management-masterclass/,"Mark Timberlake, Stephen Mather",Rating: 4.7 out of 54.7,"19,712",$27.99,Original Price$174.99,22.5 total hours,310 lectures,Beginner
Leadership Lessons and Building high performing teamsLessons in LeadershipRating: 4.6 out of 53596 reviews4 total hours26 lecturesAll LevelsCurrent price: $10.99Original price: $44.99,https://www.udemy.com/course/leadership-lessons-and-building-high-performing-teams/,Stuart Lancaster,Rating: 4.6 out of 54.6,"3,596",$10.99,Original Price$44.99,4 total hours,26 lectures,All Levels
Resilience LeadershipHow to ensure you and your team thrive in adversityRating: 4.5 out of 510578 reviews2 total hours43 lecturesIntermediateCurrent price: $12.99Original price: $39.99,https://www.udemy.com/course/resilience-leadership/,Beth Payne,Rating: 4.5 out of 54.5,"10,578",$12.99,Original Price$39.99,2 total hours,43 lectures,Intermediate
Team Building - From Forming to High Performing TeamsA Team Building Guide - How To Build A High Performing Self-Directed Team - A Teamwork GuideRating: 4.5 out of 517075 reviews1.5 total hours28 lecturesAll LevelsCurrent price: $10.99Original price: $49.99,https://www.udemy.com/course/building-your-team/,"Lawrence M. Miller, Leadership Excellence, LLC",Rating: 4.5 out of 54.5,"17,075",$10.99,Original Price$49.99,1.5 total hours,28 lectures,All Levels
"Leading Effective MeetingsLearn how to effectively plan, run, & manage meetings of any kind. Increase your team's productivity & participationRating: 4.4 out of 59231 reviews1 total hour20 lecturesBeginnerCurrent price: $10.99Original price: $44.99",https://www.udemy.com/course/how-to-lead-effective-meetings/,PracticalGrowth Inc.,Rating: 4.4 out of 54.4,"9,231",$10.99,Original Price$44.99,1 total hour,20 lectures,Beginner
"True Leadership: Lead with Confidence and ClarityBuild confidence, set strong culture, lead people effectively, and make better decisions without ego or micromanagementRating: 2.5 out of 51 review1 total hour10 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/true-leadership-lead-with-confidence-and-clarity/,Jaret Grossman,Rating: 2.5 out of 52.5,1,$9.99,Original Price$19.99,1 total hour,10 lectures,All Levels
"Situational Leadership - BasicThis evolution is referred to by Blanchard, Zigarmi and Nelson as “revisions that have since improved the model.”Rating: 3.7 out of 572 reviews31 total mins10 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/situational-leadership-basic/,Management Study Guide,Rating: 3.7 out of 53.7,72,$9.99,Original Price$19.99,,10 lectures,Beginner
"Management and Organisational Behaviour in PracticeA Guide for improving interpersonal relations, group motivation, leadership, managerial behaviour, work life balanceRating: 4.9 out of 520 reviews3 total hours47 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/management-and-organisational-behaviour-in-practice/,Prof John Martey FCG,Rating: 4.9 out of 54.9,20,$9.99,Original Price$19.99,3 total hours,47 lectures,All Levels
Vigilant Leadership with Generative AI: Gen AI for LeadersIntegrating Vigilant Leadership with Generative AI Tools: Practical Vigilant Leadership Prompts: Foresight and ActionRating: 4.9 out of 516 reviews10 total hours94 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/vigilant-leadership-with-generative-ai-gen-ai-for-leaders/,ETS WellTech Education Innovations & Solutions,Rating: 4.9 out of 54.9,16,$9.99,Original Price$19.99,10 total hours,94 lectures,All Levels
"Personality Development: Confidence & CommunicationMagnetic Personality Blueprint: Become Confident, Calm & Charismatic this year and achieve new heights of success.Rating: 4.4 out of 5143 reviews5 total hours30 lecturesAll LevelsCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/defineyourselfofficial/,Lavesh Vaswani,Rating: 4.4 out of 54.4,143,$10.99,Original Price$19.99,5 total hours,30 lectures,All Levels
