title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Certified Somatic Mind-Body Healing Practitioner ACCREDITEDBecome a trauma-informed Somatic Therapist. Heal physical and mental health issues and regulate the nervous system.Rating: 4.7 out of 51205 reviews4.5 total hours53 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/somatic-mind-body-healing-practitioner/,Shana Neril,Rating: 4.7 out of 54.7,"1,205",$9.99,Original Price$19.99,4.5 total hours,53 lectures,All Levels,False
"Certified Trauma-Informed Somatic Life Coach ACCREDITEDDevelop intuition & body-based healing methods to guide trauma recovery, emotional release & soul-level transformation.Rating: 4.6 out of 5170 reviews7.5 total hours66 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/certified-somatic-transpersonal-life-coach/,Shana Neril,Rating: 4.6 out of 54.6,170,$9.99,Original Price$19.99,7.5 total hours,66 lectures,All Levels,False
"Professional Life Coach Certification & Guide (Accredited)Become a certified life coach & grow your life coaching business! Done-for-you forms, tools, processes & best practicesRating: 4.6 out of 525427 reviews13 total hours116 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/life-coaching-a-complete-guide/,"Joeel & Natalie of Transformation Services, Transformation Services",Rating: 4.6 out of 54.6,"25,427",$9.99,Original Price$69.99,13 total hours,116 lectures,All Levels,False
"Certified Life Coach Training (Beginner to Advanced)Learn the art of life coaching, grow in self-awareness, master communication + empower others to unlock their potential.Rating: 4.6 out of 538718 reviews33.5 total hours129 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/life-coaching-online-certification-course-life-coach-training/,"Kain Ramsay, Academy of Applied Psychology",Rating: 4.6 out of 54.6,"38,718",$9.99,Original Price$69.99,33.5 total hours,129 lectures,All Levels,False
"Spiritual Coach Certification (Accredited)Coach others into alignment, fulfillment, connection & meaning! Elevate your life coaching business to the next level.Rating: 4.6 out of 56150 reviews4 total hours44 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/spiritual-life-coach-certification-accredited/,"Joeel & Natalie of Transformation Services, Emily Andrews",Rating: 4.6 out of 54.6,"6,150",$10.99,Original Price$69.99,4 total hours,44 lectures,All Levels,False
ICF Guided Life Coaching CertificateHelp clients change their livesRating: 3.8 out of 523 reviews2 total hours31 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/icf-accredited-life-coaching-certificate/,KB S,Rating: 3.8 out of 53.8,23,$9.99,Original Price$19.99,2 total hours,31 lectures,Beginner,False
"CBT Cognitive Behavior Life Coach Certification: AccreditedWith CBT: Empower coaching clients to stop self-sabotage, reprogram their mind, master emotions & stop negative thinkingRating: 4.7 out of 55182 reviews6 total hours58 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/cbt-cognitive-behavioral-life-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",Rating: 4.7 out of 54.7,"5,182",$9.99,Original Price$69.99,6 total hours,58 lectures,All Levels,False
Life Purpose Life Coach Certification (Accredited)Become a Certified Life Purpose Coach! Learn powerful tools & strategies to help clients find their purpose & passion.Rating: 4.7 out of 510044 reviews7.5 total hours62 lecturesAll LevelsCurrent price: $13.99Original price: $94.99,https://www.udemy.com/course/life-purpose-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",Rating: 4.7 out of 54.7,"10,044",$13.99,Original Price$94.99,7.5 total hours,62 lectures,All Levels,False
"Emotional Intelligence Life Coach Certification (Accredited)Emotional Intelligence: Help life coaching clients master emotions, reduce stress, and develop emotional intelligenceRating: 4.7 out of 53191 reviews8 total hours78 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/emotional-intelligence-life-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",Rating: 4.7 out of 54.7,"3,191",$9.99,Original Price$64.99,8 total hours,78 lectures,All Levels,False
"Master Life Coach & Practitioner| INTERNATIONALLY ACCREDITEDA comprehensive life coaching system, complete with step-by-step session guides for health, wellness, healing, success!Rating: 4.7 out of 5724 reviews4.5 total hours24 lecturesAll LevelsCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/certified-6-pillar-soul-coaching-therapist-all-levels/,"Sufani Garza, Place of Bliss Academy",Rating: 4.7 out of 54.7,724,$9.99,Original Price$49.99,4.5 total hours,24 lectures,All Levels,False
