title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Advanced Shoulder Massage Certificate Course (9 CE)A Complete System for Effective Shoulder Work and Pain ReliefRating: 4.8 out of 5145 reviews6 total hours64 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/advanced-shoulder-massage-certificate-course-9-ceu/,Michael Eric Everson,Rating: 4.8 out of 54.8,145,$9.99,Original Price$19.99,6 total hours,64 lectures,All Levels,True
"Pelvic Health Massage Therapy Certificate Course (2 CE)Learn practical Massage Therapy for Pelvic Pain and Pelvic Floor issues, a skill that is in high demandRating: 4.6 out of 5417 reviews2 total hours50 lecturesAll LevelsCurrent price: $9.99Original price: $34.99",https://www.udemy.com/course/pelvic-health-massage-therapy-certificate-course/,Michael Eric Everson,Rating: 4.6 out of 54.6,417,$9.99,Original Price$34.99,2 total hours,50 lectures,All Levels,True
Pregnancy Massage CertificatePregnancy massage techniques to relax and restore the bodyRating: 4.3 out of 598 reviews2 total hours15 lecturesBeginnerCurrent price: $9.99Original price: $29.99,https://www.udemy.com/course/pregnancy-massage-certificate/,Laura De Giorgio,Rating: 4.3 out of 54.3,98,$9.99,Original Price$29.99,2 total hours,15 lectures,Beginner,True
NEW Thai Foot Reflexology Massage Certificate Course (4 CEU)Learn Basic to Advanced Thai foot reflexology massage today and people will LOVE your reflexology treatments.Rating: 4.7 out of 52371 reviews5.5 total hours48 lecturesAll LevelsCurrent price: $12.99Original price: $89.99,https://www.udemy.com/course/thai-foot-reflexology-massage-course/,Mark Perren-Jones,Rating: 4.7 out of 54.7,"2,371",$12.99,Original Price$89.99,5.5 total hours,48 lectures,All Levels,True
Manual Lymphatic Drainage Masterclass (6CEU)Manual lymphatic Drainage Massage Will Change Your Massage Practice Forever In This Accredited NCBTMB Certificate CourseRating: 4.8 out of 56754 reviews6 total hours45 lecturesBeginnerCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/manual-lymphatic-drainage-massage/,Mark Perren-Jones,Rating: 4.8 out of 54.8,"6,754",$9.99,Original Price$69.99,6 total hours,45 lectures,Beginner,True
"Lymphatic Drainage Masterclass Certificate Course (5 CE)Learn Lymphatic Drainage Massage, commonly used in wellness, recovery, and post-treatment. Accredited NCBTMB CourseRating: 4.7 out of 51850 reviews5 total hours41 lecturesAll LevelsCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/lymphatic-drainage-massage-therapy-certificate-course/,Michael Eric Everson,Rating: 4.7 out of 54.7,"1,850",$9.99,Original Price$49.99,5 total hours,41 lectures,All Levels,True
Massage: Complete Learn to Massage Your Partner CourseEver wanted to learn to give a proper massage to your partner? This course will teach you how to massage at home.Rating: 4.0 out of 529 reviews2 total hours23 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/happy-wife-happy-life-massage-course/,Adam Ilko,Rating: 4.0 out of 54.0,29,$10.99,Original Price$19.99,2 total hours,23 lectures,Beginner,True
Deep Tissue Trigger Point Massage Certificate Course (6 CEU)A NEW approach to deep tissue massage trigger point therapy! Learn how to treat over 40 different conditions!Rating: 4.8 out of 5762 reviews5.5 total hours68 lecturesAll LevelsCurrent price: $9.99Original price: $49.99,https://www.udemy.com/course/deep-tissue-trigger-point-massage-certificate-course/,Mark Perren-Jones,Rating: 4.8 out of 54.8,762,$9.99,Original Price$49.99,5.5 total hours,68 lectures,All Levels,True
Active Release Massage Therapy Certificate Course (5.5 CEU)Learning Active Release Massage Therapy will be an invaluable therapeutic tool in your spa to see spectacular resultsRating: 4.8 out of 5356 reviews6 total hours60 lecturesIntermediateCurrent price: $9.99Original price: $39.99,https://www.udemy.com/course/active-release-massage-therapy-certificate-course-55-ceu/,Mark Perren-Jones,Rating: 4.8 out of 54.8,356,$9.99,Original Price$39.99,6 total hours,60 lectures,Intermediate,True
"Craniosacral Therapy-Cranial Manipulative Techniques (7CEU)Take your massage sessions, facials or craniosacral therapy to a completely new level!Rating: 4.8 out of 5249 reviews7 total hours67 lecturesAll LevelsCurrent price: $9.99Original price: $44.99",https://www.udemy.com/course/craniosacral-therapy-2-cranial-manipulative-techniques/,Mark Perren-Jones,Rating: 4.8 out of 54.8,249,$9.99,Original Price$44.99,7 total hours,67 lectures,All Levels,True
