title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Mathematical Foundations of Machine LearningEssential Linear Algebra and Calculus Hands-On in NumPy, TensorFlow, and PyTorchRating: 4.6 out of 58165 reviews16.5 total hours114 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/machine-learning-data-science-foundations-masterclass/,"Dr Jon Krohn, SuperDataScience Team, Ligency ​",Rating: 4.6 out of 54.6,"8,165",$9.99,Original Price$64.99,16.5 total hours,114 lectures,All Levels
"Modern Artificial Intelligence Masterclass: Build 6 ProjectsHarness the power of AI to solve practical, real-world problems in Finance, Tech, Art and HealthcareRating: 4.4 out of 52471 reviews16 total hours91 lecturesIntermediateCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/modern-artificial-intelligence-applications/,"Prof. Ryan Ahmed, Ph.D., MBA | 500,000+ Students | Best-Selling Instructor, SuperDataScience Team, Ligency ​",Rating: 4.4 out of 54.4,"2,471",$10.99,Original Price$69.99,16 total hours,91 lectures,Intermediate
Complete High Speed Vedic Math CourseLearn the World's Fastest Mental Math System.Rating: 4.5 out of 54176 reviews14.5 total hours57 lecturesAll LevelsCurrent price: $11.99Original price: $69.99,https://www.udemy.com/course/vedicmaths/,Gaurav Tekriwal,Rating: 4.5 out of 54.5,"4,176",$11.99,Original Price$69.99,14.5 total hours,57 lectures,All Levels
"Math Fundamentals 101: Master Math Basics from ScratchBuild a Strong Foundation with 130+ Engaging Videos, 250+ Practice Problems, and a Free 300+ Page TextbookRating: 4.5 out of 5969 reviews9 total hours147 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/pinkpencilmath_fundamentals_101/,Tanya Zakowich,Rating: 4.5 out of 54.5,969,$9.99,Original Price$59.99,9 total hours,147 lectures,All Levels
"Mathematics for Game Development - Unity 6 CompatibleA Beginner's Guide to Essential Mathematics, Data Structures and Algorithms used in Game Programming applied in UnityRating: 4.5 out of 51826 reviews15.5 total hours71 lecturesBeginnerCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/games_mathematics/,"Penny de Byl, Penny Holistic3D",Rating: 4.5 out of 54.5,"1,826",$10.99,Original Price$74.99,15.5 total hours,71 lectures,Beginner
IBEW Aptitude Math Portion Prep Course For All ElectricianYour Guide For Passing The IBEW Or NJATC Aptitude Exam Math SectionRating: 4.0 out of 53 reviews21 total hours50 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/ibew-aptitude-math-portion-prep-course-for-all-electrician/,Lonzo Fulwider,Rating: 4.0 out of 54.0,3,$9.99,Original Price$19.99,21 total hours,50 lectures,All Levels
Math for Unreal Engine (Early Preview)Learn Math by doing real-world Unreal Engine projectsRating: 3.8 out of 529 reviews1.5 total hours33 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/math-for-unreal-engine/,Arunoda Susiripala,Rating: 3.8 out of 53.8,29,$9.99,Original Price$19.99,1.5 total hours,33 lectures,Beginner
Percentages for BeginnersEverything you need to know about PercentagesRating: 4.6 out of 511 reviews2 total hours34 lecturesAll LevelsCurrent price: $10.99Original price: $54.99,https://www.udemy.com/course/percentages-for-dummies/,Saad Saleem,Rating: 4.6 out of 54.6,11,$10.99,Original Price$54.99,2 total hours,34 lectures,All Levels
SAT Math: Guaranteed ResultsHow to ace the SAT Math sectionRating: 4.6 out of 564 reviews4.5 total hours21 lecturesAll LevelsCurrent price: $10.99Original price: $49.99,https://www.udemy.com/course/sat-math-guaranteed-results/,Philip Lee,Rating: 4.6 out of 54.6,64,$10.99,Original Price$49.99,4.5 total hours,21 lectures,All Levels
Digital SAT Math: Most Effective Full Course | score +750All digital SAT math topics explained and over 400 examples solved! +300 additional questions with video solutionsRating: 4.7 out of 5120 reviews32 total hours122 lecturesAll LevelsCurrent price: $29.99,https://www.udemy.com/course/digital-sat-math-800-guaranteed/,Emin T.,Rating: 4.7 out of 54.7,120,$29.99,,32 total hours,122 lectures,All Levels
