title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Java Programming for Complete BeginnersJava Programming for Beginners. Learn Core Java, Java Object Oriented Programming and Spring Boot. Get Interview Ready!Rating: 4.5 out of 552998 reviews60.5 total hours731 lecturesBeginnerCurrent price: $13.99Original price: $89.99",https://www.udemy.com/course/java-programming-tutorial-for-beginners/,in28Minutes Official,Rating: 4.5 out of 54.5,"52,998",$13.99,Original Price$89.99,60.5 total hours,731 lectures,All Levels,False
"[NEW] Master Spring Boot 3 & Spring Framework 6 with JavaBecome Java Spring Boot Full Stack Developer. Learn Spring Framework, Spring Boot, Spring Data, Docker & AWSRating: 4.5 out of 511515 reviews42 total hours459 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/spring-boot-and-spring-framework-tutorial-for-beginners/,in28Minutes Official,Rating: 4.5 out of 54.5,"11,515",$9.99,Original Price$59.99,42 total hours,459 lectures,All Levels,False
"Master Microservices with Spring Boot and Spring CloudJava Spring Boot Microservices 5-in-1 - Spring Boot, Spring Cloud, Docker, Kubernetes and REST API (REST Web Services)Rating: 4.6 out of 559188 reviews22.5 total hours284 lecturesAll LevelsCurrent price: $12.99Original price: $84.99",https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,in28Minutes Official,Rating: 4.6 out of 54.6,"59,188",$12.99,Original Price$84.99,22.5 total hours,284 lectures,All Levels,False
"Microservices with Node JS and ReactBuild, deploy, and scale an E-Commerce app using Microservices built with Node, React, Docker and KubernetesRating: 4.8 out of 519920 reviews54.5 total hours655 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/microservices-with-node-js-and-react/,Stephen Grider,Rating: 4.8 out of 54.8,"19,920",$9.99,Original Price$64.99,54.5 total hours,655 lectures,All Levels,False
Microservices: Designing Highly Scalable SystemsMicroservices with a Purpose: Exploring the Bigger PictureRating: 4.5 out of 518783 reviews1.5 total hours24 lecturesBeginnerCurrent price: $11.99Original price: $54.99,https://www.udemy.com/course/introduction-to-microservices/,Sean Campbell,Rating: 4.5 out of 54.5,"18,783",$11.99,Original Price$54.99,1.5 total hours,24 lectures,Beginner,False
Microservices Architecture - The Complete GuideBecome an expert in the most popular Software Architecture style in the world!Rating: 4.6 out of 518591 reviews5 total hours90 lecturesIntermediateCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/microservices-architecture-the-complete-guide/,Memi Lavi,Rating: 4.6 out of 54.6,"18,591",$10.99,Original Price$69.99,5 total hours,90 lectures,Intermediate,False
"[NEW] Master Microservices with SpringBoot,Docker,KubernetesLearn & Develop Microservices with Java, Spring Boot, Spring Cloud, Docker, Kubernetes, Helm, Microservices SecurityRating: 4.7 out of 512568 reviews40.5 total hours283 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/master-microservices-with-spring-docker-kubernetes/,"Eazy Bytes, Madan Reddy",Rating: 4.7 out of 54.7,"12,568",$10.99,Original Price$74.99,40.5 total hours,283 lectures,All Levels,False
Microservices Software Architecture: Patterns and TechniquesLearn how to design and implement microservice systems using the right architecture design patterns and techniquesRating: 3.8 out of 59771 reviews1 total hour23 lecturesAll LevelsCurrent price: $10.99Original price: $34.99,https://www.udemy.com/course/microservices-software-architecture-patterns-and-techniques/,Binary Brain,Rating: 3.8 out of 53.8,"9,771",$10.99,Original Price$34.99,1 total hour,23 lectures,All Levels,False
"Spring Boot Microservices and Spring Cloud. Build & Deploy.Spring Cloud Config Server, API Gateway, Eureka, Feign, Resilience4J, Load Balancing, Spring Security, ELK, Docker, AWS.Rating: 4.5 out of 59105 reviews26 total hours353 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/spring-boot-microservices-and-spring-cloud/,Sergey Kargopolov,Rating: 4.5 out of 54.5,"9,105",$10.99,Original Price$74.99,26 total hours,353 lectures,All Levels,False
"Microservices with Spring CloudA deep-dive into the Microservice architectural style, and how to implement it with Spring technologies.Rating: 4.4 out of 58691 reviews7.5 total hours40 lecturesIntermediateCurrent price: $11.99Original price: $54.99",https://www.udemy.com/course/microservices-with-spring-cloud/,Ken Krueger,Rating: 4.4 out of 54.4,"8,691",$11.99,Original Price$54.99,7.5 total hours,40 lectures,Intermediate,False
