title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"PL-300 certification prep: Microsoft Power BI Data AnalystLearn skills for Microsoft PL-300 certification using the free Power BI Desktop. Power Query, DAX, M. Helps with DP-600Rating: 4.6 out of 536265 reviews30 total hours322 lecturesBeginnerCurrent price: $129.99",https://www.udemy.com/course/70-778-analyzing-and-visualizing-data-with-power-bi/,"Phillip Burton • over one million students so far, I Do Data Limited",Rating: 4.6 out of 54.6,"36,265",$13.99,Original Price$94.99,30 total hours,322 lectures,Beginner
"PL-300 Microsoft Power BI Data Analyst Practice Test w/ labsAce PL-300 | Microsoft Power BI | Lucid, visual explanations for correct and wrong answers | Case Studies | PBIX filesRating: 4.4 out of 52106 reviews174 questionsIntermediateCurrent price: $59.99",https://www.udemy.com/course/pl-300-practice-tests-microsoft-power-bi-data-analyst/,Ravikiran Srinivasulu,Rating: 4.4 out of 54.4,"2,106",$9.99,Original Price$49.99,,,Intermediate
[NEW] PL-300: Microsoft Power BI Data Analyst Associate 2026,https://www.udemy.com/course/pl300-powerbi-certification-exam/,By Amandeep Sawhney | HawkEye Data,Rating: 4.6 out of 54.6,371,$9.99,Original Price$19.99,202627 total hours,178 lectures,All Levels
"PL-300 certification prep: Microsoft Power BI Data AnalystLearn skills for Microsoft PL-300 certification using the free Power BI Desktop. Power Query, DAX, M. Helps with DP-600Rating: 4.6 out of 536265 reviews30 total hours322 lecturesBeginnerCurrent price: $13.99Original price: $94.99",https://www.udemy.com/course/70-778-analyzing-and-visualizing-data-with-power-bi/,"Phillip Burton • over one million students so far, I Do Data Limited",Rating: 4.6 out of 54.6,"36,265",$13.99,Original Price$94.99,30 total hours,322 lectures,Beginner
Microsoft Power BI: PL-300 Certification Prep (Data Analyst)Complete guide to acing the PL-300 Power BI Exam and becoming a Microsoft Certified Data Analyst AssociateRating: 4.6 out of 512177 reviews8.5 total hours127 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/microsoft-power-bi-certification-da-100-exam-prep/,"Maven Analytics • 1,500,000 Learners, Aaron Parry",Rating: 4.6 out of 54.6,"12,177",$11.99,Original Price$79.99,8.5 total hours,127 lectures,All Levels
PL-300 | DA-100 Microsoft Power BI Certification - Exam PrepFull Practice Exam | Pass the PL-300 | DA-100 exam and become Microsoft Certified: Power BI Data Analyst Associate!Rating: 4.6 out of 58046 reviews9 total hours120 lecturesAll LevelsCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/pl-300-da-100-microsoft-power-bi-data-analyst-exam-prep/,Nikolai Schuler,Rating: 4.6 out of 54.6,"8,046",$9.99,Original Price$59.99,9 total hours,120 lectures,All Levels
"PL-300 Microsoft Power BI Data Analyst Practice Test w/ labsAce PL-300 | Microsoft Power BI | Lucid, visual explanations for correct and wrong answers | Case Studies | PBIX filesRating: 4.4 out of 52106 reviews173 questionsIntermediateCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/pl-300-practice-tests-microsoft-power-bi-data-analyst/,Ravikiran Srinivasulu,Rating: 4.4 out of 54.4,"2,106",$9.99,Original Price$49.99,,,Intermediate
PL-300 Mastery: 457 Practice Questions for Power BI ExamUnlock Your Data Potential: Comprehensive Exams & explanations; In-Depth Answers for Power BI ProficiencyRating: 4.5 out of 5419 reviews457 questionsBeginnerCurrent price: $9.99Original price: $49.99,https://www.udemy.com/course/pl-300-mastery-450-practice-questions-for-power-bi-pl-300/,"Datakubed Courses, Alessio Baldessarro",Rating: 4.5 out of 54.5,419,$9.99,Original Price$49.99,,,Beginner
"[NEW] PL-300: Microsoft Power BI Data Analyst Associate 2026Learn Power BI from Scratch: Visualize, Model, Analyze Data & Prepare for the PL-300 Certification Exam | 2026 edition!Rating: 4.6 out of 5371 reviews27 total hours178 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/pl300-powerbi-certification-exam/,Amandeep Sawhney | HawkEye Data,Rating: 4.6 out of 54.6,371,$9.99,Original Price$19.99,27 total hours,178 lectures,All Levels
PL-300: Microsoft Power BI Data Analyst | Practice ExamsPass the PL-300 Exam | 5 Realistic Practice Tests with Detailed ExplanationsRating: 4.4 out of 5327 reviews300 questionsBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/pl-300-microsoft-power-bi-data-analyst-full-practice-exams/,Nikolai Schuler,Rating: 4.4 out of 54.4,327,$9.99,Original Price$19.99,,,Beginner
