title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Microsoft Excel: Business Intelligence w/ Power Query & DAXMaster Excel Power Query, Power Pivot & DAX for advanced data analysis & business intelligence w/ a top Excel instructorRating: 4.7 out of 527974 reviews7.5 total hours88 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/microsoft-excel-power-query-power-pivot-dax/,"Maven Analytics • 1,500,000 Learners, Chris Dutton",Rating: 4.7 out of 54.7,"27,974",$9.99,Original Price$69.99,7.5 total hours,88 lectures,All Levels
"SQL for Data Analysis: Advanced SQL Querying TechniquesLearn advanced data analysis with SQL, and master topics like subqueries, CTEs, window functions, and moreRating: 4.7 out of 54699 reviews8.5 total hours125 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/sql-advanced-queries/,"Maven Analytics • 1,500,000 Learners, Alice Zhao",Rating: 4.7 out of 54.7,"4,699",$9.99,Original Price$59.99,8.5 total hours,125 lectures,All Levels
"Microsoft Power BI Desktop for Business IntelligenceMaster Power BI Desktop for data prep, data analysis, data visualization & dashboard design w/ top Power BI instructors!Rating: 4.6 out of 5184904 reviews17 total hours200 lecturesAll LevelsCurrent price: $12.99Original price: $89.99",https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/,"Maven Analytics • 1,500,000 Learners, Chris Dutton, Aaron Parry",Rating: 4.6 out of 54.6,"184,904",$12.99,Original Price$89.99,17 total hours,200 lectures,All Levels
"15 days of Power BI - Complete Microsoft Power BI BootcampJust 15 days to master Power BI Desktop + Power BI Service (Cloud) + Power BI Mobile in a project-based, practical way.Rating: 4.6 out of 521316 reviews16 total hours161 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/15-days-of-power-bi/,"Nikolai Schuler, Ligency ​, SuperDataScience Team",Rating: 4.6 out of 54.6,"21,316",$9.99,Original Price$59.99,16 total hours,161 lectures,All Levels
"Power BI Masterclass from Scratch in 90 minutes [2026]Learn how to use Microsoft Power BI Desktop, Power BI Services, Power BI Mobile in 90 MinutesRating: 4.6 out of 531733 reviews1.5 total hours38 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/power-bi-in-60-minutes/,"Learn Anywhere, Learn Anywhere, Learn Anywhere",Rating: 4.6 out of 54.6,"31,733",$19.99,,1.5 total hours,38 lectures,All Levels
Master Microsoft Power BI: From Beginner to Data Analyst ProMaster Microsoft Power BI for business intelligence and data visualization — no experience neededRating: 4.5 out of 5233 reviews2.5 total hours33 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/master-microsoft-power-bi-from-beginner-to-data-analyst-pro/,"Anton Voroniuk, Anton Voroniuk Support, Nikita Nakonechnyi",Rating: 4.5 out of 54.5,233,$9.99,Original Price$19.99,2.5 total hours,33 lectures,All Levels
"Microsoft Power BI Comprehensive: Learn 5+ Complete ProjectsMaster Power BI with Data Modeling, DAX, Visualizations, and Real‑World Analytics ProjectsRating: 0.0 out of 50 reviews66 total hours402 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/microsoft-power-bi-comprehensive-learn-5-complete-projects/,THU TA NAING,,,$9.99,Original Price$19.99,66 total hours,402 lectures,All Levels
PowerBI Zero to HeroA practical guide to building Dashboards with Power BIRating: 4.5 out of 511617 reviews2.5 total hours59 lecturesBeginnerCurrent price: $10.99Original price: $54.99,https://www.udemy.com/course/powerbi-hero/,Abdelkarim MOHAMED MAHMOUD,Rating: 4.5 out of 54.5,"11,617",$10.99,Original Price$54.99,2.5 total hours,59 lectures,Beginner
"Microsoft Power BI - The Complete MasterclassMaster Power BI Desktop, Cloud & Mobile and advanced analytics with DAX (also Data Science)!Rating: 4.6 out of 54568 reviews17.5 total hours167 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/microsoft-power-bi-course/,Nikolai Schuler,Rating: 4.6 out of 54.6,"4,568",$10.99,Original Price$69.99,17.5 total hours,167 lectures,All Levels
Microsoft Power BI Portfolio in a DayBoost Your Power BI Career with 4 Full-Length Guided ProjectsRating: 4.7 out of 5530 reviews20 total hours91 lecturesIntermediateCurrent price: $9.99Original price: $54.99,https://www.udemy.com/course/microsoft-power-bi-portfolio-in-a-day/,Sean Chandler,Rating: 4.7 out of 54.7,530,$9.99,Original Price$54.99,20 total hours,91 lectures,Intermediate
Power BI for HR: Visualize HR data using Power BILearn to Transform HR Data into Insightful Visuals in Power BI | Data-Driven Human Resource Management using Power BIRating: 4.5 out of 5843 reviews7 total hours70 lecturesAll LevelsCurrent price: $9.99Original price: $39.99,https://www.udemy.com/course/power-bi-for-hr/,"Start-Tech Trainings, Start-Tech Academy",Rating: 4.5 out of 54.5,843,$9.99,Original Price$39.99,7 total hours,70 lectures,All Levels
Power BI DAX Masterclass - Measures & Calculated ColumnsMaster advanced analysis with DAX - Learn Measures & Calculated Columns in Power BI (Advanced)!Rating: 4.7 out of 53381 reviews6 total hours59 lecturesIntermediateCurrent price: $15.99Original price: $99.99,https://www.udemy.com/course/power-bi-dax/,Nikolai Schuler,Rating: 4.7 out of 54.7,"3,381",$15.99,Original Price$99.99,6 total hours,59 lectures,Intermediate
"Data Analysis | SQL,Tableau,Power BI & Excel | Real Projects4-in-1 bundle: Practical learning of the essential tools used in Data Science with hands on examples and projectsRating: 4.6 out of 55603 reviews13.5 total hours133 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/data-analysis-projects-using-sql-power-bi-tableau-excel/,Graeme Gordon,Rating: 4.6 out of 54.6,"5,603",$9.99,Original Price$54.99,13.5 total hours,133 lectures,All Levels
"Microsoft Power BI Desktop: Advanced DAX for Data AnalysisMaster advanced DAX in Power BI for data modeling, analytics & business intelligence, with a top Power BI instructor!Rating: 4.6 out of 514965 reviews11.5 total hours145 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/advanced-dax-for-power-bi/,"Maven Analytics • 1,500,000 Learners, Aaron Parry",Rating: 4.6 out of 54.6,"14,965",$9.99,Original Price$64.99,11.5 total hours,145 lectures,All Levels
"Microsoft Power BI - Up & Running With Power BI ServiceLearn Power BI Service for data prep, data analysis, visualization & business intelligence w/ a top Power BI instructor!Rating: 4.6 out of 59131 reviews6 total hours91 lecturesAll LevelsCurrent price: $15.99Original price: $109.99",https://www.udemy.com/course/power-bi-service/,"Maven Analytics • 1,500,000 Learners, Aaron Parry",Rating: 4.6 out of 54.6,"9,131",$15.99,Original Price$109.99,6 total hours,91 lectures,All Levels
"Data Analysts Toolbox: Excel, Python, Power BI, PivotTablesLearn Advanced Pivot Tables, Power Query, Power Pivot, Power BI, and Python in this four-course bundleRating: 4.5 out of 53323 reviews29 total hours262 lecturesIntermediateCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/data-analysts-toolbox-excel-python-power-bi/,Simon Sez IT,Rating: 4.5 out of 54.5,"3,323",$10.99,Original Price$74.99,29 total hours,262 lectures,Intermediate
"Microsoft Power BI Desktop for Business IntelligenceMaster Power BI Desktop for data prep, data analysis, data visualization & dashboard design w/ top Power BI instructors!Rating: 4.6 out of 5184980 reviews17 total hours200 lecturesAll LevelsCurrent price: $12.99Original price: $89.99",https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/,"Maven Analytics • 1,500,000 Learners, Chris Dutton, Aaron Parry",Rating: 4.6 out of 54.6,"184,980",$12.99,Original Price$89.99,17 total hours,200 lectures,All Levels
Microsoft Power BI - The Practical GuideDive in and learn the Power BI tools! Learn Data Analysis & Visualization and more in Power BI Desktop & Power BI Pro!Rating: 4.6 out of 575650 reviews17.5 total hours204 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/powerbi-complete-introduction/,"Manuel Lorenz, Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",Rating: 4.6 out of 54.6,"75,650",$10.99,Original Price$69.99,17.5 total hours,204 lectures,All Levels
"Complete Introduction to Microsoft Power BIComprehensive guide on how to import, transform, visualize data with Power BI, with practical exercises and case studiesRating: 4.6 out of 548389 reviews5.5 total hours85 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/powerful-reports-and-dashboards-with-microsoft-powerbi/,Ian Littlejohn,Rating: 4.6 out of 54.6,"48,389",$10.99,Original Price$74.99,5.5 total hours,85 lectures,All Levels
Power BI A-Z: Hands-On Power BI Training For Data Science!Learn Microsoft Power BI for Data Science and Data Analytics. Build visualizations and BI reports with Power BI DesktopRating: 4.5 out of 524024 reviews4.5 total hours44 lecturesAll LevelsCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/mspowerbi/,"Kirill Eremenko, SuperDataScience Team, Ligency ​",Rating: 4.5 out of 54.5,"24,024",$10.99,Original Price$74.99,4.5 total hours,44 lectures,All Levels
"15 days of Power BI - Complete Microsoft Power BI BootcampJust 15 days to master Power BI Desktop + Power BI Service (Cloud) + Power BI Mobile in a project-based, practical way.Rating: 4.6 out of 521316 reviews15.5 total hours161 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/15-days-of-power-bi/,"Nikolai Schuler, Ligency ​, SuperDataScience Team",Rating: 4.6 out of 54.6,"21,316",$9.99,Original Price$59.99,15.5 total hours,161 lectures,All Levels
"Microsoft Power BI Desktop: Advanced DAX for Data AnalysisMaster advanced DAX in Power BI for data modeling, analytics &amp; business intelligence, with a top Power BI instructor!Rating: 4.6 out of 514965 reviews11.5 total hours145 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/advanced-dax-for-power-bi/,"Maven Analytics • 1,500,000 Learners, Aaron Parry",Rating: 4.6 out of 54.6,"14,965",$9.99,Original Price$64.99,11.5 total hours,145 lectures,All Levels
"Microsoft Power BI - Beginner to ProUnlock the Power of Data Visualization and Analytics with Microsoft Power BI. Also, Get PL-300 and BI Interview Ready!Rating: 4.5 out of 511634 reviews7.5 total hours24 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/microsoft-power-bi-beginner-to-pro/,"RPATech - Automating Intelligence, Aahana Singh",Rating: 4.5 out of 54.5,"11,634",$9.99,Original Price$54.99,7.5 total hours,24 lectures,All Levels
