title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Music Theory Comprehensive Complete: Part 7, 8, & 9Learn music theory through this music theory course app, music theory exercises, and music theory tutorials.Rating: 4.8 out of 5980 reviews9.5 total hours127 lecturesIntermediateCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/music-theory-comprehensive-combined-part-7-8-9/,J. Anthony Allen,Rating: 4.8 out of 54.8,980,$10.99,Original Price$69.99,9.5 total hours,127 lectures,Intermediate,True
"Music Theory Comprehensive Complete: Part 4, 5, & 6Learn music theory through this music theory course app, music theory exercises, and music theory tutorials.Rating: 4.7 out of 53877 reviews10 total hours140 lecturesIntermediateCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/music-theory-comprehensive-combined-part-4-5-6/,J. Anthony Allen,Rating: 4.7 out of 54.7,"3,877",$10.99,Original Price$69.99,10 total hours,140 lectures,Intermediate,True
Prepare for Music Theory ABRSM 1 to 5All you need to know to fast track to success with the ABRSM theory examinations grades 1 - 5.Rating: 4.6 out of 5855 reviews10.5 total hours83 lecturesAll LevelsCurrent price: $12.99Original price: $79.99,https://www.udemy.com/course/prepare-for-music-theory-abrsm-1-to-5/,Michael Luck,Rating: 4.6 out of 54.6,855,$12.99,Original Price$79.99,10.5 total hours,83 lectures,All Levels,True
"Music Theory Comprehensive Complete! (Parts 1, 2, & 3)A Complete College-Level Music Theory Curriculum. **IAOMEI Certified**Rating: 4.7 out of 523244 reviews12.5 total hours156 lecturesBeginnerCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/music-theory-complete/,J. Anthony Allen,Rating: 4.7 out of 54.7,"23,244",$9.99,Original Price$64.99,12.5 total hours,156 lectures,Beginner,True
"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3Electronic music theory, digital music theory, and dance music theory. Learn music theory with ableton live and more!Rating: 4.8 out of 59233 reviews12.5 total hours126 lecturesBeginnerCurrent price: $17.99Original price: $119.99",https://www.udemy.com/course/music-theory-for-electronic-music-complete-parts-1-2-3/,J. Anthony Allen,Rating: 4.8 out of 54.8,"9,233",$17.99,Original Price$119.99,12.5 total hours,126 lectures,Beginner,True
"Learn Music Theory From Scratch- Read, Play & Write MusicEver wanted to read & write music? Learn simple, straightforward secrets of how to read, play & compose your own music!Rating: 3.9 out of 520 reviews3.5 total hours28 lecturesBeginnerCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/note-perfect-learn-to-read-and-write-music-from-scratch/,Liam Hindson,Rating: 3.9 out of 53.9,20,$10.99,Original Price$19.99,3.5 total hours,28 lectures,Beginner,True
"Music Composition with the Piano: Ultimate Keyboard TheoryMusic Composition - The Ultimate Guide to Piano, Chords & Music Theory for Producers, Film Composers & Songwriters.Rating: 4.6 out of 51617 reviews8 total hours109 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/piano-keyboard-music-composition/,Jack Vaughan,Rating: 4.6 out of 54.6,"1,617",$10.99,Original Price$69.99,8 total hours,109 lectures,All Levels,True
"Music Theory - Melody, Scales & Modes for CompositionLearn to compose beautiful melodies using modes, arpeggios, chromatics and more!Rating: 4.9 out of 5440 reviews6 total hours16 lecturesIntermediateCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/mwd-part2/,Max Konyi,Rating: 4.9 out of 54.9,440,$9.99,Original Price$69.99,6 total hours,16 lectures,Intermediate,True
"Game Music Composition: Make Music For Games From ScratchLearn to compose music for any and every type of video game, from complete beginner to competent game music composerRating: 4.6 out of 54523 reviews20 total hours164 lecturesAll LevelsCurrent price: $17.99Original price: $124.99",https://www.udemy.com/course/gamemusiccourse/,Karleen Heong,Rating: 4.6 out of 54.6,"4,523",$17.99,Original Price$124.99,20 total hours,164 lectures,All Levels,True
"Songwriting Hit Mastery: Lyric Writing, Music TheorySong Writing with Melissa Peirce (#1 Hit Songwriter), Lyrics, Music Theory, Chords, Melody, on over 13 million records!Rating: 4.5 out of 51916 reviews3.5 total hours76 lecturesAll LevelsCurrent price: $10.99Original price: $59.99",https://www.udemy.com/course/songwriting-hit-mastery/,"Erich Andreas, Melissa Peirce",Rating: 4.5 out of 54.5,"1,916",$10.99,Original Price$59.99,3.5 total hours,76 lectures,All Levels,True
