title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Photography Masterclass: Your Complete Guide to PhotographyThe Best Online Professional Photography Class: How to Take Amazing Photos for Beginners and Advanced PhotographersRating: 4.6 out of 577758 reviews96 total hours682 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/photography-masterclass-complete-guide-to-photography/,"Phil Ebiner, William Carnahan, Video School, Sam Shimizu-Jones",Rating: 4.6 out of 54.6,"77,758",$9.99,Original Price$64.99,96 total hours,682 lectures,All Levels,False
"Advanced Photography: Quickly Improve Your Photography TodayImprove Your Photography w/the Advanced Photography Course, Photography Composition, Photography Lighting, Mobile PhotoRating: 4.5 out of 5380 reviews5 total hours47 lecturesIntermediateCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/advanced-photography-course/,"Phil Ebiner, Video School",Rating: 4.5 out of 54.5,380,$9.99,Original Price$49.99,5 total hours,47 lectures,Intermediate,False
Learn Photography FAST - A Hands-on Course for BeginnersA Complete Beginner's Guide to Photography. Learn how to use your camera right awayRating: 4.6 out of 5126 reviews3 total hours61 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/learnphotographyfast/,Antonio Diaz,Rating: 4.6 out of 54.6,126,$9.99,Original Price$19.99,3 total hours,61 lectures,Beginner,False
THE Photography Masterclass: Complete Course on PhotographyLearn how to create amazing images for beginners & advanced photographers. The only photography course you need.Rating: 4.7 out of 52102 reviews28 total hours244 lecturesBeginnerCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/photography-learn-photography-from-pro-take-better-photos/,Chris Parker,Rating: 4.7 out of 54.7,"2,102",$9.99,Original Price$59.99,28 total hours,244 lectures,Beginner,False
Mindfulness with PhotographyUse your camera or iPhone to explore different aspects of your life .Rating: 3.9 out of 514 reviews1 total hour17 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/photography-with-mindfulness/,Mike OToole,Rating: 3.9 out of 53.9,14,$10.99,Original Price$19.99,1 total hour,17 lectures,Beginner,False
Photography Masterclass: Your Complete Guide to PhotographyThe Best Online Professional Photography Class: How to Take Amazing Photos for Beginners and Advanced PhotographersRating: 4.6 out of 577765 reviews96 total hours682 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/photography-masterclass-complete-guide-to-photography/,"Phil Ebiner, William Carnahan, Video School, Sam Shimizu-Jones",Rating: 4.6 out of 54.6,"77,765",$9.99,Original Price$64.99,96 total hours,682 lectures,All Levels,False
Your Road to Better PhotographyPhotography Made Simple!Rating: 4.3 out of 53872 reviews1 total hour11 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/your-road-to-better-photography/,Corey Reese,Rating: 4.3 out of 54.3,"3,872",$10.99,Original Price$19.99,1 total hour,11 lectures,Beginner,False
"Complete Photography Masterclass: 21 Courses in 1Master Photography: 21-in-1 Photography Bootcamp Beginner to Pro – Learn DSLR Camera, Composition, Lighting, Editing etcRating: 4.5 out of 53143 reviews9.5 total hours150 lecturesAll LevelsCurrent price: $10.99Original price: $49.99",https://www.udemy.com/course/interactive-photography-basics/,Creative Online School,Rating: 4.5 out of 54.5,"3,143",$10.99,Original Price$49.99,9.5 total hours,150 lectures,All Levels,False
THE Photography Masterclass: Complete Course on PhotographyLearn how to create amazing images for beginners & advanced photographers. The only photography course you need.Rating: 4.7 out of 52103 reviews28 total hours244 lecturesBeginnerCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/photography-learn-photography-from-pro-take-better-photos/,Chris Parker,Rating: 4.7 out of 54.7,"2,103",$9.99,Original Price$59.99,28 total hours,244 lectures,Beginner,False
"Complete Photography Masterclass: 4 Courses IN 1Become master in photography, basic concepts, HDR photos, Night photography, Adobe Lightroom, Adobe Photoshop and more.Rating: 4.5 out of 52101 reviews2 total hours37 lecturesAll LevelsCurrent price: $10.99Original price: $39.99",https://www.udemy.com/course/the-photography-masterclass/,Creative Online School,Rating: 4.5 out of 54.5,"2,101",$10.99,Original Price$39.99,2 total hours,37 lectures,All Levels,False
"Photography - Become a Better Photographer - Part ISee results today! 50 photography tips for taking amazing photos with your DSLR, Mirrorless or compact camera.Rating: 4.6 out of 52060 reviews5.5 total hours53 lecturesAll LevelsCurrent price: $10.99Original price: $59.99",https://www.udemy.com/course/great-photography-tips-photo-tutorials/,Bernie Raffe AMPA,Rating: 4.6 out of 54.6,"2,060",$10.99,Original Price$59.99,5.5 total hours,53 lectures,All Levels,False
Photography - The Ultimate Guide to Using Off-Camera FlashFollow me on 19 photo sessions & learn to create beautiful light using small flashes & take stunning dramatic portraits.Rating: 4.8 out of 51742 reviews3.5 total hours38 lecturesAll LevelsCurrent price: $14.99Original price: $94.99,https://www.udemy.com/course/photography-off-camera-flash-using-speedlights/,Bernie Raffe AMPA,Rating: 4.8 out of 54.8,"1,742",$14.99,Original Price$94.99,3.5 total hours,38 lectures,All Levels,False
"Practical Photography for Absolute Beginners: 9 Courses in 1Become pro photographer - Understand camera gear, lighting + composition, portrait, stock photography sell photo onlineRating: 4.0 out of 51700 reviews2 total hours154 lecturesAll LevelsCurrent price: $10.99Original price: $39.99",https://www.udemy.com/course/complete-photography-course/,Creative Online School,Rating: 4.0 out of 54.0,"1,700",$10.99,Original Price$39.99,2 total hours,154 lectures,All Levels,False
Photography Composition & Portrait Photography MasterclassCreative Photography Masterclass - Learn How To Compose Images & Observe Light - Studio / Portrait  / Street PhotographyRating: 4.6 out of 51691 reviews11.5 total hours139 lecturesBeginnerCurrent price: $10.99Original price: $54.99,https://www.udemy.com/course/creative-photography-composition-masterclass/,"Mark Timberlake, Philomena Timberlake",Rating: 4.6 out of 54.6,"1,691",$10.99,Original Price$54.99,11.5 total hours,139 lectures,Beginner,False
"The Ultimate Photography Course For BeginnersLearn all the essentials of photography, and develop your skills to become an ultimate photographer yourself.Rating: 4.5 out of 51320 reviews2 total hours23 lecturesBeginnerCurrent price: $10.99Original price: $59.99",https://www.udemy.com/course/the-ultimate-photography-course-for-beginners/,Jellis Vaes,Rating: 4.5 out of 54.5,"1,320",$10.99,Original Price$59.99,2 total hours,23 lectures,Beginner,False
"The Ultimate Beginner's Guide to Outdoor Photography - 2018Shoot and edit beautiful urban and nature photos. Capture street photos, cityscapes, sunsets, portraits, and more!Rating: 4.5 out of 5807 reviews9 total hours73 lecturesBeginnerCurrent price: $10.99Original price: $54.99",https://www.udemy.com/course/joshkatz/,Josh Katz,Rating: 4.5 out of 54.5,807,$10.99,Original Price$54.99,9 total hours,73 lectures,Beginner,False
