title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Photoshop AI for Creatives: Guide to Generative ToolsLearn AI-powered Photoshop workflows for creativesRating: 4.3 out of 569 reviews1.5 total hours33 lecturesIntermediateCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/photoshop-ai-for-creatives-guide-to-generative-tools/,"Anton Voroniuk, Anton Voroniuk Support",Rating: 4.3 out of 54.3,69,$9.99,Original Price$19.99,1.5 total hours,33 lectures,Beginner,False
"AI Visual Design with Adobe FireflyMaster AI-powered design with Adobe Firefly: create images, videos, sound, text effects & vectorsRating: 4.3 out of 558 reviews1 total hour32 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/ai-visual-design-with-adobe-firefly/,"Anton Voroniuk, Anton Voroniuk Support",Rating: 4.3 out of 54.3,58,$9.99,Original Price$19.99,1 total hour,32 lectures,Beginner,False
Adobe Photoshop CC – Advanced Training CourseYou'll learn advanced Photoshop techniques like Photoshop retouching & Graphic Design tutorials.Rating: 4.6 out of 510910 reviews15.5 total hours106 lecturesIntermediateCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/adobe-photoshop-cc-advanced-training-course-tutorial/,Daniel Walter Scott,Rating: 4.6 out of 54.6,"10,910",$9.99,Original Price$64.99,15.5 total hours,106 lectures,Intermediate,False
"Photoshop for Architects: From Zero to Advanced-Master ClassMaster Photoshop with real projects for architects, urban designers, landscape and graphic artistsRating: 4.5 out of 537 reviews19.5 total hours111 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/photoshop-for-architects-from-zero-to-advanced-master-class/,Mohammadreza Lajevardi,Rating: 4.5 out of 54.5,37,$9.99,Original Price$19.99,19.5 total hours,111 lectures,All Levels,False
"Complete Graphics Design MasterClass with Video EditingLearn Graphics design with Adobe Illustrator, Photoshop, Indesign and Video Editing With Adobe Premiere proRating: 4.6 out of 5250 reviews18 total hours73 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/graphics-design-masterclass-with-video-editing-course/,Sayman Creative Institute,Rating: 4.6 out of 54.6,250,$9.99,Original Price$19.99,18 total hours,73 lectures,All Levels,False
"Adobe Photoshop CC For Absolute Beginner to AdvancedRetouch, Color Adjustment, Layer, Text Style, Shadow, Blur, Advance Content Aware, RetouchRating: 4.6 out of 5749 reviews4 total hours31 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/adobe-photoshop-cc-for-absolute-beginner-to-advanced/,Stephen Koel Soren,Rating: 4.6 out of 54.6,749,$9.99,Original Price$19.99,4 total hours,31 lectures,Beginner,False
Modern Graphic Design MasterClass with AI Driven ToolsLearn complete AI based graphic design with Canva Gemini Grok and Adobe Photoshop for branding marketing and freelancingRating: 3.9 out of 52484 reviews9 total hours78 lecturesBeginnerCurrent price: $10.99Original price: $49.99,https://www.udemy.com/course/ultimate-adobe-photoshop-cc-masterclass-basics-to-advanced/,Stephen Koel Soren,Rating: 3.9 out of 53.9,"2,484",$10.99,Original Price$49.99,9 total hours,78 lectures,Beginner,False
Adobe Photoshop CC – Essentials Training CourseThis Adobe Photoshop Essentials course will teach you Photoshop Retouching as well as Photoshop for graphic design.Rating: 4.7 out of 536214 reviews11.5 total hours92 lecturesBeginnerCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/adobe-photoshop-cc-essentials-training-course/,Daniel Walter Scott,Rating: 4.7 out of 54.7,"36,214",$9.99,Original Price$69.99,11.5 total hours,92 lectures,Beginner,False
Ultimate Photoshop Training: From Beginner to Pro 2025 + AIMaster Adobe Photoshop CC 2025 without any previous knowledge. Learn the newest AI tricks to get fast results like a proRating: 4.7 out of 530571 reviews22.5 total hours219 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/ultimate-photoshop-training-from-beginner-to-pro/,Cristian Barin,Rating: 4.7 out of 54.7,"30,571",$10.99,Original Price$69.99,22.5 total hours,219 lectures,All Levels,False
"Adobe Photoshop Masterclass with Photoshop + AI UpdatesQuickly Master Adobe Photoshop: Beginner to Advanced Graphic Design, Photo Editing, Generative AI, Branding [UPDATED]Rating: 4.7 out of 522475 reviews12.5 total hours122 lecturesAll LevelsCurrent price: $12.99Original price: $84.99",https://www.udemy.com/course/adobe-photoshop-course/,"Phil Ebiner, Video School",Rating: 4.7 out of 54.7,"22,475",$12.99,Original Price$84.99,12.5 total hours,122 lectures,All Levels,False
