title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Siemens PLC Programming with Hands-On ProjectsLadder Logic with Siemens TIA Portal from Scratch with Hands-On Industrial ProjectsRating: 4.7 out of 530 reviews4 total hours32 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/plc-ladder-programming-with-tia-portal-hands-on-projects/,Bakirkhon Khasankhujaev,Rating: 4.7 out of 54.7,30,$9.99,Original Price$19.99,4 total hours,32 lectures,All Levels,False
"A bootcamp from wiring basics to PLC using ladder logicPLC, industrial automation and design circuits using 3 PLC types (Zelio, Simatic, and Omron) USE PROMO ONLY.13Rating: 4.2 out of 520 reviews10 total hours46 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/design-industrial-control-circuits-using-plc-ladder-logic/,Electronics Zone,Rating: 4.2 out of 54.2,20,$9.99,Original Price$19.99,10 total hours,46 lectures,All Levels,False
"The Complete PLC Software/Hardware full Automation BootcampHands on PLC |Automation controlling systems using Ladder Logic RSLogix,Siemens TIA Portal,PLC Logixpro,FactoryI/ORating: 4.5 out of 5707 reviews22 total hours145 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/complete-plc-classic-control-softwarehardware-designs/,United Engineering,Rating: 4.5 out of 54.5,707,$9.99,Original Price$54.99,22 total hours,145 lectures,All Levels,False
TIA Portal Master Project (Level 5)Learn (hands-on) to create complete PLC and HMI solutions from absolute zero in TIA Portal.Rating: 4.7 out of 53252 reviews29.5 total hours104 lecturesIntermediateCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/siemens-tia-portal-step-7-wincc-plc-hmi/,Paul Lynn,Rating: 4.7 out of 54.7,"3,252",$11.99,Original Price$79.99,29.5 total hours,104 lectures,Intermediate,False
PLC Programming - Structured Programming and Design PatternsLearn how to write better PLC code and be more efficient in the software development processRating: 4.5 out of 5521 reviews15.5 total hours49 lecturesIntermediateCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/plc-programming-structured-programming-and-design-patterns/,Marco Nucci,Rating: 4.5 out of 54.5,521,$10.99,Original Price$69.99,15.5 total hours,49 lectures,Intermediate,False
The Complete PLC Programming Course - 10 Day PLC ProgrammerLearn Allen Bradley PLC programming using free software by completing 10 real world projects in 10 days or less!Rating: 4.4 out of 5815 reviews11.5 total hours45 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/complete-plc-programming/,Robert Simons,Rating: 4.4 out of 54.4,815,$9.99,Original Price$64.99,11.5 total hours,45 lectures,All Levels,False
Beckhoff TwinCat3 PLC Programming BasicsBeckhoff PLC Programming in TwinCat3 SoftwareRating: 3.5 out of 5111 reviews1.5 total hours17 lecturesBeginnerCurrent price: $9.99Original price: $29.99,https://www.udemy.com/course/learn-basics-of-beckhoff-twincat3-plc-in-15-hours/,Muhammad Raza,Rating: 3.5 out of 53.5,111,$9.99,Original Price$29.99,1.5 total hours,17 lectures,Beginner,False
PLC Object Oriented Programming :Advanced InfrastructureAdvanced Structure Text using OOP concepts. Master Program Infrastructure Design. The future of PLC programming.Rating: 4.6 out of 5980 reviews13 total hours109 lecturesAll LevelsCurrent price: $11.99Original price: $64.99,https://www.udemy.com/course/plc-object-oriented-programming-advanced-infastrucutre/,"Mouhammad Hamsho, Kemalaldin Hamso",Rating: 4.6 out of 54.6,980,$11.99,Original Price$64.99,13 total hours,109 lectures,All Levels,False
PLC Programming in Siemens TIA PortalA beginners level course in PLC and HMI programmingRating: 4.6 out of 51038 reviews5.5 total hours36 lecturesBeginnerCurrent price: $34.99,https://www.udemy.com/course/plc-programming-in-siemens-tia/,Seyed Parvini,Rating: 4.6 out of 54.6,"1,038",$34.99,,5.5 total hours,36 lectures,Beginner,False
PLC Fundamentals (Level I)This course will give a person with no prior experience the basic tools necessary to create a PLC program from scratch.Rating: 4.7 out of 524669 reviews25.5 total hours119 lecturesBeginnerCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/plc-programming-from-scratch/,Paul Lynn,Rating: 4.7 out of 54.7,"24,669",$9.99,Original Price$64.99,25.5 total hours,119 lectures,Beginner,False
"Applied Logic (Level 2)This course will give an intermediate-level student the experience necessary to originate complex, logical solutions.Rating: 4.8 out of 53830 reviews8.5 total hours63 lecturesIntermediateCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/plc_programming/,Paul Lynn,Rating: 4.8 out of 54.8,"3,830",$9.99,Original Price$69.99,8.5 total hours,63 lectures,Intermediate,False
Ladder Logic Basics Understanding Key Concepts for BeginnersDive into Ladder Logic Basics: Essential Concepts for Beginners to Thrive in Automation Programming.Rating: 3.6 out of 511 reviews2 total hours14 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/ladder-logic-basics-understanding-key-concepts-for-beginners/,Harry S,Rating: 3.6 out of 53.6,11,$9.99,Original Price$19.99,2 total hours,14 lectures,All Levels,False
HMI Interfacing with PLCThis course will help know HMI (Human Machine Interface)and build you FIRST HMI Program and get it working with your PLCRating: 3.9 out of 554 reviews2 total hours37 lecturesAll LevelsCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/hmi-interfacing-with-plc/,"Educational Engineering Team, Ashraf Said AlMadhoun, Educational Engineering",Rating: 3.9 out of 53.9,54,$10.99,Original Price$19.99,2 total hours,37 lectures,All Levels,False
Learn Mitsubishi PLC+HMI Programming for GOC 35 on CodesysFrom scratch to Advance level of PLC and HMI programming & designing on Codesys for Mitsubishi device GOC 35Rating: 3.8 out of 554 reviews3.5 total hours27 lecturesAll LevelsCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/learn-mitsubishi-plchmi-for-goc-35-on-codesys/,Ram Naresh Bhati,Rating: 3.8 out of 53.8,54,$10.99,Original Price$19.99,3.5 total hours,27 lectures,All Levels,False
HMI SCADA : FactoryTalk View ME SE SQL Database ExcelLearn FactoryTalk View SE ME step by step. Save time by learning Rockwell Scada Software. Get started Today!Rating: 3.8 out of 527 reviews4.5 total hours15 lecturesAll LevelsCurrent price: $9.99Original price: $29.99,https://www.udemy.com/course/factorytalkview-scada-hmi/,Alexandre Castro,Rating: 3.8 out of 53.8,27,$9.99,Original Price$29.99,4.5 total hours,15 lectures,All Levels,False
PLC Fundamentals (Level I)This course will give a person with no prior experience the basic tools necessary to create a PLC program from scratch.Rating: 4.7 out of 524669 reviews14.5 total hours119 lecturesBeginnerCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/plc-programming-from-scratch/,Paul Lynn,Rating: 4.7 out of 54.7,"24,669",$9.99,Original Price$64.99,14.5 total hours,119 lectures,Beginner,False
"From Wire to PLC , A Bootcamp In Industrial AutomationBuild Electrical Automation Projects From Sctratch. Starting From  Wires , Control Circuits And Ending With PLC And HMIRating: 4.7 out of 59953 reviews17.5 total hours187 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/from-wire-to-plc-a-to-z-compilation/,"Mouhammad Hamsho, Kemalaldin Hamso",Rating: 4.7 out of 54.7,"9,953",$9.99,Original Price$69.99,17.5 total hours,187 lectures,All Levels,False
"Learn 5 PLCs in a Day-AB, Siemens, Schneider, Omron & DeltaPLC Programming of Allen Bradley, Delta, Siemens, Omron and Schneider using LIVE Examples with HMI InterfacingRating: 4.5 out of 56225 reviews41 total hours278 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/nfi-plc-online-leaning/,Rajvir Singh,Rating: 4.5 out of 54.5,"6,225",$9.99,Original Price$69.99,41 total hours,278 lectures,All Levels,False
"Applied Logic (Level 2)This course will give an intermediate-level student the experience necessary to originate complex, logical solutions.Rating: 4.8 out of 53831 reviews8.5 total hours63 lecturesIntermediateCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/plc_programming/,Paul Lynn,Rating: 4.8 out of 54.8,"3,831",$9.99,Original Price$69.99,8.5 total hours,63 lectures,Intermediate,False
PLC Programming - Training from Scratch on RSLogix500 & 5000PLC programming from scratch training class by a controls engineer equipped with PLC systems - Allen Bradley RSLogix 500Rating: 4.5 out of 53082 reviews14.5 total hours91 lecturesAll LevelsCurrent price: $12.99Original price: $84.99,https://www.udemy.com/course/plc-programming-training-from-scratch-on-rslogix500-5000/,Vladimir Romanov,Rating: 4.5 out of 54.5,"3,082",$12.99,Original Price$84.99,14.5 total hours,91 lectures,All Levels,False
Process Visualization (Level 3)Learn HMI / SCADA hands-on by developing your own live interfaces for a running system.Rating: 4.7 out of 52194 reviews17 total hours150 lecturesIntermediateCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/hmi-scada/,Paul Lynn,Rating: 4.7 out of 54.7,"2,194",$11.99,Original Price$79.99,17 total hours,150 lectures,Intermediate,False
PLC Programming - Learn the basics with CoDeSysThis course will provide anyone with the basic knowledge and tools to write PLC applications and software from scratchRating: 4.4 out of 51889 reviews7.5 total hours37 lecturesBeginnerCurrent price: $11.99Original price: $64.99,https://www.udemy.com/course/plc-programming-learn-the-basics-with-codesys/,Marco Nucci,Rating: 4.4 out of 54.4,"1,889",$11.99,Original Price$64.99,7.5 total hours,37 lectures,Beginner,False
Allen Bradley PLC Training - RSLogix 5000 SeriesThis course will give a person with no experience learn PLC programming from scratch using RSLogix 5000 and Studio 5000.Rating: 4.2 out of 51415 reviews22 total hours89 lecturesBeginnerCurrent price: $119.99,https://www.udemy.com/course/allen-bradley-plc-training-rslogix-5000-series/,Shane Welcher,Rating: 4.2 out of 54.2,"1,415",$119.99,,22 total hours,89 lectures,Beginner,False
"Learn Siemens S7-1200 PLC & HMI from Scratch using TIALearn wiring, programming and Installation of  S7-1200 PLC & HMI with Siemens TIA- Total Integrated Automation SoftwareRating: 4.5 out of 55144 reviews19 total hours97 lecturesIntermediateCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/learn-siemens-s7-1200-plc-from-scratch-using-tia/,Rajvir Singh,Rating: 4.5 out of 54.5,"5,144",$10.99,Original Price$74.99,19 total hours,97 lectures,Intermediate,False
"IEC Paradigms (Level 4)Functional Block Diagrams, Sequential Function Charts, Instruction Lists, Ladder Diagrams and Structured TextRating: 4.8 out of 51044 reviews16 total hours110 lecturesExpertCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/advanced-plc-programming/,Paul Lynn,Rating: 4.8 out of 54.8,"1,044",$10.99,Original Price$74.99,16 total hours,110 lectures,Expert,False
Factory Automation using PLC LogicsInteractive 3D platform to build and simulate Industrial Automation systemRating: 4.7 out of 5764 reviews9 total hours63 lecturesAll LevelsCurrent price: $10.99Original price: $64.99,https://www.udemy.com/course/factory-automation-using-plc-logics/,Rajvir Singh,Rating: 4.7 out of 54.7,764,$10.99,Original Price$64.99,9 total hours,63 lectures,All Levels,False
"The Complete PLC Software/Hardware full Automation BootcampHands on PLC |Automation controlling systems using Ladder Logic RSLogix,Siemens TIA Portal,PLC Logixpro,FactoryI/ORating: 4.5 out of 5708 reviews22 total hours145 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/complete-plc-classic-control-softwarehardware-designs/,United Engineering,Rating: 4.5 out of 54.5,708,$9.99,Original Price$54.99,22 total hours,145 lectures,All Levels,False
"PLC, Arduino and HMI Projects over Modbus TCP: From ScratchDesign from A-Z control projects using Arduino, Soft PLC, HMI, VFD, ModBus TCP and Electrical panel with full simulationRating: 4.8 out of 5584 reviews7.5 total hours67 lecturesAll LevelsCurrent price: $14.99Original price: $89.99",https://www.udemy.com/course/arduino-for-industrial-automation-plc-and-hmi-integration/,"Mouhammad Hamsho, Kemalaldin Hamso",Rating: 4.8 out of 54.8,584,$14.99,Original Price$89.99,7.5 total hours,67 lectures,All Levels,False
"PLC & AC Drive with Automatic & Manual Industrial Controlthis course will take newbies to a higher level to deal with complex PLC projects, Motor Drives ( VFD ) & Manual ControlRating: 4.3 out of 5542 reviews19.5 total hours125 lecturesAll LevelsCurrent price: $11.99Original price: $69.99",https://www.udemy.com/course/plc-ac-drive-with-automatic-manual-industrial-control/,"YouCan Academy, Alee Ibrahim • Software Tech Lead",Rating: 4.3 out of 54.3,542,$11.99,Original Price$69.99,19.5 total hours,125 lectures,All Levels,False
"The Complete PLC Programmer Mini Course Basic Level-ver03-25This course is a great introduction to  Programmable Logic Controllers Theory, Principles, and Programming Applications.Rating: 4.0 out of 5506 reviews4.5 total hours32 lecturesBeginnerCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/intro-to-plcs-programmable-logic-controllers/,Dr. Oscar Rodriguez,Rating: 4.0 out of 54.0,506,$10.99,Original Price$19.99,4.5 total hours,32 lectures,Beginner,False
"PLC programming  - FUN, EASY & INTERACTIVE!Learn PLC programming with ladder logic on a PLC simulator. NO EXPENSIVE HARDWARE NEEDED!Rating: 4.6 out of 5495 reviews5 total hours66 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/plc-programming-fun-easy-interactive/,The Wiring Wizard,Rating: 4.6 out of 54.6,495,$10.99,Original Price$74.99,5 total hours,66 lectures,All Levels,False
Complete Delta Plc Programming Zero to Expert  - All In OneLearn Delta Plc Programming - Softwares & Servo & Scada & RS-485 Comm & CanOpen & DIAStudio & HMI& InstructionsRating: 4.3 out of 5445 reviews24.5 total hours239 lecturesAll LevelsCurrent price: $11.99Original price: $64.99,https://www.udemy.com/course/complete-delta-plc-programming-tips-and-tricks/,Derstagram Akademi,Rating: 4.3 out of 54.3,445,$11.99,Original Price$64.99,24.5 total hours,239 lectures,All Levels,False
