title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Business Analysis FoundationsGrow your business analysis career with a strong foundation.Rating: 4.5 out of 52805 reviews3.5 total hours45 lecturesBeginnerCurrent price: $9.99Original price: $54.99,https://www.udemy.com/course/business_analysis/,Joseph Phillips,Rating: 4.5 out of 54.5,"2,805",$9.99,Original Price$54.99,3.5 total hours,45 lectures,All Levels,True
CAPM Exam Cram Session - Pass the CAPM ExamCAPM Success! Everything you must know to pass the CAPMRating: 4.7 out of 52833 reviews12.5 total hours120 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/capm-exam-cram-session-pmbok6/,Joseph Phillips,Rating: 4.7 out of 54.7,"2,833",$11.99,Original Price$79.99,12.5 total hours,120 lectures,All Levels,True
"PMP: The Complete PMP Course & Practice Exams - PMIThe Complete PMP Course: 35 PMP contact hrs/PDUs 18 hours of video 250 questions 35 assignments 40 downloads PMBOK , PMIRating: 4.5 out of 56378 reviews18.5 total hours160 lecturesAll LevelsCurrent price: $13.99Original price: $89.99",https://www.udemy.com/course/complete-pmp/,"Thor Pedersen | 670,000+ Enrollments Worldwide, ThorTeaches.com Support, Christine Rose, Ku'uipo Lua, PMP, CSM, MBA, Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Rose in Autumn LLC, Dion Training Solutions • ATO for ITIL & PRINCE2, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.5 out of 54.5,"6,378",$13.99,Original Price$89.99,18 hours,160 lectures,All Levels,True
Zero to PMP: Master Project Management for PMP CertificationPMP Certification: 35+ PDU Project Management Course For PMP Exam Prep. 2 PMP Exam Simulators & 1600+ Questions Inside.Rating: 4.8 out of 514513 reviews43 total hours368 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/project-management-skills-math-concepts-you-should-know/,"Sabri C. PMP | 150,000+ Enrollments Worldwide",Rating: 4.8 out of 54.8,"14,513",$11.99,Original Price$79.99,43 total hours,368 lectures,All Levels,True
PMBOK® Guide 7: Everything You Need to KnowPMBOK® Guide 7th Edition: A Complete Walkthrough the PMBOK® Guide 7th edition for Project ManagementRating: 4.5 out of 5304 reviews6.5 total hours104 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/pmbokseven/,Joseph Phillips,Rating: 4.5 out of 54.5,304,$9.99,Original Price$19.99,6.5 total hours,104 lectures,All Levels,True
"PMBOK® 8 Mastery: The Ultimate Guide + 1000 Analytical QuestMaster PMBOK® 8 with real-world tools, AI insights, and 1000+ powerful questions to sharpen your leadership.Rating: 4.6 out of 5142 reviews2.5 total hours19 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/pmbok-8-mastery-the-ultimate-guide-1000-analytical-quest/,Shaahin Ghajar,Rating: 4.6 out of 54.6,142,$9.99,Original Price$19.99,2.5 total hours,19 lectures,All Levels,True
CAPM Exam Prep Seminar -Updated for the 2023 CAPM ExamPass the CAPM and Earn 25 Contact Hours to Qualify for the CAPM ExamRating: 4.7 out of 533701 reviews44.5 total hours451 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/capm-pmbok6/,Joseph Phillips,Rating: 4.7 out of 54.7,"33,701",$11.99,Original Price$79.99,44.5 total hours,451 lectures,All Levels,True
Zero to PMP: Master Project Management for PMP CertificationPMP Certification: 35+ PDU Project Management Course For PMP Exam Prep. 2 PMP Exam Simulators & 1600+ Questions Inside.Rating: 4.8 out of 514521 reviews43 total hours368 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/project-management-skills-math-concepts-you-should-know/,"Sabri C. PMP | 150,000+ Enrollments Worldwide",Rating: 4.8 out of 54.8,"14,521",$11.99,Original Price$79.99,43 total hours,368 lectures,All Levels,True
"PMP: The Complete PMP Course & Practice Exams - PMIThe Complete PMP Course: 35 PMP contact hrs/PDUs 18 hours of video 250 questions 35 assignments 40 downloads PMBOK , PMIRating: 4.5 out of 56382 reviews18.5 total hours160 lecturesAll LevelsCurrent price: $13.99Original price: $89.99",https://www.udemy.com/course/complete-pmp/,"Thor Pedersen | 670,000+ Enrollments Worldwide, ThorTeaches.com Support, Christine Rose, Ku'uipo Lua, PMP, CSM, MBA, Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Rose in Autumn LLC, Dion Training Solutions • ATO for ITIL & PRINCE2, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.5 out of 54.5,"6,382",$13.99,Original Price$89.99,18 hours,160 lectures,All Levels,True
"PMP Certification Exam Prep Exam 720 Questions4 Full Length Mock Exams, Predicated, Agile and hybrid Questions.Rating: 4.1 out of 52922 reviews720 questionsAll LevelsCurrent price: $11.99Original price: $49.99",https://www.udemy.com/course/pmp-practice-exams-pmbok-guide-6th-edition/,"TIA Education, Andrew Ramdayal",Rating: 4.1 out of 54.1,"2,922",$11.99,Original Price$49.99,,,All Levels,True
