title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
PMP Certification Exam Prep Course 35 PDU Contact Hours/PDUGet your PMP Certification with this course. Fully updated for the Current PMP ExamRating: 4.7 out of 5166569 reviews35 total hours366 lecturesAll LevelsCurrent price: $129.99,https://www.udemy.com/course/pmp-certification-exam-prep-course-pmbok-6th-edition/,"TIA Education, Andrew Ramdayal",Rating: 4.7 out of 54.7,"166,569",$11.99,Original Price$79.99,35 total hours,366 lectures,All Levels,True
"PMP Certification Exam Prep Exam 720 Questions4 Full Length Mock Exams, Predicated, Agile and hybrid Questions.Rating: 4.1 out of 52922 reviews720 questionsAll LevelsCurrent price: $74.99",https://www.udemy.com/course/pmp-practice-exams-pmbok-guide-6th-edition/,"TIA Education, Andrew Ramdayal",Rating: 4.1 out of 54.1,"2,922",$11.99,Original Price$49.99,,,All Levels,True
PMP Certification Exam Prep Course 35 PDU Contact Hours/PDUGet your PMP Certification with this course. Fully updated for the Current PMP ExamRating: 4.7 out of 5166569 reviews35 total hours366 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/pmp-certification-exam-prep-course-pmbok-6th-edition/,"TIA Education, Andrew Ramdayal",Rating: 4.7 out of 54.7,"166,569",$11.99,Original Price$79.99,35 total hours,366 lectures,All Levels,True
"60 PDUs Full PMP Renewal Course. Renews PMP, CAPM, PMI-ACPOne Course to renew your PMP certification. A bundle of 5 classes to easily renew many PMI certifications.Rating: 4.8 out of 54027 reviews30 total hours293 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/pdu-pmp-renewal/,"TIA Education, Andrew Ramdayal",Rating: 4.8 out of 54.8,"4,027",$9.99,Original Price$19.99,30 total hours,293 lectures,Beginner,True
PMP Exam Cram Course - 35-Hour Course Condensed - 12 PDUsPMP Focused Review: Your Fast Track to Success while earning 12 PDUs. Full-Length Mock ExamRating: 4.7 out of 54943 reviews11.5 total hours106 lecturesAll LevelsCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/pmp_cram_course/,"TIA Education, Andrew Ramdayal",Rating: 4.7 out of 54.7,"4,943",$9.99,Original Price$59.99,11.5 total hours,106 lectures,All Levels,True
All-In-One PMP Exam Prep Course - 35 PDUs and Contact HoursPMP Certification Bootcamp: 2025‑Aligned | 35 PDUs | 200 Premium Q&A | 35 Contact hour | Pass in 1st Attempt | Pmbok 7Rating: 4.5 out of 599 reviews35.5 total hours167 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/complete-pmp-exam-prep-get-35-contact-hours-cert-pdus/,"Sachin Kumar, PMI Approved (ATP) Instructor",Rating: 4.5 out of 54.5,99,$9.99,Original Price$19.99,35.5 total hours,167 lectures,All Levels,True
"PMBOK Guide 7th Edition Review 18 PDU's, Renew the PMPLearn the contents of PMBOK 7th Edition and earn 18 PDU's to renew your PMP. Bestselling Project Management InstructorRating: 4.6 out of 56920 reviews4.5 total hours46 lecturesBeginnerCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/pmbok-guide-7th-edition_pmp/,"TIA Education, Andrew Ramdayal",Rating: 4.6 out of 54.6,"6,920",$9.99,Original Price$54.99,4.5 total hours,46 lectures,Beginner,True
PMP 35 Hours Master Course: PMP Certification Exam PrepComplete Preparation Course for the 2026 PMP Certification - Get 35 Contact Hours/PDUsRating: 4.6 out of 51944 reviews35 total hours176 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/pmp-35-hours-master-course/,Yassine Tounsi,Rating: 4.6 out of 54.6,"1,944",$9.99,Original Price$19.99,35 Hours,176 lectures,All Levels,True
PMP Exam Cram Session - Updated for the current PMP ExamPMP Essentials for PMBOK Guide Everything You Must Know to Pass the PMP ExamRating: 4.6 out of 58138 reviews9.5 total hours115 lecturesExpertCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/pmp-exam-cram-session-pmbok6/,Joseph Phillips,Rating: 4.6 out of 54.6,"8,138",$10.99,Original Price$74.99,9.5 total hours,115 lectures,Expert,True
"PMP: The Complete PMP Course & Practice Exams - PMIThe Complete PMP Course: 35 PMP contact hrs/PDUs 18 hours of video 250 questions 35 assignments 40 downloads PMBOK , PMIRating: 4.5 out of 56378 reviews18.5 total hours160 lecturesAll LevelsCurrent price: $13.99Original price: $89.99",https://www.udemy.com/course/complete-pmp/,"Thor Pedersen | 670,000+ Enrollments Worldwide, ThorTeaches.com Support, Christine Rose, Ku'uipo Lua, PMP, CSM, MBA, Jason Dion • 2.8 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Rose in Autumn LLC, Dion Training Solutions • ATO for ITIL & PRINCE2, Jason Dion • 2.8 Million+ Enrollments Worldwide",Rating: 4.5 out of 54.5,"6,378",$13.99,Original Price$89.99,18 hours,160 lectures,All Levels,True
PMP Certification Exam Prep 35 PDU Project Management CourseComplete PMP Certification Course - Get 35 PDUs/Contact Hours - PMP 2026 Exam Training - PMBOK 7 - Project ManagementRating: 4.5 out of 519192 reviews25.5 total hours431 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/pmp-training-for-pmp-certification-pmp-exam/,"Umer Waqar, PMP",Rating: 4.5 out of 54.5,"19,192",$11.99,Original Price$79.99,25.5 total hours,431 lectures,All Levels,True
PMP Certification Exam Prep 35 PDU Project Management CourseComplete PMP Certification Course - Get 35 PDUs/Contact Hours - PMP 2026 Exam Training - PMBOK 7 - Project ManagementRating: 4.5 out of 519192 reviews25 total hours431 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/pmp-training-for-pmp-certification-pmp-exam/,"Umer Waqar, PMP",Rating: 4.5 out of 54.5,"19,192",$11.99,Original Price$79.99,25 total hours,431 lectures,All Levels,True
"The Ultimate Project Management PMP Prep Course (35 PDUs)Master Project Management and Agile for your PMP or CAPM certification, with the PMBOK, Agile Practice Guide and more!Rating: 4.7 out of 514964 reviews28.5 total hours239 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/ultimate-project-management-pmp-35-pdus/,David McLachlan,Rating: 4.7 out of 54.7,"14,964",$9.99,Original Price$59.99,28.5 total hours,239 lectures,All Levels,True
Zero to PMP: Master Project Management for PMP CertificationPMP Certification: 35+ PDU Project Management Course For PMP Exam Prep. 2 PMP Exam Simulators & 1600+ Questions Inside.Rating: 4.8 out of 514521 reviews43 total hours368 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/project-management-skills-math-concepts-you-should-know/,"Sabri C. PMP | 150,000+ Enrollments Worldwide",Rating: 4.8 out of 54.8,"14,521",$11.99,Original Price$79.99,43 total hours,368 lectures,All Levels,True
PMP Exam Cram Session - Updated for the current PMP ExamPMP Essentials for PMBOK Guide Everything You Must Know to Pass the PMP ExamRating: 4.6 out of 58140 reviews9.5 total hours115 lecturesExpertCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/pmp-exam-cram-session-pmbok6/,Joseph Phillips,Rating: 4.6 out of 54.6,"8,140",$10.99,Original Price$74.99,9.5 total hours,115 lectures,Expert,True
