title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
The Project Management Course: Beginner to PROject ManagerThe Complete Course For Becoming A Successful Project ManagerRating: 4.6 out of 585948 reviews8 total hours109 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/the-project-management-course-beginner-to-project-manager/,365 Careers,Rating: 4.6 out of 54.6,"85,948",$11.99,Original Price$79.99,8 total hours,109 lectures,All Levels
"The Complete Agile & Scrum Project Management CourseMaster Agile and Scrum through an immersive, real-world case study to become a world-class project managerRating: 4.6 out of 55731 reviews4 total hours57 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/the-complete-agile-scrum-project-management-course/,365 Careers,Rating: 4.6 out of 54.6,"5,731",$9.99,Original Price$54.99,4 total hours,57 lectures,All Levels
How to become a successful SAP Project ManagerLearn how to become a SUCCESSFUL SAP Project Manager from top SAP experts with more than 20 years of project expertsRating: 4.6 out of 5834 reviews12 total hours69 lecturesIntermediateCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/sapprojectmanager/,Success Learner,Rating: 4.6 out of 54.6,834,$9.99,Original Price$19.99,12 total hours,69 lectures,Intermediate
Mastering Business Requirements Documentation (BRD)Become a Business Requirements Documentation - BRD expert with this practical course covering components & case studiesRating: 4.4 out of 51158 reviews2.5 total hours51 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/mastering-business-requirements-documentation-brd/,"Start-Tech Academy, Corporate Escalator",Rating: 4.4 out of 54.4,"1,158",$9.99,Original Price$19.99,2.5 total hours,51 lectures,All Levels
"Ultimate Project Manager Blueprint : Plan, Lead, DeliverMaster AI Project Management Tools, Techniques, and Strategies to Lead Smarter, Deliver Faster, and Drive SuccessRating: 4.7 out of 5358 reviews7.5 total hours62 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/project-manager-blueprint/,John Masud Parvez,Rating: 4.7 out of 54.7,358,$9.99,Original Price$19.99,7.5 total hours,62 lectures,All Levels
"Modern Project Manager 2026: Agile, Scrum & Generative AIMaster Project Management with Agile & AI. Learn to plan projects, manage risks, lead teams, and use AI as a PM.Rating: 4.7 out of 551 reviews11 total hours96 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/ai-powered-it-digital-project-manager-from-zero-to-hero/,Daniel Biskupski,Rating: 4.7 out of 54.7,51,$9.99,Original Price$19.99,11 total hours,96 lectures,All Levels
"Project Management Masterclass: Beginner to Project ManagerLearn project management, Agile, and Scrum by planning real projects from start to finish as an advanced project managerRating: 4.8 out of 521 reviews20.5 total hours186 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/project-management-course-masterclass/,Mind Stack,Rating: 4.8 out of 54.8,21,$9.99,Original Price$19.99,20.5 total hours,186 lectures,All Levels
Agile Project Portfolio Management - Part 1/2Learn the key concepts of project portfolio management and Agile project managementRating: 3.9 out of 568 reviews1 total hour7 lecturesBeginnerCurrent price: $10.99Original price: $27.99,https://www.udemy.com/course/agile-project-portfolio-management-part-12/,"Jamal Moustafaev, BBA, MBA, PMP",Rating: 3.9 out of 53.9,68,$10.99,Original Price$27.99,1 total hour,7 lectures,Beginner
Top 10 Project Management Lessons Learned - Earn 2 PDU'sTake a 25 year career shortcut with the ten most important lessons learned in Project Management.Rating: 4.6 out of 52108 reviews2 total hours24 lecturesAll LevelsCurrent price: $9.99Original price: $49.99,https://www.udemy.com/course/project-management-lessons-learned/,"William Stewart PhD, PMP, DPPM",Rating: 4.6 out of 54.6,"2,108",$9.99,Original Price$49.99,2 total hours,24 lectures,All Levels
"Leadership Skills for Project ManagersPractical Leadership Training to Inspire Teams, Improve Communication, and Drive Project SuccessRating: 4.5 out of 5189 reviews1.5 total hours27 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/leadership-skills-for-project-managers/,"Ray Harkins, The Manufacturing Academy, Stacey Schroeder",Rating: 4.5 out of 54.5,189,$9.99,Original Price$19.99,1.5 total hours,27 lectures,All Levels
