title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Succeed in the Age of AILearn Faster, Code Better, Achieve MoreRating: 4.6 out of 51795 reviews8.5 total hours13 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/the-age-of-ai/,"Dr. Angela Yu, Developer and Lead Instructor",Rating: 4.6 out of 54.6,"1,795",$9.99,Original Price$19.99,8.5 total hours,13 lectures,All Levels
"The Complete Full-Stack Web Development BootcampBecome a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DAppsRating: 4.7 out of 5463801 reviews62 total hours374 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/the-complete-web-development-bootcamp/,"Dr. Angela Yu, Developer and Lead Instructor",Rating: 4.7 out of 54.7,"463,801",$9.99,Original Price$64.99,62 total hours,374 lectures,All Levels
"100 Days of Code™: The Complete Python Pro BootcampMaster Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!Rating: 4.7 out of 5411372 reviews56.5 total hours598 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/100-days-of-code/,"Dr. Angela Yu, Developer and Lead Instructor",Rating: 4.7 out of 54.7,"411,372",$9.99,Original Price$64.99,56.5 total hours,598 lectures,All Levels
The Complete Python Bootcamp From Zero to Hero in PythonLearn Python like a Professional  Start from the basics and go all the way to creating your own applications and gamesRating: 4.6 out of 5555632 reviews22.5 total hours170 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/complete-python-bootcamp/,"Jose Portilla, Pierian Training",Rating: 4.6 out of 54.6,"555,632",$9.99,Original Price$64.99,22.5 total hours,170 lectures,All Levels
"Automate the Boring Stuff with Python ProgrammingA practical programming course for office workers, academics, and administrators who want to improve their productivity.Rating: 4.6 out of 5118570 reviews9.5 total hours51 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/automate/,Al Sweigart,Rating: 4.6 out of 54.6,"118,570",$9.99,Original Price$64.99,9.5 total hours,51 lectures,All Levels
"Complete Python with AI Skills to Get Your Dream IT JobMaster Python for Data Science, AI, Machine Learning, Web Development, Game Development, Cybersecurity, and GUI!Rating: 4.6 out of 5671 reviews40.5 total hours361 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/complete-python-with-ai-skills-to-get-your-dream-it-job/,Imran Afzal,Rating: 4.6 out of 54.6,671,$9.99,Original Price$19.99,40.5 total hours,361 lectures,All Levels
Python Programming for Absolute BeginnersLearn Python fundamentals from scratch with this step by step course.Rating: 5.0 out of 51 review2 total hours17 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/python-programming-for-absolute-beginners-m/,Manish Methani,Rating: 5.0 out of 55.0,1,$9.99,Original Price$19.99,2 total hours,17 lectures,Beginner
The Python Bible™ | Everything You Need to Program in PythonBuild 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!Rating: 4.6 out of 557734 reviews9 total hours74 lecturesBeginnerCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/the-python-bible/,"Ziyad Yehia, Internet of Things Academy",Rating: 4.6 out of 54.6,"57,734",$10.99,Original Price$74.99,9 total hours,74 lectures,Beginner
"Python and Django Full Stack Web Developer BootcampLearn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!Rating: 4.5 out of 551956 reviews32 total hours198 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/,"Jose Portilla, Pierian Training",Rating: 4.5 out of 54.5,"51,956",$9.99,Original Price$69.99,32 total hours,198 lectures,All Levels
"Build a Backend REST API with Python & Django - AdvancedCreate an advanced REST API with Python, Django REST Framework and Docker using Test Driven Development (TDD)Rating: 4.5 out of 59728 reviews15 total hours156 lecturesIntermediateCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/django-python-advanced/,"Mark Winterbottom, Brooke Rutherford",Rating: 4.5 out of 54.5,"9,728",$9.99,Original Price$69.99,15 total hours,156 lectures,Intermediate
