title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Complete React and NextJS course with AI powered ProjectsLearn React & Next.js by building AI projects with Convex, Supabase, Drizzle, and production-ready payment gatewaysRating: 4.6 out of 5566 reviews64.5 total hours252 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/complete-react-and-nextjs-course-with-ai-powered-projects/,"Hitesh Choudhary, Suraj Kumar Jha",Rating: 4.6 out of 54.6,566,$9.99,Original Price$19.99,64.5 total hours,252 lectures,All Levels
"Next JS: The Complete Developer's GuideBuild apps using NextJS v14 using App Router, Next Auth, NextUI, and TailwindCSS! Learn the latest version of NextJS!Rating: 4.7 out of 53125 reviews15.5 total hours210 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/next-js-the-complete-developers-guide/,Stephen Grider,Rating: 4.7 out of 54.7,"3,125",$9.99,Original Price$59.99,15.5 total hours,210 lectures,All Levels
"React 18 / 19 Course 2025 - Learn React JS the fast wayDevelop React JS web applications including components, state, effect, hooks, React router, reducer, context, etc.Rating: 4.6 out of 56255 reviews13 total hours162 lecturesBeginnerCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/master-react/,"Jannick Leismann, Denis Panjuta, Tutorials.eu by Denis Panjuta",Rating: 4.6 out of 54.6,"6,255",$9.99,Original Price$54.99,13 total hours,162 lectures,Beginner
React 19 and .NET 10 API - The Complete Full Stack BootcampMaster React 19 w/ Redux Toolkit ; hooks from scratch. Build 10 projects with e-commerce project [.NET 10 API ; EF Core]Rating: 4.5 out of 51186 reviews19.5 total hours355 lecturesBeginnerCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/full-stack-react-bootcamp-with-net-api/,Bhrugen Patel - (DotNetMastery | Microsoft MVP | 300k+ Students),Rating: 4.5 out of 54.5,"1,186",$9.99,Original Price$59.99,19.5 total hours,355 lectures,Beginner
Ultimate React JS Course: Build 15 Web Projects with ReactMaster React 19 by building 15 real-world apps with modern tools like Tailwind CSS 4 & CSS. 100% practical courseRating: 4.5 out of 540 reviews34 total hours131 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/ultimate-react-js-course-build-15-web-projects-with-react/,"Code And Create, Lasha Nozadze, George Lomidze",Rating: 4.5 out of 54.5,40,$9.99,Original Price$19.99,34 total hours,131 lectures,All Levels
"Complete React, Next.js & TypeScript End-to-End ProjectsReact Hands-on 80+ End to End Projects with Next.js, TypeScript, Redux, Hooks, React Router and Prisma & Many More!Rating: 3.5 out of 57 reviews1 total hour8 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/complete-react-nextjs-typescript-end-to-end-projects/,Raj Kumar Thokala,Rating: 3.5 out of 53.5,7,$9.99,Original Price$19.99,1 total hour,8 lectures,All Levels
Next.js Crash Course with React and Tailwind CSSLearn the basic fundamentals of Next.js Application with Reactjs and TailwindCSSRating: 4.0 out of 5229 reviews1 total hour8 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/nextjs-crash-course-with-react-tailwind-2021/,Imran Sayed,Rating: 4.0 out of 54.0,229,$10.99,Original Price$19.99,1 total hour,8 lectures,Beginner
Complete React Ultimate Guide | eCommerce | Func Comp &ReduxFunctional Components | eCommerce | React Projects | JavaScript | React for Busy Developers | Router | Redux ToolkitRating: 4.5 out of 5788 reviews39.5 total hours220 lecturesAll LevelsCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/react-for-busy-developers-learn-by-doing-ecommerce/,Web Academy by Harsha Vardhan,Rating: 4.5 out of 54.5,788,$10.99,Original Price$74.99,39.5 total hours,220 lectures,All Levels
"The Ultimate Authentication Course with NodeJS and ReactAuthenticate with Access & Refresh Tokens, 2FA, Social Authentication with Google etc.Rating: 4.3 out of 549 reviews4 total hours38 lecturesAll LevelsCurrent price: $9.99Original price: $34.99",https://www.udemy.com/course/react-node-authentication/,Antonio Papa,Rating: 4.3 out of 54.3,49,$9.99,Original Price$34.99,4 total hours,38 lectures,All Levels
"React Hooks Tutorial - Master React Hooks DevelopmentMaster React Hooks the right way. Learn what they are, how they work under the hood, and why they're so revolutionary!Rating: 4.5 out of 5803 reviews18.5 total hours127 lecturesIntermediateCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/react-hooks-tutorial/,David Joseph Katz,Rating: 4.5 out of 54.5,803,$10.99,Original Price$19.99,18.5 total hours,127 lectures,Intermediate
