title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"The Complete Guide to Becoming a Software ArchitectThe most comprehensive guide that will make you a Software Architect, the most desired role in the software industry.Rating: 4.6 out of 519059 reviews6 total hours117 lecturesBeginnerCurrent price: $11.99Original price: $79.99",https://www.udemy.com/course/the-complete-guide-to-becoming-a-software-architect/,Memi Lavi,Rating: 4.6 out of 54.6,"19,059",$11.99,Original Price$79.99,6 total hours,117 lectures,Beginner,False
"Software Architecture & Technology of Large-Scale SystemsLearn Architecting Software Systems with High Performance, Scalability, Availability, Security using Modern TechnologiesRating: 4.6 out of 57924 reviews25.5 total hours256 lecturesIntermediateCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/developer-to-architect/,NewTechWays - Anurag Yadav,Rating: 4.6 out of 54.6,"7,924",$10.99,Original Price$74.99,25.5 total hours,256 lectures,Intermediate,False
"Software Architecture & Design of Modern Large Scale SystemsBecome a Software Architect or Technical Lead by Mastering Software Architecture, System Design & Big Data Processing.Rating: 4.7 out of 516091 reviews8 total hours52 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/software-architecture-design-of-modern-large-scale-systems/,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",Rating: 4.7 out of 54.7,"16,091",$9.99,Original Price$59.99,8 total hours,52 lectures,All Levels,False
"Software Architecture & System Design Practical Case StudiesDesign Real-life Large Scale Systems, Practice Modern Software Architecture & Prepare for a System Design InterviewRating: 4.8 out of 52179 reviews4 total hours26 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/software-architecture-system-design-practical-case-studies/,"Michael Pogrebinsky | Software Architecture, System Design, Java Expert, Top Developer Academy LLC",Rating: 4.8 out of 54.8,"2,179",$9.99,Original Price$54.99,4 total hours,26 lectures,All Levels,False
SOLID Principles: Introducing Software Architecture & DesignGain mastery over SOLID Principles and write clean and well-designed code in Object Oriented Languages like Java etc.Rating: 4.5 out of 523751 reviews2 total hours28 lecturesBeginnerCurrent price: $10.99Original price: $59.99,https://www.udemy.com/course/solid-design/,George Sonora,Rating: 4.5 out of 54.5,"23,751",$10.99,Original Price$59.99,2 total hours,28 lectures,Beginner,False
"SOLID Principles of Object Oriented Design and ArchitectureDesign clean, extensible and maintainable systems using SOLID principlesRating: 4.6 out of 55100 reviews4.5 total hours39 lecturesBeginnerCurrent price: $10.99Original price: $59.99",https://www.udemy.com/course/solid-principles-object-oriented-design-architecture/,Vasiliy Zukanov,Rating: 4.6 out of 54.6,"5,100",$10.99,Original Price$59.99,4.5 total hours,39 lectures,Beginner,False
Software architectureArchitecture is an important engineering step in the design and creation of softwareRating: 3.9 out of 5600 reviews8.5 total hours27 lecturesBeginnerCurrent price: $9.99Original price: $44.99,https://www.udemy.com/course/software-architecture-it-bulls/,ANDRII SVIATOBATKO,Rating: 3.9 out of 53.9,600,$9.99,Original Price$44.99,8.5 total hours,27 lectures,Beginner,False
"Mastering Software Architecture Patterns and System DesignLearn to design scalable, maintainable software systems using proven architecture patterns and real-world system designRating: 4.6 out of 5107 reviews13.5 total hours46 lecturesIntermediateCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/mastering-software-architecture-patterns-for-system-design/,Rahul Rajat Singh,Rating: 4.6 out of 54.6,107,$9.99,Original Price$19.99,13.5 total hours,46 lectures,Intermediate,False
Software Architecture Case StudiesBecome an even better Software Architect by learning from real-world architecture case studies.Rating: 4.6 out of 55334 reviews3.5 total hours57 lecturesExpertCurrent price: $11.99Original price: $69.99,https://www.udemy.com/course/software-architecture-case-studies/,Memi Lavi,Rating: 4.6 out of 54.6,"5,334",$11.99,Original Price$69.99,3.5 total hours,57 lectures,Expert,False
Monorepos - A Beginner's GuideStart building your projects with Monorepos todayRating: 4.4 out of 5637 reviews1 total hour24 lecturesBeginnerCurrent price: $11.99Original price: $54.99,https://www.udemy.com/course/monorepos-a-beginners-guide/,Robert Donnelly,Rating: 4.4 out of 54.4,637,$11.99,Original Price$54.99,1 total hour,24 lectures,Beginner,False
How To Become An Outstanding Solution ArchitectLearn all the soft and hard skills you need to take your architect design skills to the next levelRating: 4.5 out of 510875 reviews8 total hours67 lecturesAll LevelsCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/how-to-become-an-outstanding-solution-architect/,Mark Farragher,Rating: 4.5 out of 54.5,"10,875",$10.99,Original Price$69.99,8 total hours,67 lectures,All Levels,False
Implementing Software Architecture of a Large-Scale SystemA hands-on approach to Software Solution Architecture of large-scale systems using modern methods & open source productsRating: 4.6 out of 5834 reviews11.5 total hours83 lecturesIntermediateCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/implementing-software-architecture/,NewTechWays - Anurag Yadav,Rating: 4.6 out of 54.6,834,$9.99,Original Price$59.99,11.5 total hours,83 lectures,Intermediate,False
"SOLID Principles in PHP : Learn how to write better codeSoftware Architecture: Learn how to create modular, maintainable and scalable software by mastering SOLID principlesRating: 4.4 out of 5438 reviews3.5 total hours18 lecturesIntermediateCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/solid-principles-decoded/,Ali Shah,Rating: 4.4 out of 54.4,438,$10.99,Original Price$69.99,3.5 total hours,18 lectures,Intermediate,False
SOLID Principles: Introducing Software Architecture & DesignGain mastery over SOLID Principles and write clean and well-designed code in Object Oriented Languages like Java etc.Rating: 4.5 out of 523759 reviews2 total hours28 lecturesBeginnerCurrent price: $10.99Original price: $59.99,https://www.udemy.com/course/solid-design/,George Sonora,Rating: 4.5 out of 54.5,"23,759",$10.99,Original Price$59.99,2 total hours,28 lectures,Beginner,False
