title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
Complete Spanish Course: Master Spanish Beginner to AdvancedLearn Spanish FAST with this non-stop Spanish speaking course for BEGINNERS: learning Spanish will be easy and fun!Rating: 4.7 out of 511590 reviews152.5 total hours360 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/spanish-for-beginners-the-ultimate-course-level-1/,"Linguae Learning, Linguae Teaching Assistant",Rating: 4.7 out of 54.7,"11,590",$9.99,Original Price$64.99,152.5 total hours,360 lectures,All Levels,True
"Spanish for Beginners. The Complete Spanish Course. LEVEL 1.Learn Spanish with the complete, non-stop SPEAKING method, in a matter of weeks, not years.Rating: 4.7 out of 539147 reviews4 total hours48 lecturesBeginnerCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/el-metodo-spanish-1/,Peter Hanley,Rating: 4.7 out of 54.7,"39,147",$10.99,Original Price$69.99,4 total hours,48 lectures,Beginner,True
Mastering Spanish from Beginner to Advanced: Ultimate Course100-hour Complete Spanish Language Course: Learn Spanish from the most Basic to an Advanced level.Rating: 4.7 out of 51693 reviews103 total hours800 lecturesAll LevelsCurrent price: $9.99Original price: $49.99,https://www.udemy.com/course/mastering-spanish-from-beginner-to-advanced-ultimate-course/,Hugo Garza,Rating: 4.7 out of 54.7,"1,693",$9.99,Original Price$49.99,103 total hours,800 lectures,All Levels,True
"Spanish for Beginners. The Complete Method. Level 3.The Non-stop SPEAKING Spanish course:  Mastery of the basics for beginners - in a matter of weeks, not years.Rating: 4.8 out of 52661 reviews4 total hours52 lecturesBeginnerCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/spanish-for-beginners-the-complete-method-level-3/,Peter Hanley,Rating: 4.8 out of 54.8,"2,661",$10.99,Original Price$69.99,4 total hours,52 lectures,Beginner,True
3 Minute Spanish - Course 1 | Language lessons for beginnersLearn to speak Spanish you can use in everyday real-world situations - all in just 3-minute chunks! | Complete courseRating: 4.7 out of 54244 reviews5.5 total hours114 lecturesBeginnerCurrent price: $11.99Original price: $74.99,https://www.udemy.com/course/3-minute-spanish-full-course-1/,Kieran Ball,Rating: 4.7 out of 54.7,"4,244",$11.99,Original Price$74.99,5.5 total hours,114 lectures,Beginner,True
The Complete Spanish Method. Intermediate. Course 2.Master Intermediate Spanish with the non-stop speaking method: EL MÉTODO.Rating: 4.8 out of 5984 reviews4 total hours51 lecturesIntermediateCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/the-complete-spanish-method-intermediate-course-2/,Peter Hanley,Rating: 4.8 out of 54.8,984,$10.99,Original Price$69.99,4 total hours,51 lectures,Intermediate,True
The Complete Spanish Method. Intermediate. Course 3.Master Intermediate Spanish with the non-stop speaking method: EL MÉTODO.Rating: 4.7 out of 5589 reviews4.5 total hours51 lecturesIntermediateCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/elmetodospanish-int3/,Peter Hanley,Rating: 4.7 out of 54.7,589,$10.99,Original Price$69.99,4.5 total hours,51 lectures,Intermediate,True
"The Complete Spanish Method. Intermediate. Course 4.""EL MÉTODO"" Master Intermediate Spanish with the non-stop speaking method.Rating: 4.6 out of 5441 reviews4 total hours50 lecturesIntermediateCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/the-complete-spanish-method-intermediate-course-4/,Peter Hanley,Rating: 4.6 out of 54.6,441,$10.99,Original Price$69.99,4 total hours,50 lectures,Intermediate,True
"Spanish for Beginners. The Complete Spanish Course. LEVEL 1.Learn Spanish with the complete, non-stop SPEAKING method, in a matter of weeks, not years.Rating: 4.7 out of 539157 reviews4 total hours48 lecturesBeginnerCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/el-metodo-spanish-1/,Peter Hanley,Rating: 4.7 out of 54.7,"39,157",$10.99,Original Price$69.99,4 total hours,48 lectures,Beginner,True
"Spanish 1-4: Beginner, Elementary, Intermediate and AdvancedLearn Spanish with 323 lessons (109 hours of content) covering Beginner, Elementary, Intermediate and Advanced Spanish.Rating: 4.4 out of 510098 reviews109 total hours322 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/spanish-101-beginning-spanish-spanish-for-beginners/,Simple3 L,Rating: 4.4 out of 54.4,"10,098",$9.99,Original Price$69.99,109 hours,322 lectures,All Levels,True
"Spanish for Beginners. The complete Method. Level 2.Learn Spanish with the complete, non-stop SPEAKING method - in a matter of weeks, not years.Rating: 4.9 out of 55162 reviews4 total hours53 lecturesBeginnerCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/el-metodo-spanish-2/,Peter Hanley,Rating: 4.9 out of 54.9,"5,162",$10.99,Original Price$74.99,4 total hours,53 lectures,Beginner,True
"Spanish for Beginners. The Complete Method. Level 3.The Non-stop SPEAKING Spanish course:  Mastery of the basics for beginners - in a matter of weeks, not years.Rating: 4.8 out of 52662 reviews4 total hours52 lecturesBeginnerCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/spanish-for-beginners-the-complete-method-level-3/,Peter Hanley,Rating: 4.8 out of 54.8,"2,662",$10.99,Original Price$69.99,4 total hours,52 lectures,Beginner,True
