title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Java Spring Framework, Spring Boot, Spring AI - Gen AIMaster Java, Spring and Spring Boot, Spring Security, Spring AI, Docker and Microservices with TeluskoRating: 4.6 out of 539329 reviews55 total hours500 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/spring-5-with-spring-boot-2/,"Navin Reddy, Telusko Edutech",Rating: 4.6 out of 54.6,"39,329",$9.99,Original Price$64.99,55 total hours,500 lectures,All Levels
Spring Framework 5 and Spring Boot 2Master Spring and Spring Boot with SecurityRating: 4.3 out of 562 reviews5.5 total hours66 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/spring-framework-and-spring-boot/,Navin Reddy,Rating: 4.3 out of 54.3,62,$9.99,Original Price$19.99,5.5 total hours,66 lectures,Beginner
"REST Microservices with Spring Boot, Maven, JPA and DockerLearn about REST API Microservices with Spring Boot and Java Persistence API (JPA), HTTP Protocol, SOAP and DockerRating: 4.7 out of 5252 reviews17.5 total hours160 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/microservices-with-spring-boot-maven-and-jpa/,Holczer Balazs,Rating: 4.7 out of 54.7,252,$9.99,Original Price$54.99,17.5 total hours,160 lectures,All Levels
"FULL STACK JAVA DEV: JAVA + JSP + SPRING + BOOT + JS + REACTFull Stack Java, JSP, Hibernate, Spring, Web-services/RestFul  API, Spring boot, JavaScript, React, FREE 6-month IDE.Rating: 4.4 out of 513005 reviews84.5 total hours716 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/full-stack-java-developer-java/,"StudyEasy Organization, Chaand Sheikh",Rating: 4.4 out of 54.4,"13,005",$9.99,Original Price$69.99,84.5 total hours,716 lectures,All Levels
"Spring & Spring Boot Interview GuideSpring & Spring Boot Interview Guide with 200+ Questions & Answers. With REST API, JPA, Hibernate and Spring Data JPA.Rating: 4.5 out of 56777 reviews6 total hours78 lecturesAll LevelsCurrent price: $15.99Original price: $109.99",https://www.udemy.com/course/spring-interview-questions-and-answers/,in28Minutes Official,Rating: 4.5 out of 54.5,"6,777",$15.99,Original Price$109.99,6 total hours,78 lectures,All Levels
"Spring Framework 5: Beginner to GuruSpring Framework 5: Spring MVC, Spring Data JPA, Hibernate - Complete Spring 7 & SpringBoot 4 Course Refresh in Process!Rating: 4.5 out of 519594 reviews61 total hours570 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/spring-framework-5-beginner-to-guru/,"John Thompson • 500,000+ Enrollments Worldwide, Spring Ahead Code Academy",Rating: 4.5 out of 54.5,"19,594",$10.99,Original Price$74.99,61 total hours,570 lectures,All Levels
"Building Serverless Applications with Spring and AWSGo Serverless! Build, deploy & manage apps with Spring Framework & Spring Cloud Functions in AWSRating: 3.9 out of 535 reviews4 total hours25 lecturesBeginnerCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/building-serverless-applications-with-spring-and-aws/,Packt Publishing,Rating: 3.9 out of 53.9,35,$10.99,Original Price$19.99,4 total hours,25 lectures,Beginner
"Introduction to Apache FreeMarkerLearn Apache FreeMarker, Interpolation, Template, Directives concepts underlying Spring Framework and Apache Struts.Rating: 3.6 out of 5160 reviews38 total mins14 lecturesBeginnerCurrent price: $9.99Original price: $44.99",https://www.udemy.com/course/introduction-to-apache-freemarker/,Parsiphal David Coletta,Rating: 3.6 out of 53.6,160,$9.99,Original Price$44.99,,14 lectures,Beginner
"Spring Framework - Social SignIn, PayPal, JMS, VelocitySpring MVC, Social SignIn, PayPal, URL Rewrite, Responsive Web Template, Spring Security,Apache Velocity, JMS, Cron JobRating: 3.6 out of 530 reviews3 total hours47 lecturesIntermediateCurrent price: $11.99Original price: $19.99",https://www.udemy.com/course/advanced-spring-framework/,Infybuzz Learning,Rating: 3.6 out of 53.6,30,$11.99,Original Price$19.99,3 total hours,47 lectures,Intermediate
"Spring Framework, Hibernate & Java: Oracle, Database & MySQLSpring Framework, Hibernate & Java: Programming, JPA, OCA Java SE, JDBC, Oracle, Database App, SQL & MySQL For BeginnersRating: 3.2 out of 5113 reviews6 total hours44 lecturesAll LevelsCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/spring-framework-hibernate-java-oracle-database-mysql/,Infinite Knowledge,Rating: 3.2 out of 53.2,113,$10.99,Original Price$19.99,6 total hours,44 lectures,All Levels
