title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
The Complete SQL Bootcamp: Go from Zero to HeroBecome an expert at SQL!Rating: 4.7 out of 5249144 reviews9 total hours83 lecturesAll LevelsCurrent price: $11.99Original price: $79.99,https://www.udemy.com/course/the-complete-sql-bootcamp/,"Jose Portilla, Pierian Training",Rating: 4.7 out of 54.7,"249,144",$11.99,Original Price$79.99,9 total hours,83 lectures,All Levels,True
"SQL - MySQL for Data Analytics and Business IntelligenceSQL that will get you hired – SQL for Data Science, Data Engineering, Business Analysis, Marketing, and Data ManagementRating: 4.6 out of 564499 reviews12 total hours334 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/sql-mysql-for-data-analytics-and-business-intelligence/,"365 Careers, 365 Team",Rating: 4.6 out of 54.6,"64,499",$9.99,Original Price$69.99,12 total hours,334 lectures,All Levels,True
"The Complete SQL Bootcamp (30 Hours): Go from Zero to HeroThe Only SQL Course with 200+ Visual Animations:  learn Fast, Practice Hard & Build Real-World ProjectsRating: 4.7 out of 55658 reviews30 total hours302 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/the-complete-sql-bootcamp-30-hours-go-from-zero-to-hero/,Baraa Khatib Salkini,Rating: 4.7 out of 54.7,"5,658",$9.99,Original Price$19.99,30 Hours,302 lectures,All Levels,True
ChatGPT for SQL Beginners: Learn SQL in 1 HourWrite SQL Queries with ChatGPT: A Practical Prompting Guide to Quick Database Access & InsightsRating: 4.5 out of 5228 reviews1 total hour35 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/chatgpt-for-sql-beginners/,365 Careers,Rating: 4.5 out of 54.5,228,$9.99,Original Price$19.99,1 Hour,35 lectures,All Levels,True
"The Complete SQL & Power BI Bootcamp: Become a Data AnalystBusiness Intelligence with SQL & Power BI: Master MySQL, DAX, Data Modeling & Professional DashboardsRating: 4.7 out of 5191 reviews6 total hours46 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/the-complete-sql-power-bi-bootcamp-become-a-data-analyst/,"Khushbakht Hassan, Rafia Mehmooda",Rating: 4.7 out of 54.7,191,$9.99,Original Price$19.99,6 total hours,46 lectures,All Levels,True
"Master SQL: Beginner to Advanced + Interview QuestionsBeginner to Advanced SQL | Real-World Examples | Joins, CTEs, Window Functions |Practical Examples | Interview QuestionsRating: 0.0 out of 50 reviews5 total hours41 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/master-sql-beginner-to-advanced-interview-questions/,EduVerse Academy,,,$9.99,Original Price$19.99,5 total hours,41 lectures,All Levels,True
"The Ultimate MySQL Bootcamp: Go from SQL Beginner to ExpertCOMPLETELY REDONE!  Master SQL, Work With Complex Databases, Build Reports, and More!Rating: 4.7 out of 5107041 reviews18 total hours336 lecturesBeginnerCurrent price: $11.99Original price: $79.99",https://www.udemy.com/course/the-ultimate-mysql-bootcamp-go-from-sql-beginner-to-expert/,Colt Steele,Rating: 4.7 out of 54.7,"107,041",$11.99,Original Price$79.99,18 total hours,336 lectures,Beginner,True
"Data Engineering for Beginners: Learn SQL, Python & SparkMaster SQL, Python, and Apache Spark (PySpark) with Hands-On Projects using Databricks on Google CloudRating: 4.2 out of 57866 reviews56 total hours623 lecturesIntermediateCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/data-engineering-essentials-sql-python-and-spark/,"Durga Viswanatha Raju Gadiraju, Phani Bhushan Bozzam, Vinay Gadiraju",Rating: 4.2 out of 54.2,"7,866",$9.99,Original Price$64.99,56 total hours,623 lectures,Beginner,True
"Data Analytics Career Path: 72 Days of Data Analyst BootcampLearn Excel, MySQL, Python, PowerBI, ChatGPT for A-Z Data Analysis. Become a Full-Packed Data Analyst. [5 Courses in 1]Rating: 4.4 out of 51647 reviews34.5 total hours361 lecturesAll LevelsCurrent price: $9.99Original price: $54.99",https://www.udemy.com/course/data-analytics-career-track/,Shahriar's Sight Academy,Rating: 4.4 out of 54.4,"1,647",$9.99,Original Price$54.99,34.5 total hours,361 lectures,All Levels,True
"A Beginner's Guide to GIS ProgrammingPractical GIS Programming using Python, GeoPandas, Shapely, ArcPy, and SQLRating: 4.5 out of 523 reviews20.5 total hours104 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/a-beginners-guide-to-gis-programming/,Md. Touhidur Rahman,Rating: 4.5 out of 54.5,23,$9.99,Original Price$19.99,20.5 total hours,104 lectures,All Levels,True
