title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Data Analyst: Professional Certificate in Data AnalysisData Based Decision Making, Data Analysis. Data Collection, Cleaning, Statistical Analysis, Visualisation, Privacy.Rating: 4.4 out of 51255 reviews30 total hours312 lecturesAll LevelsCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/data-analyst-professional-certificate-in-data-analysis/,"MTF Institute of Management, Technology and Finance",Rating: 4.4 out of 54.4,"1,255",$9.99,Original Price$49.99,30 total hours,312 lectures,All Levels,True
"Python for Data analysisLearn data cleaning, manipulation, statistics, and visualization using Python and the Python Pandas libraryRating: 4.4 out of 5242 reviews4.5 total hours24 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/python-for-data-analysis-and-data-science/,"MTF Institute of Management, Technology and Finance",Rating: 4.4 out of 54.4,242,$9.99,Original Price$19.99,4.5 total hours,24 lectures,All Levels,True
"Become a Probability & Statistics MasterLearn everything from Probability & Statistics, then test your knowledge with 600+ practice questionsRating: 4.8 out of 514325 reviews15 total hours148 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/statistics-probability/,Krista King,Rating: 4.8 out of 54.8,"14,325",$9.99,Original Price$64.99,15 total hours,148 lectures,All Levels,True
"Master statistics & machine learning: intuition, math, codeA rigorous and engaging deep-dive into statistics and machine-learning, with hands-on applications in Python and MATLAB.Rating: 4.8 out of 52936 reviews38.5 total hours224 lecturesAll LevelsCurrent price: $9.99Original price: $69.99",https://www.udemy.com/course/statsml_x/,Mike X Cohen,Rating: 4.8 out of 54.8,"2,936",$9.99,Original Price$69.99,38.5 total hours,224 lectures,All Levels,True
"Microsoft Excel: Essential Statistics for Data AnalysisLearn statistics for data analysis with fun, real-world Excel demos: probability, hypothesis testing, regression & more!Rating: 4.7 out of 51605 reviews8 total hours137 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/essential-statistics-for-data-analysis/,"Maven Analytics • 1,500,000 Learners, Enrique Ruiz",Rating: 4.7 out of 54.7,"1,605",$9.99,Original Price$59.99,8 total hours,137 lectures,All Levels,True
"Master statistics using R: Coding, concepts, applicationsLearn R, data analysis, visualization, inference, and regression through real-world statistical practice.Rating: 4.6 out of 531 reviews28.5 total hours204 lecturesBeginnerCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/statsr_ad/,"Adam Dede, Mike X Cohen",Rating: 4.6 out of 54.6,31,$9.99,Original Price$19.99,28.5 total hours,204 lectures,Beginner,True
"Learn By Example: Statistics and Data Science in RA gentle yet thorough introduction to Data Science, Statistics and R using real life examplesRating: 3.7 out of 5377 reviews9 total hours82 lecturesBeginnerCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/statistics-and-data-science-in-r/,Loony Corn,Rating: 3.7 out of 53.7,377,$10.99,Original Price$19.99,9 total hours,82 lectures,Beginner,True
Data Science Methods and Algorithms [2026]Learn Data Science Methods and Algorithms with Pandas and Python [2026]Rating: 4.6 out of 5904 reviews50.5 total hours87 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/data-science-methods-and-algorithms-2024/,Henrik Johansson,Rating: 4.6 out of 54.6,904,$9.99,Original Price$19.99,50.5 total hours,87 lectures,All Levels,True
"Data Science : Complete Data Science & Machine LearningLearn and master the Data Science, Python for Machine Learning, Math for Machine Learning, Statistics for Data ScienceRating: 4.6 out of 53520 reviews26 total hours281 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/complete-data-science-and-machine-learning-using-python/,"Jitesh Khurkhuriya, Python, Data Science & Machine Learning A-Z Team",Rating: 4.6 out of 54.6,"3,520",$10.99,Original Price$74.99,26 total hours,281 lectures,All Levels,True
"Bayesian Statistics for Data ScienceA former Google data scientist helps you master the basics of Bayesian statistics, with examples in R and StanRating: 4.5 out of 5176 reviews5.5 total hours52 lecturesAll LevelsCurrent price: $9.99Original price: $39.99",https://www.udemy.com/course/bayesian-intro/,Brian Greco,Rating: 4.5 out of 54.5,176,$9.99,Original Price$39.99,5.5 total hours,52 lectures,All Levels,True
