title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"The Complete Foundation Stock Trading CourseLearn To Trade The Stock Market. #1 Trading course. Inc: Technical Analysis, Candlesticks, Stocks, Day Trading +++Rating: 4.6 out of 563396 reviews9.5 total hours41 lecturesAll LevelsCurrent price: $11.99Original price: $79.99",https://www.udemy.com/course/foundation-course/,"Mohsen Hassan, bloom team",Rating: 4.6 out of 54.6,"63,396",$11.99,Original Price$79.99,9.5 total hours,41 lectures,All Levels
"Advanced Stock Trading Course + StrategiesLearn To Trade The Stock Market. For: Stocks, Day Trading, Swing Trading and Financial TradingRating: 4.5 out of 516143 reviews9.5 total hours44 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/advanced-course-plus-strategies/,"Mohsen Hassan, bloom team",Rating: 4.5 out of 54.5,"16,143",$10.99,Original Price$69.99,9.5 total hours,44 lectures,All Levels
"The Complete Foundation Stock Trading CourseLearn To Trade The Stock Market. #1 Trading course. Inc: Technical Analysis, Candlesticks, Stocks, Day Trading +++Rating: 4.6 out of 563404 reviews9.5 total hours41 lecturesAll LevelsCurrent price: $11.99Original price: $79.99",https://www.udemy.com/course/foundation-course/,"Mohsen Hassan, bloom team",Rating: 4.6 out of 54.6,"63,404",$11.99,Original Price$79.99,9.5 total hours,41 lectures,All Levels
Investing In Stocks The Complete Course! (17+ Hours)Master Stock Market Investing & Trading in the Stock Market. Top 1% Instructor & Millionaire Investor. Invest & Trade!Rating: 4.6 out of 547339 reviews17.5 total hours162 lecturesAll Levels,https://www.udemy.com/course/investing-in-stocks/,"Steve Ballinger, MBA",Rating: 4.6 out of 54.6,"47,339",,,17.5 total hours,162 lectures,All Levels
"Stock Market Investing for BeginnersMaster the Stock Market with Engaging, Comprehensive, and Fun Lectures! Taken by 400K+ Students!Rating: 4.5 out of 532294 reviews9 total hours60 lecturesBeginner",https://www.udemy.com/course/the-beginners-guide-to-the-stock-market/,John Doukasse | MoneyStars,Rating: 4.5 out of 54.5,"32,294",,,9 total hours,60 lectures,Beginner
"Advanced Stock Trading Course + StrategiesLearn To Trade The Stock Market. For: Stocks, Day Trading, Swing Trading and Financial TradingRating: 4.5 out of 516144 reviews9.5 total hours44 lecturesAll LevelsCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/advanced-course-plus-strategies/,"Mohsen Hassan, bloom team",Rating: 4.5 out of 54.5,"16,144",$10.99,Original Price$69.99,9.5 total hours,44 lectures,All Levels
Stock Trading & Investing for Beginners 4-in-1 Course BundleJumpstart your Stock Trading & Investing journey as Beginners in Stock Market. Learn both financial & technical analysisRating: 4.7 out of 57373 reviews9.5 total hours126 lecturesIntermediate,https://www.udemy.com/course/complete-stock-market-starter-toolkit-for-beginners/,Indian Insight | Top 10 PAC Trading Championship,Rating: 4.7 out of 54.7,"7,373",,,9.5 total hours,126 lectures,Beginner
"Start Trading Stocks Using Technical Analysis!Learn the secrets of professional trading from a former stock broker, and make profits investing today!Rating: 4.3 out of 56666 reviews4 total hours45 lecturesAll Levels",https://www.udemy.com/course/professional-stock-trader/,Corey Halliday,Rating: 4.3 out of 54.3,"6,666",,,4 total hours,45 lectures,All Levels
Stock Market For Beginners - How To Start Investing TodayInvesting 101 : Learn The Essentials To Invest Successfully In The Stock Market. Invest With Confidence & Gain FreedomRating: 4.5 out of 53556 reviews2.5 total hours48 lecturesBeginner,https://www.udemy.com/course/stock-market-for-beginners-how-to-start-investing-today/,Jari Roomer,Rating: 4.5 out of 54.5,"3,556",,,2.5 total hours,48 lectures,Beginner
"Guide to Stock Trading with Candlestick & Technical AnalysisStock Market Technical Analysis, Candlestick Trading and Volume Patterns for Day Trading, Swing Trading, Stock InvestingRating: 4.6 out of 53519 reviews7 total hours132 lecturesAll Levels",https://www.udemy.com/course/introduction-to-japanese-candlesticks/,"Luca Moschini, SharperTrades LLC",Rating: 4.6 out of 54.6,"3,519",,,7 total hours,132 lectures,All Levels
"Stock Trading, Crypto Trading & Forex Trading Course 2025Learn Stock Trading, Crypto Trading & Forex Trading with Technical Analysis, Smart Money ConceptsRating: 4.7 out of 53010 reviews4 total hours54 lecturesAll Levels",https://www.udemy.com/course/technical-analysis-mastery-stock-trading-forex-investing/,Haris Khan,Rating: 4.7 out of 54.7,"3,010",,,4 total hours,54 lectures,All Levels
Live Stock Trading Course: Beginner to ProLearn how to Day and Swing Trade with LIVE examplesRating: 4.8 out of 52707 reviews7.5 total hours38 lecturesAll Levels,https://www.udemy.com/course/live-stock-trading-course-beginner-to-pro/,"Mohsen Hassan, bloom team",Rating: 4.8 out of 54.8,"2,707",,,7.5 total hours,38 lectures,All Levels
"Start Trading Stocks Using Technical Analysis! Part 2Learn the secrets of professional trading from a former stock broker, and make profits investing today!Rating: 4.9 out of 51613 reviews2 total hours25 lecturesAll Levels",https://www.udemy.com/course/start-trading-stocks-using-technical-analysis-part-2/,Corey Halliday,Rating: 4.9 out of 54.9,"1,613",,,2 total hours,25 lectures,All Levels
"Technical Analysis 101: Master the Basics of TradingLearn technical stock forex trading techniques using support & resistance, trend lines, trend channels & moving averagesRating: 4.7 out of 51459 reviews3 total hours55 lecturesAll Levels",https://www.udemy.com/course/master-the-basics-of-trading-through-support-and-resistance/,"Luca Moschini, SharperTrades LLC",Rating: 4.7 out of 54.7,"1,459",,,3 total hours,55 lectures,All Levels
Value Investing and Fundamental Stock AnalysisA step by step approach to stock investing and analysis for the prudent value investorRating: 4.3 out of 51210 reviews1.5 total hours21 lecturesAll Levels,https://www.udemy.com/course/value-investing-stocks-analysis/,Kagwe Njoroge,Rating: 4.3 out of 54.3,"1,210",,,1.5 total hours,21 lectures,All Levels
"How to Invest in Stocks by a Pro Who Managed > 1 BillionBy Award Winning MBA Prof with 1.5 Million Students, who worked at Goldman and The Top Hedge Funds in the WorldRating: 4.4 out of 51175 reviews1 total hour30 lecturesAll Levels",https://www.udemy.com/course/how-to-invest-in-stocks-by-a-pro-who-managed-1-billion/,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,Rating: 4.4 out of 54.4,"1,175",,,1 total hour,30 lectures,All Levels
The Complete Swing Trading Course (Updated 2026)Unlocking the Secrets of Swing Trading: Proven Technical Analysis and Financial Trading Strategies For Maximum ProfitsRating: 4.0 out of 51117 reviews11.5 total hours122 lecturesAll Levels,https://www.udemy.com/course/the-complete-swing-trading-course/,Wealthy Education,Rating: 4.0 out of 54.0,"1,117",,,11.5 total hours,122 lectures,All Levels
Stock Trading Ninja: Complete System For Trading SuccessA Comprehensive Strategy For Learning How To TradeRating: 4.6 out of 51041 reviews3 total hours37 lecturesAll Levels,https://www.udemy.com/course/stock-trading-ninja-complete-system-for-trading-success-q/,Frank Bunn,Rating: 4.6 out of 54.6,"1,041",,,3 total hours,37 lectures,All Levels
Mastering TradingView: A Complete TradingView TutorialLearn How to Use TradingView with this Complete TradingView Tutorial for New Traders. Go from Beginner to IntermediateRating: 4.4 out of 5620 reviews2 total hours36 lecturesBeginnerCurrent price: $9.99Original price: $39.99,https://www.udemy.com/course/complete-tradingview-tutorial/,"Kundai Dzawo | Trading, Investing & Technical Analysis Coach",Rating: 4.4 out of 54.4,620,$9.99,Original Price$39.99,2 total hours,36 lectures,Beginner
Stock Trading Momentum Based Strategies (Technical Analysis)Learn To Trade Multiple Technical Analysis Strategies with advance tools with complete case studies for Stock Trading.Rating: 4.4 out of 5569 reviews10.5 total hours53 lecturesAll LevelsCurrent price: $10.99Original price: $59.99,https://www.udemy.com/course/momentum-indicators-rsi-stoch-williamr-tsi-mfi/,"OEdTech • 100,000+ Enrollments Worldwide",Rating: 4.4 out of 54.4,569,$10.99,Original Price$59.99,10.5 total hours,53 lectures,All Levels
Investing In Stocks The Complete Course! (17+ Hours)Master Stock Market Investing & Trading in the Stock Market. Top 1% Instructor & Millionaire Investor. Invest & Trade!Rating: 4.6 out of 547339 reviews17.5 total hours162 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/investing-in-stocks/,"Steve Ballinger, MBA",Rating: 4.6 out of 54.6,"47,339",$9.99,Original Price$64.99,17.5 total hours,162 lectures,All Levels
Stock Trading & Investing for Beginners 4-in-1 Course BundleJumpstart your Stock Trading & Investing journey as Beginners in Stock Market. Learn both financial & technical analysisRating: 4.7 out of 57373 reviews9.5 total hours126 lecturesIntermediateCurrent price: $12.99Original price: $84.99,https://www.udemy.com/course/complete-stock-market-starter-toolkit-for-beginners/,Indian Insight | Top 10 PAC Trading Championship,Rating: 4.7 out of 54.7,"7,373",$12.99,Original Price$84.99,9.5 total hours,126 lectures,Beginner
"Renko Charting- The Low Noise Trading TechniqueLearn to trade without confusion. Self generation of trade signals, without the trader's interpretaions messing upRating: 4.7 out of 55 reviews2 total hours11 lecturesIntermediateCurrent price: $199.99",https://www.udemy.com/course/renko-charting/,Bhooshan Shanbhag,Rating: 4.7 out of 54.7,5,$199.99,,2 total hours,11 lectures,Intermediate
