title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level,bestseller
"Understanding TypeScriptBoost your JavaScript projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!Rating: 4.7 out of 557626 reviews22.5 total hours339 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/understanding-typescript/,Maximilian Schwarzmüller,Rating: 4.7 out of 54.7,"57,626",$9.99,Original Price$64.99,22.5 total hours,339 lectures,All Levels,True
"Angular - The Complete GuideMaster Angular (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.jsRating: 4.7 out of 5221697 reviews56 total hours762 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/the-complete-guide-to-angular-2/,Maximilian Schwarzmüller,Rating: 4.7 out of 54.7,"221,697",$9.99,Original Price$64.99,56 total hours,762 lectures,All Levels,True
"Understanding TypeScriptBoost your JavaScript projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!Rating: 4.7 out of 557631 reviews22.5 total hours339 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/understanding-typescript/,Maximilian Schwarzmüller,Rating: 4.7 out of 54.7,"57,631",$9.99,Original Price$64.99,22.5 total hours,339 lectures,All Levels,True
"Unit Testing for Typescript & NodeJs Developers with JestMaster unit testing with NodeJs, Typescript, Jest and React. Write top quality Typescript and NodeJs software with JestRating: 4.8 out of 51983 reviews11.5 total hours102 lecturesAll LevelsCurrent price: $10.99Original price: $74.99",https://www.udemy.com/course/unit-testing-typescript-nodejs/,Alex Dan,Rating: 4.8 out of 54.8,"1,983",$10.99,Original Price$74.99,11.5 total hours,102 lectures,All Levels,True
TypeScript Interview Questions - Coding Interview 2025Prepare for next TypeScript coding interview by doing practice questions. Learn TypeScript skills & concepts.Rating: 4.8 out of 557 reviews3 total hours51 lecturesAll LevelsCurrent price: $9.99Original price: $44.99,https://www.udemy.com/course/typescript-interview-questions-coding-interview/,Oleksandr Kocherhin,Rating: 4.8 out of 54.8,57,$9.99,Original Price$44.99,3 total hours,51 lectures,All Levels,True
"TypeScript Masterclass 2025 Edition - React + NodeJS ProjectTypeScript V5 Updated Course - Full Stack Development, TypeScript with ReactJS, ShadcnUI, Node.js, Express and MongoDB.Rating: 4.4 out of 51169 reviews28.5 total hours292 lecturesAll LevelsCurrent price: $9.99Original price: $59.99",https://www.udemy.com/course/typescript-course/,Manik (Cloudaffle),Rating: 4.4 out of 54.4,"1,169",$9.99,Original Price$59.99,28.5 total hours,292 lectures,All Levels,True
Angular 2 & TypeScript Beginner Web DevelopmentAngular 2 web development for beginners with TypeScript & FirebaseRating: 3.9 out of 5578 reviews19.5 total hours132 lecturesBeginnerCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/angular2/,"Mark Price, Devslopes by Nathan Sevedge",Rating: 3.9 out of 53.9,578,$10.99,Original Price$19.99,19.5 total hours,132 lectures,Beginner,True
"The complete Angular Course  , Typescript included.Take you App to the next level using Angular and Typescript.Rating: 3.8 out of 5292 reviews33 total hours224 lecturesAll LevelsCurrent price: $11.99Original price: $54.99",https://www.udemy.com/course/the-complete-angular-course-typescript-included/,Coding Revolution,Rating: 3.8 out of 53.8,292,$11.99,Original Price$54.99,33 total hours,224 lectures,All Levels,True
"Angular and Golang: A Practical GuideGo APIs, Angular CLI, Typescript, Event Emitters, MySQL, Upload Images, Export CSVRating: 4.2 out of 534 reviews6.5 total hours72 lecturesAll LevelsCurrent price: $10.99Original price: $54.99",https://www.udemy.com/course/angular-go-admin/,Antonio Papa,Rating: 4.2 out of 54.2,34,$10.99,Original Price$54.99,6.5 total hours,72 lectures,All Levels,True
"Angular and NodeJS: A Practical Guide with TypescriptNodeJS with Typescript, Angular CLI, Event Emitters, MySQL, TypeORM, Upload Images, Export CSVRating: 4.2 out of 515 reviews6.5 total hours66 lecturesAll LevelsCurrent price: $9.99Original price: $39.99",https://www.udemy.com/course/angular-node-admin/,Antonio Papa,Rating: 4.2 out of 54.2,15,$9.99,Original Price$39.99,6.5 total hours,66 lectures,All Levels,True
