title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Learn To Create A Store Simulator in Unity 6 & C#Game development made easy. Learn C# using Unity 6 and create your own Store Management game!Rating: 4.8 out of 564 reviews13 total hours84 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/unity-store-sim/,James Doyle,Rating: 4.8 out of 54.8,64,$9.99,Original Price$19.99,13 total hours,84 lectures,All Levels
The Complete Guide to Unity 3D : Making a Top Down ShooterLevel up your C# and Unity knowledge and create your very own Action-Shooter.Rating: 4.5 out of 5713 reviews55 total hours260 lecturesAll LevelsCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/3d-tds-alexdev/,Unity Alex Dev,Rating: 4.5 out of 54.5,713,$9.99,Original Price$59.99,55 total hours,260 lectures,All Levels
Unity Mobile Game DevelopmentCreate and publish mobile games for Android and iOS using C# and UnityRating: 4.8 out of 5262 reviews7 total hours82 lecturesBeginnerCurrent price: $9.99Original price: $59.99,https://www.udemy.com/course/unitymobilecourse/,Mario Korov,Rating: 4.8 out of 54.8,262,$9.99,Original Price$59.99,7 total hours,82 lectures,Beginner
Visual Effects for Games in Unity - Beginner To IntermediateBy the end of this course you will have started your own portfolio as a Triple-A Visual Effects artist for Games.Rating: 4.5 out of 53687 reviews6 total hours59 lecturesBeginnerCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/vfx-for-games-in-unity-beginner-to-intermediate/,Gabriel Aguiar,Rating: 4.5 out of 54.5,"3,687",$10.99,Original Price$74.99,6 total hours,59 lectures,Beginner
The Ultimate Guide to Game Development with Unity (Official)Created in partnership with Unity Technologies: learn C# by developing 2D & 3D games with this comprehensive guideRating: 4.4 out of 520755 reviews36.5 total hours522 lecturesBeginnerCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/the-ultimate-guide-to-game-development-with-unity/,"Jonathan Weinberger, Unity Technologies, GameDevHQ Team, Thomas Kesler",Rating: 4.4 out of 54.4,"20,755",$9.99,Original Price$69.99,36.5 total hours,522 lectures,Beginner
Unity 3D for Beginners: Build a Drone Shooter GameMaster Unity 3D Basics by Building a Drone Shooter GameRating: 5.0 out of 51 review3.5 total hours14 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/unity-3d-for-beginners-build-a-drone-shooter-game/,Giorgi Luarsabishvili,Rating: 5.0 out of 55.0,1,$9.99,Original Price$19.99,3.5 total hours,14 lectures,Beginner
"Unity 2D Platformer Game Development CourseLearn how to utilize the Unity asset store to learn how to create, and to create stunning 2D games!Rating: 3.7 out of 5198 reviews1.5 total hours12 lecturesBeginnerCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/unitypixelplatformer/,"Dragan Neskovic, Jasmin Skamo",Rating: 3.7 out of 53.7,198,$10.99,Original Price$19.99,1.5 total hours,12 lectures,Beginner
Create A Realistic Environment for your Game using UnityLearn how to Create Eye feasting realistic environment using Unity's HDRPRating: 3.9 out of 545 reviews1 total hour9 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/create-a-realistic-environment-for-your-game-using-unity/,Prudviraj Perala,Rating: 3.9 out of 53.9,45,$9.99,Original Price$19.99,1 total hour,9 lectures,Beginner
The Ultimate Blender Masterclass!Learn all the Ins and Outs of 3D modelling with Blender!Rating: 3.9 out of 529 reviews45 total hours200 lecturesAll LevelsCurrent price: $10.99Original price: $19.99,https://www.udemy.com/course/the-ultimate-blender-masterclass/,"Mammoth Interactive, John Bura",Rating: 3.9 out of 53.9,29,$10.99,Original Price$19.99,45 total hours,200 lectures,All Levels
Augmented Reality Made Easy with VuforiaMaster Vuforia and Create Engaging Augmented Reality ExperiencesRating: 4.4 out of 56 reviews3 total hours22 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/augmented-reality-made-easy-with-vuforia-2023/,Gospel Ononwi,Rating: 4.4 out of 54.4,6,$9.99,Original Price$19.99,3 total hours,22 lectures,Beginner
"Unity Game Mechanics Mastery and Blender 3D Modeling+FREE gift! Learn game design, game physics, 3D animation, character art, C#, pixel art, Photoshop and MagicaVoxel!Rating: 4.5 out of 52 reviews22.5 total hours146 lecturesAll LevelsCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/unityblendercourse/,"Mammoth Interactive, John Bura",Rating: 4.5 out of 54.5,2,$10.99,Original Price$19.99,22.5 total hours,146 lectures,All Levels
Learn to Program & Model Procedural Cities in Unity/BlenderYour guide to understanding procedural construction of buildings and city maps for games and virtual environmentsRating: 4.6 out of 5145 reviews16.5 total hours117 lecturesIntermediateCurrent price: $9.99Original price: $49.99,https://www.udemy.com/course/procedural-cities-in-unity-blender/,"Penny de Byl, Penny Holistic3D, Michael Bridges",Rating: 4.6 out of 54.6,145,$9.99,Original Price$49.99,16.5 total hours,117 lectures,Intermediate
"Blender 2.79- Character creation for unity for beginnersStart modeling, animation with Blender and integrate your character in UnityRating: 4.5 out of 5106 reviews11.5 total hours50 lecturesBeginnerCurrent price: $10.99Original price: $54.99",https://www.udemy.com/course/blender-279-character-creation-for-unity/,Julien Deville,Rating: 4.5 out of 54.5,106,$10.99,Original Price$54.99,11.5 total hours,50 lectures,Beginner
Game Making with Blender and Building in Unity and GodotLearn to create low-poly tileable environments in Blender for vibrant indie games!Rating: 4.5 out of 59 reviews4.5 total hours51 lecturesBeginnerCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/3dmotive-game-making-with-blender-and-building-in-unity-and-godot/,3dmotive LLC,Rating: 4.5 out of 54.5,9,$9.99,Original Price$19.99,4.5 total hours,51 lectures,Beginner
"Learn Blender 3D Modeling for Unity Video Game DevelopmentMaster Blender for Game Development: Learn to Create 3D Props, Design Levels, Apply Materials & Animations for UnityRating: 4.7 out of 52124 reviews11.5 total hours109 lecturesBeginnerCurrent price: $10.99Original price: $69.99",https://www.udemy.com/course/learn-blender-3d-modeling-for-unity-video-game-development/,Billy McDaniel,Rating: 4.7 out of 54.7,"2,124",$10.99,Original Price$69.99,11.5 total hours,109 lectures,Beginner
Complete C# Unity 2D Game Development (Updated To Unity 6)Build 4 playable 2D games in Unity 6 using C#. Learn real coding skills and master game dev fundamentals.Rating: 4.7 out of 5107482 reviews35.5 total hours271 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/unitycourse/,"GameDev.tv Team, Rick Davidson, Ahmed Nassef",Rating: 4.7 out of 54.7,"107,482",$9.99,Original Price$64.99,35.5 total hours,271 lectures,All Levels
Complete C# Unity 3D Game Development in Unity 6Build 5 playable 3D games in Unity 6 using C#. Learn real coding skills and master core game dev techniques.Rating: 4.7 out of 547765 reviews27 total hours192 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/unitycourse2/,"Rick Davidson, GameDev.tv Team, Stephen Hubbard",Rating: 4.7 out of 54.7,"47,765",$9.99,Original Price$64.99,27 total hours,192 lectures,All Levels
The Ultimate Guide to Game Development with Unity (Official)Created in partnership with Unity Technologies: learn C# by developing 2D & 3D games with this comprehensive guideRating: 4.4 out of 520757 reviews36.5 total hours522 lecturesBeginnerCurrent price: $9.99Original price: $69.99,https://www.udemy.com/course/the-ultimate-guide-to-game-development-with-unity/,"Jonathan Weinberger, Unity Technologies, GameDevHQ Team, Thomas Kesler",Rating: 4.4 out of 54.4,"20,757",$9.99,Original Price$69.99,36.5 total hours,522 lectures,Beginner
RPG Core Combat Creator: Learn Intermediate Unity C# CodingBuild Combat for Role Playing Game (RPG) in Unity. Tutorials Cover Code Architecture &amp; Video Game Design.Rating: 4.5 out of 511315 reviews27.5 total hours188 lecturesIntermediateCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/unityrpg/,"Ben Tristem, Rick Davidson, GameDev.tv Team",Rating: 4.5 out of 54.5,"11,315",$10.99,Original Price$74.99,27.5 total hours,188 lectures,Intermediate
Unity Game Development Build 2D & 3D GamesLearn Unity game design & 2D & 3D game development & make your own C# games in Unity 3DRating: 4.3 out of 55450 reviews35 total hours116 lecturesBeginnerCurrent price: $10.99Original price: $69.99,https://www.udemy.com/course/devslopes-unity3d/,"Mark Price, Devslopes by Nathan Sevedge",Rating: 4.3 out of 54.3,"5,450",$10.99,Original Price$69.99,35 total hours,116 lectures,Beginner
Learn To Create An RPG Game In UnityGame development made easy. Learn C# using Unity and create your very own classic RPG!Rating: 4.5 out of 54560 reviews18 total hours117 lecturesAll LevelsCurrent price: $10.99Original price: $64.99,https://www.udemy.com/course/unity2drpg/,James Doyle,Rating: 4.5 out of 54.5,"4,560",$10.99,Original Price$64.99,18 total hours,117 lectures,All Levels
"Master Unity By Building 6 Fully Featured Games From ScratchLearn How To Plan, Design, Create And Publish Your Games On Any Platform Using Unity Game EngineRating: 4.2 out of 54396 reviews35.5 total hours252 lecturesAll LevelsCurrent price: $10.99Original price: $19.99",https://www.udemy.com/course/make-mobile-games-like-a-pro-using-unity-game-engine/,Awesome Tuts,Rating: 4.2 out of 54.2,"4,396",$10.99,Original Price$19.99,35.5 total hours,252 lectures,All Levels
