title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Succeed in the Age of AILearn Faster, Code Better, Achieve MoreRating: 4.6 out of 51795 reviews8.5 total hours13 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/the-age-of-ai/,"Dr. Angela Yu, Developer and Lead Instructor",Rating: 4.6 out of 54.6,"1,795",$9.99,Original Price$19.99,8.5 total hours,13 lectures,All Levels
"The Complete Full-Stack Web Development BootcampBecome a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, PostgreSQL, Web3 and DAppsRating: 4.7 out of 5463801 reviews62 total hours374 lecturesAll LevelsCurrent price: $9.99Original price: $64.99",https://www.udemy.com/course/the-complete-web-development-bootcamp/,"Dr. Angela Yu, Developer and Lead Instructor",Rating: 4.7 out of 54.7,"463,801",$9.99,Original Price$64.99,62 total hours,374 lectures,All Levels
"Ultimate Web Development Course 2026 - Build Modern WebsitesThis is the only modern, always up-to-date Web Development course you will ever need.Rating: 4.6 out of 51390 reviews22 total hours146 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/codewithharry-web-development-course/,Haris Ali Khan,Rating: 4.6 out of 54.6,"1,390",$9.99,Original Price$19.99,22 total hours,146 lectures,All Levels
The Complete Web Developer Bootcamp 2026Master modern full-stack web development from scratch through hands-on projects.Rating: 4.7 out of 517 reviews4.5 total hours41 lecturesAll LevelsCurrent price: $9.99Original price: $19.99,https://www.udemy.com/course/the-complete-web-developer-bootcamp-complete-training/,Meta Brains,Rating: 4.7 out of 54.7,17,$9.99,Original Price$19.99,4.5 total hours,41 lectures,All Levels
"Django & HTMX - Building Hypermedia Web Applications!Learn how to build HTMX-driven apps with Django, including WebSocket based apps with django-channelsRating: 4.9 out of 586 reviews11 total hours79 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/django-htmx-hypermedia-web-apps/,BugBytes (Lyle),Rating: 4.9 out of 54.9,86,$9.99,Original Price$19.99,11 total hours,79 lectures,All Levels
"Social-Network Vue & Go & WebSocket-Realtime & GRPC & DevOpsLearn Full-Stack Development: Vue 3, Golang, WebSockets, gRPC, Kafka & Kubernetes & distributed SystemsRating: 0.0 out of 50 reviews64.5 total hours198 lecturesAll LevelsCurrent price: $9.99Original price: $19.99",https://www.udemy.com/course/build-social-network-vue3-golang-devops/,Ahmed Khalaf Elsayed,,,$9.99,Original Price$19.99,64.5 total hours,198 lectures,All Levels
Pre-Programming: Everything you need to know before you codeIncrease your chance of success learning to code and communicating with other developersRating: 4.6 out of 512981 reviews6.5 total hours87 lecturesBeginnerCurrent price: $10.99Original price: $74.99,https://www.udemy.com/course/pre-programming-everything-you-need-to-know-before-you-code/,Evan Kimbrell,Rating: 4.6 out of 54.6,"12,981",$10.99,Original Price$74.99,6.5 total hours,87 lectures,Beginner
Python Mega Course: Build 20 Real-World Apps and AI AgentsLearn Python from Beginner to Pro. Build 20 Real-World Apps with Python Including AI Agents with LangChain.Rating: 4.6 out of 572587 reviews50.5 total hours431 lecturesAll LevelsCurrent price: $9.99Original price: $64.99,https://www.udemy.com/course/the-python-mega-course/,"Ardit Sulce • 600,000+ Students Worldwide",Rating: 4.6 out of 54.6,"72,587",$9.99,Original Price$64.99,50.5 total hours,431 lectures,All Levels
Learn Python by Doing with 100 ProjectsThe perfect course to take after learning the basics. Build 50 Python apps with the instructor + 50 student projects.Rating: 4.8 out of 5147 reviews12.5 total hours153 lecturesBeginnerCurrent price: $9.99Original price: $49.99,https://www.udemy.com/course/learn-python-by-doing-with-100-projects/,"Ardit Sulce • 600,000+ Students Worldwide",Rating: 4.8 out of 54.8,147,$9.99,Original Price$49.99,12.5 total hours,153 lectures,Beginner
"Full Stack Web Development Megacourse: Beginner to ExpertMaster Web Development from Scratch - Front-End, Back-End, Databases, and Real-World Projects!Rating: 4.5 out of 5163 reviews139 total hours488 lecturesAll LevelsCurrent price: $9.99Original price: $49.99",https://www.udemy.com/course/full-stack-web-development-megacourse-beginner-to-expert/,Skillademia Academy,Rating: 4.5 out of 54.5,163,$9.99,Original Price$49.99,139 total hours,488 lectures,All Levels
