title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Directing the Actor: A USC course with Nina FochLearn directing and acting techniques from renowned actress Nina Foch in this USC Master Class.Rating: 4.7 out of 51339 reviews4 total hours91 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/directing-the-actor-a-usc-course-with-nina-foch/,"Nina Foch, Randal Kleiser",4.7,"1,339",$69.99,,4 total hours,91 lectures,All Levels
"How I Booked 8 Acting Roles On Major TV Shows in a YearLaunch Your TV Acting Career: Impress Casting Directors, Get Auditions, and Book TV Roles. I'm Living Proof This Works!Rating: 4.7 out of 5414 reviews2 total hours15 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/how-i-booked-8-roles-on-major-tv-shows-in-the-last-year/,Brennan Taylor,4.7,414,$49.99,,2 total hours,15 lectures,All Levels
The Complete Acting Course15-Steps to Dramatically Improve Your Acting SkillsRating: 4.7 out of 51202 reviews5 total hours37 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/the-acting-class-w-galadriel-stineman/,"Galadriel Stineman, Skills Academy",4.7,"1,202",$54.99,,5 total hours,37 lectures,All Levels
Professional 10 Hour Acting MASTERCLASSActing - It's time to get good at acting.  This Is What Every Actor Should Get Their Hands On.  Get Started Today.Rating: 4.0 out of 51076 reviews10 total hours32 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/theactorsacademy/,The Academy Program,4.0,"1,076",$49.99,,10 Hour,32 lectures,All Levels
Acting 101 for AdultsActing 101 for AdultsRating: 4.5 out of 5826 reviews7 total hours17 lecturesBeginnerCurrent price: $59.99,https://www.udemy.com/course/acting-101-for-adults/,Academy of Film Fashion and Design,4.5,826,$59.99,,7 total hours,17 lectures,Beginner
Acting Masterclass with Celebrity Booking Coach Amy LyndonThe Lyndon Technique: The 15 Guideline Map To Booking Technique COURSE - Taught by CELEBRITY ACTING COACH AMY LYNDONRating: 4.8 out of 5261 reviews3 total hours35 lecturesAll LevelsCurrent price: $89.99,https://www.udemy.com/course/how-to-book-acting-jobs/,Amy Lyndon,4.8,261,$89.99,,3 total hours,35 lectures,All Levels
The Captivating Actor - A Comprehensive GuideWith Actor and YouTube Star Rick Segall - How To Improve Your Chances of Success in Your Craft & Your CareerRating: 4.7 out of 5168 reviews4.5 total hours77 lecturesBeginnerCurrent price: $44.99,https://www.udemy.com/course/captivatingactor/,Chanti Niven,4.7,168,$44.99,,4.5 total hours,77 lectures,Beginner
Act For A LivingMasterclass for aspiring actors looking to have a long successful career in Hollywood without becoming a starving artistRating: 4.9 out of 5150 reviews2 total hours26 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/act-for-a-living/,Ransford Doherty,4.9,150,$19.99,,2 total hours,26 lectures,All Levels
Acting MASTERCLASS: Be a Working Actor and Book Auditions!Step-by-Step Acting Guide on Making It as a Working ActorRating: 4.6 out of 5148 reviews1 total hour17 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/acting-masterclass/,GB Voice Academy,4.6,148,$19.99,,1 total hour,17 lectures,All Levels
"Voicemaster Voiceover CourseRead a voiceover script professionally by learning how to control your pace, pitch and toneRating: 4.3 out of 5596 reviews1 total hour11 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/hudson-voice-technique-for-voiceovers/,Esther Roberts,4.3,596,$44.99,,1 total hour,11 lectures,All Levels
Professional 10 Hour Acting MASTERCLASSActing - It's time to get good at acting.  This Is What Every Actor Should Get Their Hands On.  Get Started Today.Rating: 4.1 out of 51075 reviews10 total hours32 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/theactorsacademy/,The Academy Program,4.1,"1,075",$49.99,,10 Hour,32 lectures,All Levels
Acting for everyoneMany of Serena's pupils have gained awards and appeared on stage and TV. This includes plenty of practical exercises.Rating: 4.7 out of 5137 reviews2 total hours23 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/acting-for-all-ages/,"Serena Greenslade F.V.C.M. (Hons), A.N.E.A.",4.7,137,$54.99,,2 total hours,23 lectures,All Levels
"Acting Made Easy: Bringing Text to Life (Monologues)Teaching Actors to enjoy text work so their Acting stands out. Using Stanslavski, Uta Hagen and more acting techniquesRating: 4.5 out of 5126 reviews0.5 total hours6 lecturesIntermediateCurrent price: $34.99",https://www.udemy.com/course/acting-made-easy-by-dave-lovatt-part-one-monologues/,Dave Lovatt,4.5,126,$34.99,,0.5 total hours,6 lectures,Intermediate
A Comprehensive Guide to Child ActingDeveloping the Tools You Need to be a Successful Child ActorRating: 4.6 out of 5113 reviews8 total hours15 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/a-comprehensive-guide-to-child-acting/,Academy of Film Fashion and Design,4.6,113,$19.99,,8 total hours,15 lectures,Beginner
On Camera Acting with Suzanna LeNirA Comprehensive Acting ClassRating: 4.7 out of 5108 reviews2.5 total hours39 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/on-camera-acting-with-suzanna-lenir/,Suzanna Le Nir,4.7,108,$49.99,,2.5 total hours,39 lectures,All Levels
How To Put A Microphone On TalentYour project will look better the moment it sounds better! Learn to use lavaliers correctly as well as tools for the jobRating: 4.6 out of 596 reviews2.5 total hours55 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/dttwbook/,Thomas Popp,4.6,96,$19.99,,2.5 total hours,55 lectures,All Levels
"Acting for Film, Television and Theatre: Introductory CourseCreate and develop, powerful, dynamic and authentic characters for any acting medium in 12 effective steps. Rating: 4.6 out of 594 reviews2 total hours16 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/acting-for-film-television-and-theatre/,Jeffrey Meek,4.6,94,$39.99,,2 total hours,16 lectures,All Levels
"Shakespeare Unlocked: Learn Classical ActingHow to use your voice and body to perform classical monologues on stage with confidence, clarity and emotionRating: 4.6 out of 592 reviews3.5 total hours40 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/learning-to-act-through-shakespeare/,Linda Taimre,4.6,92,$49.99,,3.5 total hours,40 lectures,All Levels
"Learn Method Acting , Characterisation & Monologue MasteryImprovisation, Characterisation, Method Acting, Prepare for auditions like a Pro, Standout from the crowd, Master MethodRating: 4.6 out of 574 reviews2 total hours47 lecturesAll LevelsCurrent price: $199.99",https://www.udemy.com/course/method-acting-and-monologue-mastery-for-male-actors/,Sylvie Amour DeCristo,4.6,74,$199.99,,2 total hours,47 lectures,All Levels
Commercial Acting 101On Camera Auditioning Techniques for Actors & ModelsRating: 4.6 out of 572 reviews0.5 total hours8 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/commercial-acting-101/,"Lisa Phillips, Colleen Hannon",4.6,72,$49.99,,0.5 total hours,8 lectures,All Levels
"Learn Method Acting, Characterisation & Monologue MasteryJoan of Arc: A Masterclass for the ActressRating: 4.7 out of 566 reviews2.5 total hours35 lecturesAll LevelsCurrent price: $199.99",https://www.udemy.com/course/learn-method-acting-characterisation-monologue-mastery/,Sylvie Amour DeCristo,4.7,66,$199.99,,2.5 total hours,35 lectures,All Levels
"Learn Business of Acting: Book Work in TV & FILMShow Business is 50% Art & 50% Business, this course will educate you on the business to control your career.Rating: 4.6 out of 558 reviews2.5 total hours10 lecturesAll LevelsCurrent price: $189.99",https://www.udemy.com/course/learn-the-business-of-acting/,Guyviaud Joseph,4.6,58,$189.99,,2.5 total hours,10 lectures,All Levels
The Craft of Film ActingA Professional Reveals His Secrets!Rating: 4.7 out of 557 reviews2 total hours14 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/the-craft-of-film-acting/,Patrick McNamara,4.7,57,$19.99,,2 total hours,14 lectures,Intermediate
How to Become a Great Actor - Acting Tutorial Season 2Dive Deeper. Grow Stronger. Win the RoomRating: 4.7 out of 543 reviews1.5 total hours10 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/bls-acting-tutorial/,Braden Lynch,4.7,43,$19.99,,1.5 total hours,10 lectures,All Levels
The Ultimate Acting Course: Learn to Act With a ProAdvance Your Acting Technique To Increase Your Growth As An ActorRating: 4.6 out of 543 reviews0.5 total hours17 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/the-ultimate-acting-course-learn-to-act-with-a-pro/,Lucy Aarden,4.6,43,$19.99,,0.5 total hours,17 lectures,All Levels
Casting Director: All about Casting Directors and being CastLearn to Cast or be Cast for television and film productions. Understanding the process is the only to become a pro.Rating: 4.6 out of 542 reviews3 total hours15 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/fidcastingdirector/,Faith in Dreams Edutainment,4.6,42,$19.99,,3 total hours,15 lectures,All Levels
HOW TO BECOME A PRO IN ALL ASPECTS OF ACTING SKILLSActing is a skill.  Many of us are born with the desire to entertain through the dramatic arts.Rating: 4.8 out of 538 reviews2.5 total hours16 lecturesBeginnerCurrent price: $64.99,https://www.udemy.com/course/how-to-become-a-pro-in-all-aspects-of-acting-skills/,Ria Vorster,4.8,38,$64.99,,2.5 total hours,16 lectures,Beginner
Theatre for Kids - BasicsTheatre-Confidence-Focus-Stage Presence-Communication-Acting-Social Skills-FunRating: 4.1 out of 535 reviews2 total hours23 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/actcelerate-theatre-for-kids/,Prashant Chawla,4.1,35,$19.99,,2 total hours,23 lectures,Beginner
Film Acting Course - Learn the skills needed to Act in FilmsStudents will learn everything they need to become a Film Actor: Acting for films & Direction of actors for FilmmakingRating: 4.5 out of 534 reviews4 total hours21 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/film-acting-course-how-to-become-a-real-film-actor/,Baudilio Bey Pérez,4.5,34,$44.99,,4 total hours,21 lectures,All Levels
Theatre for Teens - BasicsTheatre-Confidence-Focus-Stage Presence-Communication-Acting-Social Skills-FunRating: 4.5 out of 534 reviews2 total hours21 lecturesBeginnerCurrent price: $49.99,https://www.udemy.com/course/actcelerate-theatre-for-teens/,Prashant Chawla,4.5,34,$49.99,,2 total hours,21 lectures,Beginner
The Actor's BootcampA bootcamp for acting and performanceRating: 4.6 out of 533 reviews3 total hours54 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/the-actors-bootcamp/,Calvin McWilliams,4.6,33,$39.99,,3 total hours,54 lectures,All Levels
"The Trinity Acting MethodThe COMPLETE course to take you from where you are now, to booking professional acting jobs.Rating: 4.4 out of 526 reviews2 total hours41 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/the-trinity-acting-method/,Matt Zina,4.4,26,$49.99,,2 total hours,41 lectures,All Levels
The Drama SessionsWelcome to The Drama Sessions. Our intention is to take you on a journey into the world of acting.Rating: 4.6 out of 520 reviews3 total hours12 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/the-drama-sessions/,Drama Sessions,4.6,20,$44.99,,3 total hours,12 lectures,All Levels
The Truthful ActorA Complete Guide on Acting Truthfully and Staying Sane in This IndustryRating: 4.9 out of 520 reviews2.5 total hours24 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/the-truthful-actor/,Martina Avogadri,4.9,20,$19.99,,2.5 total hours,24 lectures,All Levels
