title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Anxiety, Burnout, And Stress Management With Time ManagementChronic stress relief and anxiety management! Decrease anxiety, overwhelm, stress, and burnout with time managementRating: 4.5 out of 52821 reviews6.5 total hours97 lecturesBeginnerCurrent price: $44.99",https://www.udemy.com/course/entrepreneur-anxiety-stress-management-with-time-management/,Alex Genadinik,4.5,"2,821",$44.99,,6.5 total hours,97 lectures,Beginner
"Anxiety Tool Kit: Beat Anxiety, Stress & DepressionFear, stress, depression & anxiety management. Reclaim your happiness with world bestselling author Alexandra Massey.Rating: 4.4 out of 5945 reviews3.5 total hours55 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/anxiety-tool-kit/,"Alexandra Massey, Jonas Schmidt",4.4,945,$54.99,,3.5 total hours,55 lectures,All Levels
"Emotional Intelligence: Master Anxiety, Fear, & EmotionsEmotional Intelligence: Techniques for Recognizing, Overcoming; Coping with Negative Emotions  like Anxiety & FearRating: 4.5 out of 521726 reviews7 total hours50 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/master-your-emotions-uncertainty-stress-anxiety-and-fear/,"Joeel & Natalie of Transformation Services, Transformation Services",4.5,"21,726",$74.99,,7 total hours,50 lectures,All Levels
Anxiety and Stress - Best Practices for Reducing StressMaster Anxiety and Stress - a practical approach to achieving joy & controlRating: 4.6 out of 521598 reviews2.5 total hours34 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/anxiety-and-stress/,Chris Croft,4.6,"21,598",$59.99,,2.5 total hours,34 lectures,All Levels
"Emotional Intelligence: Master Anxiety, Fear, & EmotionsEmotional Intelligence: Techniques for Recognizing, Overcoming; Coping with Negative Emotions  like Anxiety & FearRating: 4.5 out of 521729 reviews7 total hours50 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/master-your-emotions-uncertainty-stress-anxiety-and-fear/,"Joeel & Natalie of Transformation Services, Transformation Services",4.5,"21,729",$74.99,,7 total hours,50 lectures,All Levels
Anxiety and Stress - Best Practices for Reducing StressMaster Anxiety and Stress - a practical approach to achieving joy & controlRating: 4.6 out of 521598 reviews2 total hours34 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/anxiety-and-stress/,Chris Croft,4.6,"21,598",$59.99,,2 total hours,34 lectures,All Levels
"CBT for Depression, Anxiety, Phobias and Panic AttacksCognitive Behavioural Therapy for Depression, Anxiety, Phobias and Panic AttacksRating: 4.3 out of 54194 reviews2 total hours40 lecturesAll LevelsCurrent price: $119.99",https://www.udemy.com/course/cbt-for-depression-anxiety-phobias-and-panic-attacks/,Libby Seery,4.3,"4,194",$119.99,,2 total hours,40 lectures,All Levels
CBT4PANIC. Overcome Panic & Anxiety attacks fastA complete professional Cognitive Behavioural Therapy (CBT) treatment plan for anxiety and panic disorder.Rating: 4.6 out of 51524 reviews8.5 total hours73 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/cbt4panic-cure-panic-anxiety-attacks-fast/,Robin Hall,4.6,"1,524",$59.99,,8.5 total hours,73 lectures,All Levels
"ACCREDITED PSYCHOLOGY DIPLOMA: Anxiety & Panic AttacksAccredited training in stress, anxiety, and panic relief. FULLY CERTIFIEDRating: 4.6 out of 51385 reviews6 total hours55 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/panic-attacks/,"Elmira Strange, PhD",4.6,"1,385",$59.99,,6 total hours,55 lectures,All Levels
"How I Overcame Social Anxiety, Grew Confidence & Self-EsteemOvercome social anxiety. Stop seeking approval & become more confident. Overcome your mental blocks and self sabotaging.Rating: 4.7 out of 51244 reviews8 total hours75 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/build-rock-solid-confidence-self-esteem-become-your-best/,Tobias Atkins,4.7,"1,244",$59.99,,8 total hours,75 lectures,All Levels
"Mindfulness for AnxietyA practical introduction to mindfulness, designed to reduce anxiety and build a calmer, happier lifeRating: 4.5 out of 5214 reviews2 total hours45 lecturesBeginnerCurrent price: $44.99",https://www.udemy.com/course/mindfulness-for-anxiety/,Katie Sheen,4.5,214,$44.99,,2 total hours,45 lectures,Beginner
"Anxiety Relief Healer & Master Practitioner| AccreditedEmbrace A Transformative Mindset to Alleviate Anxiety and Stress! Learn and Enjoy Healing, Health and Wellness!Rating: 4.8 out of 5190 reviews3 total hours14 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/anxiety-relief-practitioner-master-class-accredited/,"Sufani Garza, Place of Bliss Academy",4.8,190,$44.99,,3 total hours,14 lectures,All Levels
How to Stop Worrying & Overcome Anxiety Without Using DrugsThe Art of How to Deal with Stress & Anxiety Quickly and Naturally - Anxiety Relief That Works - Overcome DepressionRating: 4.4 out of 5184 reviews2 total hours20 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/how-to-stop-worrying-without-taking-drugs/,Ken Wells,4.4,184,$49.99,,2 total hours,20 lectures,All Levels
"How To Beat Anxiety, Depression & Panic Attacks NaturallyThis is how I beat general anxiety disorder, depression and panic attacks naturally and was able to get off medicationRating: 4.2 out of 5172 reviews3.5 total hours36 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/how-to-beat-anxiety-depression-panic-attacks-naturally/,Tobias Atkins,4.2,172,$39.99,,3.5 total hours,36 lectures,All Levels
Overcome Anxiety and Panic AttacksA Self Help Workbook Course for Anxiety Relief and Panic AttacksRating: 4.5 out of 5169 reviews4 total hours35 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/overcome-anxiety/,Matt Lewis,4.5,169,$19.99,,4 total hours,35 lectures,All Levels
"How to overcome anxiety & panic attacksThe most effective method for overcoming anxiety and panic attacks, fully guided online sessionsRating: 4.6 out of 5160 reviews20 total hours91 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/overcome-panic-attacks-and-anxiety/,Tomer Weiss,4.6,160,$54.99,,20 total hours,91 lectures,All Levels
"Mindfulness for Anxiety: The Ultimate Anxiety Program!Creating awareness around the root causes, healing from within, then arming you with a tool belt for the futureRating: 4.4 out of 5157 reviews2 total hours30 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/mindfulness-for-anxiety-the-ultimate-anxiety-program/,Ryan Hassan,4.4,157,$19.99,,2 total hours,30 lectures,All Levels
Overcoming Shyness and Social AnxietyLoneliness is epidemic: Learn how to break out of feeling invisible and gain social confidence.Rating: 4.1 out of 5143 reviews2.5 total hours27 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/overcoming-shyness-and-social-anxiety/,Randy Hyde PhD,4.1,143,$39.99,,2.5 total hours,27 lectures,All Levels
Conflict Management with Emotional IntelligenceResolving Conflict with Emotional Intelligence | Enhancing Communication | Building Strong Relationships | Manage StressRating: 4.5 out of 520470 reviews4 total hours88 lecturesIntermediateCurrent price: $74.99,https://www.udemy.com/course/conflict-management-with-emotional-intelligence/,Robin Hills,4.5,"20,470",$74.99,,4 total hours,88 lectures,Intermediate
