title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Art Therapy for (complete) BeginnersEnough about Art Therapy to be useful!Rating: 4.2 out of 510 reviews11.5 total hours68 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/art-therapy-for-complete-beginners/,Chris Sivewright,4.2,10,$19.99,,11.5 total hours,68 lectures,All Levels
ACCREDITED Oxford Diploma in Art Therapy (Masterclass)AI and Art Therapy - and the Independently Assessed Oxford Diploma.Rating: 4.4 out of 52009 reviews109.5 total hours790 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/art-therapy-painting-and-depression/,"Chris Sivewright, Almost Random Theatre, Oxford School of Learning",4.4,"2,009",$64.99,,109.5 total hours,790 lectures,All Levels
"Art Therapy Life Coach Certification  (Accredited)Help Clients Heal, Reduce Stress + Manifest Dreams with Mandalas, Affirmations, Vision Boards + More Art Therapy ToolsRating: 4.4 out of 515279 reviews3.5 total hours39 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/art-therapy-life-coach-certification/,"Joeel & Natalie of Transformation Services, Victoria Hawkins, Transformation Services",4.4,"15,279",$59.99,,3.5 total hours,39 lectures,All Levels
"Certification in Art Therapy for Children - Fully AccreditedInternational Art Therapy Certificate | Help Kids Cope with Stress, Anxiety, Depression, Grief, PTSD, Trauma, ADHD etc.Rating: 4.4 out of 5265 reviews3 total hours32 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/accredited-certificate-art-therapy-for-children-kids/,"Prof. Krishna N. Sharma, Ph.D.",4.4,265,$44.99,,3 total hours,32 lectures,All Levels
Certification in Play and Art Therapy - Fully AccreditedLearn Step-by-Step Practical Play Therapy and Art Therapy Techniques with this Internationally Accredited Certification.Rating: 4.3 out of 5442 reviews3.5 total hours40 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/accredited-certification-in-play-therapy-and-art-therapy/,"Prof. Krishna N. Sharma, Ph.D., Virtued Academy International, UniSkill Academy",4.3,442,$19.99,,3.5 total hours,40 lectures,All Levels
Intro to the Zentangle® MethodLearn to calm the mind and create beautiful art.Rating: 4.5 out of 567 reviews4.5 total hours26 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/zentangle-intro/,Michelle Aalbers,4.5,67,$19.99,,4.5 total hours,26 lectures,Beginner
"ArtWorks! Art Therapy Guide For Personal DevelopmentHarness Your Inner Creativity, Increase Self Improvement, Reduce Anxiety and Enhance RelationshipsRating: 4.7 out of 51022 reviews1.5 total hours20 lecturesBeginnerCurrent price: $59.99",https://www.udemy.com/course/art-therapy/,"LYFE Academy, Pamela Malkoff Hayes",4.7,"1,022",$59.99,,1.5 total hours,20 lectures,Beginner
"Art Therapy for Healing, Happiness & Stress ReductionArt Therapy: Use Mandalas, Affirmations Art, Vision Boards & More to Heal, Reduce Stress & Manifest Your DreamsRating: 4.3 out of 5986 reviews2.5 total hours28 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/art-therapy-for-healing-happiness-stress-reduction/,"Joeel & Natalie of Transformation Services, Victoria Hawkins, Transformation Services",4.3,986,$54.99,,2.5 total hours,28 lectures,All Levels
Art Therapy Course (Beginners to Advanced)Arts Therapy heals ! Improve your Mental Health with 30 Art Therapy Exercises . Certificate upon completionRating: 4.5 out of 5971 reviews7.5 total hours152 lecturesBeginnerCurrent price: $74.99,https://www.udemy.com/course/personal-development-and-self-healing-through-art-beginner/,"Anike , Zebra Soul Art, ZSA Academy",4.5,971,$74.99,,7.5 total hours,152 lectures,Beginner
Positive Psychology Art CoachingArt activities for children to help build confidence & selfesteemRating: 4.7 out of 5518 reviews2 total hours22 lecturesAll LevelsCurrent price: $49.99,https://www.udemy.com/course/positive-psychology-art-coaching/,Mira Khatib,4.7,518,$49.99,,2 total hours,22 lectures,All Levels
