title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Software Defined Vehicle (SDV) – A Complete Theory GuideThis course on Software Defined Vehicles (SDVs) is beginner-friendly and requires no prior experience.Rating: 4.3 out of 538 reviews3 total hours43 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/software-defined-vehicle-sdv-a-complete-guide/,Chetan Shidling,4.3,38,$19.99,,3 total hours,43 lectures,All Levels
"Automotive - Over The Air Update [ OTA ]OTA , E\E ,HPC, MQTT , Demo-Campaign mgmt,SDV levels,Software Defined vehicle, TCU,OTA cyber attacks,testing,BootloaderRating: 4.3 out of 52075 reviews4.5 total hours62 lecturesAll LevelsCurrent price: $34.99",https://www.udemy.com/course/automotive-over-the-air-update-ota/,AutoRonics Services,4.3,"2,075",$34.99,,4.5 total hours,62 lectures,All Levels
"Automotive Engine Sensors Intro, Operation & DiagnosticPractical Course on All Engine Sensors DiagnosticRating: 4.7 out of 5314 reviews4 total hours73 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/automotive-engine-sensors-intro-operation-diagnostic/,Automotive Diagnosis,4.7,314,$59.99,,4 total hours,73 lectures,All Levels
Do it Yourself - Automotive Electrical Diagnosis - BeginnerLearn to Eliminate the Possible Causes of Basic Automotive Electrical Faults oftentimes without even Touching the CarRating: 4.8 out of 51827 reviews2 total hours24 lecturesBeginnerCurrent price: $49.99,https://www.udemy.com/course/do-it-yourself-automotive-electrical-diagnosis/,Steven Liguori,4.8,"1,827",$49.99,,2 total hours,24 lectures,Beginner
Do it Yourself-Automotive Electrical Diagnosis-IntermediateIntroduction to Modules and Information CircuitsRating: 4.7 out of 5769 reviews3 total hours28 lecturesIntermediateCurrent price: $54.99,https://www.udemy.com/course/do-it-yourself-automotive-electrical-diagnosis-intermediate/,Steven Liguori,4.7,769,$54.99,,3 total hours,28 lectures,Intermediate
"Automotive RadarFMCW Radar, Signal Processing, Applications in ADAS and Autonomous DrivingRating: 4.7 out of 52451 reviews5 total hours46 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/automotive-radar-basics-to-advance/,Suchit Kr,4.7,"2,451",$64.99,,5 total hours,46 lectures,All Levels
Intro to Automotive functional safety( ISO26262)Automotive functional safety ISO26262Rating: 3.9 out of 5260 reviews1 total hour14 lecturesBeginnerCurrent price: $34.99,https://www.udemy.com/course/functional-safety-iso26262/,Automotive School,3.9,260,$34.99,,1 total hour,14 lectures,Beginner
"Motorsport Engineering : Your First Steps into MotorsportsAn Introduction to Motorsport Engineering, Race Car Systems , Vehicle Dynamics, and Strategy for Aspiring EngineersRating: 4.4 out of 5121 reviews6 total hours36 lecturesAll LevelsCurrent price: $44.99",https://www.udemy.com/course/motorsport-engineering-your-first-steps-into-motorsports/,"Shubham Sangodkar, Rex Keen",4.4,121,$44.99,,6 total hours,36 lectures,All Levels
Automotive sensorsCar ElectronicRating: 4.4 out of 51403 reviews30 total mins11 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/automotive-sensors/,Choukri Benboulaah,4.4,"1,403",$19.99,,,11 lectures,Beginner
"Automotive Engineering: Automobile FundamentalsAutomotive & Vehicle Engineering: Master the Mechanics of Cars including Engine, Dynamics, Transmission, Chassis & MoreRating: 4.6 out of 53779 reviews4 total hours20 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/automotive-engineering-automobile-fundamentals-and-advanced/,Lluís Foreman - ValueKnow,4.6,"3,779",$54.99,,4 total hours,20 lectures,All Levels
"Advanced Functional Safety: ISO 26262 Part 3 Concept PhaseItem Definition, HARA, Safety Goals & Functional Safety Concept – with Steer-by-Wire case study and templatesRating: 4.6 out of 5524 reviews2.5 total hours9 lecturesIntermediateCurrent price: $39.99",https://www.udemy.com/course/iso-26262-concept-phase/,Paul Danci,4.6,524,$39.99,,2.5 total hours,9 lectures,Intermediate
"Advanced Driver Assistance Systems (ADAS)20+ ADAS systems with examples, ADAS to Autonomous Driving, ADAS sensors - Radar, Camera, Lidar Ultrasonic, ADAS TestingRating: 4.4 out of 56663 reviews9 total hours54 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/advanced-driver-assistance-systems/,Suchit Kr,4.4,"6,663",$69.99,,9 total hours,54 lectures,All Levels
"ISO 26262 Crash Course: Functional Safety MasteryLearn ISO 26262 from an Senior Functional Safety Manager | HARA, ASIL, FMEDA, Hardware Metrics & Safety CultureRating: 4.5 out of 55568 reviews4 total hours19 lecturesBeginnerCurrent price: $34.99",https://www.udemy.com/course/iso-26262-crash-course/,Paul Danci,4.5,"5,568",$34.99,,4 total hours,19 lectures,Beginner
"Automotive Engineering: Automobile FundamentalsAutomotive & Vehicle Engineering: Master the Mechanics of Cars including Engine, Dynamics, Transmission, Chassis & MoreRating: 4.5 out of 53780 reviews4 total hours20 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/automotive-engineering-automobile-fundamentals-and-advanced/,Lluís Foreman - ValueKnow,4.5,"3,780",$54.99,,4 total hours,20 lectures,All Levels
"Introduction to Automotive Product  Design & developmentLearn about the process, milestones and activities from idea to complete design of cars for Automotive engineersRating: 4.3 out of 53255 reviews3.5 total hours57 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/introduction-to-automotive-design-engineering-development/,Mufaddal Rasheed,4.3,"3,255",$54.99,,3.5 total hours,57 lectures,All Levels
"Basics of Automotive ElectronicsSensors, Actuators, electronic control units ,CAN , CAN tools like busmaster , kvaser, CAN python script,EV,Motors,ADASRating: 4.3 out of 52897 reviews5.5 total hours67 lecturesBeginnerCurrent price: $39.99",https://www.udemy.com/course/basics-of-automotive-electronics/,AutoRonics Services,4.3,"2,897",$39.99,,5.5 total hours,67 lectures,Beginner
"Automotive HIL Testing-Hardware In Loop Concept from scratchHIL, VT system, Vector cards(VT7001, 2516, 2004), V Test studio, ABS HIL, V Cycle , CANoe panel, PWM, VIL, ABS sensorsRating: 4.3 out of 52086 reviews4 total hours58 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/automotive-hil-testing-hardware-in-loop-concept-from-scratch/,AutoRonics Services,4.3,"2,086",$19.99,,4 total hours,58 lectures,All Levels
Automobile Engineering: Vehicle dynamics for BeginnersIntroductory course on the mechanics which govern vehicle behavior and the Suspension design conceptsRating: 4.4 out of 51917 reviews12 total hours159 lecturesAll LevelsCurrent price: $89.99,https://www.udemy.com/course/fundamental-concepts-of-vehicle-dynamics/,Mufaddal Rasheed,4.4,"1,917",$89.99,,12 total hours,159 lectures,All Levels
Overview - Functional Safety and ISO 26262Get an overview of functional safety and ISO 26262. Plain and simple clause by clause explanation of ISO 26262:2018Rating: 4.5 out of 51791 reviews5.5 total hours42 lecturesBeginnerCurrent price: $59.99,https://www.udemy.com/course/overview-functional-safety-and-iso-26262/,Alexander Walter,4.5,"1,791",$59.99,,5.5 total hours,42 lectures,Beginner
Automotive sensorsCar ElectronicRating: 4.4 out of 51403 reviews0.5 total hours11 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/automotive-sensors/,Choukri Benboulaah,4.4,"1,403",$19.99,,0.5 total hours,11 lectures,Beginner
Introduction to Automotive engineering - PerformanceLearn the Basics of Vehicle Performance and  take your Automotive knowledge to next levelRating: 4.4 out of 51290 reviews5 total hours110 lecturesBeginnerCurrent price: $49.99,https://www.udemy.com/course/overview-of-automotive-performance-engineering/,Mufaddal Rasheed,4.4,"1,290",$49.99,,5 total hours,110 lectures,Beginner
Overview - Automotive SPICE® (ASPICE)Step by step explanation of processes according to the ASPICE Process Reference ModelRating: 4.3 out of 51147 reviews7 total hours44 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/overview-automotive-spice/,Alexander Walter,4.3,"1,147",$19.99,,7 total hours,44 lectures,Beginner
Do it Yourself-Automotive Electrical Diagnosis-IntermediateIntroduction to Modules and Information CircuitsRating: 4.7 out of 5770 reviews3 total hours28 lecturesIntermediateCurrent price: $54.99,https://www.udemy.com/course/do-it-yourself-automotive-electrical-diagnosis-intermediate/,Steven Liguori,4.7,770,$54.99,,3 total hours,28 lectures,Intermediate
Automotive Engineering DiplomaLearn Automotive Technology from A-Z.  A complete Diploma program in one courseRating: 4.2 out of 5496 reviews13.5 total hours62 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/automotive-engineering-diploma/,Omar Abed,4.2,496,$44.99,,13.5 total hours,62 lectures,All Levels
Diesel Engine Fundamentals (Mechanical Engineering)Learn about the diesel engine! Ideal for Automotive Engineering and Automobile Engineering!Rating: 4.5 out of 5485 reviews5 total hours54 lecturesAll LevelsCurrent price: $29.99,https://www.udemy.com/course/diesel-engine-fundamentals/,saVRee 3D,4.5,485,$29.99,,5 total hours,54 lectures,All Levels
"Automotive Logistics and Supply Chain Management""Mastering Automotive Supply Chain and Logistics: Exploring Transportation, Inventory Management, Strategic OptimizationRating: 4.4 out of 5406 reviews3 total hours47 lecturesAll LevelsCurrent price: $29.99",https://www.udemy.com/course/automotive-logistics-and-supply-chain-management/,Adarsh Amal,4.4,406,$29.99,,3 total hours,47 lectures,All Levels
Fundamentals of Automobile EngineeringEnjoy and Learn working of Cars right from basics and make it stick in your brain for ever!Rating: 4.1 out of 5385 reviews2.5 total hours44 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/automobile-engineering-from-zero-to-100-for-everyone/,Arjit Raj,4.1,385,$19.99,,2.5 total hours,44 lectures,All Levels
Automotive/Automobile Engineering; Onboard Diagnostics(OBD)Fundamentals of Onboard Diagnostics and diagnosing the various subsystems  of the Automotive Internal Combustion enginesRating: 3.9 out of 5314 reviews1 total hour9 lecturesAll LevelsCurrent price: $27.99,https://www.udemy.com/course/automotiveautomobile-engineering-onboard-diagnosticsobd/,Palem Vamsi,3.9,314,$27.99,,1 total hour,9 lectures,All Levels
Automotive Embedded Interview Q&A [QA - Question and Answer]Interview Q&A in Automotive Protocols [ Mostly asked Q&A's ]Rating: 4.0 out of 5279 reviews7 total hours44 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/automotive_protocols/,Sid e-learnings,4.0,279,$19.99,,7 total hours,44 lectures,All Levels
Intro to Automotive functional safety( ISO26262)Automotive functional safety ISO26262Rating: 3.9 out of 5260 reviews0.5 total hours14 lecturesBeginnerCurrent price: $34.99,https://www.udemy.com/course/functional-safety-iso26262/,Automotive School,3.9,260,$34.99,,0.5 total hours,14 lectures,Beginner
Automotive SPICE trainingAutomotive SPICE frameworkRating: 3.4 out of 5243 reviews3.5 total hours20 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/automotive-spice-in-detail/,Krishna Hema Thota,3.4,243,$19.99,,3.5 total hours,20 lectures,Beginner
Automotive Starting System Operation and Schematic DiagnosisWork like a Detective to Quickly Narrow Down the Possible Causes of an Electrical ProblemRating: 4.7 out of 5241 reviews1.5 total hours19 lecturesIntermediateCurrent price: $49.99,https://www.udemy.com/course/understanding-automotive-starting-system-schematics/,Steven Liguori,4.7,241,$49.99,,1.5 total hours,19 lectures,Intermediate
ISO 26262-6:2018: Product development at the software levelPlain and simple clause by clause explanation of ISO 26262-6:2018: SW development with exercises (electric vehicle)Rating: 4.4 out of 5240 reviews2.5 total hours21 lecturesIntermediateCurrent price: $34.99,https://www.udemy.com/course/iso-26262-62018-product-development-at-the-software-level/,Alexander Walter,4.4,240,$34.99,,2.5 total hours,21 lectures,Intermediate
Hybrid Vehicle Powertrain Design - Case StudiesCase studies on Hybrid electric powertrain technology of Toyota and General MotorsRating: 3.7 out of 5236 reviews2.5 total hours5 lecturesExpertCurrent price: $29.99,https://www.udemy.com/course/hybrid-vehicle-powertrain-design-advanced-level/,Er. Prasanthkumar Palani,3.7,236,$29.99,,2.5 total hours,5 lectures,Expert
Vehicle Dynamics & Control - Capsule CourseEssentials of Longitudinal & Lateral Vehicle Dynamics & Control for Practicing & Aspiring Automotive EngineersRating: 4.4 out of 5234 reviews5 total hours96 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/vehicle-dynamics-control-capsule-course/,Subash MU,4.4,234,$59.99,,5 total hours,96 lectures,All Levels
Hydrogen Internal Combustion Engine: Introduction to DesignLearn about hydrogen properties and application for ICE automotive engines with engine and race simulationsRating: 4.0 out of 5195 reviews1.5 total hours15 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/hydrogen-internal-combustion-engine-introduction-to-design/,Dawid Doruch,4.0,195,$39.99,,1.5 total hours,15 lectures,All Levels
