title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"Safety Management System for Civil Aviation (SMS)Based on ICAO Annex 19, doc. 9859 requirements. Also fits the IATA and EASA requirements on SMS training.Rating: 4.3 out of 51031 reviews1.5 total hours7 lecturesAll LevelsCurrent price: $49.99",https://www.udemy.com/course/safetymanagementsystem/,Octavian Naframita,4.3,"1,031",$49.99,,1.5 total hours,7 lectures,All Levels
Airline Operations: Flight Planning and Flight DispatchAirline Operations: Master the essentials of aviation - aircraft operational control and dispatch.Rating: 4.6 out of 51685 reviews7.5 total hours49 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/airline-operations-flight-planning-and-flight-dispatch/,Anzijs Vilcevskis,4.6,"1,685",$59.99,,7.5 total hours,49 lectures,All Levels
AIRBUS A320 - Learn to Fly A320 With Airline Pilot!Learn How to Fly Airbus A320 Step by Step From Scratch! Trust Yourself and Be The Airbus A320 Pilot on Your Own!Rating: 4.5 out of 5135 reviews3 total hours17 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/airbus-a320-learn-to-fly-with-airline-pilot/,Pilot Academia,4.5,135,$44.99,,3 total hours,17 lectures,All Levels
"Diploma in Aviation, Airlines, Air Transportation & AirportsProfessional Diploma Introduction to Aviation, Airlines, Air Transportation and Airport Industries by MTF InstituteRating: 4.4 out of 5426 reviews2 total hours18 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/professional-diploma-in-aviation-airlines-air-transportation-airports/,"MTF Institute of Management, Technology and Finance",4.4,426,$19.99,,2 total hours,18 lectures,All Levels
Fundamentals of : Airport OperationsIn a technological advancing industry.Rating: 4.5 out of 51053 reviews7 total hours164 lecturesBeginnerCurrent price: $54.99,https://www.udemy.com/course/learn-the-fundamentals-of-airport-operations/,Shahed Mahomed Haniff,4.5,"1,053",$54.99,,7 total hours,164 lectures,Beginner
General Aircraft PerformanceYou will be provided with a simple approach on important concepts and methods for Performance calculations.Rating: 4.4 out of 5155 reviews2 total hours27 lecturesBeginnerCurrent price: $69.99,https://www.udemy.com/course/general-aircraft-performance/,Miguel Miranda,4.4,155,$69.99,,2 total hours,27 lectures,Beginner
Aviation Security and Safety Management- AVSECSecurity Groups/Access Controls/protection layers/measures.Grooming/Effective Communication/Interview Skills ContentRating: 3.8 out of 5198 reviews1.5 total hours13 lecturesBeginnerCurrent price: $39.99,https://www.udemy.com/course/aviation-security-and-safety-management-avsec/,Essence Learning,3.8,198,$39.99,,1.5 total hours,13 lectures,Beginner
Airline Operations: Flight Planning and Flight DispatchAirline Operations: Master the essentials of aviation - aircraft operational control and dispatch.Rating: 4.6 out of 51686 reviews7.5 total hours49 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/airline-operations-flight-planning-and-flight-dispatch/,Anzijs Vilcevskis,4.6,"1,686",$59.99,,7.5 total hours,49 lectures,All Levels
Technology for Airlines: a Fresh Look at the EcosystemPresentation of the airline product and tech companies that make it better. What can start ups improve in air travel? Rating: 4.3 out of 51542 reviews1 total hour11 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/technology-for-airlines/,Faical Allou,4.3,"1,542",$19.99,,1 total hour,11 lectures,Beginner
GDS Training: Step by Step Amadeus Course | Amadeus TutorialStep-by-Step Amadeus Training | Step-by-Step Amadeus Course | Learn Amadeus from Scratch with Saif Ali RAAZRating: 3.8 out of 51406 reviews3 total hours14 lecturesAll LevelsCurrent price: $34.99,https://www.udemy.com/course/gds-complete-course/,Saif Ali RAAZ,3.8,"1,406",$34.99,,3 total hours,14 lectures,All Levels
