title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"The Complete Body Language for Business CourseBody language and Non-Verbal Training for Business Meetings, Public Speaking, Presenting, Media Interviews, and PanelsRating: 4.8 out of 52030 reviews37 total hours708 lecturesAll LevelsCurrent price: $74.99",https://www.udemy.com/course/the-complete-body-language-for-business-course/,"TJ Walker, Media Training Worldwide Digital",4.8,"2,030",$74.99,,37 total hours,708 lectures,All Levels
"Body Language to Help Your Business CareerBody Language for  Every Meeting, Networking Event, Presentation and Media InterviewRating: 4.5 out of 51029 reviews36 total hours708 lecturesAll LevelsCurrent price: $64.99",https://www.udemy.com/course/body-language-for-business-people/,"TJ Walker, Media Training Worldwide Digital",4.5,"1,029",$64.99,,36 total hours,708 lectures,All Levels
Master The Art of Body Language & Boost Your Confidence!Body language. Read people. Business interactions. Perceptiveness. Detect lies&non-verbal signals. Communication skills.Rating: 4.4 out of 5557 reviews4 total hours44 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/the-art-of-body-language/,"Dr. Roy Naraine, Adam Naraine",4.4,557,$69.99,,4 total hours,44 lectures,All Levels
Micro Expressions Training & Body Language for Lie DetectionHow To Detect Facial Expressions and Body Language to Increase your Emotional Intelligence with an average of 10%Rating: 4.5 out of 52221 reviews3 total hours38 lecturesAll LevelsCurrent price: $64.99,https://www.udemy.com/course/micro-expressions-training-body-language-lie-detection/,Patryk Wezowski & Kasia Wezowski,4.5,"2,221",$64.99,,3 total hours,38 lectures,All Levels
"Powerful, Confident Body Language for Business WomenImprove Your Nonverbal Communication in Business. Project More Confidence at Work. Feel More Confident in Business!Rating: 4.5 out of 51673 reviews1 total hour36 lecturesAll LevelsCurrent price: $39.99",https://www.udemy.com/course/powerful-confident-body-language-for-women/,Kara Ronin,4.5,"1,673",$39.99,,1 total hour,36 lectures,All Levels
Leadership: Guide to Body Language & Nonverbal CommunicationA Comprehensive Guide to Mastering Body Language and Nonverbal Communication for Effective Leadership in BusinessRating: 4.6 out of 5171 reviews2 total hours44 lecturesIntermediateCurrent price: $19.99,https://www.udemy.com/course/leadership-guide-to-body-language-nonverbal-communication/,Robin Hills,4.6,171,$19.99,,2 total hours,44 lectures,Intermediate
Non-Verbal Cues and Body LanguageUnderstand non-verbal cues. Master body language in job interviews and presentations.  Detect deception.Rating: 3.8 out of 513 reviews1.5 total hours18 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/body-language-essentials/,Hanlé Barnard,3.8,13,$19.99,,1.5 total hours,18 lectures,Beginner
"Confidence: Self-Esteem Body Language & Communication SkillsConfidence, Self-Esteem, Body Language & Communication Skills: Confidence, NLP, Psychology, Social Skills & InfluenceRating: 3.5 out of 587 reviews5 total hours35 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/confidence-self-esteem-body-language-communication-skills/,Gab Jean,3.5,87,$19.99,,5 total hours,35 lectures,All Levels
"Key Social Skills and Building RelationshipsFourth Key to Ultimate Confidence, Body, and Self-EsteemRating: 4.5 out of 596 reviews5 total hours14 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/key-social-skills-and-building-relationships/,Dr. Elisaveta Pavlova,4.5,96,$19.99,,5 total hours,14 lectures,All Levels
"Master Course in Assertiveness, Confidence, Body LanguageAssertiveness, Confidence, Body Language, Self-Confidence, Personal development, Attraction, assertive communicationRating: 4.3 out of 5123 reviews1 total hour5 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/assertiveness-confidence-body-language-attraction-personal-development/,Dr. José Prabhu J,4.3,123,$19.99,,1 total hour,5 lectures,All Levels
"Build Amazing Social Confidence And Talk To AnyoneConfidence, Self-Esteem, Social Skills, Networking, Social & Inner Confidence, Body Language, Charisma, Influence.Rating: 4.0 out of 538 reviews2 total hours59 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/build-amazing-social-confidence-and-talk-to-anyone/,Alexander Lao,4.0,38,$19.99,,2 total hours,59 lectures,All Levels
