title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
Car Maintenance Anyone Can DoLearn how to add years of reliable life and service to your car.Rating: 4.8 out of 5727 reviews3 total hours18 lecturesBeginnerCurrent price: $59.99,https://www.udemy.com/course/car-maintenance-anyone-can-do/,Barry Bertollini,4.8,727,$59.99,,3 total hours,18 lectures,Beginner
Automotive 101: A Beginners Guide To Automotive RepairA Basic Introduction to The Automotive Repair Industry.Rating: 4.5 out of 53846 reviews3 total hours17 lecturesBeginnerCurrent price: $94.99,https://www.udemy.com/course/automotive-101/,Scott Greene,4.5,"3,846",$94.99,,3 total hours,17 lectures,Beginner
"Car Repair and Electrician Training Certificated : CRETC+Learn the Car Repair from Beginner to Professional Level ! Car Mechanic, Car Tuning, Electrician, Automotive EngineeringRating: 3.9 out of 51393 reviews8 total hours100 lecturesAll LevelsCurrent price: $54.99",https://www.udemy.com/course/car-repair-auto-mechanic-training/,OCSALY Academy | 560.000+ Students,3.9,"1,393",$54.99,,8 total hours,100 lectures,All Levels
The Automatic TransmissionA breakdown and explanation of the automatic transmission.Rating: 4.5 out of 5487 reviews3.5 total hours18 lecturesIntermediateCurrent price: $54.99,https://www.udemy.com/course/the-automatic-transmission/,Scott Greene,4.5,487,$54.99,,3.5 total hours,18 lectures,Intermediate
"Automotive 102: Battery, Charging System & Starting SystemAn introduction to the battery, the vehicle charging system, and the vehicle starting system.Rating: 4.4 out of 5453 reviews1.5 total hours11 lecturesBeginnerCurrent price: $27.99",https://www.udemy.com/course/automotive-102-battery-charging-system-starting-system/,Scott Greene,4.4,453,$27.99,,1.5 total hours,11 lectures,Beginner
"How to Establish a Business Tinting Car Windows from HomeStart Your Business Tinting Car Windows From Home With This Comprehensive Training. Simple Techniques, Easily Mastered.Rating: 4.6 out of 5325 reviews5.5 total hours46 lecturesBeginnerCurrent price: $64.99",https://www.udemy.com/course/how-to-establish-a-business-tinting-car-windows-from-home/,Nick Roberts,4.6,325,$64.99,,5.5 total hours,46 lectures,Beginner
Learn Auto Body and Painting - Auto Spray Paint LearningStep By Step Course On How To Auto Body And Paint.Rating: 4.2 out of 5299 reviews4.5 total hours31 lecturesBeginnerCurrent price: $54.99,https://www.udemy.com/course/auto-spray-paint-learning/,Ryson Fernandes,4.2,299,$54.99,,4.5 total hours,31 lectures,Beginner
"Hybrid Vehicles – The Fundamentals & Operating PrinciplesBecome a pro in Hybrid Vehicle Operations, Functions & Fundamentals.Rating: 4.2 out of 5299 reviews3.5 total hours48 lecturesIntermediateCurrent price: $44.99",https://www.udemy.com/course/hybrid-vehicles-the-fundamentals-mechanical-automobile/,Ezenith Education,4.2,299,$44.99,,3.5 total hours,48 lectures,Intermediate
"Under the Hood: How Cars WorkImportant parts of a car explained in simple language, with rich, clear illustrations.Rating: 4.2 out of 5282 reviews4 total hours28 lecturesBeginnerCurrent price: $44.99",https://www.udemy.com/course/how-cars-work/,Loony Corn,4.2,282,$44.99,,4 total hours,28 lectures,Beginner
Home car maintenance for anyoneKnow your car and extend the life with Harper Sports CarsRating: 4.5 out of 5161 reviews2 total hours30 lecturesIntermediateCurrent price: $54.99,https://www.udemy.com/course/home-car-maintenance-for-anyone/,Dale Robinson,4.5,161,$54.99,,2 total hours,30 lectures,Intermediate
Automotive starters and alternators: diagnose and repairLearn to carry out high-quality diagnostics and repair of starters and car alternatorsRating: 4.4 out of 5150 reviews4 total hours26 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/automotive-starters-and-alternators-diagnose-and-repair/,MSG Academy,4.4,150,$39.99,,4 total hours,26 lectures,All Levels
Interior Car Detailing CourseThe essential course on how to detail a car interiorRating: 4.5 out of 5137 reviews1 total hour13 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/interior-car-detailing-course/,Stefan Nikolić,4.5,137,$19.99,,1 total hour,13 lectures,All Levels
Automotive Ownership MaintenanceTeaching you the basics of vehicle maintenance for your personal vehicle.Rating: 4.7 out of 5130 reviews2 total hours24 lecturesBeginnerCurrent price: $59.99,https://www.udemy.com/course/automotive-ownership-maintenance/,Scott Greene,4.7,130,$59.99,,2 total hours,24 lectures,Beginner
Autobody Repair - Spraypaint Cars to fix dents and scratchesSave time and gain valuable information by learning the correct methods and useful tips!Rating: 4.4 out of 5122 reviews1 total hour6 lecturesBeginnerCurrent price: $27.99,https://www.udemy.com/course/autobody-repair/,"Dale Volker, Steve Sycamore",4.4,122,$27.99,,1 total hour,6 lectures,Beginner
Automotive HVAC System EssentialsIntroducing Air ConditioningRating: 4.1 out of 590 reviews1 total hour5 lecturesAll LevelsCurrent price: $19.99,https://www.udemy.com/course/automotive-hvac-system-essentials/,Stefon Belfon,4.1,90,$19.99,,1 total hour,5 lectures,All Levels
How To Set up and Start your Own Car Detailing BusinessLearn every aspect of car detailing  and how to genuinely generate a steady Profitable Monthly IncomeRating: 4.5 out of 565 reviews5 total hours52 lecturesAll LevelsCurrent price: $39.99,https://www.udemy.com/course/how-to-create-a-5-k-a-month-car-detailing-business/,Cuddy Cudworth Priority Mind Management Training in Excellence,4.5,65,$39.99,,5 total hours,52 lectures,All Levels
Diagnosing Voltage Drops and High Resistance ProblemsSave valuable time and reduce headaches caused by strange and intermittent electrical problemsRating: 4.7 out of 553 reviews2 total hours30 lecturesBeginnerCurrent price: $34.99,https://www.udemy.com/course/diagnosing-voltage-drops-and-high-resistance-problems/,Steven Liguori,4.7,53,$34.99,,2 total hours,30 lectures,Beginner
"Everything About Electric Power SteeringEPS Introduction, Application, Components and DiagnosisRating: 4.5 out of 552 reviews1.5 total hours28 lecturesIntermediateCurrent price: $39.99",https://www.udemy.com/course/everything-about-electric-power-steering/,Automotive Diagnosis,4.5,52,$39.99,,1.5 total hours,28 lectures,Intermediate
Anti-Skid Braking System (ABS)Antilock braking system (ABS)Rating: 4.2 out of 549 reviews0.5 total hours13 lecturesBeginnerCurrent price: $19.99,https://www.udemy.com/course/anti-skid-braking-system-abs/,Roudy El Khoury,4.2,49,$19.99,,0.5 total hours,13 lectures,Beginner
The DIY Guide To Polishing your ride like a Pro!The best step by step guide to polishing  for showRating: 4.4 out of 545 reviews1.5 total hours5 lecturesAll LevelsCurrent price: $29.99,https://www.udemy.com/course/diy-guide-to-polishing-like-a-pro/,Jonathan Alvarez,4.4,45,$29.99,,1.5 total hours,5 lectures,All Levels
Car Air Conditioning (HVAC) Working Faulty and DiagnosePrincipal Working of Car Air ConditioningRating: 4.0 out of 529 reviews1.5 total hours31 lecturesAll LevelsCurrent price: $34.99,https://www.udemy.com/course/theory-principal-working-of-car-air-conditioning-hvac/,Sok Charkrapich,4.0,29,$34.99,,1.5 total hours,31 lectures,All Levels
