title,url,instructor,rating,reviews_count,price,original_price,duration,lectures,level
"CBT Mastery: Integrative CBT for AnxietyMaster CBT at a deeper level by integrating cognition, emotions, nervous system regulation and practitioner presence.Rating: 5.0 out of 527 reviews2.5 total hours21 lecturesIntermediateCurrent price: $19.99",https://www.udemy.com/course/cbt-mastery-integrative-cbt-for-anxiety-trauma-change/,Master John Gabbard,5.0,27,$19.99,,2.5 total hours,21 lectures,Intermediate
"Advanced CBT: Regulation, Emotions & Nervous SystemGo beyond insight using CBT with emotional regulation, nervous system awareness and tools for deeper change.Rating: 5.0 out of 511 reviews4 total hours25 lecturesIntermediateCurrent price: $19.99",https://www.udemy.com/course/cbt-mastery-energetic-transformation-the-advanced-pathway/,Master John Gabbard,5.0,11,$19.99,,4 total hours,25 lectures,Intermediate
"CBT for Depression, Anxiety, Phobias and Panic AttacksCognitive Behavioural Therapy for Depression, Anxiety, Phobias and Panic AttacksRating: 4.3 out of 54194 reviews2 total hours40 lecturesAll LevelsCurrent price: $119.99",https://www.udemy.com/course/cbt-for-depression-anxiety-phobias-and-panic-attacks/,Libby Seery,4.3,"4,194",$119.99,,2 total hours,40 lectures,All Levels
"Certificate- Cognitive Behavioral Therapy (CBT) for ChildrenFully Accredited Certification in Cognitive Behavioral Therapy (CBT) for Children | Heal Grief, Anxiety, Trauma, PTSDRating: 4.3 out of 541 reviews1.5 total hours28 lecturesAll LevelsCurrent price: $19.99",https://www.udemy.com/course/certificate-cognitive-behavioral-therapy-cbt-for-children/,Accumuli Academy for Educational Development,4.3,41,$19.99,,1.5 total hours,28 lectures,All Levels
CBT Practitioner Course (Cognitive Behavioral Therapy)Learn how Cognitive Behavioral Therapy (CBT) equips people to improve their emotional intelligence + mental well-being.Rating: 4.6 out of 537109 reviews32 total hours122 lecturesAll LevelsCurrent price: $79.99,https://www.udemy.com/course/cognitive-behavioural-therapy-online-course-cbt-practitioner-course/,"Kain Ramsay, Academy of Applied Psychology",4.6,"37,109",$79.99,,32 total hours,122 lectures,All Levels
iGCBT™ Certified CBT PractitionerBecome an Internationally Certified CBT - Cognitive Behavioural Therapy Practitioner Certified by the IGCBT™Rating: 4.6 out of 52260 reviews17.5 total hours228 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/essentials-5-nlp-core-principals-of-success/,"Matthew Barnett, HeadgearLabs™ Personal & Professional Development",4.6,"2,260",$69.99,,17.5 total hours,228 lectures,All Levels
Cognitive Behavioral Therapy for Panic DisorderLive your best lifeRating: 3.8 out of 53 reviews43 total mins51 lecturesBeginnerCurrent price: $39.99,https://www.udemy.com/course/cognitive-behavioral-therapy-for-panic-disorder/,Tracy Sloan,3.8,3,$39.99,,,51 lectures,Beginner
CBT Practitioner Course (Cognitive Behavioral Therapy)Learn how Cognitive Behavioral Therapy (CBT) equips people to improve their emotional intelligence + mental well-being.Rating: 4.6 out of 537111 reviews32 total hours122 lecturesAll LevelsCurrent price: $79.99,https://www.udemy.com/course/cognitive-behavioural-therapy-online-course-cbt-practitioner-course/,"Kain Ramsay, Academy of Applied Psychology",4.6,"37,111",$79.99,,32 total hours,122 lectures,All Levels
"CBT Cognitive Behavior Life Coach Certification: AccreditedWith CBT: Empower coaching clients to stop self-sabotage, reprogram their mind, master emotions & stop negative thinkingRating: 4.7 out of 55185 reviews6 total hours58 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/cbt-cognitive-behavioral-life-coach-certification/,"Joeel & Natalie of Transformation Services, Transformation Services",4.7,"5,185",$69.99,,6 total hours,58 lectures,All Levels
Introduction to CBT: Cognitive Behavioral TherapyOnline Counselling & Cognitive Behavioural Therapy (CBT) Training CourseRating: 4.4 out of 55100 reviews1.5 total hours38 lecturesAll LevelsCurrent price: $54.99,https://www.udemy.com/course/train-to-be-your-own-counsellor-cbt-therapist/,Libby Seery,4.4,"5,100",$54.99,,1.5 total hours,38 lectures,All Levels
CBT Coach Practitioner Certification (ACCREDITED)A fully comprehensive CBT (Cognitive Behavioural Therapy) Coach Practitioner Certification Course - The Priority AcademyRating: 4.7 out of 52471 reviews9 total hours95 lecturesAll LevelsCurrent price: $74.99,https://www.udemy.com/course/cbt-coach-practitioner-certification-beginner-to-expert/,"Graham Nicholls, The Priority Academy Ltd",4.7,"2,471",$74.99,,9 total hours,95 lectures,All Levels
CBT Life Coach Certification: Master Emotional IntelligenceOvercome Self-Sabotage and Earn Coaching CredentialsRating: 4.6 out of 52398 reviews4 total hours51 lecturesAll LevelsCurrent price: $69.99,https://www.udemy.com/course/cbt-cognitive-behavioral-coach-practitioner-certification/,"Patrick Howell, CiPP Master Coach and Trainer",4.6,"2,398",$69.99,,4 total hours,51 lectures,All Levels
Cognitive Behavioural Therapy (CBT) CertificateLearn CBT: Understand how cognitive behavior therapy can be used to improve people's mental healthRating: 4.7 out of 52299 reviews5.5 total hours130 lecturesBeginnerCurrent price: $69.99,https://www.udemy.com/course/cognitive-behavioural-therapy/,"Chris Worfolk, Holbeck College",4.7,"2,299",$69.99,,5.5 total hours,130 lectures,Beginner
"CBT: Cognitive Behavioral Therapy For Therapists & CoachesComprehensive CBT Therapy Training | Cognitive Behavior Therapy Practitioner Level | Treat Anxiety, Depression & MoreRating: 4.4 out of 51697 reviews6.5 total hours109 lecturesAll LevelsCurrent price: $69.99",https://www.udemy.com/course/introduction-to-cbt-cognitive-behavioural-therapy/,Dan Jones,4.4,"1,697",$69.99,,6.5 total hours,109 lectures,All Levels
CBT4PANIC. Overcome Panic & Anxiety attacks fastA complete professional Cognitive Behavioural Therapy (CBT) treatment plan for anxiety and panic disorder.Rating: 4.6 out of 51524 reviews8.5 total hours73 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/cbt4panic-cure-panic-anxiety-attacks-fast/,Robin Hall,4.6,"1,524",$59.99,,8.5 total hours,73 lectures,All Levels
"CBT Cognitive Behavioral Therapy (Human Mind Owner’s Manual)CBT: Take back your power, stop self-sabotage, reprogram your mind, master your emotions & stop negative thinkingRating: 4.3 out of 51385 reviews5 total hours49 lecturesAll LevelsCurrent price: $59.99",https://www.udemy.com/course/cbt-cognitive-behavioral-therapy-human-mind-owners-manual/,"Joeel & Natalie of Transformation Services, Transformation Services",4.3,"1,385",$59.99,,5 total hours,49 lectures,All Levels
"A Beginner’s Guide to Cognitive Behavioral Therapy (CBT)Learn how Cognitive Behavioral Therapy (CBT) lets people grow in self-awareness, emotional intelligence + mental health.Rating: 4.4 out of 51061 reviews14.5 total hours48 lecturesBeginnerCurrent price: $69.99",https://www.udemy.com/course/cognitive-behavioural-therapy-cbt-online-course-an-introduction-to/,"Kain Ramsay, Academy of Applied Psychology",4.4,"1,061",$69.99,,14.5 total hours,48 lectures,Beginner
Cognitive Behavioural Therapy (CBT) Associate Life CoachCBT: Cognitive Behavioural Therapy Life Coaching Associate Coach Certificate in Cognitive Behavioural CoachingRating: 4.7 out of 51045 reviews2 total hours33 lecturesAll LevelsCurrent price: $44.99,https://www.udemy.com/course/cbt-life-coach-certification/,Libby Seery,4.7,"1,045",$44.99,,2 total hours,33 lectures,All Levels
"CBT for PsychosisAn Individualized, Recovery Oriented ApproachRating: 4.6 out of 51006 reviews5.5 total hours40 lecturesBeginnerCurrent price: $39.99",https://www.udemy.com/course/cbt-for-psychosis/,Ron Unger,4.6,"1,006",$39.99,,5.5 total hours,40 lectures,Beginner
Professional Cognitive Behavioural Therapy (CBT) DiplomaFully Accredited CBT Diploma Course. Using easy techniques of CBT for change and freedom!Rating: 4.5 out of 5992 reviews1.5 total hours14 lecturesAll LevelsCurrent price: $59.99,https://www.udemy.com/course/cognitive-behavioural-therapy-cbt-live-a-life-of-freedom/,Dr Karen E Wells,4.5,992,$59.99,,1.5 total hours,14 lectures,All Levels
"CBT Integrative Wellness Life Coach Accredited CertificateMaster REBT, CBT, and Wellness Techniques for Effective Life CoachingRating: 4.6 out of 5873 reviews4 total hours75 lecturesBeginnerCurrent price: $69.99",https://www.udemy.com/course/integrative-wellness-model-the-modern-approach-to-wellbeing/,"Patrick Howell, CiPP Master Coach and Trainer",4.6,873,$69.99,,4 total hours,75 lectures,Beginner
